"dates","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2010-01-04",32.290001,32.709999,32.235001,32.695,5894200,25.799801
"2010-01-05",32.779999,33.400002,32.669998,33.150002,6737000,26.158844
"2010-01-06",33.134998,33.639999,33.060001,33.200001,5363800,26.198298
"2010-01-07",33.035,33.220001,32.549999,32.904999,5040400,25.965504
"2010-01-08",32.884998,34.174999,32.799999,34.02,7691200,26.845364
"2010-01-11",34.25,34.330002,33.595001,33.794998,6118600,26.667809
"2010-01-12",33.5,33.764999,33.380001,33.695,6647000,26.588902
"2010-01-13",33.849998,33.939999,33.275002,33.735001,7353000,26.62047
"2010-01-14",33.560001,33.814999,32.974998,33.189999,6153600,26.190407
"2010-01-15",33.139999,33.195,32.544998,32.785,8678000,25.870821
"2010-01-19",32.860001,32.889999,32.375,32.759998,5984400,25.851089
"2010-01-20",32.014999,32.02,30.959999,31.865,16682800,25.144848
"2010-01-21",31.875,33.740002,31.575001,32.724998,17484200,25.823469
"2010-01-22",32.779999,33.119999,31.754999,31.924999,11654400,25.192183
"2010-01-25",32.290001,32.360001,31.719999,31.875,7202600,25.152731
"2010-01-26",31.725,32.25,31.450001,32.099998,6630400,25.330276
"2010-01-27",32.025002,32.025002,31.5,31.905001,7972200,25.176409
"2010-01-28",31.955,32.07,30.719999,30.77,11030600,24.280769
"2010-01-29",31.004999,31.299999,30.205,30.25,9834000,23.87044
"2010-02-01",30.415001,31.200001,30.405001,31.155001,8134000,24.584578
"2010-02-02",31.245001,31.620001,31.02,31.465,4799000,24.829201
"2010-02-03",31.584999,31.945,31.365,31.49,4779800,24.848934
"2010-02-04",31.129999,31.379999,30.455,30.49,7019000,24.059826
"2010-02-05",30.565001,31.075001,30.375,31.049999,9666000,24.501715
"2010-02-08",31.09,31.225,30.485001,30.485001,6749400,24.055876
"2010-02-09",30.92,31.275,30.690001,30.870001,4512400,24.359678
"2010-02-10",30.879999,31.16,30.32,30.855,6936800,24.347847
"2010-02-11",30.715,31.924999,30.705,31.805,10367800,25.0975
"2010-02-12",31.504999,31.73,31.219999,31.705,6833800,25.018578
"2010-02-16",32,32.630001,31.74,32.580002,7541800,25.709055
"2010-02-17",32.779999,32.830002,32.029999,32.490002,5587800,25.638039
"2010-02-18",32.389999,32.709999,32.299999,32.654999,5065400,25.768238
"2010-02-19",32.619999,33.375,32.619999,33.285,10253800,26.265379
"2010-02-22",33.299999,33.544998,33.220001,33.424999,8623200,26.375845
"2010-02-23",33.435001,33.485001,32.93,33.195,8241800,26.194349
"2010-02-24",33.16,33.48,33.055,33.439999,6783800,26.495434
"2010-02-25",32.98,34.259998,32.735001,34.23,11503800,27.121384
"2010-02-26",34.185001,34.285,33.674999,33.685001,12743200,26.68956
"2010-03-01",33.869999,34.040001,33.509998,33.849998,7594800,26.820292
"2010-03-02",33.950001,34.049999,33.465,33.634998,8546200,26.64994
"2010-03-03",33.665001,34.040001,33.549999,33.605,6581000,26.626167
"2010-03-04",33.790001,34.200001,33.525002,34.029999,6620800,26.96291
"2010-03-05",34.285,34.66,34.195,34.564999,6577000,27.386808
"2010-03-08",34.654999,34.880001,34.529999,34.744999,4807400,27.529419
"2010-03-09",34.630001,35.674999,34.549999,35.419998,10288000,28.064249
"2010-03-10",35.375,36.014999,35.25,35.799999,15680600,28.365324
"2010-03-11",35.689999,36.259998,35.665001,36.25,11602200,28.721876
"2010-03-12",36.400002,36.529999,36.005001,36.5,7041000,28.919956
"2010-03-15",36.400002,36.59,36.125,36.455002,7934800,28.8843
"2010-03-16",36.439999,36.744999,36.375,36.724998,7455400,29.098228
"2010-03-17",36.830002,37.014999,36.419998,36.605,8778800,29.003155
"2010-03-18",36.384998,36.98,36.384998,36.825001,7648600,29.177467
"2010-03-19",36.619999,37.174999,36.395,36.619999,10629200,29.015036
"2010-03-22",36.415001,37.07,36.310001,37,6382200,29.316114
"2010-03-23",37.084999,37.119999,36.5,36.849998,6280200,29.197271
"2010-03-24",36.744999,36.744999,36.174999,36.455002,6323000,28.8843
"2010-03-25",36.775002,37.134998,36.275002,36.334999,7964200,28.789221
"2010-03-26",36.369999,36.490002,36.040001,36.330002,6074000,28.785259
"2010-03-29",36.494999,36.959999,36.384998,36.790001,5858600,29.149738
"2010-03-30",36.904999,37.125,36.639999,36.805,5387200,29.161627
"2010-03-31",36.68,36.805,36.27,36.650002,5456200,29.038807
"2010-04-01",36.825001,37.115002,36.52,36.825001,5187200,29.177467
"2010-04-05",36.884998,37.130001,36.580002,36.904999,6698600,29.240854
"2010-04-06",36.669998,36.924999,36.650002,36.82,5598000,29.173515
"2010-04-07",36.759998,36.994999,36.134998,36.84,9185600,29.189356
"2010-04-08",36.669998,37.849998,36.615002,37.775002,9898800,29.930172
"2010-04-09",37.875,37.990002,37.584999,37.875,5306800,30.009409
"2010-04-12",37.904999,37.939999,37.264999,37.689999,4623600,29.862823
"2010-04-13",37.57,38.23,37.435001,38.099998,7584800,30.187677
"2010-04-14",38.310001,38.775002,38.145,38.529999,10891600,30.528393
"2010-04-15",38.540001,38.799999,38.41,38.555,5478000,30.548197
"2010-04-16",38.490002,38.575001,37.195,37.974998,8585400,30.088644
"2010-04-19",37.875,37.955002,37.375,37.695,6160000,29.866789
"2010-04-20",37.994999,38.485001,37.93,38.355,6726800,30.389727
"2010-04-21",38.365002,38.669998,38.16,38.514999,5165800,30.5165
"2010-04-22",38.044998,39.014999,37.884998,38.125,11856000,30.207499
"2010-04-23",38.360001,38.619999,38.209999,38.549999,11161000,30.544226
"2010-04-26",38.52,38.580002,38.18,38.555,8693800,30.548197
"2010-04-27",38.424999,38.790001,37.974998,38.035,11815200,30.136177
"2010-04-28",38.16,38.395,37.755001,37.970001,7340600,30.084677
"2010-04-29",38.435001,39.044998,38.185001,38.825001,7101000,30.762119
"2010-04-30",38.935001,39.305,37.75,37.830002,7853800,29.973759
"2010-05-03",37.950001,38.779999,37.950001,38.665001,5751200,30.635351
"2010-05-04",38.220001,38.220001,37.165001,37.529999,6551800,29.736059
"2010-05-05",37.025002,37.790001,36.855,37.145,6630600,29.431007
"2010-05-06",36.889999,37.255001,33.805,36.099998,12620600,28.603025
"2010-05-07",35.974998,36.470001,34.889999,35.535,12650400,28.155361
"2010-05-10",36.599998,37.650002,36.599998,37.470001,11896800,29.688511
"2010-05-11",37.009998,37.865002,37.009998,37.395,7677000,29.629084
"2010-05-12",37.66,38.514999,37.48,38.360001,6613800,30.393682
"2010-05-13",38.334999,38.395,37.810001,37.915001,4599200,30.041105
"2010-05-14",37.505001,37.610001,36.77,37.09,6757800,29.387442
"2010-05-17",37.279999,37.529999,36.18,37.150002,7886800,29.43498
"2010-05-18",37.16,37.5,36.235001,36.470001,9111000,28.896191
"2010-05-19",36.27,36.785,35.110001,35.790001,11207000,28.357418
"2010-05-20",34.959999,35.134998,33.880001,33.970001,12336400,26.915375
"2010-05-21",32.994999,35.165001,32.994999,34.875,13581200,27.632427
"2010-05-24",34.709999,35.330002,34.535,34.665001,7761200,27.466043
"2010-05-25",33.584999,34.294998,33.584999,34.285,12116200,27.164953
"2010-05-26",34.605,35.665001,34.334999,35.060001,10853800,27.913347
"2010-05-27",35.099998,35.775002,35.099998,35.775002,10151000,28.482595
"2010-05-28",35.724998,36.064999,35.279999,35.715,8105800,28.434828
"2010-06-01",35.279999,36.205002,35.134998,35.154999,16846600,27.988976
"2010-06-02",35.169998,36.334999,35.165001,36.290001,9314800,28.892622
"2010-06-03",36.485001,37.080002,36.25,36.610001,7911400,29.147396
"2010-06-04",35.915001,35.919998,34.5,34.665001,12099200,27.598862
"2010-06-07",34.970001,34.970001,33.990002,34.049999,7611400,27.109222
"2010-06-08",34.18,34.724998,33.990002,34.665001,10166400,27.598862
"2010-06-09",34.959999,35.970001,34.549999,34.689999,9317600,27.618765
"2010-06-10",35.27,36.400002,35.27,36.345001,7085800,28.936407
"2010-06-11",36.035,36.84,35.810001,36.775002,5474600,29.278757
"2010-06-14",37.150002,37.25,36.294998,36.369999,6701600,28.956316
"2010-06-15",36.775002,37.610001,36.634998,37.575001,6142400,29.915693
"2010-06-16",37.305,38.244999,37.305,37.560001,10246600,29.903736
