"dates","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2010-01-04",58.18,58.82,57.98,58.18,3897200,41.502247
"2010-01-05",58.25,59,58.119999,58.279999,5966300,41.573574
"2010-01-06",58.209999,58.27,57.810001,57.849998,5770200,41.266846
"2010-01-07",57.959999,57.959999,57.189999,57.41,5747000,40.952969
"2010-01-08",59.77,61.130001,59.52,60.169998,13779300,42.921795
"2010-01-11",60.549999,63.380001,60.5,62.82,13744900,44.812153
"2010-01-12",62.52,62.939999,62.099998,62.400002,5662500,44.51255
"2010-01-13",63.130001,63.220001,61.93,62.07,5822600,44.277138
"2010-01-14",61.860001,62.360001,61.830002,62.200001,4698000,44.369881
"2010-01-15",62.200001,62.400002,61.720001,61.93,6066300,44.177273
"2010-01-19",62.009998,62.779999,62,62.25,3525000,44.40556
"2010-01-20",62.16,62.209999,60.669998,61.16,5261100,43.62801
"2010-01-21",61.07,61.32,59.529999,59.700001,6344200,42.58651
"2010-01-22",59.490002,59.549999,58.599998,58.75,5623300,41.908852
"2010-01-25",59.110001,59.52,58.259998,58.75,3520500,41.908852
"2010-01-26",58.490002,59.200001,57.889999,58.639999,3285800,41.830387
"2010-01-27",58.650002,59.5,58.119999,59.34,5247300,42.329731
"2010-01-28",59.509998,59.650002,58.060001,58.959999,5711600,42.058666
"2010-01-29",59.130001,59.790001,57.709999,57.77,6565200,41.20977
"2010-02-01",57.950001,58.529999,57.450001,58.389999,6331100,41.652046
"2010-02-02",59.740002,59.950001,58.299999,58.619999,7843800,41.816124
"2010-02-03",58.73,59.299999,58.25,58.869999,4745400,41.994453
"2010-02-04",58.43,58.630001,57.240002,57.290001,7259900,40.867374
"2010-02-05",57.18,57.73,56.23,57.200001,5799400,40.803165
"2010-02-08",57.169998,57.400002,56.490002,56.619999,3485100,40.389435
"2010-02-09",57.349998,58.18,56.900002,57.41,5253000,40.952969
"2010-02-10",57.450001,57.450001,56.57,57.07,4704000,40.71043
"2010-02-11",56.810001,57.150002,56.360001,56.720001,6647300,40.796757
"2010-02-12",56.259998,56.419998,55.77,56.150002,6148400,40.386768
"2010-02-16",56.939999,57.490002,56.470001,57.330002,5065200,41.235512
"2010-02-17",57.509998,57.599998,57.139999,57.509998,4489000,41.364971
"2010-02-18",57.310001,57.610001,56.93,57.169998,4332500,41.12043
"2010-02-19",56.950001,58.16,56.779999,57.810001,4886100,41.58075
"2010-02-22",58.07,58.220001,57.669998,57.950001,2916300,41.68145
"2010-02-23",57.950001,58.52,57.5,58.400002,5622400,42.005119
"2010-02-24",58.43,58.950001,58.259998,58.759998,4748300,42.26405
"2010-02-25",57.98,58.419998,57.450001,58.419998,4441400,42.019508
"2010-02-26",58.419998,58.950001,57.900002,58.740002,3895100,42.249691
"2010-03-01",58.799999,59.540001,58.73,58.849998,3944600,42.3288
"2010-03-02",59.18,59.59,59.009998,59.16,6304900,42.551762
"2010-03-03",59.939999,60,59.130001,59.18,6077200,42.566151
"2010-03-04",59.330002,59.68,58.91,59.200001,4370400,42.580528
"2010-03-05",59.560001,59.709999,59.220001,59.490002,5400400,42.789112
"2010-03-08",59.669998,59.889999,59.459999,59.799999,4076700,43.012089
"2010-03-09",59.68,60.43,59.43,60.290001,5471000,43.364532
"2010-03-10",60.23,61.029999,60.080002,60.73,6309500,43.680996
"2010-03-11",60.59,62.490002,60.450001,62.470001,10353600,44.932518
"2010-03-12",62.5,62.529999,62,62.32,5878800,44.82465
"2010-03-15",62.23,62.799999,62.02,62.700001,4937900,45.097961
"2010-03-16",62.759998,62.950001,62.299999,62.48,5827100,44.939713
"2010-03-17",62.5,63.220001,62.5,62.880001,5771400,45.227444
"2010-03-18",62.959999,64.489998,62.5,64.419998,7749200,46.335102
"2010-03-19",64.330002,64.940002,64.019997,64.330002,7976500,46.270359
"2010-03-22",64.010002,64.650002,63.849998,63.959999,3829600,46.004238
"2010-03-23",64.080002,64.709999,63.700001,64.620003,4073400,46.478951
"2010-03-24",64.540001,64.599998,63.540001,63.77,4127800,45.867565
"2010-03-25",64.040001,64.489998,63.540001,63.650002,4120000,45.781254
"2010-03-26",63.720001,64.269997,63.450001,63.669998,2906000,45.795647
"2010-03-29",63.799999,64.57,63.720001,64.129997,3226100,46.126511
"2010-03-30",64.300003,64.949997,64.160004,64.529999,3493100,46.414223
"2010-03-31",64.360001,64.599998,63.860001,64.410004,3177900,46.327911
"2010-04-01",64.709999,64.940002,63.709999,64.150002,3573900,46.140907
"2010-04-05",64.419998,64.620003,64.010002,64.18,3827300,46.162479
"2010-04-06",63.959999,64.449997,63.77,64.220001,3543000,46.191242
"2010-04-07",64.019997,64.099998,63.25,63.669998,4836600,45.795647
"2010-04-08",63.639999,64.389999,63.029999,64.269997,4319600,46.2272
"2010-04-09",64.279999,64.599998,63.990002,64.440002,2790700,46.34948
"2010-04-12",64.809998,64.989998,64.660004,64.760002,3687800,46.579639
"2010-04-13",64.389999,65.169998,64.239998,64.879997,4793600,46.665958
"2010-04-14",64.900002,65.519997,64.769997,65.449997,6098900,47.075943
"2010-04-15",68.5,69.739998,68.379997,68.889999,15257900,49.550209
"2010-04-16",68.900002,69.540001,68,68.209999,8515500,49.061111
"2010-04-19",68.110001,68.550003,67.730003,68.290001,5006500,49.118649
"2010-04-20",68.800003,69.059998,67.610001,68.059998,5222600,48.953239
"2010-04-21",68.25,68.870003,68.080002,68.120003,3890900,48.996387
"2010-04-22",67.93,68.360001,67.139999,68.260002,4666300,49.097076
"2010-04-23",68.440002,68.900002,67.75,68.860001,4269300,49.528637
"2010-04-26",68.959999,69.449997,68.470001,68.519997,6395400,49.284084
"2010-04-27",68.410004,68.470001,65.730003,66.220001,8133600,47.629787
"2010-04-28",66.93,68.379997,66.620003,68.309998,7691300,49.133045
"2010-04-29",68.699997,69.949997,68.550003,69.699997,5838400,50.132805
"2010-04-30",69.75,70.309998,68.959999,69.139999,7025900,49.730026
"2010-05-03",69.489998,70.889999,69.150002,70.699997,5424700,50.852093
