"dates","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume","USB.Adjusted"
"2010-01-04",22.57,22.91,22.530001,22.879999,12891700,17.339727
"2010-01-05",22.76,23.51,22.74,23.459999,14503500,17.779282
"2010-01-06",23.43,23.870001,23.32,23.709999,12293600,17.968744
"2010-01-07",23.639999,24.48,23.5,24.17,15241200,18.317364
"2010-01-08",23.969999,24.26,23.74,24.209999,9935000,18.347677
"2010-01-11",24.5,24.5,24.110001,24.32,8482600,18.431044
"2010-01-12",24.18,24.540001,24.040001,24.309999,13119300,18.423464
"2010-01-13",24.290001,24.889999,24.120001,24.709999,12736800,18.726604
"2010-01-14",24.6,25.41,24.530001,25.33,13383700,19.196478
"2010-01-15",25.219999,25.219999,24.459999,24.620001,13590500,18.6584
"2010-01-19",24.49,24.77,24.09,24.49,15470200,18.559872
"2010-01-20",24.799999,25.34,24.77,25.01,18602200,18.953959
"2010-01-21",25.219999,25.74,24.66,25.139999,24864100,19.052475
"2010-01-22",25.059999,26.84,24.57,24.67,20007400,18.696293
"2010-01-25",25.01,25.129999,24.42,24.809999,13692400,18.802387
"2010-01-26",24.389999,24.91,24.23,24.309999,15866800,18.423464
"2010-01-27",24.17,25.23,24.120001,25.120001,19763800,19.037331
"2010-01-28",25.23,25.370001,24.790001,24.99,17788000,18.938807
"2010-01-29",25.200001,25.459999,24.889999,25.08,18317200,19.00701
"2010-02-01",25.15,25.360001,24.9,25.18,12029500,19.082792
"2010-02-02",25.16,25.309999,24.75,24.870001,14793600,18.84786
"2010-02-03",24.76,24.85,24.219999,24.459999,12353800,18.537138
"2010-02-04",24.290001,24.4,23.620001,23.65,20550000,17.923269
"2010-02-05",23.83,24.25,23.280001,23.969999,22491200,18.165792
"2010-02-08",23.92,24.030001,23.41,23.49,15753400,17.802015
"2010-02-09",23.629999,23.860001,23.26,23.49,13742600,17.802015
"2010-02-10",23.469999,23.879999,23.27,23.610001,12219500,17.892967
"2010-02-11",23.67,23.700001,23.290001,23.49,8753400,17.802015
"2010-02-12",23.25,23.389999,22.98,23.26,16552700,17.627712
"2010-02-16",23.52,23.879999,23.219999,23.860001,11484600,18.082426
"2010-02-17",23.84,23.889999,23.48,23.73,21960400,17.983906
"2010-02-18",23.629999,24,23.530001,23.91,9075800,18.120319
"2010-02-19",23.83,24.25,23.809999,24.139999,11805100,18.29463
"2010-02-22",24.5,24.709999,24.26,24.549999,12844900,18.605349
"2010-02-23",24.43,24.629999,24.200001,24.27,13288900,18.393143
"2010-02-24",24.43,24.91,24.379999,24.780001,12020100,18.779655
"2010-02-25",24.15,24.780001,24,24.299999,12541000,18.415886
"2010-02-26",24.209999,24.709999,24.209999,24.610001,9446500,18.650824
"2010-03-01",24.620001,24.73,24.389999,24.51,6843500,18.575033
"2010-03-02",24.85,24.91,24.58,24.74,7907800,18.749346
"2010-03-03",24.690001,24.91,24.610001,24.65,8391800,18.681131
"2010-03-04",24.67,24.809999,24.549999,24.74,7836000,18.749346
"2010-03-05",24.860001,25.25,24.639999,25.200001,9443000,19.097954
"2010-03-08",25.15,25.309999,24.99,24.99,8185800,18.938807
"2010-03-09",24.799999,24.879999,24.52,24.67,13248300,18.696293
"2010-03-10",24.799999,25.200001,24.76,24.959999,11993900,18.916061
"2010-03-11",24.870001,25.52,24.82,25.469999,14610600,19.30257
"2010-03-12",25.690001,26,25.559999,25.67,14154500,19.454144
"2010-03-15",25.59,25.98,25.450001,25.9,8366100,19.628452
"2010-03-16",25.959999,26.139999,25.799999,26.120001,10743300,19.795181
"2010-03-17",26.030001,26.32,25.9,26.209999,11859900,19.863384
"2010-03-18",26.09,26.26,25.799999,25.99,8568200,19.696657
