"dates","VIAC.Open","VIAC.High","VIAC.Low","VIAC.Close","VIAC.Volume","VIAC.Adjusted"
"2010-01-04",14.21,14.4,13.98,14.25,6710900,12.108564
"2010-01-05",14.18,14.38,14.05,14.18,5441000,12.049084
"2010-01-06",14.01,14.24,13.67,13.73,14566200,11.666708
"2010-01-07",13.78,14.25,13.59,14,9000300,11.896133
"2010-01-08",13.99,14.45,13.88,14.15,6732900,12.023591
"2010-01-11",14.13,14.22,13.85,14.09,5991400,11.97261
"2010-01-12",13.89,13.93,13.39,13.56,8138900,11.522255
"2010-01-13",13.69,14.06,13.5,13.99,7031200,11.887638
"2010-01-14",13.94,14.06,13.75,13.78,6850300,11.709194
"2010-01-15",13.76,13.87,13.06,13.26,14344500,11.267334
"2010-01-19",13.27,13.57,13.16,13.43,6186200,11.41179
"2010-01-20",13.69,13.79,13.31,13.56,10145000,11.522255
"2010-01-21",13.58,13.92,13.18,13.2,10630600,11.216353
"2010-01-22",13.13,13.71,13.09,13.3,15336100,11.301328
"2010-01-25",13.55,13.55,13.13,13.32,6425300,11.318322
"2010-01-26",13.19,13.46,13.11,13.29,10398100,11.292828
"2010-01-27",13.23,13.46,12.91,13.3,7602300,11.301328
"2010-01-28",13.43,13.46,12.75,13.17,10561500,11.190863
"2010-01-29",13.27,13.41,12.85,12.93,9468900,10.986927
"2010-02-01",13,13.29,12.83,13.29,9059600,11.292828
"2010-02-02",13.3,13.38,12.91,13.15,19341800,11.173868
"2010-02-03",13.33,13.85,13.29,13.75,15527900,11.683706
"2010-02-04",13.37,13.57,12.96,13.05,16819400,11.088894
"2010-02-05",13.02,13.14,12.42,12.95,12835900,11.003925
"2010-02-08",12.95,12.99,12.48,12.72,13207000,10.808486
"2010-02-09",12.98,13.2,12.71,13.03,9556200,11.071903
"2010-02-10",13.01,13.05,12.33,12.67,8884700,10.766002
"2010-02-11",12.64,12.99,12.46,12.76,8540600,10.842476
"2010-02-12",12.85,12.98,12.72,12.91,9802400,10.969934
"2010-02-16",13.13,13.3,12.99,13.27,6136000,11.275836
"2010-02-17",13.38,13.64,13.34,13.52,8071600,11.488263
"2010-02-18",13.41,13.78,13.31,13.71,11409100,11.649714
"2010-02-19",13.12,14,13.09,13.83,21106800,11.751681
"2010-02-22",13.84,13.99,13.32,13.36,12625500,11.352307
"2010-02-23",13.35,13.45,12.96,13.02,10633700,11.063405
"2010-02-24",13.09,13.27,12.99,13.2,5700200,11.216353
"2010-02-25",12.87,13.19,12.62,13.14,12728400,11.165368
"2010-02-26",13.12,13.29,12.94,12.99,7146900,11.037913
"2010-03-01",13.07,13.59,13.01,13.43,6531400,11.41179
"2010-03-02",13.56,13.64,13.43,13.5,6642900,11.471272
"2010-03-03",13.54,13.94,13.41,13.88,12249900,11.794168
"2010-03-04",13.97,14.25,13.86,14.22,16687100,12.083075
"2010-03-05",14.27,14.71,14.25,14.65,14665100,12.448453
"2010-03-08",14.73,14.85,14.53,14.71,8871800,12.499438
"2010-03-09",14.61,14.62,14.29,14.44,7036400,12.31186
"2010-03-10",14.45,14.75,14.39,14.75,8161300,12.576172
"2010-03-11",14.63,14.8,14.4,14.8,6584300,12.618805
"2010-03-12",14.79,14.85,14.42,14.6,6646700,12.448279
"2010-03-15",14.52,14.54,14.22,14.44,6831400,12.31186
"2010-03-16",14.44,14.78,14.31,14.78,10303100,12.601751
"2010-03-17",14.83,14.95,14.46,14.5,8074800,12.363021
"2010-03-18",14.51,14.66,14.24,14.37,5526800,12.252176
"2010-03-19",13.98,14.63,13.98,13.98,9926200,11.919657
"2010-03-22",13.96,14.14,13.7,14.07,5845700,11.996392
"2010-03-23",14.14,14.28,14.06,14.26,6684500,12.158387
"2010-03-24",14.13,14.43,14.03,14.24,8418900,12.141337
"2010-03-25",14.42,14.44,13.85,13.87,10887900,11.825868
"2010-03-26",14.05,14.09,13.8,13.93,7965300,11.877026
"2010-03-29",14.01,14.17,13.96,14.14,7386800,12.056073
"2010-03-30",14.19,14.24,14,14.15,6439100,12.064598
"2010-03-31",14.02,14.2,13.9,13.94,6581400,11.885548
"2010-04-01",14.13,14.19,13.91,14.17,8667900,12.081654
"2010-04-05",14.18,14.71,14.1,14.64,12290300,12.482387
"2010-04-06",14.59,14.94,14.36,14.59,11180300,12.439752
"2010-04-07",14.52,14.68,14.35,14.47,7250200,12.337439
"2010-04-08",14.35,15.18,14.25,15,15517300,12.789332
"2010-04-09",14.99,15.31,14.94,15.18,8839000,12.942801
"2010-04-12",15.2,15.32,15.05,15.2,7592100,12.959853
"2010-04-13",15.18,15.55,15.03,15.5,7592100,13.21564
"2010-04-14",15.6,15.68,15.37,15.59,11249200,13.292379
"2010-04-15",15.53,15.94,15.44,15.91,8552600,13.565215
"2010-04-16",15.79,16.1,15.49,15.51,11259200,13.224169
"2010-04-19",15.46,15.64,15.23,15.5,8008900,13.21564
"2010-04-20",15.64,16.15,15.64,15.95,6580600,13.599323
"2010-04-21",15.86,16.110001,15.75,16.1,6679800,13.727212
"2010-04-22",15.93,16.5,15.73,16.43,8765900,14.008581
"2010-04-23",16.459999,16.530001,16.25,16.48,5981600,14.05121
"2010-04-26",16.48,16.639999,16.24,16.32,4453100,13.914791
"2010-04-27",16.129999,16.25,15.67,15.85,10482000,13.514058
"2010-04-28",16.209999,16.309999,15.91,16.08,10485900,13.710159
"2010-04-29",16.280001,16.73,16.27,16.459999,7775700,14.034156
"2010-04-30",16.49,16.610001,16.139999,16.209999,9630200,13.821002
"2010-05-03",16.32,16.98,16.32,16.709999,11561300,14.24731
"2010-05-04",16.41,16.42,15.84,16.200001,16238700,13.812479
"2010-05-05",15.72,16.120001,15.2,15.58,20493300,13.283848
"2010-05-06",15.21,15.5,13.75,14.96,29521700,12.755223
"2010-05-07",14.98,15,13.85,14.21,27277300,12.115759
"2010-05-10",15.05,15.52,14.54,15.34,13641500,13.079221
"2010-05-11",14.99,15.5,14.99,15.09,12360700,12.866066
"2010-05-12",15.18,15.57,14.99,15.43,10663300,13.155957
"2010-05-13",15.33,15.52,14.94,15,10602400,12.789332
"2010-05-14",14.75,14.91,14.48,14.67,10016700,12.507967
"2010-05-17",14.74,15.36,14.58,15.25,16496700,13.002484
"2010-05-18",15.41,15.5,14.84,14.91,12462100,12.712594
"2010-05-19",14.75,15.1,14.41,14.91,13194100,12.712594
"2010-05-20",14.28,14.55,13.84,13.88,15329300,11.834391
"2010-05-21",13.54,14.32,13.46,14.32,15869800,12.209545
"2010-05-24",14.26,14.64,13.92,13.96,19601200,11.902598
"2010-05-25",13.35,13.94,13.17,13.89,17879500,11.842916
"2010-05-26",14.1,14.56,13.94,14.16,13468700,12.073131
"2010-05-27",14.58,14.87,14.46,14.85,11554000,12.661436
"2010-05-28",14.89,14.94,14.47,14.56,8752500,12.414177
"2010-06-01",14.29,14.72,14.07,14.08,10496200,12.004916
"2010-06-02",14.18,14.63,14.13,14.63,7612100,12.47386
"2010-06-03",14.74,14.89,14.59,14.76,10217000,12.584699
"2010-06-04",14.29,14.6,13.8,13.93,15407500,11.877026
"2010-06-07",14.01,14.23,13.39,13.41,11087800,11.433659
"2010-06-08",13.38,13.6,13.1,13.31,12724600,11.390871
"2010-06-09",13.49,14.27,13.37,13.65,18731900,11.681846
"2010-06-10",14,14.48,13.94,14.4,9523700,12.323706
"2010-06-11",14.16,14.6,14.13,14.41,8761800,12.332265
"2010-06-14",14.67,15.19,14.6,14.63,9703200,12.520543
"2010-06-15",14.89,15.4,14.76,15.37,8334800,13.153845
"2010-06-16",15.14,15.25,14.95,15.16,10247800,12.974125
"2010-06-17",15.23,15.29,14.85,15.12,5350800,12.939891
"2010-06-18",15.19,15.25,14.87,14.93,7612500,12.777287
"2010-06-21",15.27,15.29,14.71,14.78,6078200,12.648913
"2010-06-22",14.8,14.99,14.31,14.37,7000200,12.298029
"2010-06-23",14.43,14.73,14.16,14.47,10184400,12.383612
"2010-06-24",14.33,14.37,13.65,13.77,11163600,11.784546
"2010-06-25",13.81,14.16,13.6,14.13,13572200,12.092637
"2010-06-28",14.06,14.47,14.04,14.32,8919400,12.25524
"2010-06-29",13.96,14.06,13.1,13.25,18555800,11.33952
"2010-06-30",13.15,13.44,12.86,12.93,11447000,11.06566
"2010-07-01",12.89,13.01,12.26,12.85,19249300,10.997197
"2010-07-02",12.96,13.09,12.58,12.82,10420900,10.97152
"2010-07-06",13.08,13.44,12.75,12.92,8744900,11.0571
"2010-07-07",13.02,13.4,12.88,13.33,9923400,11.407986
"2010-07-08",13.53,14.06,13.43,13.95,12154100,11.93859
"2010-07-09",13.97,14.09,13.77,14.04,5223800,12.015614
"2010-07-12",13.89,14.2,13.77,14.09,7238300,12.058404
"2010-07-13",14.26,14.7,14.24,14.6,7538300,12.494869
"2010-07-14",14.5,14.6,14.18,14.32,8609000,12.25524
"2010-07-15",14.27,14.46,14.13,14.39,4486400,12.31515
"2010-07-16",14.24,14.31,13.45,13.53,11279900,11.579148
"2010-07-19",13.6,13.93,13.41,13.86,8005900,11.861567
"2010-07-20",13.57,13.88,13.39,13.87,12346600,11.870125
"2010-07-21",13.96,14.08,13.63,13.74,10689500,11.758869
"2010-07-22",14.02,14.42,13.96,14.2,9160200,12.152539
"2010-07-23",14.19,14.77,14.13,14.62,11346100,12.511988
"2010-07-26",14.64,15.03,14.53,15,9530200,12.837195
"2010-07-27",15.18,15.28,14.73,14.88,7765000,12.734494
"2010-07-28",14.79,14.84,14.49,14.62,6162200,12.511988
"2010-07-29",14.83,15.12,14.33,14.68,7816000,12.563336
"2010-07-30",14.36,14.87,14.14,14.78,7216800,12.648913
"2010-08-02",14.98,15.49,14.98,15.3,11057800,13.09394
"2010-08-03",15.24,15.29,14.71,15.01,14300000,12.845754
"2010-08-04",15.53,15.68,15.27,15.64,20855400,13.384913
"2010-08-05",15.49,15.76,15.44,15.53,8179200,13.290775
"2010-08-06",15.27,15.48,15.02,15.36,8412800,13.145286
"2010-08-09",15.49,15.62,15.33,15.55,5709300,13.307891
"2010-08-10",15.26,15.61,15.2,15.42,10479900,13.196638
"2010-08-11",15.01,15.02,14.38,14.47,9232700,12.383612
"2010-08-12",14.19,14.32,14.07,14.17,11285800,12.126868
"2010-08-13",14.08,14.18,13.88,13.95,11345200,11.93859
"2010-08-16",13.81,14.15,13.69,14.13,7032000,12.092637
"2010-08-17",14.3,14.53,14.14,14.14,8641000,12.101193
"2010-08-18",14.16,14.39,13.93,14.2,13153900,12.152539
"2010-08-19",14.1,14.19,13.64,13.76,8582100,11.775987
"2010-08-20",13.59,13.69,13.33,13.61,7218700,11.647612
"2010-08-23",13.57,13.76,13.25,13.42,10823500,11.485009
"2010-08-24",13.12,13.4,13.04,13.25,10989900,11.33952
"2010-08-25",13.06,13.63,13.01,13.57,12487200,11.613382
"2010-08-26",13.63,13.83,13.42,13.43,9473300,11.493566
"2010-08-27",13.59,14,13.16,13.92,12934000,11.912915
"2010-08-30",13.87,14.06,13.66,13.68,7595700,11.70752
"2010-08-31",13.56,13.89,13.46,13.82,11298400,11.82733
"2010-09-01",14.06,14.83,14.06,14.59,13036000,12.48631
"2010-09-02",14.64,15.02,14.64,14.95,6770000,12.794403
"2010-09-03",15.22,15.39,15.03,15.23,7103300,13.034032
"2010-09-07",15.08,15.17,14.65,14.74,9449600,12.614681
"2010-09-08",14.68,15.01,14.66,14.91,8620100,12.803603
"2010-09-09",15.12,15.27,15.03,15.05,7208900,12.923823
"2010-09-10",15.09,15.59,15.03,15.5,9194600,13.310249
"2010-09-13",15.69,15.86,15.47,15.73,8176400,13.507757
"2010-09-14",15.7,15.85,15.41,15.72,6347300,13.49917
"2010-09-15",15.55,15.6,15.26,15.59,9859700,13.387539
"2010-09-16",15.46,15.51,14.86,15.24,22931700,13.086982
"2010-09-17",15.26,15.39,14.81,15.12,15328000,12.983934
"2010-09-20",15.17,15.77,15.09,15.71,6990600,13.490582
"2010-09-21",15.76,15.78,15.39,15.61,9604600,13.404711
"2010-09-22",15.54,15.66,15.14,15.25,13413000,13.095571
"2010-09-23",15.03,15.77,14.96,15.41,10455400,13.232966
"2010-09-24",15.64,16.200001,15.61,16.17,11342400,13.885597
"2010-09-27",16.129999,16.129999,15.77,15.9,9029800,13.653742
