"dates","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"2010-01-04",53.41,53.41,52.169998,52.73,1128000,47.632065
"2010-01-05",52.849998,52.93,52,52.93,830300,47.812737
"2010-01-06",52.990002,54.360001,52.990002,53.849998,1082900,48.643803
"2010-01-07",54.040001,54.040001,52.689999,53.169998,1126900,48.029533
"2010-01-08",53.110001,53.349998,52.290001,52.650002,702000,47.559803
"2010-01-11",53.09,53.119999,51.700001,52.18,973600,47.135242
"2010-01-12",51.709999,52.419998,51.59,52.080002,894800,47.044907
"2010-01-13",52.169998,52.810001,51.610001,52.790001,680100,47.686264
"2010-01-14",52.669998,52.869999,52.07,52.650002,482600,47.559803
"2010-01-15",52.669998,52.810001,51,51.16,1117100,46.213856
"2010-01-19",51.150002,51.889999,50.700001,51.779999,718500,46.773914
"2010-01-20",51.25,51.259998,50.490002,50.959999,724400,46.033203
"2010-01-21",50.959999,50.959999,48.41,48.439999,1477100,43.756817
"2010-01-22",48.02,48.709999,46.959999,47.060001,1644600,42.510235
"2010-01-25",47.619999,47.700001,46.25,46.77,1594600,42.248283
"2010-01-26",46.5,47.529999,46.080002,46.939999,1020500,42.40184
"2010-01-27",46.59,46.59,45.150002,46.220001,1506100,41.751453
"2010-01-28",46.450001,46.450001,44.700001,45.169998,995700,40.802956
"2010-01-29",45.389999,45.880001,44.029999,44.189999,1654800,39.917706
"2010-02-01",44.540001,44.950001,44.110001,44.950001,858500,40.604237
"2010-02-02",45.27,46.040001,44.900002,45.84,931200,41.408203
"2010-02-03",45.759998,46.049999,44.84,45.119999,812400,40.757797
"2010-02-04",44.580002,44.889999,42.98,43.299999,1976200,39.113773
"2010-02-05",43.290001,43.810001,42.59,43.66,1577200,39.438957
"2010-02-08",43.740002,44.279999,43.25,43.5,1544500,39.294426
"2010-02-09",42.98,43.299999,41.799999,42.630001,3844900,38.508541
"2010-02-10",43.689999,43.709999,41.900002,42.830002,2004300,38.689186
"2010-02-11",42.799999,43.07,42.16,43.049999,1215500,38.887932
"2010-02-12",42.290001,42.990002,41.990002,42.939999,1457400,38.788567
"2010-02-16",43.209999,44.619999,43.02,44.48,1312600,40.179684
"2010-02-17",44.639999,45,43.970001,44.349998,1008500,40.062237
"2010-02-18",44.169998,44.599998,43.93,44.450001,620600,40.152592
"2010-02-19",44.220001,45.610001,44.040001,45.5,1372600,41.101074
"2010-02-22",45.709999,46.419998,45.380001,45.82,1215900,41.390133
"2010-02-23",45.900002,46.060001,44.810001,45.18,1340500,40.812
"2010-02-24",45.119999,45.209999,44.32,44.880001,697600,40.766582
"2010-02-25",44.360001,44.59,43.720001,44.549999,757400,40.466831
"2010-02-26",44.57,44.68,43.209999,43.41,1617500,39.43132
"2010-03-01",43.59,43.59,42.52,43.009998,1574300,39.067978
"2010-03-02",43.200001,43.540001,42.630001,42.68,1302700,38.768223
"2010-03-03",42.849998,44.040001,42.740002,43.889999,1242700,39.867321
"2010-03-04",43.880001,44.349998,43.34,43.77,1286500,39.758324
"2010-03-05",44.209999,45.139999,44.150002,45.09,867300,40.957344
"2010-03-08",45.119999,46.009998,44.889999,45.950001,984100,41.738503
"2010-03-09",45.810001,46.119999,45.189999,45.689999,1400200,41.502342
"2010-03-10",45.75,46.060001,45.25,45.41,948900,41.248001
"2010-03-11",45.049999,45.650002,44.720001,45.639999,685700,41.456921
"2010-03-12",45.93,46,45.07,45.259998,935200,41.111759
"2010-03-15",45.209999,45.59,44.900002,45.48,835800,41.311577
"2010-03-16",45.689999,46.619999,45.299999,46.490002,2481200,42.229031
"2010-03-17",46.84,50.400002,46.75,49.650002,4235700,45.099407
"2010-03-18",49.650002,49.650002,47.549999,48.389999,1943300,43.954876
"2010-03-19",48.57,48.849998,47.849998,48.57,1772000,44.118385
"2010-03-22",48.009998,50.299999,47.939999,49.549999,2105600,45.008572
"2010-03-23",49.700001,50.279999,49.130001,50.18,1488800,45.580811
"2010-03-24",49.900002,50.73,49.68,49.73,1451600,45.17205
"2010-03-25",50.130001,50.41,48.139999,48.259998,2447100,43.836796
"2010-03-26",48.360001,48.799999,47.130001,47.779999,1451200,43.400776
"2010-03-29",47.970001,48.43,47.869999,48.220001,819500,43.800468
"2010-03-30",48.299999,48.580002,47.279999,47.68,866100,43.309937
"2010-03-31",47.610001,47.939999,47.049999,47.240002,723000,42.910271
"2010-04-01",47.459999,49.27,47.459999,49.09,1512100,44.590725
"2010-04-05",49.119999,49.950001,48.91,49.419998,843600,44.890488
"2010-04-06",49.099998,49.459999,48.5,48.869999,1071300,44.390873
"2010-04-07",48.650002,48.939999,47.619999,47.93,1324000,43.537041
"2010-04-08",47.889999,48.32,47.200001,48.080002,941300,43.673294
"2010-04-09",48.110001,48.849998,47.759998,48.419998,879100,43.982143
"2010-04-12",48.290001,49.400002,48.25,49.279999,1140200,44.763309
"2010-04-13",49.330002,50.049999,49.310001,49.77,1405600,45.208405
"2010-04-14",49.939999,51.57,49.810001,51.450001,1915200,46.734417
"2010-04-15",51.279999,54.119999,50.98,53.279999,2851600,48.396702
"2010-04-16",53.259998,54.990002,51.689999,52.900002,1903400,48.051525
"2010-04-19",52.349998,52.939999,51.810001,52.91,1018600,48.060612
"2010-04-20",53.189999,54.119999,52.830002,53.84,1045800,48.905365
"2010-04-21",54.02,54.869999,53.669998,54.43,1367900,49.441284
"2010-04-22",53.990002,56,53.25,55.950001,1305800,50.821972
"2010-04-23",55.759998,57.299999,55.049999,57.27,1859300,52.020988
"2010-04-26",57.57,58.77,57.189999,57.84,1983000,52.538738
"2010-04-27",57.610001,57.68,55,55.360001,1995700,50.286049
"2010-04-28",55.599998,56.380001,54.919998,56.060001,1546700,50.921909
"2010-04-29",56.41,58.610001,56.23,58.240002,1750400,52.902092
"2010-04-30",58.34,59.330002,57,57.279999,1951500,52.030075
"2010-05-03",56.200001,59.900002,55.689999,58.889999,3965600,53.492508
"2010-05-04",57.040001,57.110001,54.75,55.5,3237300,50.413216
"2010-05-05",54.700001,55.73,52.93,54.02,2114400,49.068874
"2010-05-06",53.75,55.049999,48.720001,51.75,2158300,47.00692
"2010-05-07",51.650002,52.529999,49.75,51.080002,2271600,46.398346
"2010-05-10",51.959999,55.310001,51.389999,55.049999,2137400,50.004471
"2010-05-11",54.220001,55.759998,53.529999,54.509998,2070700,49.513954
"2010-05-12",54.810001,55.48,54.07,54.709999,2644300,49.695614
"2010-05-13",54.43,54.810001,53.73,53.880001,849000,48.941704
"2010-05-14",53.27,53.509998,52.279999,52.880001,1035400,48.033344
"2010-05-17",53.060001,53.759998,51.68,53.290001,1095200,48.405773
"2010-05-18",53.860001,54.43,52.25,52.439999,1521000,47.633671
"2010-05-19",52.139999,52.82,50.959999,51.939999,1640200,47.179504
"2010-05-20",50.34,50.549999,48.759998,48.889999,1869500,44.409054
"2010-05-21",47.650002,50.049999,47.650002,49.75,1755100,45.190231
"2010-05-24",49.380001,50.080002,49.169998,49.27,1017900,44.754227
"2010-05-25",47.959999,49.349998,47.419998,49.349998,1470000,44.8269
"2010-05-26",49.970001,51.07,49.48,49.900002,1530700,45.557274
"2010-05-27",51.360001,52,50.549999,51.950001,1108200,47.42886
"2010-05-28",52,52,50.41,50.48,1220200,46.086777
"2010-06-01",49.689999,51.18,49.66,49.790001,1230100,45.456844
"2010-06-02",50.209999,51.07,49.59,51.040001,1497600,46.598061
"2010-06-03",51.279999,51.619999,50.349998,51.43,1151600,46.954113
"2010-06-04",50.060001,50.25,47.799999,47.950001,1756000,43.776974
"2010-06-07",48.310001,48.310001,45.849998,45.860001,2996400,41.868866
"2010-06-08",46.07,46.689999,45.369999,46.130001,2737600,42.11536
"2010-06-09",46.48,46.939999,45.16,45.389999,1970900,41.439762
"2010-06-10",46.68,47.290001,46.290001,46.77,1522000,42.699669
"2010-06-11",46.32,47.099998,46.139999,47.009998,1037500,42.918785
"2010-06-14",47.43,47.98,46.77,46.900002,992500,42.818356
"2010-06-15",47.419998,47.939999,46.98,47.84,2475600,43.676544
"2010-06-16",47.310001,48.220001,47.009998,47.740002,1794600,43.585255
"2010-06-17",47.900002,47.990002,46.470001,47.32,864200,43.201801
"2010-06-18",47.380001,47.619999,47.060001,47.529999,1255700,43.39352
"2010-06-21",49.169998,49.709999,48.330002,48.720001,1954400,44.479961
"2010-06-22",48.68,48.970001,46.700001,46.84,1392200,42.763577
"2010-06-23",46.860001,47.540001,45.900002,47.009998,987000,42.918785
"2010-06-24",46.59,47.439999,45.98,46.119999,1433500,42.106228
"2010-06-25",46.689999,46.779999,45.400002,46.07,1245300,42.060585
"2010-06-28",46.049999,46.349998,45.59,45.77,843400,41.786694
"2010-06-29",44.939999,44.959999,43.599998,44.240002,1747600,40.389847
"2010-06-30",44.23,44.709999,43.73,43.830002,1019000,40.015537
"2010-07-01",43.860001,44,42.549999,43.66,1893400,39.860325
"2010-07-02",43.98,44.419998,43.18,43.380001,923200,39.60471
"2010-07-06",44.310001,44.740002,43.779999,44.310001,1423500,40.453758
"2010-07-07",44.189999,44.209999,43.330002,43.740002,2220900,39.933361
"2010-07-08",44.18,44.330002,43.259998,43.889999,1403100,40.070301
"2010-07-09",43.869999,44.509998,43.790001,44.470001,722500,40.599838
"2010-07-12",44.450001,44.5,43.419998,43.889999,665200,40.070301
"2010-07-13",44.470001,45.470001,44.41,45.240002,816600,41.302822
"2010-07-14",44.970001,45.080002,44.209999,45.07,824500,41.147614
"2010-07-15",45,45.060001,43.650002,44.470001,1021700,40.599838
"2010-07-16",44.09,44.16,42.970001,43.240002,1492900,39.476875
"2010-07-19",43.43,43.580002,42.560001,43.200001,1564800,39.440357
"2010-07-20",42.799999,44.810001,42.650002,44.799999,1082400,40.901123
"2010-07-21",45.439999,45.439999,43.860001,44.150002,903800,40.307682
"2010-07-22",44.799999,45.669998,44.799999,45.169998,896300,41.238907
"2010-07-23",44.869999,46.290001,44.869999,46.209999,682200,42.188404
"2010-07-26",46.09,47.419998,46.09,47.380001,709400,43.256592
"2010-07-27",48.040001,48.040001,46.700001,46.889999,966200,42.809227
"2010-07-28",46.75,46.799999,45.830002,46,850700,41.996681
"2010-07-29",46.02,46.169998,44.560001,45.02,1055100,41.101986
"2010-07-30",44.52,45.549999,44.150002,45.240002,1010300,41.302822
"2010-08-02",45.779999,47.23,45.779999,46.849998,1147300,42.772709
"2010-08-03",44.07,44.939999,42.400002,42.560001,4253400,38.856056
"2010-08-04",42.790001,43.25,40.869999,42.259998,2777500,38.582157
"2010-08-05",41.450001,41.970001,41.32,41.599998,2001700,37.979603
"2010-08-06",41.25,41.720001,41.009998,41.619999,1508800,37.997864
"2010-08-09",41.919998,41.919998,41.330002,41.599998,1088600,37.979603
"2010-08-10",41.25,41.279999,40.189999,40.599998,1812100,37.066639
"2010-08-11",40.02,40.259998,39.700001,39.740002,1631500,36.281479
"2010-08-12",39.310001,39.369999,38.43,38.689999,1993600,35.322853
"2010-08-13",38.599998,38.889999,38.32,38.32,1510800,34.985065
"2010-08-16",38.049999,38.299999,37.68,38.25,1669000,34.921146
"2010-08-17",38.73,39.080002,38.259998,38.610001,2656200,35.249825
