"dates","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2010-01-04",50.473907,50.953522,49.172092,49.503254,1048125,28.972733
"2010-01-05",49.389061,49.845837,48.79525,49.743065,1265036,29.113085
"2010-01-06",49.743065,50.051388,48.909443,49.18351,1734324,28.785595
"2010-01-07",49.035057,49.902935,48.60112,49.731644,2428141,29.106401
"2010-01-08",49.400478,49.617451,48.658215,49.18351,1450159,28.785595
"2010-01-11",49.274864,50.325455,49.274864,50.177002,1232548,29.36706
"2010-01-12",49.902935,50.211262,49.37764,49.857258,1431332,29.179924
"2010-01-13",50.222679,51.410301,50.005711,51.284687,1618118,30.015347
"2010-01-14",51.147652,51.798561,50.645199,51.113396,1120896,29.915106
"2010-01-15",51.033459,51.284687,50.770813,51.01062,1102419,29.85495
"2010-01-19",51.193333,51.901337,50.964943,51.764301,1362414,30.296055
"2010-01-20",51.43314,51.547333,50.462486,50.885006,1386408,29.781435
"2010-01-21",51.01062,51.216171,49.651707,49.743065,1602093,29.113085
"2010-01-22",49.594608,50.268356,48.681053,48.818089,1754377,28.571733
"2010-01-25",49.046478,49.21777,48.018726,48.692474,1874874,28.498209
"2010-01-26",48.315632,49.274864,47.961632,48.475506,1367668,28.371225
"2010-01-27",48.304214,49.229187,47.801758,49.194931,1552178,28.79228
"2010-01-28",49.366222,49.548931,48.155762,48.76099,1313287,28.538315
"2010-01-29",49.137833,49.457577,47.824596,48.190018,1729508,28.204136
"2010-02-01",48.441246,48.852348,48.132923,48.82951,1075710,28.578403
"2010-02-02",48.783829,49.651707,48.201439,49.560352,1340084,29.006153
"2010-02-03",49.252026,49.320545,48.681053,48.783829,1061173,28.551683
"2010-02-04",48.40699,48.475506,46.671234,46.762589,2275857,27.368711
"2010-02-05",46.831108,48.064407,46.31723,48.041569,2258255,28.117256
"2010-02-08",47.961632,48.327053,46.990978,47.059494,1332202,27.542475
"2010-02-09",47.504852,47.619049,46.57988,46.911041,1211443,27.455605
"2010-02-10",46.865364,47.619049,46.088844,47.265045,1084554,27.662771
"2010-02-11",47.128014,47.847435,46.73975,47.813179,1031662,27.98358
"2010-02-12",47.207947,47.915955,46.911041,47.824596,916332,27.990273
"2010-02-16",48.167179,49.491837,48.167179,49.446156,1243406,28.93932
"2010-02-17",49.60603,50.576683,49.537514,50.439648,1463557,29.520775
"2010-02-18",49.994289,51.4674,49.994289,51.341785,1650169,30.048765
"2010-02-19",51.969852,51.969852,51.124813,51.490234,1481071,30.135651
"2010-02-22",51.604431,51.8214,51.284687,51.421719,1199884,30.095552
"2010-02-23",51.376041,51.501656,50.896427,51.067719,1440614,29.888363
"2010-02-24",51.455978,51.570171,51.01062,51.273266,1459179,30.008665
"2010-02-25",50.656616,50.896427,50.268356,50.759392,1874436,29.707912
"2010-02-26",50.747974,51.044876,50.371132,50.462486,1456902,29.534142
"2010-03-01",50.725136,50.953522,50.382549,50.805069,1303742,29.734646
