"dates","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2010-01-04",20.674999,20.969999,20.615,20.860001,510600,19.974558
"2010-01-05",20.77,20.93,20.68,20.865,587600,19.979349
"2010-01-06",20.85,21.27,20.775,20.995001,1176400,20.103828
"2010-01-07",21.004999,21.120001,20.790001,21.014999,822000,20.122978
"2010-01-08",20.959999,21.475,20.959999,21.355,374400,20.448544
"2010-01-11",21.51,21.66,21.040001,21.15,766800,20.252251
"2010-01-12",21.035,21.165001,20.834999,20.975,365600,20.084677
"2010-01-13",21.07,21.174999,20.764999,21.16,627600,20.261826
"2010-01-14",21.02,21.23,20.790001,20.834999,692000,19.950615
"2010-01-15",20.855,20.879999,20.205,20.370001,606000,19.505362
"2010-01-19",20.355,20.41,20.02,20.365,791600,19.500566
"2010-01-20",20.205,20.295,19.84,20.145,791200,19.289911
"2010-01-21",20.145,20.385,19.799999,19.92,1102400,19.074455
"2010-01-22",19.945,20.040001,19.674999,19.75,1172200,18.911674
"2010-01-25",20,20,19.57,19.620001,563400,18.787199
"2010-01-26",19.5,19.684999,19.34,19.385,857600,18.562172
"2010-01-27",19.365,19.459999,19.045,19.385,695400,18.562172
"2010-01-28",19.4,19.465,18.875,18.9,569200,18.097754
"2010-01-29",18.809999,19.540001,18.809999,19.165001,1856600,18.351505
"2010-02-01",19.25,19.51,19.15,19.23,742800,18.413742
"2010-02-02",19.174999,19.540001,19.135,19.315001,529600,18.495142
"2010-02-03",19.16,19.264999,18.879999,19.014999,713600,18.207872
"2010-02-04",18.85,18.879999,18.360001,18.445,642200,17.662067
"2010-02-05",18.43,18.545,18.08,18.5,1089400,17.714735
"2010-02-08",18.540001,18.629999,18.275,18.51,650800,17.724304
"2010-02-09",18.82,18.934999,18.575001,18.65,511000,17.858362
"2010-02-10",18.559999,18.705,18.35,18.51,810400,17.729057
"2010-02-11",18.504999,18.975,18.42,18.855,1164000,18.059505
"2010-02-12",18.67,18.879999,18.405001,18.825001,756000,18.030769
"2010-02-16",19.055,19.17,18.855,19.035,573200,18.231909
"2010-02-17",19.030001,19.209999,18.995001,19.205,721600,18.394739
"2010-02-18",19.254999,19.645,19.110001,19.549999,516400,18.725183
"2010-02-19",19.52,19.77,19.5,19.615,347400,18.787443
"2010-02-22",19.645,19.754999,19.540001,19.68,422400,18.849703
"2010-02-23",19.02,19.625,18.844999,19.334999,822200,18.519257
"2010-02-24",19.32,19.445,18.66,18.870001,1204000,18.073875
"2010-02-25",18.705,19.115,18.485001,19.084999,693400,18.279797
"2010-02-26",19.075001,19.174999,18.91,19.07,533000,18.265434
"2010-03-01",19.125,19.629999,19.1,19.450001,727000,18.629402
"2010-03-02",19.5,19.629999,19.4,19.57,493800,18.744339
"2010-03-03",19.58,19.73,19.415001,19.67,768000,18.840128
"2010-03-04",19.75,19.940001,19.59,19.745001,393600,18.911949
"2010-03-05",19.85,20.115,19.790001,20.065001,702400,19.21846
"2010-03-08",20.01,20.195,19.985001,20.145,448600,19.29508
"2010-03-09",20.094999,20.565001,20.07,20.530001,1327400,19.663843
"2010-03-10",20.465,20.855,20.415001,20.805,811400,19.927233
"2010-03-11",20.74,20.98,20.610001,20.98,707800,20.094856
"2010-03-12",21.030001,21.309999,20.955,21.299999,657000,20.401352
"2010-03-15",21.205,21.424999,21.139999,21.385,509800,20.482769
"2010-03-16",21.48,21.719999,21.4,21.665001,549400,20.750952
"2010-03-17",21.764999,21.950001,21.67,21.84,341400,20.91856
"2010-03-18",21.315001,21.844999,21.315001,21.639999,1316000,20.727001
"2010-03-19",21.315001,21.719999,21.215,21.315001,701400,20.415714
"2010-03-22",21.200001,21.684999,21.135,21.57,560800,20.659958
"2010-03-23",21.645,22.094999,21.545,22.065001,550000,21.134077
"2010-03-24",21.98,22.065001,21.875,21.934999,743000,21.00956
"2010-03-25",22.075001,22.27,21.74,21.76,746600,20.841942
"2010-03-26",21.799999,21.934999,21.594999,21.700001,875200,20.784479
"2010-03-29",21.809999,21.875,21.639999,21.709999,581200,20.79405
"2010-03-30",21.764999,21.764999,21.344999,21.379999,1101400,20.47797
"2010-03-31",21.275,21.365,21.030001,21.059999,957600,20.171476
"2010-04-01",21.200001,21.375,21.139999,21.325001,318600,20.425295
"2010-04-05",21.475,21.860001,21.370001,21.855,308800,20.932936
"2010-04-06",21.799999,21.85,21.57,21.674999,945800,20.760534
"2010-04-07",21.07,21.07,20.555,20.74,1904200,19.864981
"2010-04-08",20.690001,21.145,20.615,21.1,952200,20.209799
"2010-04-09",21.17,21.344999,20.959999,21.299999,921000,20.401352
"2010-04-12",21.299999,21.530001,21.275,21.475,505000,20.568962
"2010-04-13",21.424999,21.715,21.370001,21.705,435400,20.789261
"2010-04-14",21.785,23.174999,21.785,23.115,1580000,22.139771
"2010-04-15",22.99,23.625,22.9,23.57,1042600,22.575584
"2010-04-16",23.415001,23.855,23.41,23.715,1647400,22.714464
"2010-04-19",23.655001,23.809999,23.49,23.785,1016200,22.781509
"2010-04-20",23.825001,24.110001,23.59,23.76,665400,22.757565
"2010-04-21",23.875,24.35,23.83,24.195,560800,23.174208
"2010-04-22",23.865,24.52,23.844999,24.465,516600,23.432819
"2010-04-23",24.450001,25.07,24.450001,25.07,753200,24.012295
"2010-04-26",24.969999,25.440001,24.969999,25.209999,707400,24.146389
"2010-04-27",25.139999,25.24,24.225,24.26,803800,23.236473
"2010-04-28",23.9,24.25,23.700001,23.834999,1243000,22.829399
"2010-04-29",23.950001,24.254999,23.855,24.23,1197000,23.207731
"2010-04-30",24.315001,24.775,23.745001,23.790001,813000,22.786306
"2010-05-03",23.969999,24.525,23.934999,24.389999,460200,23.360985
"2010-05-04",24.065001,24.084999,23.445,23.625,581400,22.628254
"2010-05-05",23.405001,23.665001,23.075001,23.200001,654200,22.221184
"2010-05-06",23.02,23.42,21.365,22.6,933200,21.646505
"2010-05-07",22.385,22.639999,21.76,22.049999,813800,21.119705
"2010-05-10",22.955,23.465,22.82,23.455,951000,22.465431
"2010-05-11",23.225,23.75,23.055,23.57,906800,22.575584
"2010-05-12",23.625,24.809999,23.58,24.74,1240600,23.696218
"2010-05-13",24.6,24.85,24.325001,24.42,1097200,23.394451
"2010-05-14",24.305,24.305,23.235001,23.455,702600,22.469971
"2010-05-17",23.5,23.815001,22.725,23.225,591000,22.249632
"2010-05-18",23.555,23.625,22.834999,22.85,426400,21.890383
"2010-05-19",22.795,22.965,21.83,22.309999,718600,21.373064
"2010-05-20",21.77,21.940001,21.245001,21.469999,1236400,20.568336
