"dates","WELL.Open","WELL.High","WELL.Low","WELL.Close","WELL.Volume","WELL.Adjusted"
"2010-01-04",44.509998,44.959999,43.93,44.040001,1426600,24.941145
"2010-01-05",44.279999,44.740002,43.869999,44.66,1173300,25.292263
"2010-01-06",44.75,44.950001,44.310001,44.439999,1061700,25.167671
"2010-01-07",44.5,44.860001,43.98,44.529999,1528800,25.218645
"2010-01-08",44.279999,44.549999,43.849998,44.07,1089700,24.958136
"2010-01-11",43.68,44.240002,43.619999,44.169998,1249600,25.014778
"2010-01-12",43.880001,44.380001,43.5,43.77,1261000,24.78824
"2010-01-13",43.990002,44.810001,43.919998,44.709999,1368900,25.320583
"2010-01-14",44.689999,44.689999,44.150002,44.380001,938400,25.133701
"2010-01-15",44.25,44.549999,44.169998,44.299999,1531800,25.088392
"2010-01-19",44.310001,45.599998,44.310001,45.43,1350500,25.728338
"2010-01-20",45.220001,45.369999,44.68,45.25,1324400,25.626408
"2010-01-21",45.290001,45.610001,44.080002,44.18,1607600,25.02043
"2010-01-22",44.169998,44.549999,43.099998,43.209999,1934700,24.471094
"2010-01-25",43.650002,43.650002,42.619999,43.32,1679300,24.533384
"2010-01-26",43.02,43.5,42.919998,43.09,1181800,24.403139
"2010-01-27",43.099998,43.459999,42.459999,43.419998,1442500,24.590015
"2010-01-28",43.610001,43.68,42.889999,43.290001,1826800,24.516401
"2010-01-29",43.349998,43.98,42.810001,43,1955300,24.352167
"2010-02-01",43.27,43.48,42.799999,43.060001,1595700,24.386141
"2010-02-02",43.119999,43.549999,42.59,43.360001,2214400,24.556044
"2010-02-03",43.290001,43.299999,42.240002,42.740002,1622400,24.204918
"2010-02-04",41.880001,42.080002,40.419998,40.419998,3131700,23.261124
"2010-02-05",40.360001,41.049999,39.82,41.02,2704200,23.606415
"2010-02-08",41,41.119999,40.189999,40.259998,1660400,23.169044
"2010-02-09",40.630001,40.779999,39.990002,40.32,1804200,23.203571
"2010-02-10",40.41,41.080002,39.939999,40.48,1158800,23.295654
"2010-02-11",40.470001,41.080002,40.189999,40.990002,1119200,23.589144
"2010-02-12",40.650002,40.810001,40.080002,40.759998,1491100,23.456783
"2010-02-16",41.009998,41.75,40.860001,41.709999,1526900,24.0035
"2010-02-17",41.790001,42.18,41.66,42.02,1039300,24.1819
"2010-02-18",41.939999,42.540001,41.540001,42.349998,1493800,24.371811
"2010-02-19",42.23,42.32,41.720001,41.860001,2148000,24.089821
"2010-02-22",42.099998,42.189999,41.68,42,1319600,24.170387
"2010-02-23",41.939999,42.049999,41.470001,41.540001,1622800,23.905668
"2010-02-24",41.689999,42.259998,41.450001,42.259998,1605000,24.320019
"2010-02-25",41.759998,42.669998,41.549999,42.630001,2602600,24.532946
"2010-02-26",42.700001,42.75,42.360001,42.360001,1855100,24.377565
"2010-03-01",42.529999,42.75,42.310001,42.700001,1369200,24.573227
"2010-03-02",42.790001,42.900002,42.330002,42.529999,1118900,24.475399
"2010-03-03",42.470001,42.540001,42.18,42.34,913300,24.366055
"2010-03-04",42.5,42.720001,42.240002,42.630001,916900,24.532946
"2010-03-05",42.889999,43.259998,42.59,43.16,1668300,24.837952
"2010-03-08",43.16,43.470001,43.02,43.400002,1000800,24.976072
"2010-03-09",43.23,43.849998,43.119999,43.630001,1294500,25.108438
"2010-03-10",43.52,44.07,43.310001,44.040001,1984500,25.344374
"2010-03-11",43.889999,44.48,43.75,44.48,1146300,25.597593
"2010-03-12",44.59,44.98,44.43,44.779999,1220300,25.770239
"2010-03-15",44.790001,45.049999,44.52,44.959999,1023500,25.873819
"2010-03-16",45.060001,46.060001,44.849998,45.98,2871200,26.460815
"2010-03-17",45.990002,46.360001,45.84,46.209999,1647100,26.59318
"2010-03-18",45.740002,46.049999,45.5,45.91,1328700,26.420538
"2010-03-19",45.75,46.220001,45.299999,45.75,1627800,26.328468
"2010-03-22",45.57,46.360001,45.41,46.259998,1062300,26.621954
"2010-03-23",46.380001,46.380001,45.799999,46.25,937800,26.616203
"2010-03-24",46.200001,46.689999,46.09,46.310001,1346600,26.650721
"2010-03-25",46.5,46.790001,46.25,46.27,1244700,26.627714
"2010-03-26",46.5,46.52,45.689999,45.880001,1269000,26.403271
"2010-03-29",46.099998,46.18,45.66,45.830002,917300,26.3745
"2010-03-30",45.880001,46.18,45.639999,45.709999,803200,26.305437
"2010-03-31",45.48,45.720001,45.189999,45.23,1020000,26.029207
"2010-04-01",45.400002,45.669998,44.68,45.09,1130000,25.948648
"2010-04-05",45.25,45.650002,45.119999,45.389999,866600,26.121288
"2010-04-06",45.23,45.91,45.099998,45.91,1481900,26.420538
"2010-04-07",45.720001,45.919998,45.049999,45.130001,1222100,25.971659
"2010-04-08",45.09,45.200001,44.799999,45.09,1320000,25.948648
"2010-04-09",45.259998,45.869999,45.099998,45.630001,1774200,26.259399
"2010-04-12",45.790001,45.970001,45.240002,45.299999,1555800,26.069489
"2010-04-13",45.25,46.290001,45.189999,46.150002,1082500,26.558651
"2010-04-14",46.439999,46.439999,45.700001,45.919998,1138300,26.426291
"2010-04-15",45.869999,45.880001,44.259998,44.259998,1789300,25.47098
"2010-04-16",44.200001,44.580002,43.240002,43.279999,2589900,24.907011
"2010-04-19",43.25,43.93,43.09,43.25,2687600,24.889738
"2010-04-20",43.52,43.849998,43.009998,43.849998,1381300,25.235041
"2010-04-21",43.84,44.790001,43.669998,44.400002,1098900,25.55155
"2010-04-22",44.099998,44.869999,44.02,44.759998,1062400,25.758728
"2010-04-23",44.68,45.349998,44.5,45.23,1334300,26.029207
"2010-04-26",45.240002,46.049999,45.150002,45.459999,1261100,26.161566
"2010-04-27",45.310001,45.540001,44.419998,44.450001,2088000,25.580334
"2010-04-28",44.880001,45.049999,44.380001,44.619999,1855100,25.678156
"2010-04-29",44.990002,45.849998,44.970001,45.779999,1500500,26.345718
"2010-04-30",45.639999,46.02,44.900002,44.93,1315500,25.856567
"2010-05-03",45.27,46.060001,45.240002,45.939999,1189100,26.437801
"2010-05-04",45.459999,45.639999,44.119999,44.389999,1876600,25.545809
"2010-05-05",43.77,44.27,43.27,43.529999,2225500,25.050877
"2010-05-06",42.130001,43.060001,38.419998,40.740002,3705800,23.817331
"2010-05-07",41.07,41.68,39.950001,40.549999,2522200,23.706263
"2010-05-10",42.389999,42.959999,41.779999,42.889999,2457800,25.074274
"2010-05-11",42.279999,43.23,42.16,42.91,1520000,25.08596
"2010-05-12",43.27,43.27,42.700001,43.040001,1383600,25.161961
"2010-05-13",43.099998,43.130001,42.400002,42.619999,1425100,24.916424
"2010-05-14",42.369999,42.389999,41.709999,42.009998,1879100,24.559797
"2010-05-17",42,42.599998,41.25,42.080002,2084200,24.600735
"2010-05-18",42.48,42.669998,41.27,41.419998,1997600,24.214872
"2010-05-19",41.200001,41.740002,40.439999,41.080002,1932600,24.016102
"2010-05-20",40.970001,41.299999,39.990002,40,3661200,23.384724
"2010-05-21",39.759998,41.57,39.5,41.509998,2912800,24.267494
"2010-05-24",42.369999,42.369999,41.5,41.509998,2512300,24.267494
"2010-05-25",40.82,42.73,40.5,42.619999,3345700,24.916424
"2010-05-26",43.099998,43.27,41.66,41.860001,2793100,24.472111
"2010-05-27",42.740002,43.639999,42.25,43.599998,1759100,25.489347
"2010-05-28",43.630001,43.889999,42.93,43.080002,1571800,25.185345
"2010-06-01",42.810001,43.220001,42.279999,42.360001,1768400,24.764421
"2010-06-02",42.549999,42.77,41.799999,42.77,2077800,25.004114
"2010-06-03",42.950001,43.040001,42.389999,42.57,1153600,24.887197
"2010-06-04",41.77,42.240002,41.049999,41.209999,2013800,24.092104
"2010-06-07",41.490002,41.98,41.130001,41.150002,1763500,24.05703
"2010-06-08",41.220001,42.240002,40.700001,42.150002,1905200,24.641653
"2010-06-09",42.52,43.150002,42.16,42.389999,2294100,24.781952
"2010-06-10",43.209999,43.889999,42.669998,43.82,1581400,25.61796
"2010-06-11",43.450001,44.040001,43.130001,44,1356500,25.723196
"2010-06-14",44.259998,44.490002,43.849998,44.220001,2007400,25.851809
"2010-06-15",44.330002,44.84,43.869999,44.82,2445300,26.202578
"2010-06-16",44.650002,44.77,44.049999,44.18,2059500,25.828419
"2010-06-17",44.369999,44.619999,44.119999,44.400002,1585800,25.957037
"2010-06-18",44.540001,44.560001,43.220001,43.330002,2988300,25.331499
"2010-06-21",43.759998,43.970001,42.919998,43.049999,1370600,25.167805
"2010-06-22",43.049999,43.18,42.009998,42.09,1936300,24.606573
"2010-06-23",42.240002,42.849998,41.830002,42.41,1631400,24.793648
"2010-06-24",42.119999,42.419998,41.66,41.799999,1855800,24.437027
"2010-06-25",42.040001,42.959999,41.830002,42.75,2653200,24.99243
"2010-06-28",42.970001,43.049999,42.439999,42.77,1507100,25.004114
"2010-06-29",42.32,42.75,42.040001,42.369999,3341100,24.77026
"2010-06-30",42.470001,43,42.009998,42.119999,1897700,24.624117
"2010-07-01",42.02,42.27,41.330002,41.98,2013200,24.542257
"2010-07-02",42.189999,42.279999,41.529999,41.759998,1660200,24.413651
"2010-07-06",42.259998,42.580002,40.849998,41.279999,1905500,24.13303
"2010-07-07",41.41,42.66,41.209999,42.610001,2113500,24.910572
"2010-07-08",43,43.099998,42.200001,42.849998,1603200,25.050879
"2010-07-09",42.849998,43.200001,42.630001,43.18,1570900,25.243814
"2010-07-12",43.049999,43.380001,42.860001,43.290001,1371100,25.308111
"2010-07-13",43.759998,44.200001,43.48,44.119999,1632200,25.793344
"2010-07-14",43.849998,44.299999,43.439999,43.900002,1814700,25.664738
"2010-07-15",43.939999,43.950001,43.200001,43.73,1536900,25.565342
"2010-07-16",43.389999,43.599998,42.689999,42.98,2935300,25.12689
"2010-07-19",43.23,44.029999,42.669998,43.799999,1950200,25.606266
"2010-07-20",43.279999,44.540001,43.049999,44.48,1729800,26.003805
"2010-07-21",45,45.060001,43.68,43.849998,2239300,25.635496
"2010-07-22",44.34,45.060001,44.18,44.810001,2351900,26.196739
"2010-07-23",44.610001,45.099998,44.110001,45.080002,2021000,26.354586
"2010-07-26",45.16,45.689999,44.73,45.630001,1671500,26.676117
"2010-07-27",46,46,44.939999,45.5,1505700,26.600121
"2010-07-28",45.279999,45.740002,45.16,45.490002,1361600,26.594273
"2010-07-29",45.75,45.810001,44.799999,45.130001,1137700,26.383816
"2010-07-30",44.779999,45.419998,44.700001,45.310001,1620900,26.48904
"2010-08-02",45.889999,46.66,45.630001,46.560001,1411800,27.219824
"2010-08-03",46.389999,46.490002,45.91,46.029999,1247500,26.90996
"2010-08-04",46.25,46.59,45.66,46.009998,1473500,26.898277
"2010-08-05",45.330002,45.720001,45.060001,45.5,1698200,27.00511
"2010-08-06",45.139999,45.59,44.799999,45.490002,1265000,26.999174
"2010-08-09",45.57,45.799999,45.380001,45.599998,1193900,27.064457
"2010-08-10",45.139999,46.060001,45.139999,45.580002,1330300,27.052584
"2010-08-11",45.099998,45.150002,44.48,44.709999,1573600,26.53623
"2010-08-12",44.09,45.130001,44.09,44.66,1581100,26.506557
"2010-08-13",44.650002,45.119999,44.630001,44.720001,1247300,26.542168
"2010-08-16",44.57,44.939999,44.240002,44.490002,1068700,26.405663
"2010-08-17",44.860001,45.5,44.630001,45.389999,1420900,26.939816
"2010-08-18",45.419998,45.57,45.110001,45.349998,1175500,26.91609
"2010-08-19",45.16,45.279999,44.639999,44.860001,2009200,26.625263
"2010-08-20",44.650002,45.139999,44.599998,45.080002,1024700,26.755836
"2010-08-23",45.200001,45.25,44.650002,44.669998,966600,26.512486
"2010-08-24",44.299999,45.16,44.200001,44.82,1385200,26.601513
"2010-08-25",44.66,45.41,44.43,45.23,1214300,26.844864
"2010-08-26",45.380001,45.529999,44.860001,44.869999,1442100,26.631191
"2010-08-27",45.16,45.720001,44.5,45.689999,1312600,27.117876
"2010-08-30",45.689999,45.939999,45.43,45.439999,1034500,26.969498
"2010-08-31",45.48,46.02,45.25,45.93,1694300,27.260324
"2010-09-01",46.330002,46.880001,45.919998,46.830002,2080600,27.794498
"2010-09-02",46.900002,47.330002,46.599998,47.310001,1534700,28.07938
"2010-09-03",47.639999,47.98,47.310001,47.75,1588300,28.340527
