"dates","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2010-01-04",81.379997,82.230003,80.5,81.949997,1010100,61.364025
"2010-01-05",81.919998,81.949997,80.559998,81.779999,1209300,61.236744
"2010-01-06",81.730003,82.440002,80.870003,81.059998,1335100,60.697594
"2010-01-07",81.730003,83.489998,81.059998,82.800003,1567300,62.000496
"2010-01-08",82.43,84.730003,82.43,84.559998,1357200,63.318371
"2010-01-11",84.82,85.169998,83.879997,84.019997,848100,62.91404
"2010-01-12",83.239998,83.239998,81.550003,82.349998,852600,61.663555
"2010-01-13",83.07,83.360001,82.029999,83.07,721300,62.202671
"2010-01-14",82.809998,84,82.75,83.169998,592500,62.277557
"2010-01-15",83.139999,83.849998,81.949997,82.300003,728600,61.62611
"2010-01-19",82,82.690002,81.339996,82.639999,703800,61.880695
"2010-01-20",82.25,82.25,80.019997,81.360001,981200,60.922237
"2010-01-21",81.25,81.589996,78.099998,78.830002,1368200,59.02776
"2010-01-22",78.169998,78.959999,75.940002,77.57,2366900,58.084309
"2010-01-25",79.339996,79.389999,76.029999,76.720001,1076100,57.447796
"2010-01-26",76.349998,77.449997,75.349998,76.099998,996300,56.983555
"2010-01-27",75.790001,76.370003,74.540001,75.879997,848700,56.818817
"2010-01-28",76.050003,76.879997,74.75,75.68,1024900,56.669056
"2010-01-29",76.120003,76.980003,74.870003,75.18,1282300,56.294651
"2010-02-01",75.629997,76.32,75.330002,76.059998,1160200,56.953609
"2010-02-02",78.860001,83.269997,78.849998,82.230003,5826000,61.573673
"2010-02-03",81.260002,82.57,80.580002,82.080002,2072800,61.461384
"2010-02-04",80.93,81.059998,78.379997,78.629997,2354100,58.878025
"2010-02-05",78.449997,79.099998,73.300003,76.120003,2661100,56.998531
"2010-02-08",76.190002,77.379997,74.25,75.610001,1987600,56.616619
"2010-02-09",76.800003,78.230003,75.18,77.879997,1725000,58.316399
"2010-02-10",77.949997,78.709999,76.379997,77.639999,1134600,58.136692
"2010-02-11",77.93,80.480003,77.389999,80.339996,1273100,60.158459
"2010-02-12",79.029999,81.25,79.029999,81.169998,1163000,60.779961
"2010-02-16",80.370003,82.389999,79.690002,82.309998,1473700,61.633595
"2010-02-17",82.199997,83.209999,82.029999,83.059998,975500,62.19519
"2010-02-18",82.889999,84.849998,82.029999,84.559998,1501500,63.318371
"2010-02-19",83.93,85.139999,83.93,84.669998,1175900,63.400757
"2010-02-22",84.900002,85.120003,84.129997,84.519997,1336600,63.288422
"2010-02-23",84.010002,84.529999,82.410004,82.919998,1211700,62.090366
"2010-02-24",83.019997,83.650002,81.849998,83.550003,1121100,62.888222
"2010-02-25",82.089996,83.790001,82.059998,83.610001,1205500,62.933372
