"dates","WLTW.Open","WLTW.High","WLTW.Low","WLTW.Close","WLTW.Volume","WLTW.Adjusted"
"2010-01-04",70.781456,70.91391,69.854301,70.91391,348017,55.177387
"2010-01-05",70.596024,71.576157,70.198677,70.754967,339523,55.053745
"2010-01-06",70.860924,72,70.278145,71.894043,585049,55.940041
"2010-01-07",72.132446,72.582779,71.311256,71.682121,328689,55.775135
"2010-01-08",71.4702,71.788078,71.311256,71.602646,279388,55.713306
"2010-01-11",71.708611,72.582779,71.44371,72.317879,254284,56.269806
"2010-01-12",71.708611,72.953644,71.44371,72.503311,417024,56.414104
"2010-01-13",72.503311,73.033112,72.238411,72.662254,193318,56.537766
"2010-01-14",72.423843,73.08609,72.2649,72.503311,272442,56.414104
"2010-01-15",72.317879,72.794701,71.549667,71.655632,226764,55.754532
"2010-01-19",71.4702,72.768211,71.364235,72.476822,118384,56.393494
"2010-01-20",72.344368,73.642387,72.2649,73.298012,294978,57.03244
"2010-01-21",73.642387,73.880798,72.582779,72.715233,183465,56.578987
"2010-01-22",71.894043,72.370857,71.417221,71.44371,344242,55.58963
"2010-01-25",71.814568,72.2649,71.205299,71.576157,672705,55.692692
"2010-01-26",71.231789,71.390732,70.278145,70.887421,608077,55.156803
"2010-01-27",70.62252,70.860924,69.192055,70.516556,502679,54.868217
"2010-01-28",70.62252,70.728477,69.324501,69.35099,313438,53.961308
"2010-01-29",69.37748,75.311256,69.059601,69.483444,354284,54.064373
"2010-02-01",69.748344,70.225166,69.615891,69.933777,294374,54.414772
"2010-02-02",69.721855,71.814568,69.721855,71.417221,564664,55.569019
"2010-02-03",71.311256,73.033112,71.125832,72.635765,485956,56.517155
"2010-02-04",71.920532,75.44371,71.761589,74.781456,732652,58.186703
"2010-02-05",74.463577,74.966888,73.933777,74.463577,819137,57.939369
"2010-02-08",74.569534,74.64901,73.589401,73.589401,368062,57.259167
"2010-02-09",73.907288,74.066223,73.456955,73.827812,253982,57.444675
"2010-02-10",74.119202,74.225166,73.403976,73.668877,150471,57.321003
"2010-02-11",73.324501,73.907288,73.245033,73.721855,250924,57.362236
"2010-02-12",73.271523,73.721855,73.271523,73.509933,173386,57.197338
"2010-02-16",73.536423,73.960266,73.08609,73.854301,243223,57.465282
"2010-02-17",74.410599,75.231789,74.251656,74.834435,337145,58.227909
"2010-02-18",74.437088,74.887421,74.251656,74.64901,154171,58.083622
"2010-02-19",74.437088,76.397354,74.437088,76.026489,341562,59.15543
"2010-02-22",76.317879,76.741722,76.211922,76.715233,215213,59.691349
"2010-02-23",76.503311,79.205299,76.397354,77.509933,641599,60.309696
"2010-02-24",77.403976,79.019867,77.298012,77.854301,389580,60.577641
"2010-02-25",77.192055,78.278145,77.059601,77.933777,470516,60.639469
"2010-02-26",78.066223,78.91391,77.933777,78.887421,354284,61.381519
"2010-03-01",78.860924,80.158943,78.701988,79.920532,345375,62.185375
"2010-03-02",80.185432,81.08609,79.390732,80.317879,287881,62.494556
"2010-03-03",80.715233,81.324501,79.841057,79.973511,323933,62.226585
"2010-03-04",80.158943,80.688744,79.761589,80.688744,265760,62.783096
"2010-03-05",80.715233,81.245033,80.158943,81.165565,243865,63.154095
"2010-03-08",81.403976,82.304634,80.874168,81.483444,415703,63.401447
"2010-03-09",81.218544,83.44371,81.218544,82.807945,390335,64.432022
"2010-03-10",82.781456,83.072845,82.357613,82.675499,206983,64.328979
"2010-03-11",82.781456,83.258278,81.986755,82.91391,261343,64.514465
"2010-03-12",82.781456,83.44371,82.675499,83.258278,165194,64.782433
"2010-03-15",82.993378,83.682121,82.384109,83.337746,210381,64.844261
"2010-03-16",83.17881,84.238411,83.152321,84.079468,133786,65.42141
"2010-03-17",84.2649,84.688744,84.026489,84.344368,235296,65.627495
"2010-03-18",84,84.768211,83.894043,84.317879,296451,65.606903
"2010-03-19",83.072845,84.052979,82.62252,83.072845,375650,64.638153
"2010-03-22",83.072845,83.920532,82.781456,83.7351,207210,65.153435
"2010-03-23",83.894043,84.768211,83.655632,84.55629,313514,65.792389
"2010-03-24",84.317879,84.582779,83.152321,83.523178,222687,64.988533
"2010-03-25",83.814568,84.768211,83.523178,84.450333,219743,65.709961
"2010-03-26",84.370857,85.139076,84.052979,84.344368,206039,65.627495
"2010-03-29",84.052979,84.715233,83.284767,84.688744,267836,66.437981
"2010-03-30",84.609268,85.033112,84.344368,84.344368,129218,66.167809
"2010-03-31",84,84.291389,82.754967,82.887421,291317,65.024879
"2010-04-01",83.099335,84.211922,82.331123,82.993378,375537,65.107979
"2010-04-05",82.860924,83.867554,82.781456,83.602646,182861,65.585938
"2010-04-06",83.655632,83.788078,82.64901,83.761589,188033,65.710625
"2010-04-07",83.708611,84.344368,83.258278,84.344368,260135,66.167809
"2010-04-08",83.867554,84.55629,83.7351,84.55629,185013,66.334076
"2010-04-09",84.768211,85.245033,84.344368,84.768211,183956,66.500336
"2010-04-12",84.953644,85.298012,83.894043,84.82119,194639,66.541901
"2010-04-13",85.298012,85.801323,84.662254,84.874168,203019,66.583427
"2010-04-14",85.37748,86.066223,84.980133,85.960266,171158,67.435509
