"dates","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"2010-01-04",34.009998,34.259998,33.869999,34.16,2058800,24.544338
"2010-01-05",34.220001,34.220001,33.779999,34.009998,2961700,24.43655
"2010-01-06",33.869999,34.150002,33.779999,34,1636700,24.429377
"2010-01-07",33.939999,34.119999,33.82,34.080002,1406700,24.486851
"2010-01-08",33.919998,34.330002,33.669998,34.240002,1451900,24.601824
"2010-01-11",34.360001,34.720001,34.279999,34.669998,1731700,24.910772
"2010-01-12",34.59,34.900002,34.299999,34.880001,2191900,25.061668
"2010-01-13",34.869999,35,34.66,34.799999,1952500,25.004183
"2010-01-14",34.709999,34.75,34.32,34.439999,2481700,24.745512
"2010-01-15",34.360001,34.389999,33.150002,33.25,4103700,23.890491
"2010-01-19",33.259998,33.93,33.18,33.919998,3002200,24.371895
"2010-01-20",33.650002,33.75,33.02,33.720001,3236500,24.228193
"2010-01-21",33.700001,33.990002,33.029999,33.099998,3303900,23.782707
"2010-01-22",33.130001,33.580002,32.830002,32.860001,2825300,23.610266
"2010-01-25",33.110001,33.110001,32.599998,32.639999,1669700,23.452194
"2010-01-26",32.529999,32.91,32.259998,32.560001,1752700,23.394716
"2010-01-27",32.509998,32.740002,32.139999,32.580002,1873700,23.409092
"2010-01-28",32.73,32.73,31.83,32.110001,2761400,23.071388
"2010-01-29",32.34,32.52,31.950001,32.049999,2373700,23.028276
"2010-02-01",32.200001,32.459999,31.83,32.18,1834100,23.121687
"2010-02-02",32.18,32.619999,32.139999,32.509998,1881100,23.358789
"2010-02-03",32.43,32.57,32.209999,32.470001,1071200,23.330057
"2010-02-04",32.279999,32.439999,31.73,31.809999,2477600,22.855835
"2010-02-05",31.74,32.119999,31.370001,31.82,2663600,22.86302
"2010-02-08",31.870001,31.950001,31.4,31.4,1737700,22.561241
"2010-02-09",31.66,32.169998,31.559999,32.060001,2018100,23.035461
"2010-02-10",32.060001,32.139999,31.559999,31.92,1374100,22.934868
"2010-02-11",31.73,31.99,31.299999,31.93,2636200,22.942057
"2010-02-12",31.690001,32,31.290001,31.83,3396800,22.870205
"2010-02-16",32.490002,33.09,32.400002,32.900002,2948500,23.639011
"2010-02-17",33.09,33.200001,32.84,33,2075100,23.710865
"2010-02-18",32.900002,33.080002,32.669998,32.900002,2765800,23.639011
"2010-02-19",32.810001,33.48,32.630001,33.380001,2581200,23.983898
"2010-02-22",33.509998,33.509998,33.209999,33.360001,1396000,23.969524
"2010-02-23",32.939999,33.279999,32.540001,32.619999,2547600,23.437828
"2010-02-24",32.73,32.990002,32.509998,32.919998,3163500,23.653379
"2010-02-25",32.639999,33.029999,32.419998,33.029999,2507200,23.73242
"2010-02-26",33.040001,33.139999,32.790001,33.02,1879800,23.725235
"2010-03-01",33.040001,33.450001,33.009998,33.369999,2404900,24.207647
"2010-03-02",33.490002,33.630001,33.400002,33.509998,1690100,24.309208
"2010-03-03",33.52,33.759998,33.34,33.5,1579300,24.301954
"2010-03-04",33.5,33.669998,33.310001,33.470001,1389900,24.280186
"2010-03-05",33.639999,33.860001,33.540001,33.860001,1624900,24.563103
"2010-03-08",33.939999,33.939999,33.560001,33.599998,1645100,24.374493
"2010-03-09",33.580002,33.639999,33.34,33.619999,1929900,24.389009
"2010-03-10",33.540001,33.59,33.27,33.490002,2410900,24.294703
"2010-03-11",33.450001,33.470001,33.110001,33.450001,2142500,24.265678
"2010-03-12",33.450001,33.509998,33.150002,33.419998,1906700,24.243916
"2010-03-15",33.450001,33.73,33.220001,33.700001,2090800,24.447037
