"dates","WMB.Open","WMB.High","WMB.Low","WMB.Close","WMB.Volume","WMB.Adjusted"
"2010-01-04",17.477888,17.64908,17.44528,17.616472,7020240,10.020965
"2010-01-05",17.534952,17.950705,17.534952,17.836576,7415481,10.14617
"2010-01-06",17.909945,18.464279,17.77136,18.415367,12157139,10.47541
"2010-01-07",18.390911,18.399063,18.072985,18.284937,6181305,10.401217
"2010-01-08",18.268633,18.431671,18.113745,18.431671,4703754,10.484682
"2010-01-11",18.521343,18.684383,18.187113,18.317545,6130152,10.419765
"2010-01-12",18.187113,18.187113,17.755056,17.779512,6533366,10.113709
"2010-01-13",17.81212,17.958857,17.722448,17.795816,8901987,10.122986
"2010-01-14",17.5268,17.926249,17.5268,17.68984,8519259,10.062701
"2010-01-15",17.657232,17.673536,17.306696,17.420824,6786678,9.90967
"2010-01-19",18.553951,19.369152,18.545799,18.83112,27213690,10.711906
"2010-01-20",18.692535,19.181656,18.578407,18.863728,15715775,10.730455
"2010-01-21",18.920792,19.1572,18.382759,18.439823,12856600,10.48932
"2010-01-22",18.244177,18.570255,17.999617,18.032225,14050417,10.257462
"2010-01-25",18.333849,18.643623,18.244177,18.496887,8727674,10.521781
"2010-01-26",17.755056,18.456127,17.755056,18.089289,10327895,10.289922
"2010-01-27",18.040377,18.162657,17.551256,17.918097,8085378,10.192545
"2010-01-28",18.064833,18.284937,17.551256,17.68984,13746811,10.062701
"2010-01-29",17.722448,18.130049,16.87464,16.988768,12808759,9.663903
"2010-02-01",17.208872,17.518648,17.111048,17.518648,10441855,9.96532
"2010-02-02",17.640928,18.007769,17.380064,17.901793,12138984,10.183267
"2010-02-03",17.803968,17.942553,17.600168,17.657232,5698847,10.044149
"2010-02-04",17.510496,17.510496,16.670839,16.687143,11911310,9.492329
"2010-02-05",16.524103,16.760511,15.904552,16.515951,17596173,9.394944
"2010-02-08",16.573015,16.923552,16.507799,16.711599,11890088,9.506237
"2010-02-09",16.948008,17.44528,16.907248,17.168112,13006011,9.765921
"2010-02-10",17.168112,17.36376,16.882792,17.24148,11099730,9.807656
"2010-02-11",17.184416,17.714296,17.062136,17.681688,8861629,10.058064
"2010-02-12",17.428976,17.681688,17.217024,17.640928,8074338,10.034877
"2010-02-16",17.967009,18.236025,17.967009,18.236025,8519750,10.373397
"2010-02-17",18.252329,18.350151,18.081137,18.252329,6692223,10.38267
"2010-02-18",18.032225,18.309393,17.632776,18.064833,10930569,10.276014
"2010-02-19",17.991465,18.146353,17.844728,18.130049,8264598,10.313111
"2010-02-22",18.187113,18.317545,17.502344,17.592016,10017174,10.007058
"2010-02-23",17.518648,17.632776,17.151808,17.298544,8221786,9.840115
"2010-02-24",17.331152,17.624624,17.257784,17.60832,9145363,10.016327
"2010-02-25",17.331152,17.746904,17.15996,17.714296,6039500,10.076612
"2010-02-26",17.77136,17.820272,17.44528,17.559408,8651619,9.988503
"2010-03-01",17.632776,17.983313,17.616472,17.983313,8197252,10.229639
"2010-03-02",18.015921,18.293089,18.007769,18.162657,8182655,10.331663
"2010-03-03",18.170809,18.513191,18.154505,18.415367,6656281,10.47541
"2010-03-04",18.415367,18.627319,18.162657,18.382759,6666585,10.456862
"2010-03-05",18.586559,18.87188,18.521343,18.855576,7665481,10.72582
"2010-03-08",18.847424,18.91264,18.529495,18.635471,6240677,10.600614
"2010-03-09",18.513191,18.676231,18.439823,18.586559,6430569,10.572789
"2010-03-10",18.521343,18.716991,18.423519,18.521343,9951178,10.586772
"2010-03-11",18.415367,18.643623,18.276785,18.594711,4784838,10.628709
"2010-03-12",18.684383,18.790359,18.488735,18.651775,5441732,10.661325
"2010-03-15",18.390911,18.651775,18.178961,18.505039,5897203,10.577452
"2010-03-16",18.619167,18.87188,18.456127,18.839272,5918670,10.768499
"2010-03-17",18.814816,19.026768,18.716991,18.83112,7794406,10.763839
"2010-03-18",18.880032,18.880032,18.399063,18.602863,7276987,10.633368
"2010-03-19",18.366455,18.668079,18.113745,18.366455,6814401,10.498238
"2010-03-22",18.154505,18.447975,17.934401,18.350151,6466021,10.488918
"2010-03-23",18.293089,18.651775,18.244177,18.611015,6442345,10.638027
"2010-03-24",18.480583,18.725143,18.399063,18.643623,6081084,10.656665
"2010-03-25",18.749599,18.87188,18.480583,18.505039,10525638,10.577452
"2010-03-26",18.545799,18.684383,18.439823,18.545799,10923700,10.60075
"2010-03-29",18.602863,18.87188,18.578407,18.733295,9234176,10.707925
"2010-03-30",18.880032,18.880032,18.643623,18.855576,5644259,10.777819
"2010-03-31",18.798512,19.002312,18.733295,18.83112,6534470,10.763839
"2010-04-01",18.961552,19.149048,18.91264,19.059376,5592861,10.894309
"2010-04-05",19.108288,19.532192,19.108288,19.426216,4926153,11.103995
"2010-04-06",19.5648,19.801208,19.44252,19.630016,5574460,11.220488
"2010-04-07",19.589256,19.621864,19.263176,19.344696,4698356,11.057397
"2010-04-08",19.255024,19.572952,19.083832,19.507736,4255520,11.150589
"2010-04-09",19.589256,19.752296,19.548496,19.662624,4575564,11.239127
"2010-04-12",19.711536,19.972401,19.589256,19.744144,4607336,11.28572
"2010-04-13",19.654472,19.703384,19.361,19.548496,3718106,11.173887
"2010-04-14",19.581104,19.752296,19.40176,19.72784,4480741,11.276401
"2010-04-15",19.638168,19.850121,19.572952,19.752296,4608317,11.290381
"2010-04-16",19.654472,19.752296,19.026768,19.214264,9026497,10.982843
"2010-04-19",19.010464,19.287632,18.888184,19.287632,4650761,11.02478
"2010-04-20",19.466976,19.597408,19.40176,19.499584,4687684,11.145933
"2010-04-21",19.613712,19.613712,19.173504,19.303936,4729637,11.034101
"2010-04-22",19.083832,19.418064,18.904488,19.352848,7282630,11.062056
"2010-04-23",19.344696,19.996857,19.328392,19.972401,5650393,11.416193
"2010-04-26",20.102833,20.102833,19.833817,19.939793,4729146,11.397552
"2010-04-27",19.809361,19.866425,19.140896,19.181656,6666094,10.964205
"2010-04-28",19.132744,19.377304,19.043072,19.303936,6426030,11.034101
"2010-04-29",19.450672,19.64632,19.295784,19.377304,4894995,11.076037
"2010-04-30",19.44252,19.556648,19.067528,19.246872,7097767,11.001478
"2010-05-03",19.385456,19.833817,19.385456,19.670776,6584396,11.243783
"2010-05-04",19.271328,19.40176,18.888184,19.018616,8267910,10.871012
"2010-05-05",18.668079,18.733295,17.975161,18.113745,11712709,10.353789
"2010-05-06",17.958857,18.162657,16.393673,17.15996,17138371,9.808605
"2010-05-07",17.151808,17.477888,16.336609,16.573015,18445167,9.473109
"2010-05-10",17.347456,17.592016,17.135504,17.510496,11284347,10.008974
"2010-05-11",17.143656,17.950705,17.143656,17.779512,12617885,10.162742
"2010-05-12",17.942553,18.382759,17.877337,18.268633,9175908,10.442322
"2010-05-13",18.203417,18.399063,17.942553,18.138201,7895731,10.367768
"2010-05-14",17.942553,18.105593,17.339304,17.640928,10199460,10.083524
"2010-05-17",17.706144,17.820272,16.87464,17.233328,9815873,9.850546
"2010-05-18",17.477888,17.738752,16.866488,16.988768,8394382,9.710754
"2010-05-19",16.833879,16.931704,16.181721,16.467039,14981722,9.412534
"2010-05-20",16.092049,16.092049,15.4888,15.578472,13756011,8.904631
"2010-05-21",15.154568,15.929008,15.0812,15.81488,11619112,9.039761
"2010-05-24",15.717056,15.863792,15.496952,15.496952,8953018,8.858033
"2010-05-25",14.804032,15.61108,14.804032,15.594776,11963445,8.91395
"2010-05-26",15.863792,16.132809,15.65184,15.717056,9893278,8.983845
"2010-05-27",16.124657,16.418127,16.059441,16.401825,8193695,9.375257
"2010-05-28",16.361065,16.548559,16.034985,16.100201,7677502,9.20285
"2010-06-01",15.880096,16.034985,15.374672,15.399128,7611261,8.802118
"2010-06-02",15.57032,15.888248,15.44804,15.888248,10869603,9.081697
"2010-06-03",15.85564,16.434431,15.741512,16.393673,9564769,9.370599
"2010-06-04",16.002377,16.361065,15.61108,15.684448,10600343,8.965207
"2010-06-07",15.806728,15.920856,15.293152,15.32576,8857336,8.760182
"2010-06-08",15.285,15.708904,15.20348,15.676296,10456575,8.960546
"2010-06-09",15.806728,16.271393,15.545864,15.627384,9189156,8.991031
"2010-06-10",15.961616,16.287697,15.85564,16.271393,9499632,9.361552
"2010-06-11",15.961616,16.328457,15.93716,16.320305,5642174,9.389695
"2010-06-14",16.524103,16.613775,16.230633,16.255089,6912291,9.352175
"2010-06-15",16.483343,17.233328,16.467039,17.184416,10435844,9.886853
"2010-06-16",17.029528,17.265936,16.923552,17.03768,10857826,9.80243
"2010-06-17",17.257784,17.323,16.972464,17.176264,8436825,9.882161
"2010-06-18",17.477888,17.673536,17.225176,17.461584,11254048,10.046318
"2010-06-21",17.7306,17.779512,17.143656,17.265936,7150393,9.933754
"2010-06-22",17.274088,17.380064,16.458887,16.524103,10145976,9.506948
"2010-06-23",16.564863,16.605623,16.214329,16.426279,7836114,9.450665
"2010-06-24",16.393673,16.450735,16.059441,16.132809,7301644,9.281822
"2010-06-25",16.181721,16.336609,15.863792,16.157265,12830839,9.295893
"2010-06-28",16.100201,16.206177,15.790424,15.839336,7790972,9.112974
"2010-06-29",15.659992,15.659992,14.95892,15.089352,13977306,8.681479
"2010-06-30",15.24424,15.32576,14.820336,14.901856,9527110,8.573606
"2010-07-01",14.926312,15.04044,14.323064,14.59208,14321394,8.395383
"2010-07-02",14.59208,14.828488,14.290456,14.404584,8865554,8.287509
"2010-07-06",14.665448,14.844792,14.371976,14.535016,10147571,8.36255
"2010-07-07",14.51056,15.32576,14.51056,15.309456,13413027,8.808117
"2010-07-08",15.513256,15.602928,15.24424,15.57032,9143646,8.958202
"2010-07-09",15.562168,15.65184,15.40728,15.594776,4407139,8.972271
"2010-07-12",15.52956,15.708904,15.382824,15.668144,6963567,9.014482
"2010-07-13",15.839336,15.97792,15.741512,15.871944,7587831,9.131738
"2010-07-14",15.741512,15.85564,15.594776,15.725208,5814156,9.047316
"2010-07-15",15.717056,15.790424,15.32576,15.717056,6448602,9.042625
"2010-07-16",15.521408,15.586624,15.130112,15.219784,7913027,8.756524
