"dates","WU.Open","WU.High","WU.Low","WU.Close","WU.Volume","WU.Adjusted"
"2010-01-04",19.1,19.24,19.049999,19.09,4277900,13.546346
"2010-01-05",19.15,19.15,18.77,19.01,3914900,13.489576
"2010-01-06",18.889999,19.049999,18.870001,19,4207900,13.482479
"2010-01-07",18.92,19.73,18.85,19.610001,8256900,13.915334
"2010-01-08",19.6,19.809999,19.459999,19.799999,5673900,14.050159
"2010-01-11",19.959999,19.99,19.74,19.969999,5324200,14.170794
"2010-01-12",19.870001,19.91,19.41,19.85,5087200,14.085646
"2010-01-13",19.92,20.26,19.889999,20.129999,5782200,14.284332
"2010-01-14",20.08,20.08,19.74,19.879999,3248600,14.106931
"2010-01-15",19.940001,19.940001,19.49,19.530001,4712600,13.858571
"2010-01-19",19.5,19.860001,19.4,19.860001,5510000,14.092739
"2010-01-20",19.709999,19.709999,19.35,19.5,5009000,13.837278
"2010-01-21",19.57,19.75,19.309999,19.43,6601200,13.787605
"2010-01-22",19.4,19.469999,18.66,18.799999,8153700,13.340552
"2010-01-25",19.110001,19.110001,18.5,18.629999,4601800,13.219929
"2010-01-26",18.459999,18.629999,18.24,18.309999,6389800,12.992852
"2010-01-27",18.25,18.450001,18.190001,18.35,5930200,13.021238
"2010-01-28",18.459999,18.51,18.15,18.25,5696400,12.950274
"2010-01-29",18.440001,18.84,18.32,18.540001,6724300,13.156061
"2010-02-01",18.66,18.700001,18.4,18.58,6174400,13.184443
"2010-02-02",18.59,18.879999,18.52,18.85,5609400,13.37604
"2010-02-03",17.07,18.209999,16.700001,17.17,50847200,12.183905
"2010-02-04",16.799999,16.889999,16.219999,16.540001,34294500,11.736851
"2010-02-05",16.43,16.540001,15.85,16.5,16719900,11.708472
"2010-02-08",16.530001,16.549999,16.139999,16.16,14785800,11.467205
"2010-02-09",16.35,16.51,15.93,16.139999,19461200,11.45301
"2010-02-10",16.139999,16.6,16.01,16.440001,15728500,11.665892
"2010-02-11",16.299999,16.41,16.1,16.16,15781600,11.467205
"2010-02-12",16.139999,16.32,15.96,16.120001,10303100,11.438819
"2010-02-16",16.360001,16.6,16.120001,16.5,9555700,11.708472
"2010-02-17",16.51,16.709999,16.4,16.4,4641900,11.637506
"2010-02-18",16.4,16.52,16.389999,16.459999,4625700,11.680083
"2010-02-19",16.389999,16.459999,16.27,16.35,6963200,11.602025
"2010-02-22",16.379999,16.4,16.120001,16.18,8705700,11.481398
"2010-02-23",16.290001,16.32,16.040001,16.040001,7570700,11.382051
"2010-02-24",16.129999,16.17,15.96,16,7906700,11.353665
"2010-02-25",15.85,16.040001,15.71,15.96,8671700,11.325283
"2010-02-26",16.01,16.02,15.72,15.78,7390900,11.197551
"2010-03-01",15.88,16.07,15.76,16,7732200,11.353665
"2010-03-02",16.280001,16.290001,15.81,15.84,8930400,11.240129
"2010-03-03",15.91,15.99,15.71,15.71,7149800,11.147882
"2010-03-04",15.77,16.1,15.68,16.02,9927800,11.367858
"2010-03-05",16.16,16.34,16.02,16.309999,6846600,11.573644
"2010-03-08",16.34,16.370001,16.18,16.219999,5737000,11.509778
"2010-03-09",16.18,16.370001,16.040001,16.33,9019600,11.587835
"2010-03-10",16.35,16.540001,16.15,16.51,9640700,11.715566
"2010-03-11",16.48,16.83,16.4,16.77,7827000,11.90006
"2010-03-12",16.860001,16.92,16.690001,16.91,5575800,11.999405
"2010-03-15",16.860001,16.889999,16.59,16.709999,8710300,11.857485
"2010-03-16",16.440001,16.809999,16.17,16.24,15668000,11.523971
"2010-03-17",16.299999,16.85,16.25,16.799999,10028200,11.965557
"2010-03-18",16.84,16.870001,16.65,16.799999,6454200,11.965557
"2010-03-19",16.66,16.93,16.57,16.66,7976000,11.865845
"2010-03-22",16.58,16.959999,16.58,16.91,6188800,12.043902
"2010-03-23",16.92,17.17,16.9,17.059999,6867700,12.150742
"2010-03-24",17.02,17.040001,16.799999,16.879999,5866000,12.022537
"2010-03-25",17.040001,17.23,16.940001,16.969999,12780900,12.086636
"2010-03-26",17.08,17.08,16.92,17.049999,5075900,12.143618
"2010-03-29",17.16,17.26,17.1,17.190001,3781400,12.243335
"2010-03-30",17.25,17.27,16.91,17,5273800,12.108003
"2010-03-31",16.98,17.09,16.9,16.959999,7401800,12.079515
"2010-04-01",17.1,17.4,16.940001,17.059999,6969000,12.150742
"2010-04-05",17.129999,17.459999,17.08,17.370001,6680700,12.371532
"2010-04-06",17.35,17.65,17.35,17.5,7567600,12.464122
"2010-04-07",17.41,17.58,17.18,17.24,6621700,12.278938
