"dates","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2010-01-04",61.240002,64.150002,60.919998,63.959999,4741400,41.963718
"2010-01-05",65.18,68.330002,64.949997,67.849998,5644300,44.515926
"2010-01-06",67.07,68.160004,66.400002,66.959999,2738800,43.932011
"2010-01-07",66.480003,68.480003,66.080002,68.389999,2388500,44.870213
"2010-01-08",67.690002,68.389999,67.129997,67.900002,1539800,44.548744
"2010-01-11",68.019997,69.110001,67.400002,67.68,1909000,44.404385
"2010-01-12",67.470001,68.879997,66.779999,67.980003,3306500,44.601215
"2010-01-13",68.419998,69.699997,67.440002,69.400002,2959300,45.532864
"2010-01-14",69.019997,72.379997,69.019997,72.110001,4431900,47.310886
"2010-01-15",71.980003,72.849998,69.669998,70.5,2742300,46.254574
"2010-01-19",70.199997,71.550003,70.080002,71.32,1326000,46.792576
"2010-01-20",70.32,70.720001,67.199997,68.160004,3639200,44.719318
"2010-01-21",68.160004,68.980003,65.25,65.370003,2756800,42.888824
"2010-01-22",65.209999,66.099998,63.599998,63.950001,2227900,41.957169
"2010-01-25",65,65.510002,62.75,63.59,2048000,41.720959
"2010-01-26",62.849998,64.089996,62.689999,62.849998,1623100,41.235458
"2010-01-27",62.75,63.209999,60.82,62.759998,2616200,41.176407
"2010-01-28",63.369999,64.370003,61.599998,61.77,2331500,40.526875
"2010-01-29",62.599998,64.080002,61.66,61.880001,2626500,40.599049
"2010-02-01",62.299999,65.639999,62.299999,65.540001,2510900,43.000351
"2010-02-02",65.120003,65.639999,63.549999,64.839996,1950000,42.541092
"2010-02-03",64.080002,64.279999,63.139999,64.239998,1976800,42.147423
"2010-02-04",63.419998,63.759998,60.75,60.84,2245400,39.91671
"2010-02-05",61.389999,62.130001,59.700001,61.369999,2634800,40.264435
"2010-02-08",61.650002,62.759998,60.029999,60.759998,1496200,39.864223
"2010-02-09",62.029999,62.59,60.599998,61.630001,1838500,40.435013
"2010-02-10",61.5,62.389999,60.849998,61.400002,1256000,40.284119
"2010-02-11",61.279999,65.349998,60.990002,64.959999,2880900,42.619801
"2010-02-12",63.740002,63.880001,62.240002,63.040001,3141400,41.360115
"2010-02-16",63.98,65.120003,63.779999,64.910004,1977000,42.587009
"2010-02-17",65.480003,65.75,63.540001,64.410004,1679100,42.258961
"2010-02-18",63.290001,63.330002,61.459999,62.009998,3167400,40.684341
"2010-02-19",61.66,63.130001,61.349998,62.25,2159100,40.841805
"2010-02-22",62.610001,63.560001,62.52,63.02,1679400,41.346989
"2010-02-23",63.099998,63.869999,62.240002,63.68,3269700,41.780018
"2010-02-24",63.91,64.599998,62.759998,63.349998,3057100,41.563503
"2010-02-25",62.389999,63.009998,61.540001,62.799999,3694500,41.202652
"2010-02-26",62.490002,64.5,61.18,63.57,3955800,41.707844
"2010-03-01",64.519997,66.800003,64.029999,66.220001,3104700,43.446491
"2010-03-02",67,67.25,66.269997,66.870003,2190100,43.872952
"2010-03-03",66.980003,67.550003,66.160004,66.370003,1960500,43.544899
"2010-03-04",66.57,66.769997,65.290001,65.889999,1430300,43.229984
"2010-03-05",66.550003,68.059998,66.330002,67.739998,1815000,44.443756
"2010-03-08",68.080002,69.940002,67.559998,68.989998,2215700,45.263863
"2010-03-09",68.699997,71.470001,68.349998,69.769997,3054100,45.775612
"2010-03-10",69.93,71.889999,69.059998,70.959999,2586700,46.556381
"2010-03-11",70.279999,71.230003,69.809998,71.190002,1938600,46.707275
"2010-03-12",71.790001,72.440002,70.699997,71.470001,1888700,46.890984
"2010-03-15",70.419998,71.190002,69.290001,70.470001,2047000,46.234886
"2010-03-16",70.959999,73.800003,70.279999,73.629997,3435000,48.308147
"2010-03-17",74.150002,75.330002,72.470001,72.809998,3254200,47.770145
"2010-03-18",72.519997,72.779999,71.709999,72.010002,1713200,47.245285
"2010-03-19",72.730003,72.800003,71.389999,71.75,2490000,47.07468
"2010-03-22",70.900002,76.889999,70.260002,76.540001,4878700,50.217377
"2010-03-23",76.910004,77.410004,74.690002,76.330002,3299600,50.079578
"2010-03-24",75.849998,77.25,75.300003,75.809998,3633000,49.738411
"2010-03-25",76.309998,77.190002,74.300003,74.410004,3156500,48.819897
"2010-03-26",75.019997,77.949997,74.809998,76.629997,3085700,50.276405
"2010-03-29",77.150002,77.629997,75.860001,76.849998,2360800,50.420765
"2010-03-30",76.870003,77.93,76.110001,77.25,2786400,50.683216
"2010-03-31",76.519997,76.940002,75.389999,75.830002,2959100,49.751549
"2010-04-01",76.209999,77.839996,75.25,77.400002,3374300,50.781609
"2010-04-05",77.800003,82.349998,77.790001,82.279999,3756800,53.983337
"2010-04-06",82.080002,83.199997,81.32,81.739998,3300000,53.629059
"2010-04-07",81.269997,83.150002,80.68,81.660004,2535700,53.576576
"2010-04-08",81.349998,86.910004,80.860001,86.230003,5253800,56.574909
"2010-04-09",86.669998,87.410004,84.550003,87.169998,3797000,57.19165
"2010-04-12",87.300003,88.349998,86.529999,86.900002,2865700,57.014511
"2010-04-13",87.050003,88.68,86.589996,88.040001,2695300,57.762447
"2010-04-14",88.360001,88.970001,85.540001,86.410004,4438400,56.69302
"2010-04-15",85.480003,87.419998,84.809998,86.010002,3168300,56.43058
"2010-04-16",85.839996,86.580002,82.900002,83.82,3162900,54.993736
"2010-04-19",83.5,85.5,80.800003,82.910004,3611400,54.396694
"2010-04-20",85.5,86.889999,84.230003,86.57,3399600,56.797993
"2010-04-21",87.110001,87.190002,84.260002,85.93,2585300,56.378078
"2010-04-22",84.739998,90.080002,84.199997,89.919998,3898700,58.995903
"2010-04-23",89.809998,92.639999,89,89.5,3740700,58.720341
"2010-04-26",90.82,92.330002,89.639999,92.120003,3659500,60.439308
"2010-04-27",91.629997,91.82,87.889999,88.400002,3280400,57.998631
"2010-04-28",90.470001,90.75,87.260002,88.769997,2232300,58.241375
"2010-04-29",89.919998,93.480003,89.629997,93.150002,3553200,61.115074
"2010-04-30",91.489998,93.989998,87.870003,88.239998,4283600,57.893669
"2010-05-03",89.349998,92,88,91.879997,3624600,60.28183
"2010-05-04",90.410004,90.470001,86.57,87.669998,3986100,57.51968
"2010-05-05",85.980003,88.970001,83.800003,85.57,3776900,56.141907
"2010-05-06",85.010002,86.669998,71,80.550003,6139400,52.848301
"2010-05-07",82.459999,83.470001,75.900002,76.980003,7202800,50.506054
"2010-05-10",82.639999,83.620003,81.599998,82.860001,3115300,54.541008
"2010-05-11",81.220001,86.110001,80.709999,84.279999,3403800,55.4757
"2010-05-12",85.489998,86.209999,84.75,85.779999,2110100,56.463062
"2010-05-13",85.43,87.839996,84.529999,84.720001,1989700,55.765316
"2010-05-14",83.440002,83.860001,81.120003,82.209999,2191100,54.113167
"2010-05-17",81.75,83.199997,78.650002,81.360001,2979200,53.553654
"2010-05-18",83.150002,85.75,80.32,80.769997,3681300,53.165291
"2010-05-19",79.82,82.82,78.169998,80.410004,3265600,52.928341
"2010-05-20",77.540001,78.769997,74,74.800003,4921100,49.235672
"2010-05-21",73.080002,79.18,72.529999,78.68,4073500,51.789619
"2010-05-24",79.470001,80.730003,76.489998,76.699997,2405700,50.486309
"2010-05-25",73.720001,79.970001,72.779999,79.57,4174900,52.375435
"2010-05-26",80.949997,81.889999,78.010002,78.580002,3925300,51.723793
"2010-05-27",81.279999,84.620003,80.379997,84.489998,3221400,55.613907
"2010-05-28",84.220001,85.989998,81.879997,83.879997,2879200,55.212414
"2010-06-01",82.580002,84.879997,81.410004,81.529999,2540900,53.665573
"2010-06-02",82.580002,83.220001,81,83.190002,2404500,54.758224
"2010-06-03",83.519997,85,82.370003,84.160004,1999000,55.396702
"2010-06-04",81.809998,84.099998,79,79.809998,3096600,52.533409
"2010-06-07",80.650002,81,75.370003,75.599998,2586600,49.762253
"2010-06-08",76.760002,78.25,74.57,77.959999,3709000,51.315678
"2010-06-09",78.900002,80.550003,76.449997,77.139999,4119800,50.775921
"2010-06-10",78.839996,81.419998,78.519997,81.339996,3020300,53.540501
"2010-06-11",80.059998,82.849998,79.660004,82.830002,1837300,54.521271
"2010-06-14",83.82,85.440002,82.199997,82.57,2948300,54.350136
"2010-06-15",83.099998,85.230003,82.599998,84.900002,2834400,55.883804
"2010-06-16",84.029999,86.849998,84.029999,85.550003,2592500,56.311642
"2010-06-17",86,86.519997,84.199997,85.550003,1975700,56.311642
"2010-06-18",85.529999,86.300003,84.550003,85.029999,2148100,55.969376
"2010-06-21",86.970001,88.5,86.050003,86.860001,2912500,57.173939
"2010-06-22",87.43,88,84.330002,84.449997,2168600,55.587605
"2010-06-23",84.849998,86.57,83.629997,85.769997,1827100,56.456455
"2010-06-24",86.739998,88.419998,85.82,86.029999,3908500,56.627617
"2010-06-25",86.309998,89.129997,85.419998,89.040001,4954400,58.608879
"2010-06-28",89.099998,89.639999,85,85.099998,2803900,56.015453
"2010-06-29",82.739998,83,78.139999,78.550003,5325300,51.704037
"2010-06-30",79.370003,80.93,75.830002,76.269997,3424700,50.20327
"2010-07-01",77,77.839996,73.290001,76.129997,3886500,50.111134
"2010-07-02",76.940002,76.959999,73.120003,74.790001,2525000,49.229092
"2010-07-06",76.199997,77.480003,74.029999,74.959999,2301300,49.340988
"2010-07-07",75.879997,78.699997,75.169998,78.5,2754300,51.671127
"2010-07-08",79.339996,80.099998,76.910004,78.849998,2045100,51.901508
"2010-07-09",78.949997,80.43,78.699997,79.599998,2636400,52.39518
"2010-07-12",79.32,80,76.599998,77.809998,2251600,51.216938
"2010-07-13",78.989998,82.050003,77,81.220001,3203100,53.46151
"2010-07-14",81.370003,83.349998,80.550003,83.269997,3168600,54.810875
"2010-07-15",83.279999,84,81.349998,83.019997,2589700,54.646328
"2010-07-16",83.019997,83.269997,79.199997,79.57,2445800,52.375435
"2010-07-19",80,80.529999,77.370003,80.010002,2146400,52.665051
"2010-07-20",78.059998,83.339996,78,83.25,2730400,54.797729
"2010-07-21",83.980003,84.949997,81.519997,81.959999,2970600,53.948601
"2010-07-22",83.580002,86,83.209999,85.480003,2480800,56.265587
"2010-07-23",85,88.480003,84.669998,87.68,2187600,57.713696
"2010-07-26",87.540001,89.169998,86.25,88.639999,1945800,58.345577
"2010-07-27",89.099998,89.349998,86.839996,87.529999,1911800,57.614937
"2010-07-28",87.449997,89.199997,86.720001,87.870003,2300100,57.838745
"2010-07-29",88.730003,89.830002,85.75,87.849998,3530800,57.825577
"2010-07-30",84.5,87.690002,83.260002,87.68,5578500,57.713696
"2010-08-02",89,90.330002,87.980003,89.230003,3340900,58.733929
"2010-08-03",88.760002,91.650002,87.709999,91.5,2979900,60.228134
"2010-08-04",91.860001,92.360001,90.5,91.970001,2241700,60.537495
"2010-08-05",91.139999,92.440002,89.739998,90.309998,2508800,59.444817
"2010-08-06",89.209999,91.720001,88.720001,91.519997,2178000,60.241272
"2010-08-09",92,93.980003,90.919998,93.760002,2095600,61.71571
"2010-08-10",92.059998,92.720001,90.300003,91.440002,2546300,60.349545
"2010-08-11",88.5,89.580002,87,87.190002,2355800,57.544594
"2010-08-12",85.980003,88.120003,85.550003,86.93,2226900,57.37299
"2010-08-13",86.760002,88.239998,86.699997,87.260002,1746400,57.590786
"2010-08-16",86.099998,87.93,85.82,87.290001,1687200,57.610588
"2010-08-17",88.389999,91.209999,88.040001,89.550003,2355500,59.102177
"2010-08-18",89.370003,91,88.809998,89.919998,2289400,59.346363
"2010-08-19",89.400002,89.650002,86.029999,86.529999,2009900,57.109001
"2010-08-20",86.540001,87.860001,85.050003,87.599998,1922700,57.815163
