"dates","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2010-01-04",35.529999,35.650002,35.27,35.330002,1051400,32.887291
"2010-01-05",35.240002,35.360001,34.73,34.91,763400,32.496326
"2010-01-06",35.02,35.34,34.75,35.139999,1595100,32.710423
"2010-01-07",35.080002,35.639999,34.880001,35.599998,1096100,33.138615
"2010-01-08",35.560001,35.77,35.450001,35.599998,803600,33.138615
"2010-01-11",35.57,36.139999,35.27,36.060001,787300,33.566814
"2010-01-12",35.959999,36.07,35.610001,35.799999,1002100,33.324776
"2010-01-13",36.009998,36.369999,35.700001,36.299999,814900,33.790218
"2010-01-14",36.150002,36.639999,36,36.57,710000,34.041561
"2010-01-15",36.220001,36.740002,35.610001,35.950001,879900,33.464424
"2010-01-19",35.560001,36.82,35.560001,36.52,581400,33.995007
"2010-01-20",36.459999,36.619999,35.689999,36.130001,844200,33.631973
"2010-01-21",36.07,36.150002,34.75,34.830002,1731300,32.421856
"2010-01-22",34.73,35.029999,34.380001,34.439999,1527200,32.058826
"2010-01-25",34.59,34.66,34.27,34.48,705900,32.096054
"2010-01-26",34.32,34.470001,34.130001,34.23,1138500,31.863344
"2010-01-27",34.110001,34.23,33.66,34.060001,1186800,31.70509
"2010-01-28",34.16,34.18,33.290001,33.439999,1355900,31.127962
"2010-01-29",33.549999,33.959999,33.419998,33.529999,1174900,31.211735
"2010-02-01",33.68,33.759998,33.380001,33.580002,1023900,31.25828
"2010-02-02",33.529999,34.580002,33.400002,34.509998,1969000,32.123978
"2010-02-03",34.27,34.279999,33.720001,33.869999,1050900,31.528233
"2010-02-04",33.709999,33.709999,32.77,32.790001,1113300,30.52289
"2010-02-05",32.860001,32.939999,32.099998,32.689999,2067300,30.429819
"2010-02-08",32.59,33.369999,32.439999,33.099998,1924600,30.811466
"2010-02-09",33.450001,34.029999,33.169998,33.939999,1643600,31.593388
"2010-02-10",33.82,33.970001,33.369999,33.790001,1304600,31.453764
"2010-02-11",32.380001,33.23,32.380001,33.009998,2485300,30.727695
"2010-02-12",32.439999,32.970001,32.23,32.639999,2325600,30.383276
"2010-02-16",32.869999,33.040001,32.439999,33.009998,1101100,30.727695
"2010-02-17",33.040001,33.189999,32.939999,33.119999,1399700,30.83009
"2010-02-18",33.130001,33.41,33.07,33.310001,983400,31.006947
"2010-02-19",33.169998,33.290001,32.860001,32.939999,1270400,30.662527
"2010-02-22",32.950001,33,32.700001,32.810001,1299200,30.541519
"2010-02-23",32.700001,32.919998,32.41,32.830002,1989200,30.560129
"2010-02-24",32.849998,33.049999,32.610001,33,1314300,30.718378
"2010-02-25",32.549999,33.009998,32.529999,32.939999,1177200,30.662527
"2010-02-26",33,33.25,32.869999,33.09,1415100,30.802155
"2010-03-01",33.419998,33.66,33.009998,33.560001,784000,31.239672
"2010-03-02",33.639999,33.939999,33.639999,33.84,905200,31.500311
"2010-03-03",33.98,34.040001,33.740002,33.810001,822600,31.472382
"2010-03-04",33.93,34,33.73,33.849998,758900,31.509611
"2010-03-05",33.91,34.34,33.790001,34.330002,867600,31.956425
"2010-03-08",34.220001,34.48,34.040001,34.290001,604100,31.919189
"2010-03-09",34.25,34.669998,34.049999,34.599998,1180300,32.20776
"2010-03-10",34.509998,34.759998,34.5,34.669998,1148500,32.272911
"2010-03-11",34.599998,34.849998,34.43,34.799999,834000,32.393932
"2010-03-12",34.950001,34.990002,34.580002,34.77,857400,32.366016
"2010-03-15",34.779999,34.900002,34.599998,34.77,724000,32.366016
"2010-03-16",34.700001,34.790001,34.549999,34.630001,937700,32.235687
"2010-03-17",34.599998,34.75,34.529999,34.669998,948600,32.272911
"2010-03-18",34.98,34.98,34.389999,34.450001,1278100,32.06813
"2010-03-19",34.740002,34.740002,33.93,34.139999,2984900,31.779572
"2010-03-22",34.16,34.549999,34.080002,34.52,867700,32.133293
"2010-03-23",34.459999,34.580002,34.189999,34.580002,579400,32.189137
"2010-03-24",34.400002,34.560001,34.189999,34.259998,589500,31.937456
"2010-03-25",34.709999,34.709999,34.349998,34.389999,867400,32.058632
"2010-03-26",34.5,34.689999,34.130001,34.169998,633100,31.853535
"2010-03-29",34.16,34.529999,34.16,34.48,414700,32.142532
"2010-03-30",34.470001,34.82,34.32,34.799999,709600,32.440834
"2010-03-31",34.650002,35.009998,34.610001,34.880001,1342500,32.515415
"2010-04-01",35.009998,35.02,34.25,34.48,1211100,32.142532
"2010-04-05",34.5,34.849998,34.419998,34.59,492800,32.245071
"2010-04-06",34.360001,34.93,34.330002,34.860001,845500,32.496773
"2010-04-07",34.830002,34.869999,34.290001,34.369999,673000,32.039989
