"dates","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2010-01-04",22.503294,23.083004,22.318842,22.740448,5112890,14.421636
"2010-01-05",22.740448,22.79315,22.555996,22.766798,3255844,14.438345
"2010-01-06",22.766798,22.84585,22.503294,22.555996,2634375,14.304661
"2010-01-07",22.476942,22.714096,22.424242,22.661398,4508536,14.371506
"2010-01-08",22.608696,22.766798,22.424242,22.582344,2460109,14.32137
"2010-01-11",22.714096,23.293808,22.582344,23.135706,5275202,14.672299
"2010-01-12",22.8722,23.478262,22.8722,23.320158,7099003,14.789278
"2010-01-13",23.399208,23.636364,23.214756,23.583664,4219053,14.956392
"2010-01-14",23.478262,23.715414,23.320158,23.42556,3510261,14.856122
"2010-01-15",23.320158,23.42556,23.162054,23.293808,4374572,14.772573
"2010-01-19",23.267456,23.820818,23.162054,23.768116,6779009,15.07337
"2010-01-20",23.50461,23.583664,23.003954,23.42556,7888667,14.856122
"2010-01-21",24.137022,24.980236,24.05797,24.453228,16789118,15.507858
"2010-01-22",24.216074,24.426876,23.478262,23.636364,8298375,14.989815
"2010-01-25",23.794466,24.00527,23.34651,23.42556,5566544,14.856122
"2010-01-26",23.372858,23.557312,22.977602,23.34651,4119738,14.805992
"2010-01-27",23.267456,23.478262,22.951252,23.42556,6952516,14.856122
"2010-01-28",23.399208,23.583664,23.135706,23.241108,6851910,14.739151
"2010-01-29",23.45191,23.478262,22.951252,22.977602,8472110,14.572038
"2010-02-01",23.056652,23.636364,23.003954,23.636364,5481005,14.989815
"2010-02-02",23.662714,24.137022,23.530962,24.05797,9339571,15.257183
"2010-02-03",23.952568,24.163374,23.636364,23.689066,4979989,15.023234
"2010-02-04",23.662714,23.820818,22.740448,22.79315,9426438,14.45506
"2010-02-05",22.529644,22.661398,22.002634,22.318842,13822756,14.154256
"2010-02-08",22.108038,22.424242,21.73913,22.26614,4862040,14.120841
"2010-02-09",22.476942,22.529644,21.607378,22.081686,10354771,14.00386
"2010-02-10",22.108038,22.503294,22.055336,22.26614,4060498,14.120841
"2010-02-11",22.318842,23.214756,22.134386,23.083004,8799315,14.638884
"2010-02-12",22.661398,23.399208,22.503294,23.109354,5133800,14.655592
"2010-02-16",22.9249,23.45191,22.898552,23.34651,3764450,14.805992
"2010-02-17",23.45191,23.794466,23.188406,23.50461,5204349,14.906263
"2010-02-18",23.530962,24.216074,23.372858,24.163374,6824624,15.324035
"2010-02-19",24.00527,24.426876,23.952568,24.242424,5454895,15.374163
"2010-02-22",24.50593,24.532278,24.216074,24.347826,4756729,15.441015
"2010-02-23",24.295124,24.321476,23.820818,23.97892,3016038,15.207059
"2010-02-24",24.137022,24.400526,23.952568,24.374178,4016059,15.457722
"2010-02-25",24.031622,24.532278,23.97892,24.479578,4453433,15.524565
"2010-02-26",24.479578,24.769432,24.268776,24.690382,4177460,15.658257
"2010-03-01",24.716734,25.243742,24.716734,25.16469,4754604,15.959057
"2010-03-02",25.13834,25.296444,24.874834,25.032938,4394306,15.875505
"2010-03-03",25.296444,25.559946,25.032938,25.08564,3914846,15.908922
"2010-03-04",25.322792,25.401846,24.769432,25.13834,5883237,15.942342
"2010-03-05",25.349144,26.086958,25.243742,26.007904,5264955,16.493803
"2010-03-08",26.086958,26.534914,26.034256,26.113308,5248978,16.560656
"2010-03-09",25.559946,26.034256,25.480896,25.665348,3491096,16.276566
"2010-03-10",25.770752,26.007904,25.533598,25.955204,4677072,16.460382
"2010-03-11",25.7971,26.35046,25.71805,26.35046,4959799,16.711048
"2010-03-12",26.35046,26.35046,25.849802,26.060606,5271748,16.527233
"2010-03-15",25.955204,26.482212,25.902502,26.403162,5439829,16.744474
"2010-03-16",26.640316,26.79842,26.376812,26.587614,4867733,16.861452
"2010-03-17",26.640316,26.666668,25.955204,26.086958,6888722,16.543943
"2010-03-18",26.166008,26.166008,25.6917,25.981556,4593392,16.477095
"2010-03-19",25.21739,26.192358,25.08564,25.21739,6757187,15.992479
"2010-03-22",25.05929,26.060606,24.901186,26.007904,5415351,16.493803
"2010-03-23",26.139656,26.666668,25.7971,26.640316,5664683,16.894873
"2010-03-24",26.455864,26.508564,25.955204,25.981556,3344458,16.477095
"2010-03-25",26.166008,26.324112,25.349144,25.349144,4861433,16.076036
