"dates","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2010-01-04",25.248022,25.363049,25.197699,25.226456,2962274,20.231472
"2010-01-05",25.248022,25.276779,25.025162,25.140186,3298757,20.162281
"2010-01-06",25.125809,25.276779,24.917326,24.960461,4178981,20.018145
"2010-01-07",24.852625,25.025162,24.802301,24.953272,2452472,20.012377
"2010-01-08",24.946081,25.032351,24.802301,24.960461,3772392,20.018145
"2010-01-11",25.075485,25.564342,24.946081,25.391804,5790177,20.364071
"2010-01-12",25.528397,25.923796,25.391804,25.873472,6634514,20.750368
"2010-01-13",25.758448,25.952553,25.542774,25.801582,5638001,20.814175
"2010-01-14",25.81596,26.110712,25.664989,26.081955,4147962,21.040348
"2010-01-15",26.074766,26.110712,25.528397,25.643421,6315975,20.686586
"2010-01-19",25.629044,25.729691,25.514019,25.629044,4951265,20.67498
"2010-01-20",25.442127,25.585909,25.154566,25.26959,4666666,20.38501
"2010-01-21",25.327103,25.456507,25.017973,25.140186,5409599,20.280619
"2010-01-22",24.938892,25.161755,24.629763,24.651331,5496258,19.886257
"2010-01-25",24.802301,24.874191,24.629763,24.64414,5121245,19.880449
"2010-01-26",24.514738,24.823868,24.478792,24.680086,3479865,19.909452
"2010-01-27",24.687275,25.089863,24.586628,25.025162,5000089,20.187826
"2010-01-28",25.154566,25.319914,24.65852,24.687275,5245044,19.915255
"2010-01-29",24.823868,25.039539,24.579439,24.593817,4092322,19.839859
"2010-02-01",24.766356,25.485262,24.723221,25.463696,5443122,20.541592
"2010-02-02",25.463696,25.830338,25.298347,25.751259,4649557,20.773571
"2010-02-03",25.535585,25.585909,25.140186,25.406183,5113872,20.495199
"2010-02-04",25.075485,25.298347,23.96118,24.011503,13879120,19.37011
"2010-02-05",24.076204,24.176851,23.537024,23.70956,10415947,19.126526
"2010-02-08",23.824587,23.882099,23.472322,23.522646,6890319,18.97575
"2010-02-09",23.652048,23.87491,23.357298,23.774263,10736573,19.178726
"2010-02-10",23.716751,23.953991,23.680805,23.838964,5846651,19.230923
"2010-02-11",23.817398,24.03307,23.673616,24.004313,5190795,19.364309
"2010-02-12",23.745506,24.097771,23.630482,23.982746,8109808,19.346907
"2010-02-16",24.011503,24.191229,23.975557,24.155285,5279680,19.486094
"2010-02-17",24.241552,24.349388,24.119339,24.198418,3859051,19.520889
"2010-02-18",24.205606,24.349388,24.119339,24.205606,4080220,19.526691
"2010-02-19",24.097771,24.313444,24.054638,24.291876,4105954,19.596289
"2010-02-22",24.299065,24.327822,24.076204,24.212797,4423519,19.532484
"2010-02-23",24.198418,24.277498,24.011503,24.140905,4232813,19.474497
"2010-02-24",24.248741,24.306253,24.054638,24.234364,3992448,19.549889
"2010-02-25",23.997124,24.255932,23.910854,24.227175,7090623,19.544086
"2010-02-26",24.248741,24.342199,24.148094,24.241552,3504068,19.555687
"2010-03-01",24.277498,24.442846,24.162474,24.356579,3931940,19.648481
"2010-03-02",24.471603,24.550682,24.356579,24.500359,6773475,19.764465
"2010-03-03",24.557873,24.636951,24.342199,24.42128,3866841,19.70067
"2010-03-04",24.507549,24.601006,24.255932,24.457226,4118890,19.729666
"2010-03-05",24.536304,25.097052,24.42128,25.068296,7705305,20.222624
"2010-03-08",25.233644,25.629044,25.176132,25.456507,6864307,20.535797
"2010-03-09",26.017254,26.592381,25.916607,26.312006,14821801,21.225918
"2010-03-10",26.376707,26.578001,26.218548,26.5133,7121225,21.388313
"2010-03-11",26.441408,26.872753,26.391087,26.815241,5115263,21.631887
"2010-03-12",26.959023,27.030912,26.66427,26.937454,6842607,21.730471
"2010-03-15",26.851187,27.088427,26.786486,27.088427,4431726,21.85227
"2010-03-16",27.102804,27.124371,26.815241,27.052481,3984241,21.823263
"2010-03-17",27.059669,27.936735,27.030912,27.778578,9834926,22.409016
"2010-03-18",27.706686,27.771387,27.390368,27.426311,6812562,22.124834
"2010-03-19",27.275341,27.713875,27.217829,27.275341,8597910,22.003056
"2010-03-22",27.167505,27.491014,27.167505,27.426311,4265780,22.124834
"2010-03-23",27.555716,27.606039,27.304098,27.498203,4696016,22.182835
"2010-03-24",27.51977,27.51977,27.239395,27.260963,5151847,21.991459
"2010-03-25",27.455069,27.641985,27.354422,27.354422,4844297,22.066841
"2010-03-26",27.440689,27.59885,27.390368,27.512581,3286377,22.194426
"2010-03-29",27.67074,27.75701,27.239395,27.44788,5037646,22.142233
"2010-03-30",27.440689,27.67074,27.390368,27.591661,4502667,22.258226
"2010-03-31",27.476637,27.627605,27.311287,27.555716,4553717,22.229227
"2010-04-01",27.663551,28.209921,27.663551,28.181166,7046945,22.733784
"2010-04-05",28.36808,28.950396,28.245867,28.785048,7924805,23.220928
"2010-04-06",28.749102,28.806614,28.576565,28.612509,8345722,23.081743
"2010-04-07",28.641266,28.957584,28.576565,28.864126,6592227,23.284723
"2010-04-08",28.835369,28.907261,28.598131,28.806614,5664569,23.238329
"2010-04-09",28.91445,29.259525,28.77067,29.259525,5471081,23.603697
"2010-04-12",29.410496,29.554277,29.259525,29.317038,6942342,23.650089
"2010-04-13",29.403307,29.698059,29.194824,29.590223,9914074,23.870468
"2010-04-14",29.575846,30.079081,29.5399,29.964054,12611502,24.296
"2010-04-15",30.402588,31.459381,30.373833,30.754852,15775192,24.937201
"2010-04-16",30.553558,30.733286,30.22286,30.69734,12794001,24.890574
"2010-04-19",30.690151,30.819553,30.438534,30.682962,6166999,24.878912
"2010-04-20",30.84831,30.999281,30.575127,30.984903,5443539,25.123745
"2010-04-21",30.984903,31.179008,30.740475,30.992092,4206384,25.129566
"2010-04-22",30.898634,31.107117,30.733286,31.042416,5536458,25.170368
"2010-04-23",31.107117,31.250898,30.869879,31.22933,4470674,25.32193
"2010-04-26",31.294033,31.63192,31.258087,31.588785,6247677,25.613386
"2010-04-27",31.509705,31.538462,30.618259,30.754852,6286485,24.937201
"2010-04-28",30.841122,30.884256,30.179728,30.445723,6738282,24.686554
"2010-04-29",30.575127,31.013659,30.560747,30.747663,5029856,24.931376
"2010-04-30",30.805176,30.869879,30.373833,30.496046,5504743,24.727364
"2010-05-03",30.647017,31.071173,30.567938,30.963337,3833040,25.106255
"2010-05-04",30.776421,30.776421,29.870598,29.964054,5586395,24.296
"2010-05-05",29.5399,30.057512,29.245148,29.734003,5808399,24.109461
