"dates","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
"2010-01-04",59.310001,60.139999,59.310001,60.02,782400,55.417038
"2010-01-05",61.32,61.98,60.650002,61.919998,1718100,57.171318
"2010-01-06",62.060001,62.119999,61.470001,61.900002,1277300,57.152866
"2010-01-07",62.849998,63.700001,62.16,63.32,1683500,58.46397
"2010-01-08",61.810001,62.84,61.099998,61.990002,2149500,57.235977
"2010-01-11",62.400002,63.810001,62.200001,63.360001,1426000,58.5009
"2010-01-12",63.200001,63.560001,61.73,62.139999,1476200,57.374454
"2010-01-13",62.259998,62.790001,61.73,62.549999,766400,57.753021
"2010-01-14",62.400002,62.869999,62.150002,62.73,755300,57.919216
"2010-01-15",62.490002,62.689999,61.450001,61.75,1431500,57.014366
"2010-01-19",61.939999,63.740002,61.900002,63.709999,1656600,58.824059
"2010-01-20",63.700001,64.769997,62.040001,62.529999,1544600,57.734554
"2010-01-21",62.529999,63,61.189999,61.349998,1038000,56.645054
"2010-01-22",62.099998,63.009998,60.560001,60.59,1666600,55.943336
"2010-01-25",61.220001,62.150002,60.529999,60.84,1886100,56.174152
"2010-01-26",60.68,61.16,60.419998,60.66,1369400,56.007969
"2010-01-27",60.470001,60.470001,58.889999,59.880001,1655100,55.287773
"2010-01-28",58.25,59.279999,56.529999,56.849998,3494800,52.490166
"2010-01-29",56.939999,56.970001,55.349998,56.32,3514500,52.000801
"2010-02-01",56.459999,57.09,55.57,57.029999,2072500,52.656349
"2010-02-02",57.110001,58.52,56.950001,58.299999,2173500,53.828964
"2010-02-03",58.169998,58.169998,57.060001,57.130001,1272100,52.74868
"2010-02-04",56.59,56.880001,55.57,55.619999,1619000,51.354485
"2010-02-05",55.5,55.59,54.720001,55.43,1726900,51.179058
"2010-02-08",55.209999,56.310001,55.209999,55.419998,1338200,51.169823
"2010-02-09",55.889999,56.529999,55.57,56.080002,1519000,51.779209
"2010-02-10",56.009998,57.220001,55.900002,56.68,2530800,52.333206
"2010-02-11",56.419998,57.939999,56.419998,57.599998,2396300,53.182625
"2010-02-12",57.049999,57.43,56.560001,57.240002,1156600,52.85025
"2010-02-16",57.470001,58.360001,57.34,58.360001,1000200,53.884357
"2010-02-17",58.419998,58.540001,58.02,58.34,984200,53.865887
"2010-02-18",58.119999,58.490002,57.990002,58.400002,767000,53.921272
"2010-02-19",58.290001,58.619999,57.650002,58.099998,1072400,53.644295
"2010-02-22",58.099998,58.310001,57.73,58.139999,701500,53.681229
"2010-02-23",57.939999,58.02,57.02,57.380001,820800,52.979519
"2010-02-24",57.470001,57.91,57.209999,57.439999,1071600,53.034912
"2010-02-25",57.07,57.32,56.48,57.240002,1054200,52.85025
"2010-02-26",57.220001,57.759998,57,57.330002,917500,52.93335
"2010-03-01",57.43,58.57,57.279999,58.23,1132300,53.764324
"2010-03-02",58.439999,59.32,58.23,59.060001,964100,54.53067
"2010-03-03",59,59.240002,58.720001,59.040001,869200,54.512211
"2010-03-04",59.150002,59.150002,58.5,58.779999,1172500,54.272148
"2010-03-05",58.869999,60.299999,58.790001,60.099998,1614200,55.490913
"2010-03-08",60.130001,60.52,59.509998,59.549999,1025400,54.983093
"2010-03-09",59.18,59.48,59.040001,59.110001,1202800,54.576843
"2010-03-10",58.939999,59.07,58.5,58.860001,1256400,54.346001
"2010-03-11",58.650002,58.759998,56.099998,57.029999,9028000,52.656349
"2010-03-12",57.439999,59.299999,57.439999,59.240002,4746800,54.696873
"2010-03-15",58.98,59.349998,58.009998,58.240002,2643900,53.773556
"2010-03-16",58.450001,58.650002,57.389999,57.810001,1964500,53.37653
"2010-03-17",57.84,58,57.41,57.639999,2172400,53.219574
"2010-03-18",57.630001,57.790001,57.330002,57.439999,1729100,53.034912
"2010-03-19",56.970001,57.580002,56.23,56.970001,2438600,52.600945
"2010-03-22",57.009998,58.27,56.82,58.200001,3306600,53.736618
"2010-03-23",58.27,58.610001,57.57,58.459999,1468100,53.976685
"2010-03-24",58.189999,58.630001,57.959999,58.049999,993800,53.598118
"2010-03-25",58.349998,58.349998,57.459999,57.48,1327800,53.071842
"2010-03-26",57.700001,57.98,57.150002,57.310001,1223700,52.914871
"2010-03-29",57.389999,58.68,57.34,58.610001,1474700,54.115177
"2010-03-30",58.540001,59.110001,58.279999,59.029999,1754500,54.502972
"2010-03-31",58.900002,59.43,58.709999,59.200001,1962400,54.659931
"2010-04-01",59.419998,59.990002,59.330002,59.990002,1508300,55.389347
"2010-04-05",60.09,60.259998,59.349998,59.5,1140700,54.936916
"2010-04-06",59.27,59.66,58.799999,58.950001,1856500,54.4291
"2010-04-07",58.830002,59.450001,58.5,59.080002,1993700,54.549126
"2010-04-08",58.880001,59.23,58.599998,59.080002,1357900,54.549126
"2010-04-09",58.990002,59.560001,58.799999,59.549999,1064300,54.983093
"2010-04-12",59.549999,59.810001,59.290001,59.34,734800,54.789204
"2010-04-13",59.27,60.150002,59.060001,60.09,1317800,55.481678
"2010-04-14",60.02,61.119999,59.73,61.029999,2212300,56.349586
"2010-04-15",61.48,62.34,60.77,61,2644200,56.321896
"2010-04-16",60.849998,61.110001,59.799999,60.48,1965200,55.84177
"2010-04-19",60.23,60.529999,59.66,60.369999,1178000,55.740204
"2010-04-20",60.66,61.290001,60.66,61.18,1973100,56.488094
"2010-04-21",61.09,61.09,59.860001,60.220001,2520700,55.601704
"2010-04-22",59.290001,60.639999,58.5,60.619999,2803000,55.971039
"2010-04-23",60.66,61.119999,60.310001,60.970001,2322600,56.294189
"2010-04-26",62.16,62.5,61.02,61.139999,3616400,56.451157
"2010-04-27",60.950001,61.68,60.630001,60.82,2433500,56.155697
"2010-04-28",61.130001,61.93,60.73,61.450001,2461200,56.737381
"2010-04-29",61.869999,61.970001,61.380001,61.610001,2769000,56.885105
"2010-04-30",61.52,61.970001,60.5,60.91,1430300,56.238785
"2010-05-03",60.959999,61.490002,60.580002,61.330002,707500,56.626587
"2010-05-04",60.68,61.080002,60,60.240002,1440700,55.620193
"2010-05-05",59.84,60.34,59.48,60.310001,2280700,55.684818
"2010-05-06",60,61.07,57.669998,59.740002,4451000,55.158516
"2010-05-07",59.419998,59.599998,57.720001,58.5,3506600,54.013611
"2010-05-10",60.419998,61.439999,59.91,60.880001,1966200,56.21109
