"dates","ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume","ABT.Adjusted"
"2010-01-04",26.000362,26.177889,25.870815,26.129908,10829095,20.074522
"2010-01-05",26.134706,26.134706,25.789249,25.918797,10562109,19.912334
"2010-01-06",25.880411,26.096321,25.837231,26.062737,11401417,20.022911
"2010-01-07",26.057938,26.283443,25.942785,26.278646,12857232,20.188793
"2010-01-08",26.273848,26.508949,26.235464,26.412991,12148604,20.292002
"2010-01-11",26.53294,26.619305,26.422586,26.547335,10947270,20.395214
"2010-01-12",26.484961,26.652889,26.403395,26.470566,10939350,20.336233
"2010-01-13",26.321829,26.648092,26.31703,26.528143,10538975,20.52931
"2010-01-14",26.494556,26.686476,26.389,26.556931,8982493,20.55159
"2010-01-15",26.561728,26.662485,26.465769,26.624102,16132555,20.603577
"2010-01-19",26.652889,27.1087,26.633698,26.96476,16663610,20.867193
"2010-01-20",26.979155,27.247843,26.681679,26.983952,14080659,20.882048
"2010-01-21",26.969559,27.1087,26.389,26.657688,17317216,20.62956
"2010-01-22",26.547335,26.705667,26.10112,26.153898,14599208,20.239695
"2010-01-25",26.273848,26.633698,26.163494,26.24506,10109421,20.310244
"2010-01-26",26.182686,26.230665,26.033949,26.139503,13814506,20.228565
"2010-01-27",25.95718,25.976372,25.501369,25.861219,24107753,20.013201
"2010-01-28",25.95718,26.125111,25.736471,25.88521,13856398,20.031769
"2010-01-29",25.947584,25.947584,25.376621,25.400612,19832013,19.656748
"2010-02-01",25.482178,25.760462,25.467785,25.592531,18361192,19.805271
"2010-02-02",25.568542,26.197081,25.52536,26.120312,17214256,20.213713
"2010-02-03",26.086725,26.283443,25.95718,26.221069,14158816,20.291683
"2010-02-04",26.269051,26.269051,25.808441,25.822836,19169446,19.983492
"2010-02-05",25.731674,25.971575,25.573339,25.894806,22546061,20.03919
"2010-02-08",25.837231,25.88521,25.578138,25.59733,14861192,19.808989
"2010-02-09",25.736471,25.899605,25.592531,25.59733,23229471,19.808989
"2010-02-10",25.554148,25.664501,25.271067,25.554148,15479366,19.775568
"2010-02-11",25.558947,25.770058,25.395815,25.688492,13413297,19.879538
"2010-02-12",25.52536,25.909201,25.482178,25.875614,17566069,20.024343
"2010-02-16",26.024351,26.235464,25.798845,26.192282,15742184,20.2694
"2010-02-17",26.288242,26.379404,26.182686,26.269051,13285744,20.328814
"2010-02-18",26.240261,26.389,26.230665,26.374605,11171113,20.410496
"2010-02-19",26.331425,26.336222,25.947584,26.091524,20116924,20.191425
"2010-02-22",26.144302,26.158695,25.890009,26.10112,11966236,20.198851
"2010-02-23",26.019554,26.134706,25.789249,25.894806,13961234,20.03919
"2010-02-24",26.000362,26.168291,25.866018,26.067533,14141309,20.172861
"2010-02-25",25.894806,26.000362,25.722078,25.966776,12305752,20.094896
"2010-02-26",25.995564,26.163494,25.837231,26.043545,14675281,20.154299
"2010-03-01",26.086725,26.221069,25.976372,26.048342,9501667,20.15801
"2010-03-02",26.014755,26.24506,25.971575,26.187485,10419341,20.26569
"2010-03-03",26.197081,26.312231,25.870815,25.947584,13975823,20.080042
"2010-03-04",26.144302,26.149099,25.866018,25.947584,13258858,20.080042
"2010-03-05",25.976372,26.096321,25.966776,26.062737,15291788,20.169146
"2010-03-08",26.086725,26.17309,25.966776,26.110716,8986453,20.206284
"2010-03-09",26.000362,26.369808,25.971575,26.293039,12287828,20.347372
"2010-03-10",26.297838,26.652889,26.254656,26.403395,17001042,20.43277
"2010-03-11",26.408192,26.652889,26.31703,26.648092,11900584,20.622137
"2010-03-12",26.408192,26.412991,25.774857,26.158695,33828679,20.24341
"2010-03-15",26.105919,26.293039,25.966776,26.293039,15406419,20.347372
"2010-03-16",26.312231,26.384201,26.134706,26.235464,12421426,20.302818
"2010-03-17",26.312231,26.331425,26.053141,26.149099,15366194,20.235979
"2010-03-18",26.120312,26.168291,25.722078,25.798845,32043351,19.964928
"2010-03-19",25.650108,25.861219,25.520561,25.650108,34032097,19.849831
"2010-03-22",25.621321,26.019554,25.573339,25.846827,15663610,20.002056
"2010-03-23",25.961979,26.096321,25.822836,26.072332,9704460,20.176571
"2010-03-24",26.02915,26.067533,25.794048,25.846827,13205711,20.002056
"2010-03-25",26.043545,26.057938,25.6693,25.678896,17738224,19.872105
"2010-03-26",25.765261,25.803644,25.160711,25.38142,25017716,19.641899
"2010-03-29",25.467785,25.501369,25.299854,25.486977,22003752,19.723589
"2010-03-30",25.443794,25.554148,25.184702,25.194298,27988954,19.497089
"2010-03-31",25.218288,25.424603,25.050358,25.275864,15870363,19.560209
"2010-04-01",25.333441,25.415007,25.227884,25.410208,12903501,19.664175
"2010-04-05",25.424603,25.549351,25.28546,25.395815,11130471,19.653046
"2010-04-06",25.367025,25.486977,25.227884,25.352633,15102334,19.619621
"2010-04-07",25.28546,25.395815,25.131924,25.189501,20577115,19.493382
"2010-04-08",25.232681,25.280663,25.045561,25.083944,15111296,19.411695
"2010-04-09",25.117531,25.35743,25.083944,25.299854,11637557,19.578777
"2010-04-12",25.429399,25.429399,25.136723,25.271067,13458108,19.556501
"2010-04-13",25.026367,25.179905,25.026367,25.083944,14442059,19.575226
"2010-04-14",25.151115,25.170307,24.916014,25.098337,19029179,19.586452
