"dates","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2010-01-04",41.52,42.200001,41.5,42.07,3650100,33.718582
"2010-01-05",42.099998,42.450001,41.98,42.330002,2613000,33.926979
"2010-01-06",42.09,42.900002,41.810001,42.779999,5772100,34.287651
"2010-01-07",42.5,42.900002,42.240002,42.740002,4022900,34.255581
"2010-01-08",42.509998,43.060001,42.189999,42.57,5069700,34.119335
"2010-01-11",42.439999,42.810001,42.23,42.529999,4231900,34.087284
"2010-01-12",42.209999,43.619999,42.200001,42.259998,5557100,33.870872
"2010-01-13",42.450001,42.93,42.200001,42.740002,4496800,34.255581
"2010-01-14",42.720001,43.290001,42.599998,43.119999,3312500,34.560154
"2010-01-15",42.959999,43.59,42.740002,42.810001,4734200,34.311691
"2010-01-19",42.689999,43.830002,42.5,43.75,5343600,35.065094
"2010-01-20",43.360001,43.889999,43.049999,43.509998,4409900,34.872726
"2010-01-21",43.439999,43.779999,42.860001,43.09,4578300,34.536114
"2010-01-22",43.02,43.02,41.889999,42.18,4903400,33.806755
"2010-01-25",42.540001,42.540001,41.619999,41.880001,3665700,33.566315
"2010-01-26",41.759998,42.189999,41.529999,41.830002,3459000,33.526226
"2010-01-27",41.91,42.5,41.529999,41.93,4562300,33.606384
"2010-01-28",42.150002,42.150002,41.099998,41.290001,4773300,33.093418
"2010-01-29",41.639999,41.970001,40.939999,40.990002,4618100,32.852985
"2010-02-01",41.16,41.599998,40.91,41.189999,3540100,33.013287
"2010-02-02",41.389999,41.84,40.799999,41.619999,3817900,33.357922
"2010-02-03",41.549999,41.689999,41.389999,41.599998,2555100,33.341888
"2010-02-04",41.380001,41.380001,40.560001,40.610001,4069400,32.548424
"2010-02-05",40.209999,40.75,39.700001,40.540001,5850400,32.492302
"2010-02-08",40.43,40.57,39.900002,40.169998,4514200,32.195759
"2010-02-09",40.470001,40.779999,40.18,40.240002,4525700,32.251869
"2010-02-10",40.330002,40.549999,39.630001,40.02,4885800,32.075539
"2010-02-11",40.02,40.599998,39.610001,40.27,4753300,32.275913
"2010-02-12",40.34,40.540001,39.799999,40.490002,3347700,32.452236
"2010-02-16",40.700001,40.84,40.220001,40.84,2420000,32.732761
"2010-02-17",41.119999,41.119999,40.66,40.790001,2480300,32.692688
"2010-02-18",40.84,41.34,40.73,41.310001,2309400,33.109459
"2010-02-19",40.259998,41.41,40.259998,40.869999,5039200,32.756805
"2010-02-22",40.990002,41.09,40.549999,40.700001,2421400,32.620552
"2010-02-23",40.59,40.860001,40.240002,40.259998,2600900,32.267891
"2010-02-24",40.419998,40.630001,40.240002,40.279999,3261600,32.283928
"2010-02-25",40.009998,40.169998,39.549999,39.75,5548700,31.859142
"2010-02-26",39.75,40.25,39.720001,39.970001,4534000,32.035473
"2010-03-01",39.880001,40.450001,39.880001,40.09,4157800,32.131649
"2010-03-02",40.32,40.919998,40.25,40.599998,3726700,32.540401
"2010-03-03",40.759998,40.91,40.52,40.639999,3194000,32.57246
"2010-03-04",40.560001,41,40.439999,40.91,3642900,32.788864
"2010-03-05",41.09,41.470001,40.830002,41.18,2781800,33.005253
"2010-03-08",41.060001,41.610001,41.060001,41.459999,4536100,33.229683
"2010-03-09",41.200001,42.310001,41.200001,42.060001,4826300,33.710583
"2010-03-10",41.959999,42.150002,41.669998,42.060001,3192100,33.710583
"2010-03-11",41.779999,42.07,41.669998,42,3282900,33.662479
"2010-03-12",42.290001,42.389999,41.779999,42.119999,2755900,33.758663
"2010-03-15",42.240002,42.57,42.029999,42.5,2619800,34.063232
"2010-03-16",42.580002,42.599998,41.57,42,4625500,33.662479
"2010-03-17",42.080002,42.990002,41.889999,42.240002,5203200,33.854839
"2010-03-18",42.349998,42.77,41.939999,42.279999,2731700,33.886909
"2010-03-19",42.060001,42.330002,41.400002,42.060001,4329100,33.710583
"2010-03-22",41.869999,42.52,41.790001,42.43,2346200,34.007118
"2010-03-23",42.580002,42.709999,42.169998,42.400002,3822900,33.983089
"2010-03-24",42.290001,42.400002,41.669998,41.790001,3096400,33.494171
"2010-03-25",42.099998,42.48,41.5,41.52,4643600,33.277779
"2010-03-26",41.310001,42.5,41.279999,42.400002,6528800,33.983089
"2010-03-29",42.66,42.93,42.09,42.299999,3810200,33.902939
"2010-03-30",42.110001,42.330002,41.900002,42.209999,3778000,33.830795
"2010-03-31",41.98,42.209999,41.720001,41.950001,3026200,33.622398
"2010-04-01",42.169998,42.650002,41.650002,41.84,3622700,33.534245
"2010-04-05",41.82,42.169998,41.610001,41.959999,2561300,33.630436
"2010-04-06",42.02,42.310001,41.450001,41.52,5802000,33.277779
"2010-04-07",41.509998,41.880001,41.369999,41.560001,5314800,33.309845
"2010-04-08",41.41,42.040001,41.23,41.900002,6134100,33.582333
"2010-04-09",42.060001,42.900002,42.029999,42.830002,5265100,34.327717
"2010-04-12",42.709999,43.080002,42.709999,43.07,3500800,34.520077
"2010-04-13",42.830002,43.119999,42.549999,43.099998,4201500,34.544121
"2010-04-14",43.16,43.360001,42.880001,43.040001,4426100,34.798809
"2010-04-15",43.040001,43.32,42.98,43.240002,3651900,34.96051
"2010-04-16",42.950001,43.360001,42.950001,43.150002,4399800,34.887745
"2010-04-19",42.93,43.049999,42.360001,42.830002,3700900,34.629021
"2010-04-20",43.290001,43.740002,42.900002,43.669998,4988100,35.308178
"2010-04-21",43.68,44,43.59,43.98,4875100,35.558811
"2010-04-22",43.529999,43.970001,43.290001,43.919998,3151900,35.510307
"2010-04-23",43.779999,44.669998,43.75,44.669998,4864100,36.116695
"2010-04-26",44.18,44.52,44.02,44.07,3108200,35.631588
"2010-04-27",43.439999,43.880001,43.099998,43.200001,5239700,34.928165
"2010-04-28",43.459999,43.599998,43.130001,43.52,2752300,35.186909
"2010-04-29",43.919998,44.380001,43.889999,44.189999,3849000,35.728615
"2010-04-30",44.099998,44.209999,43.59,43.639999,3532100,35.283913
"2010-05-03",43.439999,43.82,43.259998,43.75,2423200,35.372864
"2010-05-04",43.240002,43.310001,42.73,43,3608900,34.76646
"2010-05-05",42.48,42.709999,41.939999,42.169998,5743500,34.095387
"2010-05-06",41.939999,42.299999,38.75,41.09,10320000,33.222183
"2010-05-07",40.939999,41.09,40.169998,40.32,8319500,32.599628
"2010-05-10",41.27,41.73,40.790001,41.049999,7077000,33.189854
"2010-05-11",41,41.599998,40.84,41.150002,6271200,33.270706
"2010-05-12",41.389999,41.610001,41.299999,41.459999,5357600,33.521339
"2010-05-13",41.290001,41.630001,40.790001,40.82,5403300,33.003891
"2010-05-14",40.369999,40.5,38.709999,38.990002,10623700,31.524302
"2010-05-17",39,39.82,38.970001,39.82,5350400,32.19537
"2010-05-18",39.799999,40.349998,39.209999,39.259998,4653900,31.742592
"2010-05-19",39.259998,39.5,38.779999,39.240002,3782700,31.726425
"2010-05-20",38.560001,38.91,37.82,37.959999,6359700,30.691505
"2010-05-21",37.25,38.790001,37,38.139999,7745300,30.837051
"2010-05-24",38.09,38.75,38.049999,38.34,3256800,30.998755
"2010-05-25",37.509998,37.98,37.380001,37.93,4567900,30.667257
"2010-05-26",38.02,38.509998,37.400002,37.41,5603600,30.246824
"2010-05-27",38.049999,38.34,37.610001,38.25,5282900,30.925985
"2010-05-28",38.110001,38.220001,37.459999,37.52,5535800,30.33576
"2010-06-01",37.279999,37.380001,36.68,36.709999,6240800,29.680862
"2010-06-02",36.830002,37.119999,36.459999,36.830002,6189700,29.777884
"2010-06-03",36.959999,37.880001,36.790001,37.849998,4418200,30.602581
"2010-06-04",37.209999,37.84,36.869999,36.93,3740100,29.858734
"2010-06-07",37.16,37.200001,36.439999,36.549999,4902600,29.551495
"2010-06-08",36.459999,36.639999,36.049999,36.439999,6039500,29.462561
"2010-06-09",36.709999,37.02,36.299999,36.439999,4115500,29.462561
"2010-06-10",37.009998,37.689999,36.990002,37.66,3363700,30.448956
"2010-06-11",37.470001,37.650002,37.169998,37.639999,3064400,30.432781
"2010-06-14",37.740002,38.240002,37.740002,37.799999,2597900,30.562147
"2010-06-15",37.459999,38.560001,37.279999,38.540001,3651300,31.160456
"2010-06-16",37.779999,38.880001,37.740002,38.689999,3125000,31.28174
"2010-06-17",38.73,38.849998,38.25,38.490002,3530400,31.120028
"2010-06-18",38.700001,39.34,38.439999,38.93,4133700,31.475788
"2010-06-21",39.169998,39.25,38.59,38.810001,3832000,31.378754
"2010-06-22",38.549999,39.099998,38.220001,38.240002,4349300,30.917906
"2010-06-23",38.450001,38.630001,37.810001,38.169998,5422500,30.861301
"2010-06-24",38.139999,38.290001,37.369999,37.549999,6791800,30.360025
"2010-06-25",39.400002,41.130001,39.240002,40.549999,53159900,32.785583
"2010-06-28",40.360001,40.549999,39.560001,39.720001,8682500,32.11451
"2010-06-29",39,39.23,38.490002,38.650002,6533100,31.249399
"2010-06-30",39.34,39.450001,38.52,38.650002,5956900,31.249399
"2010-07-01",38.360001,38.540001,37.77,38.279999,6624400,30.950235
"2010-07-02",38.189999,38.43,37.68,37.939999,3773400,30.675339
"2010-07-06",38.200001,38.720001,37.990002,38.41,4655500,31.055357
"2010-07-07",38.400002,39.259998,38.34,39.259998,4391400,31.742592
"2010-07-08",39.34,39.650002,39.009998,39.34,4044900,31.807281
"2010-07-09",39.290001,39.52,38.880001,39.419998,3749400,31.87196
"2010-07-12",39.189999,39.799999,39.009998,39.73,3226500,32.122597
"2010-07-13",39.779999,40.349998,39.779999,40.25,5391800,32.543026
"2010-07-14",40,40.330002,39.990002,40.099998,2947600,32.421741
"2010-07-15",39.959999,40.09,39.57,40.02,3112600,32.357079
"2010-07-16",39.700001,39.73,38.900002,39,2709900,31.532372
"2010-07-19",39.119999,39.459999,38.990002,39.169998,3373600,31.669832
"2010-07-20",38.5,39,37.98,38.900002,6895300,31.451527
"2010-07-21",39.27,39.27,38.389999,38.610001,5012400,31.217047
"2010-07-22",39.040001,39.889999,39.040001,39.759998,5482100,32.146847
"2010-07-23",39.59,40.419998,39.380001,40.380001,4811500,32.64814
"2010-07-26",40.259998,40.619999,40.119999,40.48,2429200,32.728992
"2010-07-27",40.389999,40.57,40.169998,40.330002,5086100,32.607712
"2010-07-28",40.189999,40.330002,39.73,39.860001,4180400,32.227703
"2010-07-29",40.27,40.27,39.16,39.25,4657700,31.734516
"2010-07-30",39,39.790001,39,39.639999,3355500,32.04982
"2010-08-02",40.169998,40.330002,39.790001,40.330002,3614200,32.607712
"2010-08-03",40.330002,40.529999,39.93,40,3803600,32.3409
"2010-08-04",39.970001,40.43,39.919998,40.34,3367300,32.615795
"2010-08-05",40.169998,40.220001,39.919998,39.970001,2836300,32.31665
"2010-08-06",39.75,40.369999,39.650002,40.27,3869300,32.559196
"2010-08-09",40.060001,40.75,39.990002,40.57,2820600,32.80175
"2010-08-10",39.849998,40.740002,39.700001,40.470001,3381500,32.720913
"2010-08-11",39.860001,40.189999,39.720001,39.990002,3015300,32.332817
"2010-08-12",39.310001,39.580002,39.18,39.459999,3496600,31.904285
"2010-08-13",39.25,39.509998,38.830002,38.849998,3434100,31.411091
"2010-08-16",38.880001,39.23,38.48,38.91,2820400,31.459608
"2010-08-17",39.25,39.959999,39.139999,39.66,3161100,32.066006
"2010-08-18",39.709999,39.759998,39.389999,39.66,2261500,32.066006
"2010-08-19",39.419998,39.619999,38.650002,38.900002,4763400,31.451527
"2010-08-20",38.709999,38.759998,38.189999,38.419998,4549300,31.063438
"2010-08-23",38.689999,38.73,37.509998,38,5212400,30.723856
"2010-08-24",37.529999,37.939999,37.189999,37.189999,5303000,30.068947
"2010-08-25",36.919998,37.389999,36.830002,37.279999,5689400,30.141716
"2010-08-26",37.5,37.700001,37.099998,37.139999,3598200,30.028519
"2010-08-27",37.369999,37.490002,36.970001,37.200001,3928800,30.077036
"2010-08-30",36.959999,37.34,36.799999,36.900002,2601900,29.83448
"2010-08-31",36.610001,36.860001,36.450001,36.599998,5827600,29.591923
"2010-09-01",36.970001,37.830002,36.970001,37.400002,5251900,30.238737
"2010-09-02",37.380001,38.02,37.220001,37.990002,3656500,30.715773
"2010-09-03",38.470001,38.599998,38.07,38.580002,2960900,31.192801
"2010-09-07",38.610001,38.82,38.279999,38.349998,2669400,31.006842
"2010-09-08",38.369999,38.669998,38.09,38.130001,3287800,30.828966
"2010-09-09",38.52,38.52,38.119999,38.209999,3693800,30.893642
"2010-09-10",38.330002,38.93,38.330002,38.82,3566600,31.386841
"2010-09-13",39,39.16,38.889999,39.09,2373400,31.605141
"2010-09-14",38.869999,39.310001,38.869999,39.209999,2492400,31.702156
"2010-09-15",39.189999,39.720001,38.880001,39.639999,3281100,32.04982
"2010-09-16",39.57,39.93,39.549999,39.869999,2516000,32.235798
"2010-09-17",39.849998,40.57,39.75,40.560001,8160900,32.793667
"2010-09-20",40.470001,41.580002,40.470001,41.549999,4442000,33.594109
"2010-09-21",41.419998,41.580002,41.080002,41.540001,4646200,33.586025
"2010-09-22",41.580002,42.259998,41,42.259998,4965700,34.168163
