"dates","ADM.Open","ADM.High","ADM.Low","ADM.Close","ADM.Volume","ADM.Adjusted"
"2010-01-04",31.48,31.84,31.33,31.469999,3472500,23.335228
"2010-01-05",31.549999,31.77,31.4,31.639999,3458700,23.461292
"2010-01-06",31.6,31.889999,31.43,31.559999,3745800,23.40197
"2010-01-07",31.549999,31.700001,31.049999,31.23,7232100,23.157267
"2010-01-08",31.120001,31.190001,30.52,30.84,6264700,22.868082
"2010-01-11",30.969999,31.32,30.6,30.860001,5019600,22.882917
"2010-01-12",30.68,30.860001,30.32,30.530001,4278400,22.63822
"2010-01-13",30.639999,30.83,30.379999,30.66,3335100,22.734617
"2010-01-14",30.58,30.969999,30.5,30.74,3234000,22.793934
"2010-01-15",30.77,30.969999,30.299999,30.540001,3693700,22.645632
"2010-01-19",30.5,30.879999,30.43,30.540001,4336000,22.645632
"2010-01-20",31.030001,31.190001,30.65,30.9,7735400,22.912571
"2010-01-21",30.940001,30.98,30.41,30.440001,8686100,22.571482
"2010-01-22",30.33,30.9,30.07,30.469999,6270800,22.593733
"2010-01-25",30.709999,30.709999,29.700001,29.77,6367700,22.074678
"2010-01-26",29.65,29.77,29.530001,29.629999,5009300,21.97086
"2010-01-27",29.610001,29.889999,29.52,29.75,5128500,22.059847
"2010-01-28",29.790001,30.190001,29.75,29.950001,7374100,22.208147
"2010-01-29",30.120001,30.309999,29.65,29.969999,6580200,22.222979
"2010-02-01",30.07,30.18,29.65,30.16,5922200,22.363859
"2010-02-02",30.42,31.799999,30.370001,31.629999,10066300,23.453873
"2010-02-03",31.549999,31.76,30.91,31.18,5960500,23.120195
"2010-02-04",30.9,30.969999,30.030001,30.059999,6939900,22.289709
"2010-02-05",30.299999,30.83,30.08,30.610001,7456500,22.697542
"2010-02-08",30.610001,30.74,29.85,29.889999,6611200,22.163651
"2010-02-09",30.16,30.280001,29.57,29.91,8241300,22.17848
"2010-02-10",29.959999,30.110001,29.75,29.99,4799300,22.237804
"2010-02-11",29.879999,30.370001,29.5,30.030001,5744000,22.267462
"2010-02-12",29.68,29.93,29.459999,29.77,5090900,22.074678
"2010-02-16",29.889999,30,29.25,29.48,7384300,21.970337
"2010-02-17",29.620001,29.889999,29.559999,29.879999,4611900,22.268442
"2010-02-18",29.719999,30.040001,29.690001,29.969999,3679600,22.335518
"2010-02-19",29.860001,30.049999,29.58,29.950001,3897500,22.320614
"2010-02-22",29.83,30.049999,29.65,29.809999,3619800,22.21627
"2010-02-23",29.809999,29.83,29.459999,29.620001,5819300,22.074677
"2010-02-24",29.620001,29.860001,29.43,29.57,4607500,22.037409
"2010-02-25",29.200001,29.469999,29.08,29.469999,4701500,21.962881
"2010-02-26",29.5,29.57,29.15,29.360001,3487500,21.880907
"2010-03-01",29.49,29.75,29.440001,29.66,2732700,22.104479
"2010-03-02",29.73,30.25,29.66,29.85,4422200,22.24608
"2010-03-03",29.99,30.059999,29.66,29.780001,3891600,22.193916
"2010-03-04",29.84,30.01,29.67,30,3504000,22.35787
"2010-03-05",30,30.700001,29.959999,30.620001,5047800,22.819933
"2010-03-08",30.67,30.799999,30.34,30.57,2761700,22.782673
"2010-03-09",30.469999,30.68,30.389999,30.51,4476400,22.737957
"2010-03-10",30.559999,30.629999,30.059999,30.24,4428800,22.536734
"2010-03-11",30.07,30.17,29.33,29.440001,8551000,21.940527
"2010-03-12",29.74,29.76,28.559999,28.66,7700400,21.359219
"2010-03-15",28.780001,28.83,28.450001,28.610001,4943900,21.321957
"2010-03-16",28.99,28.99,28.309999,28.59,4822400,21.307049
"2010-03-17",28.6,29.1,28.540001,29.1,5398200,21.687136
"2010-03-18",29.18,29.25,28.809999,29.24,5884200,21.791473
"2010-03-19",29.09,29.4,28.629999,29.09,6960800,21.679684
"2010-03-22",28.879999,29.33,28.76,29.33,4084700,21.858547
"2010-03-23",29.280001,29.360001,28.969999,29.32,4818300,21.851084
"2010-03-24",29.190001,29.190001,28.120001,28.5,8886100,21.239981
"2010-03-25",28.66,28.74,28.24,28.26,6065500,21.061115
"2010-03-26",28.450001,28.559999,28.059999,28.42,6438700,21.180355
"2010-03-29",29.08,29.129999,28.690001,29.030001,7454400,21.634966
"2010-03-30",29,29.09,28.639999,28.93,5522800,21.560436
"2010-03-31",28.91,29.02,28.52,28.9,4664700,21.538078
"2010-04-01",28.969999,29.200001,28.889999,29.110001,3744300,21.694597
"2010-04-05",29.26,29.26,28.32,28.459999,7385200,21.210173
"2010-04-06",28.459999,28.48,28.120001,28.23,7659800,21.038757
"2010-04-07",28.110001,28.34,28.030001,28.25,6621300,21.053658
"2010-04-08",28.129999,28.290001,27.969999,28.059999,6438400,20.912064
"2010-04-09",28.09,28.299999,28.040001,28.26,4140800,21.061115
"2010-04-12",28.07,28.370001,28.049999,28.370001,3879300,21.143095
"2010-04-13",28.360001,28.5,28.030001,28.18,4786900,21.001497
"2010-04-14",28.360001,28.360001,28.08,28.309999,6167700,21.098375
"2010-04-15",28.32,28.52,28.15,28.34,4650300,21.120735
"2010-04-16",28.290001,28.540001,28.1,28.25,5438400,21.053658
"2010-04-19",28.190001,28.4,28.049999,28.26,3607600,21.061115
"2010-04-20",28.309999,29.02,28.190001,28.92,7695600,21.552982
"2010-04-21",29,29.1,28.65,28.77,5184200,21.441198
"2010-04-22",28.629999,28.629999,28.26,28.459999,5011600,21.210173
"2010-04-23",28.43,28.52,28.200001,28.5,4034500,21.239981
"2010-04-26",28.59,28.700001,28.389999,28.440001,3819100,21.195255
"2010-04-27",28.280001,28.5,27.85,27.879999,6792900,20.777916
"2010-04-28",27.950001,28.16,27.879999,28.01,7609300,20.874802
"2010-04-29",28.190001,28.309999,27.969999,28.120001,9038900,20.956779
"2010-04-30",28.190001,28.379999,27.93,27.940001,6924900,20.822634
"2010-05-03",28.23,28.25,27.65,27.719999,8694800,20.658669
"2010-05-04",27.540001,27.65,26.030001,26.219999,16207400,19.540779
"2010-05-05",26.190001,26.629999,25.76,26.450001,11111900,19.712191
"2010-05-06",26.360001,26.43,24.77,25.700001,9342400,19.153242
"2010-05-07",25.889999,26.27,25.559999,25.940001,11861400,19.332109
"2010-05-10",26.690001,26.860001,26.379999,26.610001,6235400,19.831434
"2010-05-11",26.459999,27.200001,26.25,27.02,7711300,20.136988
"2010-05-12",27.030001,27.549999,26.92,27.5,6043600,20.494719
"2010-05-13",27.4,27.58,26.99,27.15,4644200,20.233871
"2010-05-14",27,27.120001,26.67,26.77,4800600,19.950676
"2010-05-17",26.84,27.24,26.620001,27.17,5981900,20.248779
"2010-05-18",27.25,27.42,26.690001,26.709999,5323600,20.016468
"2010-05-19",26.6,26.790001,26.4,26.67,4384600,19.986492
"2010-05-20",26.17,26.17,25.35,25.379999,8227900,19.019766
"2010-05-21",24.870001,25.629999,24.85,25.41,7830000,19.042248
"2010-05-24",25.280001,25.280001,24.91,24.92,6152200,18.675039
"2010-05-25",24.52,24.73,24.219999,24.700001,8677500,18.51017
"2010-05-26",24.9,25.07,24.719999,24.870001,9500600,18.637571
"2010-05-27",25.08,25.440001,24.98,25.43,5430700,19.057232
"2010-05-28",25.42,25.549999,25.200001,25.27,6349600,18.93733
"2010-06-01",25.049999,25.48,24.82,25,4636700,18.734995
"2010-06-02",25.120001,25.57,25.02,25.559999,4979600,19.154663
"2010-06-03",25.540001,25.620001,25.34,25.530001,2960600,19.132174
"2010-06-04",25.25,25.299999,24.799999,24.83,5935200,18.607594
"2010-06-07",24.799999,25,24.5,24.51,4135700,18.367786
"2010-06-08",24.58,24.9,24.42,24.889999,4911200,18.652561
"2010-06-09",25.049999,25.440001,24.84,24.93,4756000,18.682533
"2010-06-10",25.24,25.629999,25.09,25.389999,4398400,19.027258
"2010-06-11",25.190001,25.66,25.01,25.639999,4325900,19.214609
"2010-06-14",25.74,25.91,25.610001,25.65,3197600,19.222105
"2010-06-15",25.860001,26.719999,25.799999,26.709999,6228300,20.016468
"2010-06-16",26.540001,26.780001,26.459999,26.780001,5853600,20.06893
"2010-06-17",26.860001,27.66,26.85,27.51,12251500,20.61599
"2010-06-18",27.469999,27.629999,27.17,27.190001,6744300,20.376177
"2010-06-21",27.49,27.58,26.99,27.16,5150100,20.353695
"2010-06-22",27.139999,27.139999,26.59,26.65,6062600,19.971508
"2010-06-23",26.440001,27.190001,26.440001,26.99,4968000,20.226297
"2010-06-24",26.860001,27.1,26.280001,26.459999,7517600,19.829117
"2010-06-25",26.469999,26.610001,26.27,26.34,9200600,19.739189
"2010-06-28",26.34,26.870001,26.280001,26.65,4251500,19.971508
"2010-06-29",26.290001,26.48,25.889999,26.01,7471200,19.491888
"2010-06-30",26.030001,26.110001,25.67,25.82,6624000,19.349503
"2010-07-01",26.030001,26.190001,25.51,25.76,5301000,19.304539
