"dates","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2011-11-17",17.812239,18.373846,17.812239,17.879295,20946098,16.338985
"2011-11-18",17.896061,18.04694,17.393127,17.602682,3243171,16.086205
"2011-11-21",17.602682,17.795473,16.781223,17.015926,2823115,15.549997
"2011-11-22",17.015926,17.359598,16.471081,16.680637,3565519,15.243593
"2011-11-23",16.512993,16.554905,16.110645,16.454317,1266250,15.036773
"2011-11-25",16.387259,16.613579,16.345348,16.471081,333563,15.05209
"2011-11-28",16.647108,17.03269,16.487846,16.797989,835458,15.350835
"2011-11-29",16.76446,16.76446,16.512993,16.756077,637062,15.312535
"2011-11-30",16.890194,17.988264,16.865046,17.468567,679652,15.963643
"2011-12-01",17.560772,17.644592,17.057837,17.44342,572521,15.94066
"2011-12-02",17.560772,17.979883,17.51886,17.912825,697309,16.369629
"2011-12-05",17.979883,18.365465,17.937971,18.248114,2466885,16.676035
"2011-12-06",18.139145,18.650461,18.113998,18.549873,625251,16.951792
"2011-12-07",18.382231,18.524729,18.290026,18.440905,188017,16.852213
"2011-12-08",18.206203,18.390612,18.122381,18.181055,450835,16.614754
"2011-12-09",18.122381,18.424141,17.812239,18.23135,587791,16.660713
"2011-12-12",17.937971,18.097235,17.812239,18.030176,514780,16.476866
"2011-12-13",18.147528,18.290026,17.778709,17.862532,666529,16.323664
"2011-12-14",17.669741,17.761946,17.225483,17.300922,1255752,15.810443
"2011-12-15",17.585918,18.340319,17.426655,17.569153,850490,16.055563
"2011-12-16",17.569153,18.021793,17.384745,17.577536,250888,16.063229
"2011-12-19",17.661358,17.74518,17.401508,17.594299,177757,16.078543
"2011-12-20",17.963118,18.181055,17.74518,18.021793,381999,16.469208
"2011-12-21",17.912825,18.172674,17.845766,17.937971,320440,16.392603
"2011-12-22",17.963118,18.315172,17.963118,18.264877,446779,16.691351
"2011-12-23",18.290026,18.818106,18.130762,18.390612,647203,16.806255
