"dates","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2010-01-04",32.04237,32.04237,31.309071,31.66214,11467589,25.653774
"2010-01-05",31.673004,31.673004,31.347094,31.444866,5993744,25.477724
"2010-01-06",31.504618,31.716457,31.357958,31.553505,5229361,25.565742
"2010-01-07",31.51005,32.156437,31.461163,32.064095,6279467,25.979446
"2010-01-08",32.102119,32.265072,31.960892,32.140141,5171369,26.041067
"2010-01-11",32.172733,32.172733,31.90114,31.95546,5439419,25.891426
"2010-01-12",31.90114,32.677891,31.825094,32.460621,9434020,26.300728
"2010-01-13",32.536667,32.895164,32.460621,32.791962,7932501,26.569191
"2010-01-14",33.0201,33.612167,32.862576,33.519825,11379957,27.158928
"2010-01-15",33.427486,33.590439,32.982075,33.443783,8236082,27.097321
"2010-01-19",32.677891,33.476372,32.656166,33.373165,10666570,27.040106
"2010-01-20",33.318848,33.590439,32.634438,33.025532,8736281,26.758438
"2010-01-21",33.085281,33.085281,32.237915,32.373711,7913170,26.230307
"2010-01-22",32.254211,32.482346,31.863117,31.906572,7451632,25.851816
"2010-01-25",32.031506,32.552959,31.922869,32.026073,6397659,25.948645
"2010-01-26",31.912004,32.221619,31.830526,32.080391,5531653,25.992647
"2010-01-27",32.118416,32.243347,31.493753,31.998915,8232584,25.926638
"2010-01-28",31.330797,31.895708,30.700706,31.613255,11958952,25.614161
"2010-01-29",31.629549,31.781639,31.243889,31.281912,6105861,25.34569
"2010-02-01",31.265617,31.434004,30.950569,31.428572,6613056,25.464529
"2010-02-02",31.401411,31.792503,31.292776,31.759912,5410883,25.732992
"2010-02-03",31.640413,31.711027,31.173275,31.227594,6740453,25.301691
"2010-02-04",31.075502,31.146116,30.602934,30.602934,10924678,24.795563
"2010-02-05",30.564911,30.896252,30.44541,30.738729,8389069,24.90559
"2010-02-08",30.755024,30.879957,30.59207,30.613796,5257160,24.804365
"2010-02-09",30.803911,31.053776,30.467136,30.62466,5890832,24.813166
"2010-02-10",30.662683,30.798479,30.363934,30.488865,6289040,24.703146
"2010-02-11",30.516024,30.559479,30.298752,30.423683,8654725,24.65033
"2010-02-12",30.358501,30.418251,30.032591,30.374796,7184687,24.610722
"2010-02-16",30.494297,30.956001,30.423683,30.928843,6274864,25.059631
"2010-02-17",31.037479,31.45573,31.004889,31.314503,8283211,25.372103
"2010-02-18",31.211298,31.406843,31.059208,31.167845,5374984,25.253275
