"dates","BKR.Open","BKR.High","BKR.Low","BKR.Close","BKR.Volume","BKR.Adjusted"
"2010-01-04",41.220001,41.5,41,41.240002,5888000,23.394239
"2010-01-05",41.43,43.82,41.240002,43.66,10663400,24.76704
"2010-01-06",43.369999,46.029999,43.369999,45.84,10315800,26.003691
"2010-01-07",45.700001,46.220001,45.209999,46.169998,5608800,26.19088
"2010-01-08",45.849998,47.18,45.650002,47.099998,4875600,26.718443
"2010-01-11",47.470001,47.98,46.259998,46.599998,6026300,26.434813
"2010-01-12",46.099998,46.619999,45.43,45.709999,5533200,25.929935
"2010-01-13",45.93,46.75,44.950001,46.549999,3961800,26.406443
"2010-01-14",46.25,47.75,46.25,47.529999,4990600,26.962381
"2010-01-15",47.669998,47.950001,46.549999,47.279999,6627700,26.820557
"2010-01-19",46.970001,48.110001,46.779999,48.049999,3592500,27.257355
"2010-01-20",47.41,47.630001,46.049999,47.139999,4840100,26.741131
"2010-01-21",46.939999,48.080002,46.59,46.630001,8282300,26.451832
"2010-01-22",46.389999,46.389999,44.209999,44.27,7313700,25.113073
"2010-01-25",44.169998,45.639999,43.860001,44.59,6932500,25.2946
"2010-01-26",46.369999,48.740002,45.549999,46.889999,14179300,26.599321
"2010-01-27",46.91,47.959999,46.25,47.599998,9707700,27.002089
"2010-01-28",47.869999,48.09,45.459999,46.470001,5357500,26.444397
"2010-01-29",47.02,48.389999,45.009998,45.279999,7382800,25.767208
"2010-02-01",46.150002,47.450001,45.84,47.330002,5406900,26.933796
"2010-02-02",47.639999,49,46.93,47.259998,5542600,26.893955
"2010-02-03",47.139999,47.950001,46.860001,47.32,4127600,26.928106
"2010-02-04",46.709999,46.709999,45.049999,45.220001,7603500,25.733068
"2010-02-05",45.16,45.599998,43.150002,44.73,8597500,25.454227
"2010-02-08",45.009998,45.639999,44.5,44.549999,4549800,25.351791
"2010-02-09",45.369999,46.09,45,45.549999,6075700,25.920866
"2010-02-10",45.369999,45.790001,44.700001,45.259998,5894800,25.755836
"2010-02-11",45.09,46.77,44.889999,46.68,5286600,26.563902
"2010-02-12",45.779999,46.810001,45.599998,46.5,4814300,26.46147
"2010-02-16",47.209999,48.09,47.080002,47.939999,4892300,27.280928
"2010-02-17",48.169998,48.27,47.599998,48.049999,3699400,27.343521
"2010-02-18",48.119999,48.849998,47.869999,48.650002,4124500,27.684959
"2010-02-19",48.59,49.169998,48.349998,48.860001,6560300,27.804462
"2010-02-22",49.57,50,47.970001,48.130001,9763800,27.389042
"2010-02-23",47.75,48.09,46.669998,47.060001,7170500,26.780157
"2010-02-24",47.5,48.310001,47.27,47.91,6116800,27.263855
"2010-02-25",46.77,48.02,46.470001,47.889999,4355100,27.252468
"2010-02-26",47.700001,48.110001,47.27,47.919998,3625100,27.269543
"2010-03-01",48.450001,48.709999,48.150002,48.310001,5599600,27.491476
"2010-03-02",48.459999,49.540001,48.459999,49.23,5456000,28.015013
"2010-03-03",49.540001,50.68,49.400002,50,5188400,28.453197
"2010-03-04",50.119999,50.66,49.450001,49.919998,6225300,28.407669
"2010-03-05",50.369999,51,50.150002,50.889999,5569100,28.959658
"2010-03-08",51.080002,51.59,50.209999,50.34,3684000,28.646673
"2010-03-09",49.919998,50.52,49.490002,49.939999,4915900,28.419044
"2010-03-10",50.02,50.529999,49.240002,49.98,6222300,28.441811
"2010-03-11",49.759998,50.009998,49.490002,49.98,2974200,28.441811
"2010-03-12",50.34,50.650002,49.560001,50.040001,4693000,28.475952
"2010-03-15",49.830002,50.349998,49.119999,49.869999,5932600,28.379217
"2010-03-16",50.23,51.119999,49.869999,51.040001,4454000,29.045021
"2010-03-17",51.349998,52.41,51.139999,51.860001,4442900,29.511652
"2010-03-18",51.919998,52.060001,49.209999,49.369999,7937600,28.094683
"2010-03-19",47.529999,49.25,47.110001,47.529999,10119500,27.047611
"2010-03-22",46.93,48.349998,46.299999,47.490002,7501800,27.024843
"2010-03-23",47.66,47.689999,46.669998,47.119999,6974400,26.814295
"2010-03-24",46.700001,47.169998,46.349998,46.549999,5739200,26.489918
"2010-03-25",47.02,47.189999,44.790001,44.869999,7552600,25.533899
"2010-03-26",45.18,45.759998,44.52,44.869999,5814900,25.533899
"2010-03-29",45.130001,46.16,45.080002,45.650002,5664600,25.977772
"2010-03-30",45.68,46.130001,45.169998,45.950001,5128300,26.148481
"2010-03-31",46.060001,46.939999,46.02,46.84,6840000,26.654953
"2010-04-01",47.330002,48.360001,46.900002,48.330002,7075800,27.502857
"2010-04-05",48.73,50,48.349998,49.68,4968500,28.27109
"2010-04-06",49.150002,50.040001,48.82,49.919998,4202300,28.407669
"2010-04-07",49.869999,49.93,48.59,49,5742400,27.884132
"2010-04-08",48.470001,48.93,48.150002,48.740002,3989600,27.736166
"2010-04-09",49.130001,49.220001,48.189999,48.84,3454000,27.793077
"2010-04-12",48.740002,49.43,48.630001,48.830002,1955900,27.787392
"2010-04-13",48.650002,48.650002,47.189999,48.209999,4773400,27.434568
"2010-04-14",48.419998,49.349998,47.720001,49.27,4728200,28.037773
