"dates","BLL.Open","BLL.High","BLL.Low","BLL.Close","BLL.Volume","BLL.Adjusted"
"2010-01-04",12.965,13.1375,12.955,13.1225,2468400,11.933867
"2010-01-05",13.0825,13.095,12.9375,12.975,3053600,11.799733
"2010-01-06",12.98,13.03,12.91,13,1879200,11.822465
"2010-01-07",12.935,12.9875,12.8725,12.97,2105600,11.795186
"2010-01-08",12.8775,13.06,12.8325,13.0175,1227600,11.83838
"2010-01-11",13.035,13.1075,12.9125,12.95,1986000,11.776996
"2010-01-12",12.845,12.9825,12.8175,12.93,3231200,11.758807
"2010-01-13",12.9475,13.015,12.8825,12.9825,2029200,11.806549
"2010-01-14",12.895,12.97,12.88,12.9225,1904800,11.751985
"2010-01-15",12.865,12.9125,12.805,12.8525,3349200,11.688324
"2010-01-19",12.8175,13.02,12.775,12.9875,3165600,11.811101
"2010-01-20",12.94,12.97,12.785,12.8575,4400000,11.692872
"2010-01-21",12.91,12.9275,12.73,12.785,5698000,11.626939
"2010-01-22",12.7825,12.8275,12.675,12.7125,5969600,11.561007
"2010-01-25",12.7625,12.7925,12.69,12.715,3826400,11.56328
"2010-01-26",12.68,12.7525,12.5975,12.64,4179600,11.495075
"2010-01-27",12.64,12.675,12.3725,12.6125,6724000,11.470066
"2010-01-28",13.2475,13.2475,12.6125,12.635,7194800,11.490528
"2010-01-29",12.7025,12.955,12.6675,12.6975,7208800,11.547366
"2010-02-01",12.775,12.7825,12.565,12.7275,5372400,11.574649
"2010-02-02",12.77,13.08,12.77,13.0525,3946800,11.870209
"2010-02-03",13.0225,13.125,12.88,12.885,2244400,11.717882
"2010-02-04",12.7975,12.805,12.495,12.4975,3577600,11.365485
"2010-02-05",12.5125,12.655,12.3575,12.6375,3285600,11.492799
"2010-02-08",12.625,12.74,12.46,12.5625,2969200,11.424595
"2010-02-09",12.59,12.7475,12.5375,12.6425,3409200,11.497345
"2010-02-10",12.62,12.6775,12.4875,12.5225,2555200,11.388219
"2010-02-11",12.5475,12.8125,12.495,12.7625,3436400,11.606476
"2010-02-12",12.635,12.8875,12.59,12.8475,3455600,11.683775
"2010-02-16",12.9225,13.04,12.885,13.01,3610400,11.831559
"2010-02-17",13.1,13.2325,12.955,13.0375,3032400,11.856567
"2010-02-18",13.025,13.2825,13.025,13.2225,2802000,12.024813
"2010-02-19",13.1675,13.28,13.1425,13.1575,2833200,11.965704
"2010-02-22",13.1575,13.24,13.0175,13.17,2567200,11.977068
"2010-02-23",13.1325,13.225,13.055,13.0775,3496400,11.892947
"2010-02-24",13.12,13.3175,13.115,13.255,2325600,12.054372
"2010-02-25",13.05,13.3275,12.975,13.2825,3450800,12.102203
"2010-02-26",13.4375,13.57,13.3325,13.51,4627200,12.309487
"2010-03-01",13.5775,13.7225,13.465,13.65,2626400,12.437045
"2010-03-02",13.6625,13.7075,13.535,13.5475,3006000,12.343655
"2010-03-03",13.575,13.7425,13.55,13.6475,2632800,12.434769
"2010-03-04",13.6825,13.705,13.5075,13.6125,2894400,12.402876
"2010-03-05",13.7,13.74,13.615,13.725,2113200,12.505383
"2010-03-08",13.7275,13.7825,13.5375,13.6025,2366000,12.393765
"2010-03-09",13.54,13.645,13.43,13.51,2696400,12.309487
"2010-03-10",13.46,13.5975,13.3675,13.5325,2304400,12.329988
"2010-03-11",13.7225,13.7225,13.49,13.6175,1586400,12.407433
"2010-03-12",13.6225,13.69,13.5775,13.6125,1755200,12.402876
"2010-03-15",13.5425,13.5925,13.4575,13.5625,1435200,12.35732
"2010-03-16",13.59,13.64,13.535,13.62,1471600,12.409711
"2010-03-17",13.6325,13.7475,13.575,13.7025,1876800,12.484881
"2010-03-18",13.49,13.7225,13.49,13.5775,2264000,12.370987
"2010-03-19",13.55,13.6175,13.46,13.55,4214800,12.345932
"2010-03-22",13.4975,13.61,13.4175,13.5375,2332800,12.334539
"2010-03-23",13.5625,13.6325,13.4575,13.63,2557200,12.418823
"2010-03-24",13.5725,13.5725,13.4025,13.5,2838000,12.300376
"2010-03-25",13.54,13.58,13.29,13.295,2519200,12.113591
"2010-03-26",13.31,13.5875,13.2925,13.5,3182800,12.300376
"2010-03-29",13.52,13.585,13.49,13.5125,1154000,12.311765
"2010-03-30",13.5475,13.5475,13.32,13.3625,1932000,12.175096
"2010-03-31",13.315,13.48,13.225,13.345,1858000,12.159151
"2010-04-01",13.3775,13.64,13.3,13.565,2321200,12.359599
"2010-04-05",13.61,13.635,13.535,13.605,1452800,12.396047
"2010-04-06",13.54,13.6325,13.5025,13.53,2158000,12.327703
"2010-04-07",13.5,13.56,13.4075,13.465,1080400,12.268484
"2010-04-08",13.495,13.5,13.355,13.495,1199600,12.29582
"2010-04-09",13.4875,13.595,13.4475,13.5925,1311600,12.384655
"2010-04-12",13.59,13.59,13.4325,13.48,1814000,12.282154
"2010-04-13",13.4575,13.4575,13.35,13.3975,2103200,12.206982
"2010-04-14",13.415,13.5625,13.3575,13.55,1895200,12.345932
"2010-04-15",13.5575,13.67,13.5475,13.6225,1278800,12.411989
"2010-04-16",13.6,13.705,13.525,13.58,2890000,12.373262
"2010-04-19",13.4975,13.555,13.3425,13.515,2294400,12.314039
"2010-04-20",13.5875,13.65,13.5,13.5875,1808800,12.380097
"2010-04-21",13.6,13.6175,13.465,13.55,1234400,12.345932
"2010-04-22",13.445,13.7025,13.4375,13.69,1620400,12.473491
"2010-04-23",13.6625,13.8575,13.6175,13.8425,2012000,12.612441
"2010-04-26",13.8925,13.9125,13.795,13.81,2011200,12.582829
"2010-04-27",13.8,13.9,13.6325,13.65,3225600,12.437045
"2010-04-28",13.7,13.7525,13.5925,13.6925,2901600,12.475767
"2010-04-29",13.74,13.74,13.36,13.455,4659600,12.259372
"2010-04-30",13.485,13.67,13.275,13.3025,3996800,12.120424
"2010-05-03",13.31,13.32,13.085,13.2625,4189200,12.083978
"2010-05-04",13.1175,13.16,12.9575,13.05,3608800,11.890363
"2010-05-05",13.015,13.1775,12.94,13.0475,2824000,11.888084
"2010-05-06",12.9875,13.095,12,12.6775,5341600,11.550961
"2010-05-07",12.6475,12.7475,12.28,12.3725,5861200,11.273067
"2010-05-10",12.8025,12.895,12.6675,12.88,3480000,11.735466
"2010-05-11",12.77,12.96,12.7675,12.88,3453200,11.735466
"2010-05-12",12.8925,13.0275,12.8225,13.0275,1980800,11.869862
"2010-05-13",12.9775,13.035,12.865,12.925,2415600,11.776473
"2010-05-14",12.8125,12.825,12.6325,12.7275,2753200,11.596521
"2010-05-17",12.7775,12.925,12.625,12.89,3592800,11.744579
"2010-05-18",12.995,13.0875,12.75,12.78,2965200,11.644354
"2010-05-19",12.7075,12.7875,12.5,12.6775,2626000,11.550961
"2010-05-20",12.4325,12.485,12.235,12.24,3656400,11.15234
"2010-05-21",12.16,12.5075,11.945,12.5075,5552400,11.39607
"2010-05-24",12.44,12.51,12.1875,12.21,3139600,11.125004
"2010-05-25",11.96,12.1575,11.675,12.1575,5931600,11.077171
"2010-05-26",12.2175,12.2675,12.02,12.0625,4141600,10.990612
"2010-05-27",12.1975,12.4475,12.195,12.4375,4e+06,11.355825
"2010-05-28",12.41,12.4725,12.26,12.3125,4204000,11.241699
"2010-06-01",12.17,12.365,12.1025,12.1125,3308000,11.05909
"2010-06-02",12.155,12.58,12.1375,12.58,5754800,11.485931
"2010-06-03",12.5775,12.915,12.5775,12.875,6822400,11.755277
"2010-06-04",12.6725,12.91,12.66,12.7875,5958800,11.675385
"2010-06-07",12.7825,12.9175,12.545,12.5525,5265600,11.460819
"2010-06-08",12.525,12.62,12.405,12.605,6983200,11.508758
"2010-06-09",12.96,13.1225,12.5425,12.585,4741600,11.490498
"2010-06-10",12.72,12.945,12.7075,12.93,3537200,11.805493
"2010-06-11",12.8075,13.1025,12.8075,13.0875,2604400,11.949295
"2010-06-14",13.175,13.2775,13.0175,13.035,3157200,11.901361
"2010-06-15",13.1425,13.36,13.0425,13.36,3153200,12.198098
"2010-06-16",13.39,13.805,13.355,13.61,4828000,12.426354
"2010-06-17",13.6875,13.8725,13.6025,13.835,4014000,12.631785
"2010-06-18",13.8175,13.8725,13.7175,13.785,4438400,12.586135
"2010-06-21",13.9375,14.0025,13.8375,13.8925,5220400,12.684283
"2010-06-22",13.92,14.025,13.7075,13.72,3962000,12.526788
"2010-06-23",13.72,13.76,13.58,13.6525,3421600,12.465159
"2010-06-24",13.58,13.615,13.38,13.3975,3624800,12.232336
"2010-06-25",13.4225,13.53,13.3175,13.4625,7052800,12.29168
"2010-06-28",13.505,13.505,13.3525,13.3525,3170800,12.191248
"2010-06-29",13.1875,13.265,13.075,13.2,4930800,12.052007
"2010-06-30",13.155,13.375,13.1325,13.2075,4377200,12.058857
"2010-07-01",13.1625,13.19,12.84,13.0475,4384400,11.912776
"2010-07-02",13.0925,13.16,12.89,12.9475,5215200,11.821467
"2010-07-06",13.1425,13.28,13.0125,13.1375,3289200,11.994945
"2010-07-07",13.0925,13.4075,13.07,13.3875,3802800,12.223206
"2010-07-08",13.4575,13.525,13.37,13.46,4394400,12.289399
"2010-07-09",13.48,13.6075,13.435,13.5775,3693600,12.39668
"2010-07-12",13.5025,13.605,13.4175,13.47,3934800,12.298529
"2010-07-13",13.67,13.88,13.5975,13.8425,3947200,12.638636
"2010-07-14",13.82,13.94,13.77,13.845,2844000,12.640917
"2010-07-15",13.885,13.885,13.61,13.8575,3393600,12.652328
"2010-07-16",13.745,13.775,13.4625,13.4875,4082000,12.314508
"2010-07-19",13.5175,13.595,13.4775,13.575,1773600,12.394396
"2010-07-20",13.4375,13.8425,13.4325,13.81,4003200,12.608959
"2010-07-21",13.85,13.955,13.7075,13.7375,4245200,12.542765
"2010-07-22",14.0625,14.0725,13.895,13.9625,6163200,12.748197
"2010-07-23",13.9625,14.335,13.955,14.3,6262000,13.056346
"2010-07-26",14.275,14.495,14.26,14.4825,3656000,13.222974
"2010-07-27",14.515,14.745,14.39,14.445,5292400,13.188731
"2010-07-28",14.3825,14.43,14.235,14.2725,3658400,13.031237
"2010-07-29",14.38,14.745,14.125,14.2625,5207200,13.022104
