"dates","CAG.Open","CAG.High","CAG.Low","CAG.Close","CAG.Volume","CAG.Adjusted"
"2010-01-04",18.093386,18.124514,17.898832,17.984436,4009714,12.920955
"2010-01-05",17.992218,18.326847,17.859922,18.062258,5517148,12.976868
"2010-01-06",18.085604,18.171206,17.937742,18,4248724,12.932139
"2010-01-07",18.038912,18.10895,17.906614,18.054476,3484920,12.971277
"2010-01-08",18.031128,18.031128,17.875486,17.914396,2861695,12.870636
"2010-01-11",17.968872,18.233463,17.945524,18.217899,4880173,13.088691
"2010-01-12",18.186769,18.412451,18.14786,18.412451,5073052,13.228465
"2010-01-13",18.412451,18.568092,18.396887,18.529182,3586050,13.312328
"2010-01-14",18.56031,18.56031,18.280155,18.389105,3831870,13.211693
"2010-01-15",18.373541,18.412451,17.992218,18.101168,5408694,13.004826
"2010-01-19",18.116732,18.311283,18.093386,18.311283,4806671,13.155781
"2010-01-20",18.264591,18.365759,18.085604,18.311283,6486552,13.155781
"2010-01-21",18.334629,18.638132,18.132296,18.186769,5501728,13.066321
"2010-01-22",18.140078,18.303501,18.007782,18.007782,4482080,12.937726
"2010-01-25",18.093386,18.210117,17.976654,18.015564,3280220,12.943323
"2010-01-26",17.976654,18.085604,17.859922,17.961088,4218527,12.904181
"2010-01-27",17.735409,17.883268,17.642023,17.859922,5348042,12.943664
"2010-01-28",17.922178,18,17.797665,17.805447,4100563,12.904181
"2010-01-29",17.906614,18.007782,17.649805,17.696499,4723018,12.825224
"2010-02-01",17.782101,17.85214,17.673153,17.85214,3985813,12.938025
"2010-02-02",17.85214,17.976654,17.750973,17.968872,5166857,13.02262
"2010-02-03",17.945524,18.007782,17.758755,17.859922,3750915,12.943664
"2010-02-04",17.782101,17.836576,17.346304,17.346304,10445765,12.571429
"2010-02-05",17.322956,17.805447,17.268482,17.766537,11179115,12.875982
"2010-02-08",17.797665,17.883268,17.626459,17.642023,4982716,12.785743
"2010-02-09",17.789883,17.992218,17.719845,17.859922,4082445,12.943664
"2010-02-10",17.859922,18.038912,17.696499,17.968872,4824533,13.02262
"2010-02-11",17.906614,18.155642,17.782101,18.124514,4958687,13.135421
"2010-02-12",17.968872,18.241245,17.797665,18.210117,6098739,13.197464
"2010-02-16",18.389105,18.638132,18.217899,18.614786,6669279,13.490737
"2010-02-17",18.669262,18.77821,18.490273,18.70039,5185746,13.552781
"2010-02-18",18.622568,18.926069,18.622568,18.879377,4587707,13.682496
"2010-02-19",18.957197,19.22179,18.754864,19.175097,7098854,13.896812
"2010-02-22",19.151751,19.2607,18.988327,19.143969,6056462,13.874253
"2010-02-23",19.136187,19.143969,18.863813,18.964981,4789452,13.744535
"2010-02-24",19.019455,19.167315,18.918287,19.089495,4032715,13.834773
"2010-02-25",18.957197,19.105059,18.80934,19.073931,4646817,13.823496
"2010-02-26",19.073931,19.151751,18.964981,19.035019,4605954,13.795293
"2010-03-01",19.105059,19.330738,19.105059,19.214008,6098482,13.925014
"2010-03-02",19.330738,19.416342,19.29961,19.377432,5344829,14.043453
"2010-03-03",19.36965,19.455254,19.307392,19.36965,4243456,14.037807
"2010-03-04",19.463036,19.509727,19.182878,19.377432,6398401,14.043453
"2010-03-05",19.43969,19.680935,19.33852,19.680935,5938242,14.263409
"2010-03-08",19.696499,19.719845,19.494164,19.642023,4500199,14.235209
