"dates","CE.Open","CE.High","CE.Low","CE.Close","CE.Volume","CE.Adjusted"
"2010-01-04",32.630001,33.509998,32.139999,33.259998,1081100,27.97715
"2010-01-05",33.330002,34.099998,33.290001,34,752100,28.599621
"2010-01-06",34.060001,34.52,33.880001,34.369999,1429400,28.910843
"2010-01-07",34.389999,34.610001,33.93,34.549999,1191400,29.06226
"2010-01-08",34.470001,34.77,34.16,34.23,1187300,28.793087
"2010-01-11",34.330002,34.48,33.799999,34.330002,791800,28.877205
"2010-01-12",33.990002,34,32.889999,33.080002,827000,27.825752
"2010-01-13",33.080002,33.380001,32.259998,33.18,1492800,27.943655
"2010-01-14",33.169998,33.290001,32.450001,33.07,929400,27.851006
"2010-01-15",33.009998,33.009998,32.349998,32.5,885600,27.370966
"2010-01-19",32.48,33.220001,32.360001,33.209999,1673400,27.968908
"2010-01-20",32.759998,33,32.32,32.880001,1011500,27.691004
"2010-01-21",32.880001,33.080002,32,32.150002,1454400,27.076204
"2010-01-22",32.150002,32.150002,31.43,31.76,1620900,26.747747
"2010-01-25",32.049999,32.52,31.84,31.950001,1278500,26.907768
"2010-01-26",31.559999,32.09,31.5,32,1113800,26.949873
"2010-01-27",32.02,32.389999,31.219999,31.34,1879300,26.394037
"2010-01-28",31.4,31.5,29.73,29.889999,2380900,25.172871
"2010-01-29",30.129999,30.620001,28.889999,29.1,1931200,24.507545
"2010-02-01",29.370001,30.049999,29.370001,30.049999,913600,25.307615
"2010-02-02",29.83,31.74,29.83,31.389999,1905800,26.436146
"2010-02-03",31.110001,32.110001,31.110001,31.33,1001600,26.385609
"2010-02-04",30.84,30.959999,29.75,29.780001,1253400,25.080229
"2010-02-05",29.82,29.959999,28.200001,29.889999,2759400,25.172871
"2010-02-08",29.99,30.440001,29.360001,29.57,1669800,24.903366
"2010-02-09",30.530001,30.57,28.879999,29.92,3318900,25.198133
"2010-02-10",29.99,30.16,29.49,29.77,1364800,25.07181
"2010-02-11",29.629999,30.299999,29.52,29.98,1558900,25.248655
"2010-02-12",29.379999,30.030001,28.969999,29.82,1701100,25.113911
"2010-02-16",29.77,30.309999,29.77,29.98,1616700,25.248655
"2010-02-17",30.15,31.030001,29.92,30.629999,4133100,25.79608
"2010-02-18",30.639999,30.83,30.370001,30.76,1700000,25.905565
"2010-02-19",30.73,31.049999,30.549999,31.040001,1833600,26.141376
"2010-02-22",31.200001,31.35,30.969999,31.219999,1881500,26.292971
"2010-02-23",31.059999,31.129999,30.18,30.459999,2535200,25.65291
"2010-02-24",30.440001,31.049999,30.299999,30.969999,1383200,26.082418
"2010-02-25",30.92,31.23,30.16,31.219999,1385600,26.292971
"2010-02-26",31.219999,31.41,30.85,31.190001,1103700,26.267708
"2010-03-01",31.27,32.279999,31.09,32.259998,1638100,27.16884
"2010-03-02",32.380001,33.82,32.380001,32.740002,4143100,27.573086
"2010-03-03",32.740002,32.900002,32.139999,32.360001,2325700,27.253052
"2010-03-04",32.099998,32.27,30.879999,31.190001,3630400,26.267708
"2010-03-05",31.48,32.130001,31.42,32.080002,1755700,27.01725
"2010-03-08",32.07,32.490002,31.940001,32.080002,847900,27.01725
"2010-03-09",31.950001,32.299999,31.75,32.110001,981400,27.042515
"2010-03-10",32.07,32.599998,31.9,32.330002,779400,27.227791
"2010-03-11",32.080002,32.450001,31.969999,32.450001,964700,27.328857
"2010-03-12",32.57,33.060001,32.57,32.810001,1844400,27.632042
"2010-03-15",34.419998,34.419998,32.279999,32.599998,1951400,27.455183
"2010-03-16",32.790001,32.970001,32.57,32.950001,567700,27.749945
"2010-03-17",33.02,33.529999,32.900002,33.23,1034400,27.985767
"2010-03-18",33.369999,33.369999,32.459999,32.669998,1153600,27.514133
"2010-03-19",31.540001,32.73,31.450001,31.540001,1296700,26.562468
"2010-03-22",31.33,31.950001,30.690001,31.870001,1009700,26.840387
"2010-03-23",31.889999,32.18,31.639999,32.009998,893100,26.958294
"2010-03-24",31.719999,32.740002,31.719999,32.650002,1224800,27.497299
"2010-03-25",32.900002,33.080002,31.58,31.620001,1384900,26.629847
"2010-03-26",31.68,32.240002,31.51,31.77,673100,26.756176
"2010-03-29",31.860001,32.48,31.780001,32.189999,892600,27.10989
"2010-03-30",32.32,32.849998,32.290001,32.43,890400,27.312004
"2010-03-31",32.209999,32.84,31.77,31.85,1890200,26.823545
"2010-04-01",32.27,32.580002,32.09,32.459999,1173500,27.337282
"2010-04-05",32.43,33.360001,32.43,33.23,949200,27.985767
"2010-04-06",33.02,33.16,32.450001,33.150002,1229500,27.91839
"2010-04-07",33.16,33.43,32.720001,32.93,970600,27.733105
"2010-04-08",32.68,32.970001,32.349998,32.889999,1017900,27.699415
"2010-04-09",33.060001,33.599998,32.73,33.459999,882100,28.17947
"2010-04-12",33.52,33.68,33.279999,33.580002,1162000,28.280523
"2010-04-13",33.290001,33.529999,33.23,33.5,733700,28.246796
"2010-04-14",33.709999,34.5,33.540001,34.48,1528600,29.07312
"2010-04-15",34.200001,34.720001,33.919998,34.299999,1351500,28.921349
"2010-04-16",34.040001,34.330002,33.48,33.900002,923100,28.584072
"2010-04-19",33.84,33.84,32.5,33.16,1617300,27.960117
"2010-04-20",33.490002,33.759998,33.32,33.610001,704700,28.339554
"2010-04-21",33.689999,33.759998,33.049999,33.169998,838400,27.968538
"2010-04-22",32.830002,33.16,32.360001,33.130001,954400,27.934818
"2010-04-23",33.349998,34.68,33.310001,34.349998,1349900,28.963509
"2010-04-26",34.25,35.23,34.25,34.860001,1298400,29.39353
"2010-04-27",34.740002,35.830002,33.25,33.34,3294200,28.111895
"2010-04-28",33.509998,33.810001,31.74,32.860001,3649400,27.707157
"2010-04-29",32.990002,33.849998,32.599998,33.630001,1314400,28.356413
"2010-04-30",33.700001,33.759998,31.950001,31.99,1496500,26.973585
"2010-05-03",32.130001,32.549999,31.690001,31.879999,1393400,26.880833
"2010-05-04",31.360001,31.370001,29.5,29.65,2588200,25.000525
"2010-05-05",29.4,29.48,28.530001,29.030001,3934100,24.477743
"2010-05-06",28.950001,29.27,24.99,27.48,3201200,23.170807
"2010-05-07",27.190001,28.1,26.51,26.77,4042100,22.572142
"2010-05-10",28.65,29.09,27.690001,28.440001,2071400,23.980261
"2010-05-11",28.1,29.290001,27.889999,29.040001,2951800,24.486181
"2010-05-12",29.35,30.469999,29.25,30.26,3127000,25.514864
