"dates","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2010-01-04",28.612585,28.6884,28.241093,28.487492,5202664,18.562996
"2010-01-05",28.43442,28.472328,28.161486,28.453375,4502275,18.540762
"2010-01-06",28.343443,28.53677,28.123577,28.506445,4960759,18.575344
"2010-01-07",28.525398,28.802122,28.510235,28.74147,4388841,18.728495
"2010-01-08",28.589842,29.181198,28.366186,29.14329,5938666,18.990318
"2010-01-11",29.404852,29.575436,29.18878,29.473085,4699333,19.205227
"2010-01-12",29.264593,29.510992,28.976498,29.063684,5084217,18.93845
"2010-01-13",29.067474,29.268385,28.965124,29.13571,3321770,18.985384
"2010-01-14",29.124336,29.317665,29.006823,29.257013,2509002,19.064428
"2010-01-15",29.283548,29.435179,28.832449,28.889311,4630481,18.824827
"2010-01-19",28.919636,29.18499,28.809704,29.116755,3843302,18.973034
"2010-01-20",28.912054,28.934799,28.601213,28.805914,2708962,18.770487
"2010-01-21",28.756634,28.912054,28.309324,28.320698,4338982,18.454311
"2010-01-22",28.222137,28.294163,27.831692,27.843063,5012728,18.14307
"2010-01-25",28.153904,28.400303,27.990902,28.248672,4492778,18.407377
"2010-01-26",28.222137,28.316908,27.952995,28.074299,3618281,18.293747
"2010-01-27",27.97953,28.165277,27.638363,28.123577,3888412,18.325859
"2010-01-28",27.38059,28.043974,27.206217,27.61941,6988326,17.997335
"2010-01-29",27.653524,27.67248,27.01668,27.047005,5985094,17.624344
"2010-02-01",27.153147,27.27445,26.948446,27.236544,6601859,17.747847
"2010-02-02",27.304775,27.733131,27.137983,27.699015,5573303,18.049202
"2010-02-03",27.482943,27.72555,27.297195,27.626989,4256677,18.00227
"2010-02-04",27.437452,27.520849,26.804398,26.827143,5342478,17.481083
"2010-02-05",26.823351,27.009098,26.459438,26.918119,8505967,17.540356
"2010-02-08",26.637604,26.849886,26.52009,26.592115,5231682,17.32793
"2010-02-09",26.884003,27.024261,26.584534,26.872631,5655872,17.510717
"2010-02-10",26.921911,27.092493,26.599697,26.906748,4087845,17.532948
"2010-02-11",26.815769,27.27445,26.580744,27.255497,3791070,17.760202
"2010-02-12",26.971189,27.308567,26.774071,27.266869,4924355,17.767611
"2010-02-16",27.498104,27.884762,27.357847,27.862017,4153267,18.155422
"2010-02-17",28.316908,28.544352,28.131161,28.517817,9812305,18.582758
"2010-02-18",28.544352,28.703564,28.4837,28.616377,4172261,18.64698
"2010-02-19",28.58605,28.923428,28.555723,28.790751,5137241,18.760601
"2010-02-22",28.919636,28.919636,28.510235,28.714935,4228978,18.711199
"2010-02-23",28.650494,28.733889,28.203184,28.294163,4615972,18.437016
"2010-02-24",28.407885,28.419256,28.017437,28.248672,5894611,18.407377
"2010-02-25",28.021229,28.320698,27.634571,28.260044,5770625,18.414785
"2010-02-26",28.191813,28.362396,28.009855,28.040182,5316098,18.271515
"2010-03-01",28.03639,28.597422,27.949203,28.563307,6167908,18.6124
"2010-03-02",28.608795,28.699774,28.525398,28.627748,2772538,18.654385
"2010-03-03",28.752844,28.843821,28.47991,28.540562,2787311,18.597574
"2010-03-04",28.718725,28.805914,28.491282,28.768005,3659170,18.745781
"2010-03-05",28.908264,29.181198,28.836241,29.169827,2707379,19.007614
"2010-03-08",29.097801,29.166035,28.946171,29.037149,2079535,18.92116
"2010-03-09",29.014404,29.416224,29.014404,29.39727,5665105,19.155827
"2010-03-10",29.347992,29.617134,29.317665,29.537527,5721294,19.247217
"2010-03-11",29.374525,29.673994,29.169827,29.673994,6162104,19.336142
"2010-03-12",29.939348,29.939348,29.408644,29.613342,3519620,19.296621
"2010-03-15",29.488249,29.613342,29.298712,29.575436,3057970,19.271923
"2010-03-16",29.647461,29.658833,29.370735,29.560272,4913275,19.262037
"2010-03-17",29.647461,29.715694,29.264593,29.3442,7185384,19.121239
"2010-03-18",29.302502,29.583017,29.1395,29.564064,5289718,19.264513
"2010-03-19",29.181198,29.711903,29.08643,29.181198,5322956,19.01503
"2010-03-22",29.116755,29.45034,29.040939,29.363153,2982259,19.133591
"2010-03-23",29.336618,29.503412,29.177406,29.39727,3724856,19.155827
"2010-03-24",29.219105,29.260803,28.942381,28.946171,4300995,18.871616
"2010-03-25",29.056103,29.325247,28.904472,28.987869,5591241,18.8988
"2010-03-26",29.014404,29.351782,28.972708,29.044731,4982654,18.935863
"2010-03-29",29.158453,29.382109,29.052313,29.329037,4082833,19.121225
"2010-03-30",30.386658,30.742987,30.174376,30.659592,13081051,19.988686
"2010-03-31",30.523125,30.579985,30.212282,30.291887,5940776,19.748962
"2010-04-01",30.375284,30.693707,30.348749,30.564821,5202664,19.926895
"2010-04-05",30.674753,30.70508,30.466263,30.667171,3078018,19.993628
"2010-04-06",30.568613,30.614101,30.451099,30.542076,3261887,19.912067
"2010-04-07",30.466263,30.572403,30.246399,30.477634,5236166,19.87006
"2010-04-08",30.473845,30.511751,30.170584,30.269142,4026379,19.734127
"2010-04-09",30.253981,30.458681,30.200911,30.447309,3193827,19.85029
"2010-04-12",30.507961,30.526915,30.333586,30.462473,2849568,19.860174
"2010-04-13",30.041698,30.212282,29.927977,30.034117,7488227,19.580908
"2010-04-14",30.026535,30.712662,29.912813,30.667171,6103541,19.993628
"2010-04-15",30.59894,30.928734,30.511751,30.735407,5966365,20.038113
"2010-04-16",30.693707,30.754358,30.15542,30.261562,7041086,19.729191
"2010-04-19",30.109932,30.329796,29.924185,30.295679,5521862,19.751427
"2010-04-20",30.636847,30.852919,30.477634,30.636847,5296313,19.97386
"2010-04-21",30.59894,31.194086,30.492798,30.883245,7480049,20.134497
"2010-04-22",31.607279,32.282032,31.159969,31.990145,13527664,20.856142
"2010-04-23",32.069752,32.388172,31.656557,32.376801,6834794,21.108225
"2010-04-26",32.410915,32.410915,32.088703,32.221378,5332981,21.006901
"2010-04-27",32.145565,32.27066,31.493555,31.561789,4667677,20.576872
"2010-04-28",31.736164,31.929493,31.542835,31.656557,6102749,20.638664
"2010-04-29",31.827143,32.327522,31.827143,32.22517,4671634,21.009369
"2010-04-30",32.354057,32.407127,31.834723,31.948446,7962012,20.828957
"2010-05-03",31.857468,32.585293,31.762699,32.399544,7506429,21.123058
"2010-05-04",32.028053,32.028053,31.152388,31.512508,8364570,20.544748
"2010-05-05",31.216831,31.660349,31.125853,31.254738,7518828,20.376696
"2010-05-06",31.076572,31.5163,28.551933,30.428354,9976916,19.837923
"2010-05-07",30.504169,30.837755,30.030327,30.253981,13975069,19.724251
"2010-05-10",31.175133,31.940865,31.122063,31.902958,6989117,20.799305
"2010-05-11",31.576952,32.016678,31.455648,31.925701,7174305,20.814135
