"dates","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume","DLR.Adjusted"
"2010-01-04",50.380001,51.009998,49.43,50.150002,1306900,31.370861
"2010-01-05",50.029999,50.549999,49.52,50.48,841500,31.57729
"2010-01-06",50.66,50.759998,49.549999,49.799999,988300,31.151918
"2010-01-07",49.68,50.48,49.52,50.240002,881100,31.427168
"2010-01-08",50.119999,50.939999,49.91,50.799999,971700,31.777466
"2010-01-11",51.189999,51.389999,50.360001,50.549999,607900,31.621078
"2010-01-12",50.139999,50.5,49.419998,49.959999,817100,31.252018
"2010-01-13",50,50.470001,49.75,50.200001,814100,31.402145
"2010-01-14",49.990002,50.84,49.73,50.5,884800,31.589798
"2010-01-15",50.43,50.66,49.630001,50,1392900,31.277031
"2010-01-19",50.09,51.400002,50.09,51.049999,1200500,31.933847
"2010-01-20",50.77,50.77,49.759998,50.450001,795100,31.558533
"2010-01-21",50.759998,51.349998,50.310001,50.470001,2243100,31.571033
"2010-01-22",50.400002,50.950001,49.009998,49.099998,1314600,30.714046
"2010-01-25",49.709999,49.77,48.259998,48.790001,681700,30.52013
"2010-01-26",48.66,49.27,48.290001,48.5,728800,30.338717
"2010-01-27",48.349998,48.82,47.790001,48.630001,871900,30.420029
"2010-01-28",48.700001,48.889999,47.700001,47.98,660400,30.013445
"2010-01-29",48.139999,48.43,47.450001,48,1132200,30.025942
"2010-02-01",48.18,48.540001,47.25,48.299999,1233000,30.213612
"2010-02-02",48.560001,49.75,48.32,49.57,1493000,31.008045
"2010-02-03",49.400002,49.439999,48.650002,49.299999,990200,30.839157
"2010-02-04",49.040001,49.040001,47.75,47.889999,1323300,29.95713
"2010-02-05",47.880001,48.889999,47.689999,48.849998,1405300,30.55765
"2010-02-08",48.779999,49.040001,46.950001,47.02,800800,29.412924
"2010-02-09",47.73,47.73,46.509998,46.759998,666900,29.250275
"2010-02-10",46.82,47.18,46.209999,46.689999,720800,29.206484
"2010-02-11",46.68,47.23,46.5,47.200001,852300,29.525509
"2010-02-12",46.59,47.669998,46.5,47.66,529900,29.813271
"2010-02-16",47.98,48.540001,47.77,48.43,775500,30.294933
"2010-02-17",48.639999,49.110001,48.43,48.849998,625000,30.55765
"2010-02-18",48.59,49.990002,48.59,49.84,595700,31.176941
"2010-02-19",49.470001,50.34,49.389999,50.07,735900,31.320824
"2010-02-22",50.380001,51.029999,49.82,50.779999,674700,31.764956
"2010-02-23",50.759998,51.150002,50.529999,50.639999,757500,31.677364
"2010-02-24",50.669998,51.139999,50.439999,51.119999,934600,31.977634
"2010-02-25",50.16,51.439999,50,51.240002,946000,32.0527
"2010-02-26",51.27,52.139999,51.27,51.580002,959600,32.265392
"2010-03-01",51.650002,52.490002,51.439999,52.419998,1128300,32.79084
"2010-03-02",52.419998,52.84,52.07,52.82,1111700,33.04105
"2010-03-03",52.73,52.93,52.330002,52.669998,703600,32.947224
"2010-03-04",52.939999,53.07,52.540001,52.990002,1041500,33.147396
"2010-03-05",53.23,54.400002,53.040001,54.279999,1134600,33.954334
"2010-03-08",54.040001,55.099998,54.040001,54.98,831600,34.392223
"2010-03-09",54.580002,55.830002,54.580002,55.029999,517400,34.423508
"2010-03-10",54.950001,55.080002,54.07,54.400002,922100,34.029411
"2010-03-11",53.889999,55.48,53.66,55.330002,2795600,34.919281
"2010-03-12",55.970001,56.09,55.150002,55.529999,1192800,35.045498
"2010-03-15",55.540001,55.860001,54.799999,55.48,632000,35.013935
"2010-03-16",55.560001,56.009998,55.139999,55.939999,1553500,35.304249
"2010-03-17",56.150002,56.23,55.580002,55.959999,748300,35.316868
"2010-03-18",55.959999,56.23,55.75,55.93,572700,35.297935
"2010-03-19",56,56.16,55.169998,56,1299600,35.342121
"2010-03-22",55.560001,56.599998,55.349998,56.459999,897700,35.632423
"2010-03-23",56.27,56.27,54.950001,55.369999,1068900,34.944511
"2010-03-24",55.32,56.419998,55.16,55.529999,988800,35.045498
"2010-03-25",55.77,56.139999,55.41,55.439999,979600,34.988701
"2010-03-26",55.450001,55.619999,54.27,54.509998,1097300,34.401764
"2010-03-29",54.77,55.189999,54.57,54.950001,663300,34.679443
"2010-03-30",55.139999,55.139999,54.18,54.450001,783400,34.363899
"2010-03-31",54.299999,54.560001,53.830002,54.200001,703600,34.206116
"2010-04-01",54.439999,54.77,53.889999,54.41,644200,34.33865
"2010-04-05",54.77,56.099998,54.43,55.700001,719300,35.152782
"2010-04-06",55.43,56.549999,55.02,56.27,1082900,35.512524
"2010-04-07",56.150002,56.32,55.02,55.18,882600,34.824612
"2010-04-08",55.18,55.52,54.880001,55.400002,934500,34.96344
"2010-04-09",55.599998,56.68,55.139999,56.57,620400,35.701851
"2010-04-12",56.75,56.93,56.299999,56.32,741300,35.544064
"2010-04-13",56.419998,58.16,56.029999,58,735200,36.604324
"2010-04-14",58.380001,58.419998,56.650002,56.84,998700,35.872242
"2010-04-15",56.610001,57.099998,55.529999,55.650002,1029000,35.121227
"2010-04-16",55.619999,56.150002,54.830002,54.93,1166800,34.666821
"2010-04-19",54.610001,54.939999,54.02,54.720001,1529300,34.53429
"2010-04-20",55.169998,56.259998,54.669998,56.259998,1281000,35.506199
"2010-04-21",56.099998,57.049999,55.740002,56.84,954800,35.872242
"2010-04-22",56.59,58.75,56.240002,58.43,732800,36.875717
"2010-04-23",58.349998,59.41,58.080002,59.34,966300,37.45002
"2010-04-26",59.259998,60.93,58.98,60.150002,989300,37.96122
"2010-04-27",59.59,60.470001,58.5,58.580002,1876800,36.970367
"2010-04-28",59.040001,59.52,58.029999,58.27,1600200,36.774723
"2010-04-29",59.380001,60.880001,59.23,60.209999,1425400,37.999081
"2010-04-30",60.09,60.389999,58.599998,58.700001,1103200,37.046116
"2010-05-03",58.919998,60.07,58.919998,59.91,1007300,37.809746
"2010-05-04",59.790001,59.790001,58.200001,58.740002,873500,37.071358
"2010-05-05",57.93,59.310001,57.57,58.240002,747400,36.755795
"2010-05-06",57.869999,58.490002,53.299999,56.52,1262800,35.670296
"2010-05-07",56.439999,57.84,55.34,55.580002,1214100,35.077049
"2010-05-10",58.369999,60.009998,57.560001,60,1229700,37.86655
"2010-05-11",59.009998,60.77,58.959999,59.939999,947800,37.828682
"2010-05-12",59.849998,60.450001,59.5,59.849998,910600,37.771893
"2010-05-13",59.849998,60.040001,58.93,59.080002,932600,37.285927
"2010-05-14",58.75,58.75,57.150002,57.459999,1026600,36.263531
