"dates","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2010-01-04",30.75,30.965,30.43,30.875,1446400,23.234646
"2010-01-05",30.93,31.049999,30.184999,30.48,2269800,22.937387
"2010-01-06",30.455,30.99,29.985001,30.275,3099000,22.783121
"2010-01-07",30.16,30.6,30.065001,30.35,1076200,22.839561
"2010-01-08",30.225,30.475,30.084999,30.43,853400,22.899765
"2010-01-11",30.665001,30.74,30.280001,30.445,855600,22.911058
"2010-01-12",30.025,30.190001,29.715,30.125,2073600,22.670242
"2010-01-13",30.165001,30.940001,29.995001,30.790001,1486000,23.170679
"2010-01-14",30.68,30.92,30.25,30.35,1237200,22.839561
"2010-01-15",30.315001,30.450001,29.924999,30.209999,1300200,22.734215
"2010-01-19",30.225,30.91,30.045,30.905001,948800,23.257223
"2010-01-20",30.51,30.51,29.93,30.465,1132600,22.926109
"2010-01-21",30.565001,30.695,29.370001,29.375,1619800,22.105841
"2010-01-22",29.290001,29.58,28.674999,28.705,1504000,21.601633
"2010-01-25",29.174999,29.355,29.030001,29.055,837200,21.865026
"2010-01-26",28.905001,29.4,28.75,28.85,1085800,21.710751
"2010-01-27",28.84,29.105,28.34,29.030001,1321400,21.84621
"2010-01-28",29,29.184999,28.155001,28.49,1694800,21.439838
"2010-01-29",29.514999,29.950001,28.215,28.264999,3985400,21.270517
"2010-02-01",29.049999,30,29.049999,29.985001,2468000,22.564886
"2010-02-02",29.945,30.174999,29.49,29.805,3370400,22.429424
"2010-02-03",29.565001,29.969999,29.315001,29.645,1598400,22.309023
"2010-02-04",29.280001,29.280001,28.5,28.74,2007400,21.627975
"2010-02-05",28.815001,29.040001,27.934999,28.82,3121800,21.688175
"2010-02-08",28.775,29.035,28.225,28.295,1930000,21.293095
"2010-02-09",28.709999,29.135,28.34,28.93,1675000,21.770958
"2010-02-10",28.940001,29.08,28.290001,28.674999,1581400,21.579058
"2010-02-11",28.665001,29.059999,28.385,28.92,1721400,21.763428
"2010-02-12",28.424999,29.1,28.145,28.995001,1527600,21.819878
"2010-02-16",29.32,29.700001,29.174999,29.665001,1596200,22.324076
"2010-02-17",29.895,29.985001,29.424999,29.65,1233200,22.31279
"2010-02-18",29.459999,29.98,29.459999,29.93,976000,22.523497
"2010-02-19",29.85,30.18,29.719999,30.01,1243400,22.583698
"2010-02-22",30.184999,30.33,29.870001,30.135,1694400,22.677761
"2010-02-23",30.025,30.1,29.275,29.504999,1441400,22.203659
"2010-02-24",29.67,29.905001,29.395,29.785,1538800,22.414379
"2010-02-25",29.245001,29.76,29.01,29.695,1705200,22.346651
"2010-02-26",29.67,29.844999,29.365,29.775,1540400,22.406853
"2010-03-01",29.969999,30.049999,29.58,30.030001,3508200,22.598753
"2010-03-02",30.219999,30.43,30.030001,30.264999,2700600,22.775595
"2010-03-03",30.389999,31.035,30.16,30.525,2360200,22.971254
"2010-03-04",30.445,30.75,30.355,30.629999,1281000,23.050276
"2010-03-05",30.780001,30.924999,30.629999,30.875,1407200,23.234646
"2010-03-08",30.860001,31.045,30.735001,30.875,1415800,23.234646
"2010-03-09",30.745001,30.98,30.555,30.715,1749400,23.114237
"2010-03-10",30.690001,30.93,30.4,30.790001,2838800,23.170679
"2010-03-11",30.395,30.905001,30.155001,30.905001,1814200,23.424591
"2010-03-12",30.85,31.290001,30.780001,30.965,1660600,23.470074
"2010-03-15",30.764999,31.105,30.594999,30.780001,1410600,23.329849
"2010-03-16",30.879999,31.120001,30.725,31.110001,1453800,23.579979
"2010-03-17",31.184999,31.705,31.084999,31.559999,1807000,23.921057
"2010-03-18",31.51,31.715,31.059999,31.18,2143600,23.633038
"2010-03-19",30.605,31.424999,30.540001,30.605,1687000,23.197205
"2010-03-22",30.4,31.344999,30.209999,31.290001,1505600,23.71641
"2010-03-23",31.24,31.514999,31.014999,31.43,1320000,23.822523
"2010-03-24",31.174999,31.860001,31.045,31.690001,2461400,24.019596
"2010-03-25",31.92,32.18,31.455,31.475,2379200,23.85663
"2010-03-26",31.58,32.259998,31.57,31.684999,1624200,24.015799
"2010-03-29",31.805,32.119999,31.805,31.995001,1682200,24.250765
"2010-03-30",32.035,32.275002,31.905001,32.174999,1309400,24.387196
"2010-03-31",32.060001,32.334999,31.785,31.84,1810400,24.133286
"2010-04-01",32.009998,32.485001,31.965,32.485001,1360600,24.62216
"2010-04-05",32.5,33.259998,32.415001,33.105,1996200,25.092094
"2010-04-06",32.904999,33.035,32.794998,32.884998,1520400,24.925344
"2010-04-07",32.724998,33.264999,32.674999,32.924999,1336600,24.95566
"2010-04-08",32.775002,32.994999,32.619999,32.91,1039200,24.944288
"2010-04-09",32.990002,33.450001,32.884998,33.450001,1034200,25.353594
"2010-04-12",33.389999,33.5,32.950001,33.009998,1081000,25.020088
"2010-04-13",33.009998,33.150002,32.805,32.919998,1031000,24.951876
"2010-04-14",32.860001,33.244999,32.860001,33.195,1170000,25.160309
"2010-04-15",33.075001,33.380001,33,33.355,1233600,25.28158
"2010-04-16",33.264999,33.395,32.314999,32.650002,2155200,24.747229
"2010-04-19",32.605,32.810001,32,32.779999,1795400,24.845758
"2010-04-20",33.040001,33.380001,32.834999,33.264999,1102600,25.213375
"2010-04-21",33.235001,33.465,33.064999,33.345001,981400,25.274006
"2010-04-22",32.935001,33.634998,32.735001,33.560001,1725800,25.436964
"2010-04-23",35.82,35.974998,34.825001,35.560001,4821000,26.952879
"2010-04-26",35.049999,35.445,34.34,34.450001,3116400,26.111542
"2010-04-27",34.445,34.955002,33.595001,33.705002,3184800,25.546869
"2010-04-28",34,34.285,33.619999,34.055,2274200,25.812155
"2010-04-29",34.209999,34.630001,34.125,34.299999,2019400,25.99785
"2010-04-30",34.305,34.384998,33.305,33.459999,3231000,25.36117
"2010-05-03",33.709999,34.154999,33.34,33.735001,2222800,25.569609
"2010-05-04",33.264999,33.305,32.455002,32.709999,2200400,24.792702
"2010-05-05",32.32,32.970001,31.965,32.615002,2924400,24.720697
"2010-05-06",32.474998,32.775002,29.629999,31.375,4747600,23.780828
"2010-05-07",31.58,31.799999,30.67,30.825001,4812800,23.363956
"2010-05-10",32.029999,32.779999,32.029999,32.720001,3272800,24.800283
"2010-05-11",32.200001,32.855,32.095001,32.294998,2009000,24.478151
"2010-05-12",32.48,33.325001,32.455002,33.244999,1775400,25.19821
"2010-05-13",33.209999,33.235001,32.305,32.424999,1668000,24.576683
"2010-05-14",32.25,32.25,31.065001,31.389999,2184000,23.792204
"2010-05-17",31.49,31.870001,30.68,31.629999,1761800,23.974113
"2010-05-18",31.875,32.650002,31.215,31.25,2267600,23.68609
"2010-05-19",31.094999,31.115,30.1,30.655001,2480000,23.235109
"2010-05-20",29.725,29.969999,28.879999,29.075001,3905800,22.03754
"2010-05-21",28.709999,30.030001,27.775,29.780001,3321800,22.571898
"2010-05-24",29.504999,30.02,29.405001,29.42,2233600,22.299038
"2010-05-25",28.504999,29.59,28.290001,29.555,2441800,22.401356
"2010-05-26",29.959999,30.110001,29.18,29.32,2348400,22.223236
"2010-05-27",30.065001,30.860001,29.690001,30.85,1726000,23.382906
"2010-05-28",30.745001,30.879999,30.030001,30.195,1911200,22.886448
