"dates","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2010-01-04",7.305833,7.366667,7.261667,7.289167,3092400,7.289167
"2010-01-05",7.266667,7.341667,7.2625,7.341667,2787600,7.341667
"2010-01-06",7.3575,7.455833,7.309167,7.4225,3009600,7.4225
"2010-01-07",7.461667,7.508333,7.384167,7.49,2702400,7.49
"2010-01-08",7.553333,7.569167,7.443333,7.456667,3574800,7.456667
"2010-01-11",7.5,7.621667,7.4875,7.619167,4437600,7.619167
"2010-01-12",7.583333,7.65,7.541667,7.645833,5205600,7.645833
"2010-01-13",7.666667,7.723333,7.618333,7.675833,2802000,7.675833
"2010-01-14",7.694167,7.714167,7.669167,7.701667,3142800,7.701667
"2010-01-15",7.716667,7.716667,7.556667,7.6325,4862400,7.6325
"2010-01-19",7.643333,7.755,7.641667,7.754167,3459600,7.754167
"2010-01-20",7.741667,7.84,7.691667,7.829167,4705200,7.829167
"2010-01-21",7.8675,7.879167,7.771667,7.839167,5029200,7.839167
"2010-01-22",7.82,7.82,7.558333,7.576667,6956400,7.576667
"2010-01-25",7.575833,7.701667,7.499167,7.651667,5064000,7.651667
"2010-01-26",7.599167,7.686667,7.5975,7.64,2166000,7.64
"2010-01-27",7.614167,7.664167,7.583333,7.63,2314800,7.63
"2010-01-28",7.619167,7.728333,7.5325,7.545,4166400,7.545
"2010-01-29",7.5975,7.6,7.468333,7.468333,4342800,7.468333
"2010-02-01",7.466667,7.544167,7.416667,7.519167,2611200,7.519167
"2010-02-02",7.5475,7.763333,7.506667,7.7525,3436800,7.7525
"2010-02-03",7.751667,7.825,7.6875,7.703333,4770000,7.703333
"2010-02-04",7.684167,7.7075,7.448333,7.471667,7514400,7.471667
"2010-02-05",7.37,7.49,7.104167,7.476667,16993200,7.476667
"2010-02-08",7.4675,7.4675,7.246667,7.254167,9705600,7.254167
"2010-02-09",7.333333,7.354167,7.134167,7.220833,8701200,7.220833
"2010-02-10",7.175833,7.204167,7.050833,7.150833,6109200,7.150833
"2010-02-11",7.125,7.208333,7.09,7.195833,6918000,7.195833
"2010-02-12",7.180833,7.2775,7.164167,7.2775,4191600,7.2775
"2010-02-16",7.288333,7.344167,7.188333,7.3425,5320800,7.3425
"2010-02-17",7.38,7.4925,7.3425,7.484167,4618800,7.484167
"2010-02-18",7.495,7.561667,7.451667,7.556667,5556000,7.556667
"2010-02-19",7.565833,7.604167,7.499167,7.541667,5370000,7.541667
"2010-02-22",7.588333,7.6225,7.514167,7.614167,6024000,7.614167
"2010-02-23",7.6225,7.6225,7.4925,7.513333,7618800,7.513333
"2010-02-24",7.573333,7.589167,7.533333,7.584167,7220400,7.584167
"2010-02-25",7.515,7.605,7.475,7.605,8175600,7.605
"2010-02-26",7.625,7.663333,7.565833,7.6525,10189200,7.6525
"2010-03-01",7.655,7.8125,7.5025,7.8025,6314400,7.8025
"2010-03-02",7.835,7.9275,7.828333,7.9275,5503200,7.9275
"2010-03-03",7.945,7.956667,7.88,7.955,5442000,7.955
"2010-03-04",7.979167,7.994167,7.95,7.984167,4522800,7.984167
"2010-03-05",7.995,8.078333,7.973333,8.0775,3730800,8.0775
"2010-03-08",8.078333,8.104167,8.051667,8.065,2775600,8.065
"2010-03-09",8.07,8.0975,7.998333,8.029167,2353200,8.029167
"2010-03-10",8.0125,8.105,8.0125,8.098333,2967600,8.098333
