"dates","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2010-01-04",12.2575,12.37,12.205,12.3575,5072000,12.3575
"2010-01-05",12.3125,12.4125,12.2875,12.41,5348000,12.41
"2010-01-06",12.355,12.405,12.2575,12.3575,5556400,12.3575
"2010-01-07",12.315,12.315,12.185,12.3,4806800,12.3
"2010-01-08",12.1475,12.195,11.9775,12.1625,6077200,12.1625
"2010-01-11",12.19,12.245,12.125,12.2275,5786000,12.2275
"2010-01-12",12.165,12.215,12.08,12.12,3304000,12.12
"2010-01-13",12.1975,12.2725,12.125,12.2225,3623200,12.2225
"2010-01-14",12.155,12.2375,12.1325,12.1875,2330800,12.1875
"2010-01-15",12.1525,12.255,11.9125,11.985,4349600,11.985
"2010-01-19",11.9425,12.17,11.935,12.165,3692800,12.165
"2010-01-20",12.0675,12.09,11.8725,11.9975,4244000,11.9975
"2010-01-21",11.995,11.995,11.67,11.675,6829200,11.675
"2010-01-22",11.6775,11.775,11.4325,11.45,6256000,11.45
"2010-01-25",11.465,11.5875,11.44,11.52,7760400,11.52
"2010-01-26",11.475,11.53,11.3825,11.3825,4373200,11.3825
"2010-01-27",11.37,11.525,11.3475,11.5025,6179600,11.5025
"2010-01-28",11.5025,11.5025,11.3,11.355,7303200,11.355
"2010-01-29",11.425,11.465,11.25,11.26,7722400,11.26
"2010-02-01",11.295,11.4625,11.2,11.45,6859600,11.45
"2010-02-02",11.43,11.625,11.325,11.6,7635200,11.6
"2010-02-03",11.68,11.885,11.625,11.7475,6966000,11.7475
"2010-02-04",11.6325,11.6825,11.4225,11.425,7309200,11.425
"2010-02-05",11.41,11.45,11.2075,11.4325,7327600,11.4325
"2010-02-08",11.27,11.4325,11.2575,11.315,4688000,11.315
"2010-02-09",11.405,11.49,11.3,11.37,7225200,11.37
"2010-02-10",11.345,11.4425,11.265,11.3825,4794800,11.3825
"2010-02-11",11.35,11.6375,11.2675,11.61,6241600,11.61
"2010-02-12",11.525,11.6575,11.455,11.5875,6219200,11.5875
"2010-02-16",11.655,11.7375,11.5675,11.7375,3937600,11.7375
"2010-02-17",11.765,11.8125,11.7175,11.78,4187600,11.78
"2010-02-18",11.8075,11.81,11.7075,11.765,4332400,11.765
"2010-02-19",11.72,11.98,11.6775,11.8975,6017600,11.8975
"2010-02-22",11.9425,11.96,11.7975,11.8275,4539200,11.8275
"2010-02-23",11.7875,11.8975,11.7175,11.7625,4114400,11.7625
"2010-02-24",11.8525,11.9475,11.805,11.9225,4377600,11.9225
"2010-02-25",11.765,12.0075,11.7225,11.9825,6572400,11.9825
"2010-02-26",12.005,12.07,11.9075,12.0525,6241200,12.0525
"2010-03-01",12.0825,12.265,12.005,12.2275,6192400,12.2275
"2010-03-02",12.2725,12.315,12.175,12.2625,6155600,12.2625
"2010-03-03",12.325,12.4825,12.275,12.3025,8088800,12.3025
"2010-03-04",12.3075,12.3375,12.2,12.2875,4698400,12.2875
"2010-03-05",12.3,12.4875,12.2475,12.4325,8402400,12.4325
"2010-03-08",12.39,12.5,12.365,12.4775,4646000,12.4775
"2010-03-09",12.425,12.555,12.41,12.515,6964800,12.515
"2010-03-10",12.47,12.625,12.4425,12.625,5114000,12.625
"2010-03-11",12.56,12.5825,12.485,12.5625,5908800,12.5625
"2010-03-12",12.5875,12.625,12.54,12.605,4474000,12.605
"2010-03-15",12.5975,12.7025,12.5625,12.6725,6953600,12.6725
"2010-03-16",12.69,12.7075,12.5975,12.665,5217600,12.665
"2010-03-17",12.7375,12.895,12.64,12.815,5789200,12.815
"2010-03-18",12.805,12.8475,12.75,12.77,4003200,12.77
"2010-03-19",12.8575,12.8675,12.625,12.67,8669600,12.67
"2010-03-22",12.645,12.855,12.5975,12.8175,3837600,12.8175
"2010-03-23",12.8175,12.8225,12.68,12.75,6023200,12.75
"2010-03-24",12.7,12.74,12.6325,12.6775,5500400,12.6775
"2010-03-25",12.7175,12.7525,12.5725,12.5725,4212400,12.5725
"2010-03-26",12.645,12.665,12.525,12.6025,4474800,12.6025
"2010-03-29",12.6125,12.7,12.5825,12.6325,3418400,12.6325
"2010-03-30",12.5975,12.7225,12.55,12.6875,4901200,12.6875
"2010-03-31",12.6775,12.7625,12.6625,12.69,4237200,12.69
"2010-04-01",12.64,12.855,12.64,12.7825,7764800,12.7825
"2010-04-05",12.785,12.875,12.7625,12.85,2559200,12.85
"2010-04-06",12.7875,12.89,12.765,12.8675,3790800,12.8675
"2010-04-07",12.81,12.8375,12.735,12.7925,4250400,12.7925
"2010-04-08",12.7275,12.86,12.6475,12.815,4122000,12.815
"2010-04-09",12.875,12.94,12.78,12.94,2112400,12.94
"2010-04-12",12.9475,12.975,12.8975,12.9425,5200800,12.9425
"2010-04-13",12.91,12.98,12.8275,12.9475,3801600,12.9475
"2010-04-14",12.945,13.0775,12.9225,13.0775,4211200,13.0775
"2010-04-15",13.0725,13.3925,13.06,13.37,6566800,13.37
"2010-04-16",13.3325,13.355,13.1325,13.2525,7666000,13.2525
"2010-04-19",13.2175,13.2975,13.1525,13.2975,4906800,13.2975
"2010-04-20",13.325,13.42,13.2775,13.3775,4743600,13.3775
"2010-04-21",13.305,13.3925,13.2475,13.3775,5590000,13.3775
"2010-04-22",13.305,13.4825,13.22,13.46,4862000,13.46
"2010-04-23",13.48,13.55,13.34,13.5225,3624800,13.5225
"2010-04-26",13.735,13.7925,13.5225,13.5375,4511200,13.5375
"2010-04-27",13.4925,13.69,13.3725,13.41,5900400,13.41
"2010-04-28",13.515,13.56,13.365,13.5075,6455200,13.5075
"2010-04-29",13.5425,13.7025,13.4775,13.6725,5432000,13.6725
"2010-04-30",12.9525,13.0175,12.67,12.7825,21079600,12.7825
"2010-05-03",12.695,13.03,12.695,13.03,9321600,13.03
"2010-05-04",12.895,12.895,12.63,12.745,6590800,12.745
"2010-05-05",12.8,12.925,12.5725,12.7375,5532000,12.7375
"2010-05-06",12.63,13.8175,12.5,12.93,42867200,12.93
"2010-05-07",12.825,13.015,12.55,12.755,13837600,12.755
"2010-05-10",13.11,13.38,12.935,13.175,8441600,13.175
"2010-05-11",13.0825,13.24,13.025,13.0975,6631200,13.0975
"2010-05-12",13.1675,13.3225,12.9825,13.1425,11283600,13.1425
"2010-05-13",13,13.015,12.4525,12.4875,18769600,12.4875
"2010-05-14",12.435,12.515,12.3175,12.4325,9952400,12.4325
"2010-05-17",12.45,12.605,12.3025,12.5075,6457200,12.5075
"2010-05-18",12.6575,12.685,12.2975,12.3225,11486400,12.3225
"2010-05-19",12.155,12.31,12.1075,12.19,8618400,12.19
"2010-05-20",12.0275,12.1275,11.7075,11.7225,11146400,11.7225
"2010-05-21",11.585,11.875,11.44,11.8575,10212400,11.8575
"2010-05-24",11.7975,11.83,11.635,11.665,6731600,11.665
"2010-05-25",11.5025,11.715,11.4025,11.7075,8265600,11.7075
"2010-05-26",11.82,11.8875,11.6,11.6125,10923600,11.6125
"2010-05-27",11.79,12.0125,11.7575,12.0125,6697200,12.0125
"2010-05-28",11.9475,12,11.825,11.8875,5757600,11.8875
"2010-06-01",11.8225,11.93,11.615,11.63,6774800,11.63
"2010-06-02",11.6525,11.7975,11.5225,11.79,6782800,11.79
"2010-06-03",11.78,11.9625,11.68,11.905,6633200,11.905
"2010-06-04",11.725,11.8275,11.53,11.555,6252800,11.555
"2010-06-07",11.575,11.615,11.3325,11.3325,6718000,11.3325
"2010-06-08",11.3425,11.455,11.2325,11.43,8149200,11.43
"2010-06-09",11.445,11.6725,11.405,11.435,8233600,11.435
"2010-06-10",11.5975,11.7975,11.51,11.79,4840000,11.79
"2010-06-11",11.7675,11.895,11.7475,11.8775,5249200,11.8775
"2010-06-14",11.9475,12.0425,11.8825,11.9575,7974400,11.9575
"2010-06-15",12.025,12.235,11.995,12.2275,6448800,12.2275
"2010-06-16",12.14,12.24,12.09,12.1875,3509600,12.1875
"2010-06-17",12.2525,12.2525,12.1275,12.2025,3200000,12.2025
"2010-06-18",12.2,12.2975,12.135,12.22,5180000,12.22
"2010-06-21",12.3125,12.35,12.0525,12.1225,4320800,12.1225
"2010-06-22",12.02,12.2675,11.93,11.955,3345200,11.955
"2010-06-23",11.955,12,11.835,11.9125,3301600,11.9125
"2010-06-24",11.84,11.9075,11.6875,11.7025,3227600,11.7025
"2010-06-25",11.72,11.855,11.675,11.765,10340800,11.765
"2010-06-28",11.81,11.8325,11.645,11.7625,3504800,11.7625
"2010-06-29",11.6425,11.67,11.385,11.4825,6722000,11.4825
"2010-06-30",11.44,11.8,11.3625,11.415,6136000,11.415
"2010-07-01",11.43,11.5375,11.2875,11.455,4658000,11.455
"2010-07-02",11.4725,11.4775,11.275,11.3675,2560000,11.3675
"2010-07-06",11.4525,11.535,11.2825,11.375,6940400,11.375
"2010-07-07",11.355,11.605,11.355,11.59,6414400,11.59
"2010-07-08",11.6375,11.6725,11.425,11.5175,9631200,11.5175
"2010-07-09",11.475,11.605,11.475,11.565,4400000,11.565
"2010-07-12",11.5175,11.5925,11.445,11.5025,5684400,11.5025
"2010-07-13",11.585,11.8025,11.565,11.775,5066400,11.775
"2010-07-14",11.7725,11.86,11.7025,11.7725,2934400,11.7725
"2010-07-15",11.7625,11.825,11.65,11.795,3727600,11.795
"2010-07-16",11.8025,11.8025,11.3925,11.4,5888400,11.4
"2010-07-19",11.42,11.5,11.2925,11.43,4059600,11.43
"2010-07-20",11.275,11.5825,11.2125,11.58,4446400,11.58
"2010-07-21",11.61,11.6175,11.3,11.3175,4157200,11.3175
"2010-07-22",11.4025,11.705,11.4025,11.6375,3871600,11.6375
"2010-07-23",11.5825,11.815,11.5475,11.805,3459600,11.805
"2010-07-26",11.78,11.91,11.72,11.9075,3660000,11.9075
"2010-07-27",11.94,11.985,11.88,11.9075,3684800,11.9075
"2010-07-28",11.905,12.375,11.845,12.22,11893600,12.22
"2010-07-29",12.285,12.39,12.175,12.305,5677200,12.305
"2010-07-30",12.1875,12.575,12.1875,12.525,8032400,12.525
"2010-08-02",12.625,12.7375,12.5825,12.7075,3622000,12.7075
"2010-08-03",12.635,12.7175,12.5525,12.665,3090000,12.665
"2010-08-04",12.7,12.73,12.515,12.65,3755600,12.65
"2010-08-05",12.585,12.7325,12.575,12.72,5309600,12.72
"2010-08-06",12.64,12.7425,12.53,12.7175,5148400,12.7175
"2010-08-09",12.75,12.8625,12.7425,12.8425,3842800,12.8425
"2010-08-10",12.755,12.8125,12.5775,12.7,4196800,12.7
"2010-08-11",12.2525,12.52,12.25,12.46,6875200,12.46
"2010-08-12",12.3375,12.465,12.3125,12.4075,4986400,12.4075
"2010-08-13",12.3525,12.4025,12.2025,12.2975,3626000,12.2975
"2010-08-16",12.2625,12.535,12.19,12.5175,4589600,12.5175
"2010-08-17",12.875,12.9375,12.6825,12.7525,7329200,12.7525
"2010-08-18",12.7275,12.93,12.675,12.9,6410400,12.9
"2010-08-19",12.8525,12.9425,12.685,12.7325,6021600,12.7325
"2010-08-20",12.73,12.835,12.6825,12.815,4795600,12.815
"2010-08-23",12.85,12.925,12.66,12.685,3898000,12.685
"2010-08-24",12.6,12.6675,12.4475,12.56,4026000,12.56
"2010-08-25",12.4875,12.6575,12.4425,12.615,3986800,12.615
"2010-08-26",12.615,12.7,12.5325,12.535,3776400,12.535
"2010-08-27",12.59,12.76,12.42,12.7475,3614800,12.7475
"2010-08-30",12.695,12.755,12.51,12.515,3761200,12.515
"2010-08-31",12.4475,12.59,12.405,12.5025,4049600,12.5025
"2010-09-01",12.6625,12.925,12.5775,12.9125,4711200,12.9125
"2010-09-02",12.93,13.1325,12.885,13.13,4219200,13.13
"2010-09-03",13.2475,13.25,13.085,13.245,3220400,13.245
"2010-09-07",13.2325,13.25,12.9325,12.9425,5119600,12.9425
"2010-09-08",13.0175,13.06,12.9125,12.9975,3842800,12.9975
"2010-09-09",13.1075,13.1125,13.005,13.0575,2697600,13.0575
"2010-09-10",13.095,13.205,13.02,13.175,2189600,13.175
"2010-09-13",13.325,13.3625,13.22,13.34,3619200,13.34
"2010-09-14",13.285,13.425,13.2375,13.38,3473200,13.38
"2010-09-15",13.0775,13.4625,13.0775,13.45,3587200,13.45
"2010-09-16",13.4075,13.47,13.3075,13.3525,2576800,13.3525
"2010-09-17",13.37,13.4825,13.33,13.39,6258800,13.39
"2010-09-20",13.4025,13.5775,13.3125,13.5675,3661600,13.5675
"2010-09-21",13.535,13.58,13.405,13.51,3543200,13.51
"2010-09-22",13.53,13.67,13.4175,13.4425,2994800,13.4425
"2010-09-23",13.365,13.625,13.325,13.4775,3484800,13.4775
"2010-09-24",13.635,13.7725,13.5775,13.77,3615600,13.77
"2010-09-27",13.73,13.7475,13.5275,13.545,6431600,13.545
"2010-09-28",13.6075,13.6275,13.275,13.4975,6922000,13.4975
"2010-09-29",13.4275,13.505,13.3,13.3875,5514000,13.3875
"2010-09-30",13.5175,13.625,13.3375,13.455,3700400,13.455
"2010-10-01",13.595,13.695,13.3725,13.375,5445600,13.375
"2010-10-04",13.34,13.48,13.2775,13.41,6492800,13.41
"2010-10-05",13.495,13.68,13.4825,13.6075,5214800,13.6075
"2010-10-06",13.5725,13.6075,13.4775,13.54,4188000,13.54
"2010-10-07",13.5475,13.635,13.4775,13.5275,5152000,13.5275
"2010-10-08",13.5,13.6625,13.38,13.635,3775600,13.635
"2010-10-11",13.595,13.62,13.4375,13.5675,2286000,13.5675
"2010-10-12",13.5575,13.565,13.38,13.5225,4946800,13.5225
"2010-10-13",13.5625,13.7,13.5125,13.5825,4327600,13.5825
"2010-10-14",13.56,13.7425,13.5325,13.63,3596800,13.63
"2010-10-15",13.75,13.86,13.6425,13.835,5339600,13.835
"2010-10-18",13.8,13.8325,13.7475,13.83,3186000,13.83
"2010-10-19",13.7375,13.8725,13.6425,13.7175,4915200,13.7175
"2010-10-20",13.765,13.9375,13.72,13.875,3484800,13.875
"2010-10-21",13.895,13.97,13.72,13.8925,4581200,13.8925
"2010-10-22",13.8675,13.925,13.7425,13.9125,3307600,13.9125
"2010-10-25",13.9675,13.975,13.7425,13.7875,7223200,13.7875
"2010-10-26",13.7725,13.885,13.6725,13.8625,4906400,13.8625
"2010-10-27",13.76,13.8125,13.5075,13.71,6765600,13.71
"2010-10-28",13.75,13.8075,13.5125,13.535,4658800,13.535
"2010-10-29",13.5725,13.6875,13.5725,13.63,6409200,13.63
"2010-11-01",13.715,13.8775,13.47,13.515,5372400,13.515
"2010-11-02",13.66,13.72,13.5725,13.6675,3985200,13.6675
"2010-11-03",13.6525,13.7275,13.595,13.6725,3636400,13.6725
"2010-11-04",13.7875,13.935,13.7475,13.935,3904000,13.935
"2010-11-05",13.91,13.9825,13.84,13.945,2702800,13.945
"2010-11-08",13.8775,13.955,13.8575,13.9275,2615200,13.9275
"2010-11-09",13.93,14.03,13.8675,13.905,2916800,13.905
"2010-11-10",13.885,14.01,13.82,13.9925,3271200,13.9925
"2010-11-11",13.86,14.0175,13.7475,13.9425,2361200,13.9425
"2010-11-12",13.835,13.905,13.71,13.7875,3190000,13.7875
"2010-11-15",13.8575,13.9475,13.82,13.8725,2858000,13.8725
"2010-11-16",13.78,13.78,13.56,13.5975,6941200,13.5975
"2010-11-17",13.5825,13.675,13.5325,13.5825,2800800,13.5825
"2010-11-18",13.9,13.9,13.6725,13.7625,3176400,13.7625
"2010-11-19",13.755,14.165,13.7075,14.0875,6952000,14.0875
"2010-11-22",13.97,14.13,13.89,14.105,3860000,14.105
"2010-11-23",13.9925,13.995,13.7375,13.7925,3291600,13.7925
"2010-11-24",13.885,14.195,13.88,14.105,2974400,14.105
"2010-11-26",13.9825,14.14,13.9825,14.0975,1094400,14.0975
"2010-11-29",13.965,14.07,13.775,14.025,2467200,14.025
"2010-11-30",13.8225,13.915,13.7525,13.825,6180800,13.825
"2010-12-01",14.05,14.25,13.9825,14.215,5022000,14.215
"2010-12-02",14.2,14.43,14.1775,14.4125,3308000,14.4125
"2010-12-03",14.38,14.575,14.3525,14.5525,3380400,14.5525
"2010-12-06",14.49,14.5,14.3175,14.3775,3494400,14.3775
"2010-12-07",14.5,14.6925,14.4725,14.6675,5212800,14.6675
"2010-12-08",14.7275,14.82,14.62,14.785,5752000,14.785
"2010-12-09",14.7725,14.81,14.6575,14.6775,3556400,14.6775
"2010-12-10",14.675,14.8175,14.6475,14.805,2562000,14.805
"2010-12-13",14.805,14.865,14.7075,14.7875,3245200,14.7875
"2010-12-14",14.8475,14.9375,14.83,14.92,2640000,14.92
"2010-12-15",14.865,14.985,14.83,14.9,2635600,14.9
"2010-12-16",14.9525,15.14,14.915,15.085,4497600,15.085
"2010-12-17",15.1,15.16,14.9575,15.11,7050400,15.11
