"dates","FLS.Open","FLS.High","FLS.Low","FLS.Close","FLS.Volume","FLS.Adjusted"
"2010-01-04",32.130001,32.443333,31.719999,32.336666,2161800,27.300936
"2010-01-05",32.366669,32.990002,32.200001,32.696667,2363100,27.604881
"2010-01-06",32.669998,33.636665,32.669998,33.599998,3473700,28.367533
"2010-01-07",33.583332,34.646667,33.483334,34.523335,3660600,29.147087
"2010-01-08",34.259998,35.990002,34.259998,35.959999,6993300,30.360014
"2010-01-11",36.003334,36.263332,35.560001,36.136665,3102000,30.509172
"2010-01-12",35.746666,35.75,34.889999,35.106667,2662500,29.639576
"2010-01-13",35.156666,35.373333,34.310001,35.086666,1877100,29.622694
"2010-01-14",35.049999,35.553333,34.720001,35.336666,1461900,29.833748
"2010-01-15",35.296665,35.41,34.776669,34.906666,1411500,29.470716
"2010-01-19",34.939999,35.196667,34.763332,34.996666,1512900,29.5467
"2010-01-20",34.646667,34.669998,33.82,34.583332,1477800,29.197737
"2010-01-21",34.523335,34.696667,33.033333,33.540001,2585400,28.316874
"2010-01-22",33.386665,34.126667,32.916668,33.34,2981400,28.148024
"2010-01-25",33.583332,33.939999,32.536667,32.630001,1997700,27.548595
"2010-01-26",32.573334,32.826668,31.896667,32.036667,3427500,27.047659
"2010-01-27",32.016666,32.18,31.286667,31.98,2839500,26.999809
"2010-01-28",32.333332,32.333332,31.530001,31.73,2058600,26.788746
"2010-01-29",30.603333,31.466667,29.916668,30.056667,8319900,25.375994
"2010-02-01",30.996668,31.943333,30.706667,31.443333,5170500,26.546715
"2010-02-02",31.656668,32.386665,31.363333,32.080002,3281100,27.084242
"2010-02-03",31.860001,32.493332,31.716667,31.853333,2175900,26.892872
"2010-02-04",31.393333,31.446667,30.559999,30.723333,2961900,25.93885
"2010-02-05",30.6,30.806667,29.716667,30.703333,3296100,25.921953
"2010-02-08",30.683332,31.083332,30.266666,30.503332,2675400,25.753111
"2010-02-09",30.903334,31.216667,30.616667,30.936666,2835900,26.118958
"2010-02-10",30.916668,31.053333,30.316668,30.77,1481100,25.978247
"2010-02-11",30.76,31.476667,30.523333,31.42,1071900,26.527027
"2010-02-12",31.17,31.5,30.666668,31.453333,1961100,26.555162
"2010-02-16",31.883333,32.153332,31.566668,32.106667,1775700,27.106754
"2010-02-17",32.333332,32.759998,32.136665,32.446667,1220400,27.393806
"2010-02-18",32.476665,32.916668,32.243332,32.856667,1396500,27.739962
"2010-02-19",32.773335,33.213333,32.619999,32.970001,1312200,27.835649
"2010-02-22",33.253334,33.253334,32.773335,33.029999,1145700,27.88629
"2010-02-23",32.986668,33.060001,32.099998,32.246666,1195800,27.224951
"2010-02-24",32.423332,32.546665,31.793333,32.23,2185500,27.210884
"2010-02-25",31.030001,32.533333,30.57,32.393333,4001700,27.348778
"2010-02-26",32.366669,33.513332,32.193333,33.363335,2732700,28.167725
"2010-03-01",33.496666,34.666668,33.493332,34.509998,2714400,29.135828
"2010-03-02",34.776669,35.5,34.646667,35.25,4394100,29.760578
"2010-03-03",35.27,35.663334,35.09,35.236668,1835100,29.749329
"2010-03-04",35.153332,35.633331,34.983334,35.246666,2955600,29.757778
"2010-03-05",35.406666,35.860001,35.406666,35.813332,2063400,30.236189
"2010-03-08",35.889999,35.983334,35.426666,35.849998,2401500,30.267147
"2010-03-09",35.720001,35.723331,34.919998,35.119999,3172500,29.650826
"2010-03-10",35,35.163334,34.616669,35.080002,2742600,29.617058
"2010-03-11",34.939999,35.173332,34.373333,35.113335,2202300,29.645201
"2010-03-12",35.233334,35.356667,34.796665,35.040001,2475000,29.583286
"2010-03-15",34.919998,35.093334,34.556667,34.976665,2432700,29.529812
"2010-03-16",35.036667,35.486668,34.900002,35.436668,2455200,29.918184
"2010-03-17",35.533333,35.893333,35.406666,35.5,1800300,29.971653
"2010-03-18",35.553333,35.700001,35.32,35.436668,2091900,29.918184
"2010-03-19",34.853333,35.533333,34.753334,34.853333,1994400,29.425695
"2010-03-22",34.473331,34.959999,34.233334,34.950001,1754700,29.589373
"2010-03-23",35.119999,36.666668,34.966667,36.643333,3218700,31.022982
"2010-03-24",36.523335,36.736668,36.123333,36.293331,3791700,30.726664
"2010-03-25",36.523335,37.433334,36.506668,36.606667,4494900,30.991941
"2010-03-26",36.77,36.843334,36.299999,36.443333,2390100,30.853659
"2010-03-29",36.593334,37.053333,36.593334,36.836666,1986600,31.186663
"2010-03-30",36.689999,36.913334,36.52,36.643333,2746500,31.022982
"2010-03-31",36.563332,36.946667,36.296665,36.756668,2119800,31.118927
"2010-04-01",37.076668,38.110001,36.836666,37.666668,2043300,31.889353
"2010-04-05",37.900002,38.27,37.75,38.240002,1843200,32.374752
"2010-04-06",38.063332,38.683334,37.966667,38.583332,1953900,32.665421
"2010-04-07",38.450001,38.626667,38.173332,38.296665,1521300,32.422722
"2010-04-08",38.063332,38.273335,37.576668,38.193333,1998900,32.335247
"2010-04-09",38.380001,38.533333,38.16,38.356667,1231200,32.473511
"2010-04-12",38.583332,39.09,38.529999,38.806667,1806900,32.8545
