"dates","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"2010-01-04",8.94,9.1,8.815,9,716000,9
"2010-01-05",9.015,9.3,9,9.195,822800,9.195
"2010-01-06",9.44,9.925,9.4,9.705,1873400,9.705
"2010-01-07",9.765,9.805,9.5,9.725,275200,9.725
"2010-01-08",9.775,10.295,9.61,10.055,914200,10.055
"2010-01-11",10.125,10.125,9.845,10.025,375800,10.025
"2010-01-12",9.945,10.12,9.845,9.895,947400,9.895
"2010-01-13",9.88,9.94,9.205,9.72,781800,9.72
"2010-01-14",9.73,10.035,9.625,9.95,706800,9.95
"2010-01-15",9.98,9.98,9.575,9.815,651000,9.815
"2010-01-19",9.825,10.24,9.81,9.9,617200,9.9
"2010-01-20",9.86,10,9.44,9.53,463200,9.53
"2010-01-21",9.575,9.575,9.125,9.195,711000,9.195
"2010-01-22",9.2,9.42,8.915,8.94,929000,8.94
"2010-01-25",9.065,9.065,8.85,9.005,491200,9.005
"2010-01-26",9,9.35,9,9.155,677200,9.155
"2010-01-27",9.195,9.405,8.95,9.325,788200,9.325
"2010-01-28",9.5,9.515,8.63,8.9,2709000,8.9
"2010-01-29",8.94,9.215,8.06,8.615,1759600,8.615
"2010-02-01",8.645,8.875,8.5,8.725,361400,8.725
"2010-02-02",8.75,8.865,8.505,8.565,1300000,8.565
"2010-02-03",8.575,8.61,8.175,8.22,913600,8.22
"2010-02-04",8.19,8.275,7.76,7.85,1204000,7.85
"2010-02-05",7.85,7.945,7.59,7.845,1060800,7.845
"2010-02-08",7.875,8.04,7.68,7.95,377200,7.95
"2010-02-09",8.36,8.57,8.135,8.295,878000,8.295
"2010-02-10",8.275,8.5,8.185,8.43,555200,8.43
"2010-02-11",8.43,8.435,8.15,8.335,644600,8.335
"2010-02-12",8.225,8.485,8.21,8.26,410800,8.26
"2010-02-16",8.33,8.39,8.19,8.255,161800,8.255
"2010-02-17",8.275,8.46,8.235,8.46,369400,8.46
"2010-02-18",8.475,8.68,8.43,8.665,281800,8.665
"2010-02-19",8.665,8.74,8.625,8.665,332600,8.665
"2010-02-22",8.665,8.68,8.45,8.485,346800,8.485
"2010-02-23",8.455,8.5,8.26,8.34,255600,8.34
"2010-02-24",8.415,8.535,8.255,8.285,511000,8.285
"2010-02-25",8.22,8.42,8.015,8.38,386600,8.38
"2010-02-26",8.405,8.65,8.25,8.59,421800,8.59
"2010-03-01",8.66,9.06,8.515,8.995,694000,8.995
"2010-03-02",9,9.125,8.635,8.73,558400,8.73
"2010-03-03",8.75,8.755,8.515,8.545,312800,8.545
"2010-03-04",8.595,8.695,8.35,8.435,406800,8.435
"2010-03-05",8.51,8.695,8.47,8.525,771400,8.525
"2010-03-08",8.55,8.65,8.55,8.62,631800,8.62
"2010-03-09",8.565,8.82,8.505,8.505,706600,8.505
"2010-03-10",8.535,8.565,8.235,8.33,567200,8.33
"2010-03-11",8.295,8.295,8.11,8.185,389200,8.185
"2010-03-12",8.25,8.25,8.1,8.17,295800,8.17
"2010-03-15",8.18,8.44,8.115,8.165,328800,8.165
"2010-03-16",8.165,8.4,8.02,8.24,472800,8.24
"2010-03-17",8.275,8.51,8.22,8.47,942400,8.47
"2010-03-18",8.5,8.775,8.5,8.59,1255200,8.59
"2010-03-19",8.55,8.625,8.36,8.55,904800,8.55
"2010-03-22",8.485,8.665,8.475,8.565,1131200,8.565
"2010-03-23",8.55,8.7,8.525,8.67,513200,8.67
"2010-03-24",8.65,8.82,8.575,8.605,372800,8.605
"2010-03-25",8.64,8.79,8.585,8.6,287000,8.6
"2010-03-26",8.605,8.66,8.445,8.525,675000,8.525
"2010-03-29",8.52,8.7,8.485,8.7,416000,8.7
"2010-03-30",8.685,8.85,8.635,8.83,472000,8.83
"2010-03-31",8.815,8.95,8.76,8.79,424400,8.79
"2010-04-01",8.875,8.975,8.81,8.845,626800,8.845
"2010-04-05",8.895,8.905,8.575,8.655,564800,8.655
"2010-04-06",8.58,8.7,8.51,8.605,234800,8.605
"2010-04-07",8.625,8.725,8.445,8.66,401400,8.66
"2010-04-08",8.645,8.685,8.375,8.505,488800,8.505
"2010-04-09",8.505,8.585,8.16,8.43,460400,8.43
"2010-04-12",8.405,8.55,8.35,8.51,415200,8.51
"2010-04-13",8.465,8.535,8.19,8.22,684200,8.22
"2010-04-14",8.32,8.6,8.095,8.525,1001800,8.525
"2010-04-15",8.505,8.535,8.2,8.23,1134800,8.23
"2010-04-16",8.24,8.245,7.94,8.1,1226200,8.1
"2010-04-19",8.09,8.27,8.09,8.125,459800,8.125
"2010-04-20",8.14,8.34,8.09,8.33,776000,8.33
"2010-04-21",8.34,8.425,8.175,8.21,324400,8.21
"2010-04-22",8.105,8.3,8.05,8.18,406000,8.18
"2010-04-23",8.195,8.3,7.93,8.29,623600,8.29
"2010-04-26",8.3,8.335,8.095,8.13,441000,8.13
