"dates","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2010-01-04",14.634615,15.038462,14.567308,14.855769,69763096,10.993693
"2010-01-05",14.865385,15.067308,14.855769,14.932692,67132624,11.050618
"2010-01-06",14.932692,15.019231,14.846154,14.855769,57683496,10.993693
"2010-01-07",14.884615,15.846154,14.836538,15.625,192891192,11.56295
"2010-01-08",15.682692,16.048077,15.644231,15.961538,119717104,11.811997
"2010-01-11",16.182692,16.230768,15.903846,16.115385,79742416,11.925844
"2010-01-12",15.942308,16.192308,15.932692,16.125,67207712,11.932961
"2010-01-13",16.115385,16.269232,15.932692,16.182692,67956096,11.975655
"2010-01-14",16.144232,16.221153,16.038462,16.057692,59655960,11.883149
"2010-01-15",16.038462,16.105768,15.721154,15.807692,77072424,11.698144
"2010-01-19",15.721154,16.105768,15.711538,15.903846,63125296,11.769299
"2010-01-20",15.865385,16.038462,15.701923,15.865385,67075424,11.740843
"2010-01-21",15.836538,15.846154,15.336538,15.403846,103117248,11.399289
"2010-01-22",15.913462,16.115385,15.471154,15.490385,169184808,11.463329
"2010-01-25",15.826923,15.894231,15.596154,15.740385,78166816,11.648335
"2010-01-26",15.701923,16.057692,15.634615,15.721154,81137680,11.634103
"2010-01-27",15.663462,15.759615,15.413462,15.673077,79924624,11.598526
"2010-01-28",15.798077,15.817308,15.394231,15.538462,82301440,11.498905
"2010-01-29",15.596154,15.865385,15.451923,15.461538,84404944,11.441981
"2010-02-01",15.576923,15.711538,15.480769,15.625,59218120,11.56295
"2010-02-02",15.644231,16.298077,15.615385,16.201923,120379376,11.989885
"2010-02-03",16.144232,16.375,15.980769,16.038462,73609328,11.86892
"2010-02-04",15.846154,15.865385,15.394231,15.423077,114503168,11.413521
"2010-02-05",15.423077,15.567308,14.663462,15.182692,149243328,11.235626
"2010-02-08",15.221154,15.230769,14.875,15,73306480,11.10043
"2010-02-09",15.153846,15.278846,14.836538,15,101483512,11.10043
"2010-02-10",14.971154,15.259615,14.903846,15.086538,71112184,11.164471
"2010-02-11",15.019231,15.182692,14.884615,15.163462,69572568,11.221395
"2010-02-12",14.990385,15.144231,14.759615,14.951923,79563224,11.064852
"2010-02-16",15.096154,15.5,15.076923,15.423077,72222592,11.413521
"2010-02-17",15.567308,15.596154,15.442308,15.528846,62976056,11.491791
"2010-02-18",15.480769,15.663462,15.461538,15.615385,49226840,11.555829
"2010-02-19",15.519231,15.625,15.384615,15.548077,67809664,11.506023
"2010-02-22",15.605769,15.711538,15.538462,15.625,46787520,11.56295
"2010-02-23",15.567308,15.692308,15.25,15.336538,65905944,11.349481
"2010-02-24",15.365385,15.519231,15.269231,15.5,58916624,11.470444
"2010-02-25",15.153846,15.336538,15.105769,15.307692,65899080,11.398842
"2010-02-26",15.384615,15.528846,15.336538,15.442308,62986976,11.499087
"2010-03-01",15.480769,15.528846,15.221154,15.288462,65310232,11.384524
"2010-03-02",15.307692,15.336538,15.221154,15.288462,54691104,11.384524
"2010-03-03",15.365385,15.663462,15.336538,15.413462,87170096,11.477604
"2010-03-04",15.451923,15.538462,15.355769,15.490385,49017488,11.534885
"2010-03-05",15.567308,15.740385,15.528846,15.721154,67791256,11.706728
"2010-03-08",15.740385,15.836538,15.615385,15.644231,55823976,11.649448
"2010-03-09",15.673077,15.980769,15.625,15.855769,87033024,11.806966
"2010-03-10",15.855769,15.971154,15.788462,15.875,70557136,11.821288
"2010-03-11",15.855769,15.913462,15.692308,15.846154,67501720,11.799807
"2010-03-12",15.951923,16.403847,15.865385,16.384615,117390416,12.200772
"2010-03-15",16.365385,16.682692,16.288462,16.625,122669144,12.379776
"2010-03-16",16.817308,17.461538,16.778847,17.375,237713944,12.93826
"2010-03-17",17.615385,17.692308,17.278847,17.346153,166919792,12.91678
"2010-03-18",17.394232,17.557692,17.221153,17.490385,92056016,13.024179
"2010-03-19",17.375,17.634615,17.240385,17.375,119388464,12.93826
"2010-03-22",17.173077,17.432692,17.115385,17.375,67538328,12.93826
"2010-03-23",17.461538,17.740385,17.451923,17.625,111883304,13.124426
"2010-03-24",17.653847,18.211538,17.567308,17.740385,129210744,13.210343
"2010-03-25",17.990385,18.038462,17.557692,17.596153,101575136,13.10294
"2010-03-26",17.615385,17.913462,17.480768,17.634615,87755720,13.131583
"2010-03-29",17.807692,17.846153,17.548077,17.692308,87273472,13.174544
"2010-03-30",17.759615,17.769232,17.548077,17.596153,55295448,13.10294
"2010-03-31",17.509615,17.653847,17.432692,17.5,61585160,13.031338
"2010-04-01",17.567308,17.692308,17.480768,17.625,47297120,13.124426
"2010-04-05",17.711538,17.932692,17.625,17.817308,58114576,13.267619
"2010-04-06",17.740385,17.932692,17.701923,17.884615,56270760,13.317741
"2010-04-07",17.855768,18.028847,17.682692,17.788462,62882768,13.246144
"2010-04-08",17.682692,17.932692,17.548077,17.846153,63016616,13.289104
"2010-04-09",17.875,17.951923,17.692308,17.807692,56797208,13.260461
"2010-04-12",17.846153,18.25,17.826923,17.990385,74568520,13.396503
"2010-04-13",18.028847,18.394232,18,18.221153,96288504,13.568345
"2010-04-14",18.471153,18.653847,18.278847,18.605768,85237360,13.85475
"2010-04-15",18.701923,18.932692,18.625,18.75,107246776,13.962153
"2010-04-16",18.692308,18.701923,17.932692,18.240385,179269896,13.582668
"2010-04-19",17.923077,18.240385,17.923077,18.211538,81282448,13.561186
"2010-04-20",18.307692,18.461538,18.25,18.269232,59973160,13.60415
"2010-04-21",18.365385,18.442308,18.163462,18.298077,60743280,13.625631
"2010-04-22",18.182692,18.278847,17.894232,18.221153,75966384,13.568345
"2010-04-23",18.134615,18.365385,18.076923,18.336538,60088600,13.654264
"2010-04-26",18.451923,18.625,18.365385,18.557692,68341416,13.818948
"2010-04-27",18.5,18.740385,17.875,17.980768,114014264,13.389342
"2010-04-28",17.951923,18.355768,17.932692,18.221153,88406656,13.568345
"2010-04-29",18.307692,18.740385,18.298077,18.740385,72869056,13.954994
"2010-04-30",18.711538,18.942308,18.067308,18.134615,116618424,13.503903
