"dates","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2010-01-04",23.709999,23.959999,23.51,23.860001,6944100,19.180326
"2010-01-05",23.73,25.75,23.67,25.690001,12424000,20.651411
"2010-01-06",25.51,26.379999,25.09,26.120001,10690200,20.997072
"2010-01-07",26,26.719999,25.82,26.52,7033600,21.318624
"2010-01-08",26.389999,26.57,25.77,26.219999,5130500,21.077463
"2010-01-11",26.42,26.6,25.85,26.17,5188500,21.03726
"2010-01-12",28.040001,28.59,27.09,27.120001,23618800,21.800941
"2010-01-13",27.23,28.059999,27.200001,27.84,7752000,22.379725
"2010-01-14",27.690001,27.700001,26.91,27.26,9251600,21.913486
"2010-01-15",27.23,27.299999,26.52,26.780001,7727900,21.527622
"2010-01-19",26.65,27.5,26.5,27.48,5322100,22.090326
"2010-01-20",27.09,27.450001,26.780001,26.969999,4622900,21.680359
"2010-01-21",26.959999,27.139999,25.52,25.559999,12520600,20.546906
"2010-01-22",25.549999,25.799999,24.530001,24.610001,10500600,19.78323
"2010-01-25",25.129999,25.309999,24.24,24.66,7099300,19.82342
"2010-01-26",24.450001,25.299999,24.32,24.41,6690400,19.62245
"2010-01-27",24.370001,24.99,23.950001,24.959999,7216500,20.064581
"2010-01-28",25.280001,25.280001,23.99,24.219999,6607000,19.469721
"2010-01-29",24.459999,24.950001,23.82,23.99,6691400,19.284828
"2010-02-01",24.280001,24.49,24.030001,24.389999,4371600,19.606377
"2010-02-02",24.5,25.49,24.34,25.389999,7337000,20.410246
"2010-02-03",25.24,25.25,24.33,24.58,6416700,19.759111
"2010-02-04",24.34,24.450001,23.17,23.190001,8083800,18.641739
"2010-02-05",23.17,23.799999,22.200001,23.530001,9837100,18.915052
"2010-02-08",23.82,24.299999,23.299999,23.459999,10869100,18.858776
"2010-02-09",23.389999,23.82,21.969999,22.34,20527700,17.958448
"2010-02-10",22.33,23.280001,21.6,23.07,17883100,18.545263
"2010-02-11",23.15,23.18,22.620001,23.040001,7192400,18.521149
"2010-02-12",22.709999,23.5,22.41,23.450001,5748700,18.850733
"2010-02-16",23.82,24,23.51,23.950001,5483200,19.252676
"2010-02-17",23.969999,24.299999,23.790001,24.08,6257500,19.35717
"2010-02-18",23.950001,24.35,23.75,24.139999,5024000,19.405407
"2010-02-19",24.07,24.43,23.75,24.34,4674200,19.566181
"2010-02-22",24.610001,24.85,24.26,24.809999,4964800,19.944002
"2010-02-23",24.67,24.709999,23.65,23.85,7428900,19.172285
"2010-02-24",23.940001,24.34,23.83,24.33,5243300,19.558144
"2010-02-25",23.91,24.379999,23.709999,24.34,4502600,19.606474
"2010-02-26",24.290001,24.49,24.08,24.370001,4635100,19.63065
"2010-03-01",24.559999,24.809999,24.43,24.809999,4506700,19.985071
"2010-03-02",25.02,25.950001,24.719999,25.719999,14139300,20.718098
"2010-03-03",25.790001,25.9,25.219999,25.360001,6718400,20.428112
"2010-03-04",25.469999,26.42,25.219999,26.35,8881900,21.22558
"2010-03-05",26.6,27.059999,26.280001,26.860001,7430400,21.6364
"2010-03-08",27.1,27.379999,26.700001,26.93,5341100,21.692791
"2010-03-09",27.139999,27.17,26.5,26.58,6949500,21.410854
"2010-03-10",26.549999,27.450001,26.469999,27.26,8331100,21.958612
"2010-03-11",27.059999,27.52,27.02,27.290001,5281900,21.98278
"2010-03-12",27.530001,27.59,26.66,26.75,5952800,21.547792
"2010-03-15",26.530001,26.860001,26.09,26.82,7240600,21.604172
"2010-03-16",26.77,27.290001,26.459999,27.26,7140600,21.958612
"2010-03-17",28.26,29.120001,28.200001,28.58,24458500,23.021906
"2010-03-18",28.66,28.75,27.66,27.84,58662500,22.425812
"2010-03-19",27.26,27.98,26.91,27.26,19144500,21.958612
"2010-03-22",27.01,27.809999,26.9,27.629999,14975100,22.256651
"2010-03-23",27.74,27.9,27.370001,27.860001,9217400,22.441921
"2010-03-24",27.68,28.4,27.52,28.139999,10372500,22.667467
"2010-03-25",28.35,28.610001,27.77,27.85,14156600,22.433865
"2010-03-26",27.82,28.49,27.75,27.969999,10766900,22.530531
"2010-03-29",28.16,28.23,27.57,28.18,7574000,22.699692
"2010-03-30",28.01,28.18,27.860001,28.040001,7775600,22.586924
"2010-03-31",28.01,28.68,27.85,28.42,21737100,22.893017
"2010-04-01",28.91,29.25,28.709999,28.879999,9081800,23.263556
"2010-04-05",29.27,29.48,28.950001,29.34,5124000,23.634098
"2010-04-06",29.280001,29.42,28.940001,29.030001,6285200,23.38439
"2010-04-07",28.75,29.030001,28.209999,28.5,9842000,22.957457
"2010-04-08",28.34,28.65,28.059999,28.549999,6022100,22.99774
"2010-04-09",28.709999,28.83,27.860001,28,7789200,22.554697
"2010-04-12",28.120001,28.25,27.549999,27.889999,10101500,22.466091
"2010-04-13",27.709999,28.02,27.639999,27.959999,8393400,22.52247
"2010-04-14",28.139999,28.18,27.889999,28.15,14868900,22.67552
"2010-04-15",28,28.15,27.58,27.77,9789200,22.369431
"2010-04-16",27.620001,27.98,26.690001,27.02,10674600,21.765282
"2010-04-19",26.780001,27.639999,26.57,27.6,8310000,22.232485
"2010-04-20",27.799999,28.780001,27.709999,28.77,12644100,23.174952
"2010-04-21",28.790001,28.790001,28.200001,28.75,7410900,23.15884
"2010-04-22",28.389999,28.9,28.209999,28.860001,7753500,23.247448
"2010-04-23",28.889999,29.6,28.57,29.559999,7176200,23.811314
"2010-04-26",29.74,30.459999,29.42,29.620001,11693400,23.859648
"2010-04-27",29.4,29.59,28.309999,28.450001,11884700,22.917181
"2010-04-28",28.76,29.32,28.51,28.92,7677300,23.29578
"2010-04-29",29.299999,29.85,28.860001,29.639999,9588600,23.875763
"2010-04-30",29.48,29.48,28.379999,28.57,8607300,23.013847
"2010-05-03",28.870001,29.209999,28.67,28.99,7020200,23.352167
"2010-05-04",28.5,28.540001,27.459999,27.66,8313800,22.280815
"2010-05-05",26.41,28.440001,26.41,27.280001,9526700,21.97472
"2010-05-06",27.209999,28.059999,24,26.059999,19249300,20.991978
"2010-05-07",25.620001,26.59,24.879999,25.299999,18399400,20.37978
"2010-05-10",26.34,27.57,25.25,27.02,11714600,21.765282
