"dates","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2011-03-22",35.720001,37.599998,34,37.490002,491400,33.338013
"2011-03-23",37.07,37.799999,36.950001,37.25,601200,33.124603
"2011-03-24",37.5,37.5,37.150002,37.25,230400,33.124603
"2011-03-25",37.5,39.25,37.25,39.25,497400,34.903107
"2011-03-28",39,39,37.75,37.75,53100,33.569229
"2011-03-29",37.759998,37.950001,37.470001,37.5,269300,33.346916
"2011-03-30",37.950001,38.490002,36.580002,38.200001,8573500,33.969398
"2011-03-31",38.450001,42.740002,38,41.5,2653000,36.903919
"2011-04-01",40.990002,42.439999,39.84,40.040001,2222900,35.60561
"2011-04-04",39.860001,41.02,39.139999,40.150002,1122700,35.703434
"2011-04-05",39.529999,40.330002,38.73,40.25,1373400,35.792358
"2011-04-06",39.860001,40.310001,39.119999,39.68,2080100,35.285484
"2011-04-07",38.25,39.25,37.509998,38.799999,2134600,34.502945
"2011-04-08",38.330002,38.880001,38.200001,38.5,1307200,34.236164
"2011-04-11",38.5,38.580002,38.279999,38.32,1563100,34.076103
"2011-04-12",37.91,38.419998,37.66,38.049999,1637500,33.835999
"2011-04-13",37.709999,38.369999,37.279999,38,1649100,33.791538
"2011-04-14",37.900002,39.360001,37.849998,38.77,1232400,34.476257
"2011-04-15",38.889999,40.75,38.810001,40.139999,1502100,35.69453
"2011-04-18",39.450001,40.220001,38.59,40.049999,793700,35.614494
"2011-04-19",40.080002,40.119999,39.490002,39.779999,802400,35.374409
"2011-04-20",40.139999,40.360001,39.5,40.060001,358200,35.623394
"2011-04-21",40.029999,40.189999,39.18,39.310001,799400,34.956455
"2011-04-25",39.130001,39.41,38.610001,39.07,298000,34.743038
"2011-04-26",38.970001,39.709999,38.700001,39.34,696700,34.983139
"2011-04-27",38.970001,40.200001,38.099998,40.009998,772000,35.578926
"2011-04-28",40,40.240002,39.580002,39.990002,692000,35.56115
"2011-04-29",40,40.169998,39.939999,40,556000,35.570045
"2011-05-02",39.41,41.189999,39.049999,40.98,542100,36.441513
"2011-05-03",40.889999,41.09,40.380001,40.5,539000,36.014671
"2011-05-04",40.400002,40.669998,39.59,39.950001,591800,35.525581
"2011-05-05",39.810001,41.200001,39.5,39.84,635800,35.427765
"2011-05-06",40.009998,40.150002,39.34,39.5,413800,35.125416
"2011-05-09",39.330002,39.849998,38.860001,39.599998,368900,35.21434
"2011-05-10",39.790001,40.34,39.77,40.169998,709100,35.72121
"2011-05-11",39.48,39.5,38.5,38.779999,1297900,34.485149
"2011-05-12",38.799999,38.900002,38.27,38.389999,382000,34.138344
"2011-05-13",38.310001,38.610001,37.970001,38.459999,435000,34.200588
"2011-05-16",38.200001,38.889999,38.200001,38.689999,303700,34.405121
"2011-05-17",38.41,38.880001,38.41,38.779999,369700,34.485149
"2011-05-18",38.639999,38.650002,38.09,38.5,559900,34.236164
"2011-05-19",38.450001,38.68,38,38.380001,519700,34.129456
"2011-05-20",38.330002,38.369999,37.849998,38.060001,349000,33.844891
"2011-05-23",37.73,38.150002,37.310001,37.799999,283600,33.613686
"2011-05-24",37.709999,37.860001,37.009998,37.169998,368900,33.053459
"2011-05-25",37.02,37.099998,36.610001,36.669998,327400,32.608841
"2011-05-26",36.43,36.639999,36.290001,36.419998,481700,32.386524
"2011-05-27",36.68,36.900002,36.450001,36.580002,241300,32.528801
"2011-05-31",36.759998,37.380001,36.439999,36.57,835400,32.519909
"2011-06-01",36.57,36.57,35.959999,36.099998,669000,32.101955
"2011-06-02",36.02,36.240002,35.860001,36.049999,317500,32.057503
"2011-06-03",35.669998,36.040001,35.240002,35.799999,421500,31.835171
"2011-06-06",35.689999,36.130001,35.509998,35.98,355200,31.995245
"2011-06-07",36,36.529999,35.889999,36.439999,252100,32.404308
"2011-06-08",36.279999,37.110001,36.279999,36.970001,254000,32.875614
"2011-06-09",36.939999,37.41,36.810001,36.990002,986800,32.893387
"2011-06-10",36.860001,36.860001,36.150002,36.330002,462200,32.306492
"2011-06-13",36.330002,36.740002,36.330002,36.509998,385600,32.466553
"2011-06-14",36.700001,36.75,36.360001,36.580002,231300,32.528801
"2011-06-15",36.25,36.349998,35.880001,36.16,289200,32.155327
