"dates","HPE.Open","HPE.High","HPE.Low","HPE.Close","HPE.Volume","HPE.Adjusted"
"2015-10-19",10.752331,10.752331,9.578292,9.618977,2721233,8.430818
"2015-10-20",9.444615,9.839836,9.444615,9.804963,1220907,8.593833
"2015-10-21",10.025822,10.083943,9.531796,9.578292,135236,8.395161
"2015-10-22",9.71197,9.90958,9.438803,9.85146,189261,8.634585
"2015-10-23",10.025822,10.025822,9.793339,9.88052,103061,8.660055
"2015-10-26",9.944453,9.944453,9.479487,9.54342,885743,8.364594
"2015-10-27",9.624789,9.735218,9.06683,9.142387,1094274,8.013099
"2015-10-28",9.241192,9.502736,9.209226,9.462051,509801,8.293278
"2015-10-29",9.305125,9.456239,9.03777,9.270253,499650,8.125171
"2015-10-30",9.241192,9.357434,8.555368,8.555368,4214161,7.498589
"2015-11-02",8.712294,8.816911,8.05553,8.42169,70312635,7.381424
"2015-11-03",8.177583,8.549556,7.948007,8.346133,69176379,7.315198
"2015-11-04",8.36357,8.433315,7.910228,7.939289,54241942,6.958609
"2015-11-05",7.927664,8.072966,7.625437,7.71843,38180025,6.765031
"2015-11-06",7.660309,8.415878,7.642873,8.369382,51702744,7.335577
"2015-11-09",8.288013,8.415878,8.212456,8.25314,30158099,7.233695
"2015-11-10",8.212456,8.39263,8.142711,8.375194,25426050,7.340669
"2015-11-11",8.25314,8.317073,8.189208,8.200832,18942302,7.187848
"2015-11-12",8.02647,8.032282,7.898604,7.962537,35050675,6.978986
"2015-11-13",7.910228,7.997409,7.642873,7.782363,25678456,6.821067
"2015-11-16",7.770738,7.910228,7.637061,7.776551,23712203,6.815974
"2015-11-17",7.776551,7.840483,7.625437,7.683557,21370697,6.734468
"2015-11-18",7.834671,7.979973,7.66554,7.927664,22402515,6.948421
"2015-11-19",7.863732,8.072966,7.85792,8.009033,22662319,7.019739
"2015-11-20",8.009033,8.503059,7.950913,8.258952,31932509,7.238786
"2015-11-23",8.235704,8.258952,7.88698,8.049718,26354291,7.055399
"2015-11-24",7.892792,8.151429,7.846295,7.956725,41484183,6.973893
"2015-11-25",8.08459,8.636737,8.043906,8.206644,39017248,7.192939
"2015-11-27",8.206644,8.508871,8.165959,8.340321,10395090,7.310106
"2015-11-30",8.270577,8.718106,8.241516,8.636737,50075613,7.569909
"2015-12-01",8.648361,9.229568,8.630925,9.072642,43197341,7.951969
"2015-12-02",8.933153,9.031958,8.642549,8.689046,21818558,7.615756
"2015-12-03",8.718106,8.915716,8.473999,8.497247,32527478,7.447647
"2015-12-04",8.36357,8.889562,8.276389,8.845972,20648579,7.753297
"2015-12-07",8.718106,8.997085,8.671609,8.979649,16424439,7.899006
"2015-12-08",8.770415,8.886656,8.497247,8.816911,19988745,7.755852
"2015-12-09",8.712294,8.944777,8.53212,8.630925,24538415,7.592252
"2015-12-10",8.596052,8.607677,8.444939,8.555368,19528668,7.525784
"2015-12-11",8.712294,8.950589,8.218268,8.241516,18265779,7.249702
"2015-12-14",8.311261,8.427502,8.090402,8.39263,19834755,7.382631
"2015-12-15",8.433315,8.706482,8.418784,8.462375,22175746,7.443982
"2015-12-16",8.497247,8.607677,8.456563,8.543744,13490889,7.515559
"2015-12-17",8.491435,8.555368,8.264764,8.317073,13118732,7.316167
"2015-12-18",8.293825,8.360664,8.136899,8.229892,33271447,7.239477
"2015-12-21",8.206644,8.369382,8.061342,8.148523,16970372,7.167901
"2015-12-22",8.160147,8.218268,8.090402,8.171771,12547163,7.188351
"2015-12-23",8.247328,8.70067,8.165959,8.665797,19359710,7.622925
"2015-12-24",8.607677,8.816911,8.596052,8.72973,3748234,7.679162
"2015-12-28",8.654173,8.880844,8.613489,8.851784,10203937,7.78653
"2015-12-29",8.886656,8.972093,8.822723,8.834347,10797873,7.77119
"2015-12-30",8.886656,8.997085,8.805287,8.880844,10796841,7.812092
"2015-12-31",8.851784,8.89828,8.776227,8.834347,11644903,7.77119
"2016-01-04",8.70067,8.805287,8.566992,8.793663,25940497,7.735402
"2016-01-05",8.793663,8.863408,8.683234,8.735542,17770259,7.684277
"2016-01-06",8.497247,8.718106,8.433315,8.601865,19468277,7.566686
"2016-01-07",8.427502,8.462375,7.933476,7.968349,34143941,7.009409
"2016-01-08",8.003221,8.148523,7.735866,7.869544,28272024,6.922496
"2016-01-11",7.805611,7.968349,7.596376,7.706806,25998996,6.779341
"2016-01-12",7.759114,7.799799,7.608,7.706806,21435562,6.779341
"2016-01-13",7.759114,7.759114,7.282525,7.41039,30489650,6.518596
"2016-01-14",7.41039,7.654497,7.352269,7.555692,22973740,6.646414
"2016-01-15",7.323209,7.43945,7.259276,7.288337,33945733,6.411232
"2016-01-19",7.369706,7.427826,7.090726,7.160471,22239750,6.298755
"2016-01-20",6.974485,7.090726,6.756532,7.009357,28630244,6.165825
"2016-01-21",6.974485,7.288337,6.869868,7.21278,28784234,6.344769
"2016-01-22",7.38133,7.805611,7.352269,7.759114,26272736,6.825354
"2016-01-25",7.724242,7.875356,7.625437,7.753302,19241679,6.820243
"2016-01-26",7.759114,7.977067,7.759114,7.904416,18454869,6.953171
"2016-01-27",7.863732,7.910228,7.529538,7.782363,31803640,6.845806
"2016-01-28",7.817235,7.962537,7.596376,7.666121,16989470,6.743554
"2016-01-29",7.793987,8.067154,7.759114,7.997409,19548799,7.034972
"2016-02-01",7.945101,8.067154,7.863732,8.014845,16430633,7.05031
"2016-02-02",7.962537,8.119463,7.764926,7.817235,16650692,6.876482
"2016-02-03",7.939289,8.003221,7.619625,7.770738,12995369,6.83558
"2016-02-04",7.735866,8.072966,7.735866,8.049718,11182073,7.080986
"2016-02-05",7.956725,7.991597,7.576034,7.671933,22759014,6.748664
"2016-02-08",7.555692,7.584752,7.189531,7.2709,25491603,6.395894
"2016-02-09",7.189531,7.474323,7.154659,7.392954,11504506,6.503258
"2016-02-10",7.422014,7.596376,7.387142,7.474323,10292717,6.574836
"2016-02-11",7.305773,7.363894,6.983203,7.206968,16920476,6.339656
"2016-02-12",7.265088,7.433638,7.079102,7.143035,18150846,6.283418
"2016-02-16",7.21278,7.259276,7.131411,7.166283,20606942,6.303867
"2016-02-17",7.201156,7.637061,7.189531,7.567316,14910693,6.656638
"2016-02-18",7.584752,7.962537,7.567316,7.863732,20189190,6.917382
"2016-02-19",7.852107,7.985785,7.700994,7.945101,16198014,6.988958
"2016-02-22",7.991597,8.067154,7.88698,8.020657,18505625,7.055421
"2016-02-23",7.974161,8.032282,7.462699,7.608,25201001,6.692427
"2016-02-24",7.555692,7.88698,7.451075,7.863732,22757638,6.917382
"2016-02-25",7.817235,7.968349,7.695182,7.950913,20784159,6.994071
"2016-02-26",8.009033,8.020657,7.642873,7.811423,18624516,6.871368
"2016-02-29",7.735866,7.834671,7.671933,7.712618,21932459,6.784454
"2016-03-01",7.799799,7.828859,7.608,7.71843,14373879,6.789567
"2016-03-02",7.776551,8.165959,7.759114,8.078778,17234305,7.10655
"2016-03-03",8.08459,8.107839,7.71843,7.904416,17256500,6.953171
"2016-03-04",8.659985,9.20632,8.613489,8.973837,57415854,7.893893
"2016-03-07",8.793663,9.293501,8.752978,9.281877,31792800,8.194052
"2016-03-08",9.154011,9.17726,8.837253,8.851784,21215331,7.814366
"2016-03-09",8.915716,9.203414,8.892468,9.002897,19045536,7.947768
"2016-03-10",9.03777,9.421367,9.020334,9.241192,24578332,8.158136
"2016-03-11",9.299313,9.555044,9.299313,9.491111,26984531,8.378762
"2016-03-14",9.415554,9.630601,9.322561,9.537608,16641917,8.419811
"2016-03-15",9.508548,9.810775,9.444615,9.746842,23974588,8.604523
"2016-03-16",9.71197,10.014198,9.648037,9.990949,21531053,8.820021
"2016-03-17",9.956077,10.072318,9.857272,9.973513,18699360,8.804628
"2016-03-18",9.979325,10.21762,9.927017,10.072318,53273441,8.891854
"2016-03-21",10.072318,10.426855,10.054882,10.293177,18463127,9.086826
"2016-03-22",10.118815,10.508224,10.078131,10.176936,19474127,8.98421
