"dates","IRM.Open","IRM.High","IRM.Low","IRM.Close","IRM.Volume","IRM.Adjusted"
"2010-01-04",21.155268,21.312384,20.961184,21.155268,995548,10.197667
"2010-01-05",21.099815,21.284658,20.979668,21.219963,1120195,10.228854
"2010-01-06",21.247688,21.968576,21.201479,21.903881,1974975,10.55853
"2010-01-07",21.857672,22.255083,21.820702,22.255083,1518912,10.72782
"2010-01-08",22.181147,22.393715,22.024031,22.319778,1048566,10.759008
"2010-01-11",22.36599,22.550833,22.171904,22.486137,1014159,10.839196
"2010-01-12",22.310535,22.578558,22.134935,22.218115,1605580,10.710002
"2010-01-13",22.264324,22.809612,22.264324,22.791128,1002365,10.986217
"2010-01-14",22.781885,22.975969,22.513863,22.948244,1214004,11.061954
"2010-01-15",22.874308,23.040665,22.412201,22.532349,1261287,10.861474
"2010-01-19",22.504622,22.92976,22.421442,22.855824,958977,11.0174
"2010-01-20",22.67098,22.698706,22.32902,22.45841,681227,10.825835
"2010-01-21",22.421442,22.587799,22.199631,22.24584,1418935,10.723366
"2010-01-22",22.255083,22.28281,21.913124,21.940849,1560136,10.576347
"2010-01-25",22.107208,22.144176,21.626617,21.783733,905850,10.500616
"2010-01-26",21.756006,21.857672,21.432531,21.441774,834655,10.335775
"2010-01-27",21.42329,21.580406,21.173752,21.451017,1289636,10.34023
"2010-01-28",21.497227,21.497227,21.072088,21.164511,784558,10.202125
"2010-01-29",21.340111,21.441774,21.090572,21.127542,1605147,10.184304
"2010-02-01",21.229204,21.386322,21.127542,21.238447,1015132,10.237763
"2010-02-02",21.238447,21.515713,21.164511,21.469501,1066527,10.349138
"2010-02-03",21.395563,21.654345,21.303143,21.358595,874148,10.29568
"2010-02-04",21.146027,21.312384,20.868761,20.878004,1499327,10.06402
"2010-02-05",20.804068,21.025879,20.286507,20.425138,2948234,9.845719
"2010-02-08",20.406654,20.443623,20.147875,20.147875,1330535,9.712064
"2010-02-09",20.369686,20.499077,20.129391,20.277264,1251658,9.774436
"2010-02-10",20.277264,20.378927,19.870609,19.981516,1705557,9.631868
"2010-02-11",19.944548,20.25878,19.70425,20.083179,1853574,9.680877
"2010-02-12",19.963032,20.129391,19.759705,20.064695,1668119,9.671969
"2010-02-16",20.194084,20.711645,20.046211,20.702402,1283901,9.979366
"2010-02-17",21.367838,21.876156,21.127542,21.765249,3238967,10.491702
"2010-02-18",21.802217,22.079481,21.71904,22.033272,1318958,10.620901
"2010-02-19",21.959335,22.569317,21.959335,22.319778,1933642,10.759008
"2010-02-22",22.439926,22.587799,21.89464,22.060999,1786274,10.634266
"2010-02-23",22.033272,22.273567,21.968576,22.060999,2021501,10.634266
"2010-02-24",22.162663,22.597042,22.125692,22.45841,2511430,10.825835
"2010-02-25",23.585953,24.473198,23.57671,24.048059,4288940,11.592107
"2010-02-26",24.140482,24.251387,23.853973,23.918669,2187588,11.529735
"2010-03-01",24.112755,24.121996,23.724585,24.020332,2250019,11.57874
"2010-03-02",24.140482,24.168207,23.761553,23.872458,1368514,11.507462
"2010-03-03",23.96488,24.057301,23.585953,23.678373,1506577,11.413905
"2010-03-04",23.743069,23.752312,23.438078,23.696857,1005070,11.422812
"2010-03-05",23.761553,24.020332,23.687616,23.872458,1192148,11.507462
"2010-03-08",23.96488,24.038816,23.807762,23.881701,751233,11.511912
"2010-03-09",23.835489,23.872458,23.558226,23.7061,1267238,11.427267
"2010-03-10",23.7061,23.909428,23.678373,23.696857,1158822,11.422812
"2010-03-11",23.595194,23.844732,23.49353,23.817005,726347,11.480729
"2010-03-12",23.863216,23.983364,23.724585,23.946396,635783,11.543101
"2010-03-15",24.029575,24.140482,23.863216,24.075787,890161,11.605471
"2010-03-16",24.140482,24.177448,23.946396,24.121996,999984,11.62775
"2010-03-17",24.297598,24.408503,24.094271,24.390018,957137,11.756944
"2010-03-18",24.390018,24.417746,24.232903,24.362291,667378,11.74358
"2010-03-19",24.029575,24.537893,23.937153,24.029575,1279573,11.583198
"2010-03-22",23.881701,24.43623,23.881701,24.325323,909529,11.725759
"2010-03-23",24.537893,25.212568,24.43623,25.212568,1850436,12.182608
"2010-03-24",25.055452,25.323475,24.898336,24.972275,1425319,12.066499
"2010-03-25",25.203327,25.434381,25.018484,25.046211,1434083,12.102222
"2010-03-26",25.194084,25.397411,24.778189,24.981516,997820,12.070962
"2010-03-29",25.018484,25.637709,25.018484,25.637709,1433434,12.388036
"2010-03-30",25.609982,25.656193,25.249538,25.341959,1184790,12.245128
"2010-03-31",25.166359,25.369686,25.027725,25.323475,1272540,12.236199
"2010-04-01",25.526802,25.878004,25.166359,25.369686,1366999,12.258523
"2010-04-05",25.443623,25.462107,25.147875,25.231054,1201128,12.19154
"2010-04-06",25.055452,25.110907,24.842884,24.963032,1435057,12.062033
"2010-04-07",24.861368,24.944548,24.602589,24.695009,1110132,11.932521
