"dates","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2010-01-04",61.6395,61.86002,60.968361,61.620327,1634903,42.008694
"2010-01-05",61.658676,61.955894,61.035477,61.668266,2465861,42.041363
"2010-01-06",61.697029,61.697029,60.862896,60.910835,2453658,41.525005
"2010-01-07",61.054649,61.054649,60.038349,60.508148,3246859,41.250488
"2010-01-08",60.278046,60.364334,59.242569,60.124641,3069340,40.989029
"2010-01-11",60.105465,60.115051,58.676895,60.047939,2993514,40.936729
"2010-01-12",59.952061,60.79578,59.827419,60.42186,2557019,41.191658
"2010-01-13",60.661552,61.073826,60.402683,60.997124,1904205,41.583836
"2010-01-14",61.054649,61.054649,60.316395,60.42186,2019352,41.191658
"2010-01-15",60.249283,60.364334,59.56855,59.654842,3690343,40.668747
"2010-01-19",59.808247,60.64238,59.741131,60.21093,3347196,41.047859
"2010-01-20",60.028763,60.028763,58.696068,59.530201,2783871,40.583782
"2010-01-21",59.664429,59.942474,58.485138,58.590603,3530033,39.943226
"2010-01-22",57.430489,58.945351,57.12368,57.746883,4369023,39.368031
"2010-01-25",58.245445,58.293385,57.286674,57.957813,3075181,39.511829
"2010-01-26",58.245445,58.245445,57.315437,57.631832,4167724,39.289585
"2010-01-27",57.641418,57.957813,56.74976,57.046982,3959019,38.890869
"2010-01-28",57.353786,57.603069,56.634708,56.673058,4408552,38.635971
"2010-01-29",57.027805,57.698944,56.644295,56.941517,3816233,38.818985
"2010-02-01",57.459251,57.459251,56.577183,57.056568,3415303,38.897411
"2010-02-02",57.209972,58.3605,56.826462,58.178333,3314550,39.662159
"2010-02-03",58.092041,58.092041,57.305847,57.900288,3479552,39.472607
"2010-02-04",57.535954,57.76606,56.740173,56.788113,2623354,38.714405
"2010-02-05",56.778522,57.075745,55.848515,56.529243,3210563,38.537941
"2010-02-08",56.720997,57.12368,56.164909,56.519653,2844470,38.531384
"2010-02-09",57.008629,57.468842,56.625118,57.162033,2375850,38.969307
"2010-02-10",57.018215,57.152447,56.241611,56.500481,2625127,38.518314
"2010-02-11",56.663471,56.951103,56.299137,56.74976,2349566,38.688248
"2010-02-12",56.519653,56.711411,56.126556,56.433365,2735372,38.472561
"2010-02-16",56.567593,56.816875,56.279961,56.816875,2901730,38.734005
"2010-02-17",56.96069,57.18121,56.807285,56.903164,2693652,38.792847
"2010-02-18",56.855225,58.044106,56.807285,57.909874,2334964,39.479149
"2010-02-19",57.861938,58.092041,57.430489,57.76606,2220130,39.381104
"2010-02-22",57.890701,58.130394,57.334614,57.430489,2509145,39.152321
"2010-02-23",57.334614,58.120804,57.142857,57.890701,3244147,39.466068
"2010-02-24",58.082455,58.130394,57.622246,57.813999,3092391,39.41378
"2010-02-25",57.545544,57.948227,57.114094,57.909874,2684891,39.479149
"2010-02-26",58.13998,58.533077,57.842762,58.235859,2777092,39.70137
"2010-03-01",58.906998,58.906998,58.044106,58.245445,3237368,39.707912
"2010-03-02",57.468842,58.101631,56.740173,57.852348,6698980,39.43993
"2010-03-03",57.478428,57.900288,57.430489,57.545544,2707524,39.664619
"2010-03-04",57.813999,57.957813,57.152447,57.564716,3249571,39.677826
"2010-03-05",57.756474,57.967403,57.315437,57.631832,3110643,39.724087
"2010-03-08",57.727711,57.775646,57.238735,57.641418,2808069,39.730709
"2010-03-09",57.535954,57.833176,57.516781,57.535954,2237652,39.658012
"2010-03-10",57.622246,57.622246,56.807285,57.027805,3925852,39.307762
"2010-03-11",57.162033,57.286674,56.788113,57.248322,3142142,39.459751
"2010-03-12",57.3442,57.737297,57.12368,57.603069,3848670,39.704281
"2010-03-15",57.670181,57.861938,57.392139,57.861938,2612819,39.882698
"2010-03-16",57.315437,58.044106,57.286674,58.034515,4531105,40.001652
"2010-03-17",58.111217,58.504314,57.76606,58.418026,3021675,40.266003
"2010-03-18",58.504314,58.811123,58.312561,58.763184,3073304,40.503902
"2010-03-19",58.897411,59.050816,58.56184,58.897411,3874432,40.596424
"2010-03-22",58.926174,60.460213,58.926174,60.402683,4978656,41.633965
"2010-03-23",60.671143,60.977947,60.258869,60.891659,3363884,41.971016
"2010-03-24",60.872482,60.872482,60.115051,60.297218,2036353,41.561268
"2010-03-25",60.508148,60.738255,60,60.441036,3352619,41.660404
"2010-03-26",60.469799,60.690315,59.923298,60.220516,2709923,41.508404
"2010-03-29",60.287632,60.80537,60.124641,60.613613,2140340,41.779362
"2010-03-30",60.719082,60.824547,60.354748,60.536915,1673285,41.726498
"2010-03-31",60.325981,60.527325,59.932884,60.287632,2123027,41.554661
"2010-04-01",60.575264,60.575264,59.424736,59.923298,3379841,41.303543
"2010-04-05",60.258869,60.287632,59.530201,59.693192,2433006,41.144943
"2010-04-06",59.683605,59.865772,59.108341,59.635666,2472014,41.105278
"2010-04-07",59.300095,59.424736,58.859058,59.002876,2967439,40.669117
"2010-04-08",58.839886,59.079578,58.657719,58.801533,2460020,40.530342
"2010-04-09",58.791946,59.137104,58.581017,59.137104,1950410,40.761646
"2010-04-12",59.386387,59.443913,58.657719,58.859058,2524582,40.570004
"2010-04-13",58.839886,58.887825,58.389263,58.542664,2541165,40.351894
"2010-04-14",58.600193,58.811123,58.274208,58.715244,2731513,40.470875
"2010-04-15",58.581017,59.348034,58.456375,59.050816,2560669,40.702164
"2010-04-16",58.78236,59.664429,58.78236,59.271332,2866268,40.854156
"2010-04-19",59.137104,59.62608,59.137104,59.587727,3446698,41.072239
"2010-04-20",59.846596,59.990414,59.41515,59.952061,3274811,41.323368
"2010-04-21",60.105465,60.441036,59.923298,60.354748,2917375,41.600941
"2010-04-22",60.095879,60.162991,59.060402,59.558964,3557986,41.052422
"2010-04-23",59.712368,59.712368,58.015339,58.418026,4470924,40.266003
"2010-04-26",59.012463,59.012463,58.14957,58.427612,4012317,40.272617
"2010-04-27",58.3605,58.93576,58.18792,58.216682,3968824,40.127228
"2010-04-28",58.513901,58.878235,58.034515,58.504314,2939174,40.325478
"2010-04-29",58.78236,59.079578,58.331734,58.753593,2516968,40.497303
"2010-04-30",58.897411,59.482262,58.724831,58.734421,3103864,40.484085
"2010-05-03",58.811123,58.945351,58.427612,58.628956,2589873,40.4114
"2010-05-04",58.274208,58.887825,58.044106,58.667305,4438695,40.437813
"2010-05-05",58.609779,59.463085,58.609779,58.9837,3414052,40.655903
"2010-05-06",58.830296,59.271332,57.315437,58.57143,6829877,40.371738
"2010-05-07",58.398849,58.734421,57.679771,58.485138,9021324,40.312248
"2010-05-10",59.846596,60.536915,59.741131,60.335571,6814753,41.587719
"2010-05-11",60.047939,60.63279,59.904121,60.201344,3361067,41.495209
"2010-05-12",60.393097,60.498562,59.721954,60.21093,3669378,41.501801
"2010-05-13",60.258869,60.316395,59.57814,59.616489,2438847,41.092075
"2010-05-14",59.40556,59.635666,58.859058,59.069988,2868980,40.715389
"2010-05-17",59.261745,59.875359,58.916588,59.721954,3102091,41.164761
"2010-05-18",60.067116,60.249283,59.300095,59.443913,3724866,40.973122
"2010-05-19",59.252155,59.837009,58.763184,59.443913,4402503,40.973122
"2010-05-20",58.494728,59.558964,58.427612,58.705658,6159958,40.46426
"2010-05-21",58.015339,59.108341,57.545544,59.079578,4779860,40.721996
"2010-05-24",58.859058,59.108341,58.427612,58.465965,2834248,40.299038
"2010-05-25",57.756474,58.18792,57.114094,58.053692,4659915,40.014881
"2010-05-26",58.341324,58.657719,57.727711,57.76606,3250405,39.816624
"2010-05-27",58.370087,58.667305,58.034515,58.657719,2442497,40.43121
"2010-05-28",58.830296,58.839886,58.101631,58.197506,3144854,40.113998
"2010-06-01",57.92905,59.328857,57.631832,58.600193,4903352,40.391552
"2010-06-02",58.13998,58.581017,57.535954,58.581017,3235490,40.819134
"2010-06-03",58.715244,58.916588,58.408436,58.753593,2612715,40.939377
"2010-06-04",58.226269,58.322147,57.507191,57.698944,6540862,40.204487
"2010-06-07",57.708534,58.724831,57.708534,58.370087,4374968,40.67215
"2010-06-08",58.370087,59.185043,58.235859,59.117928,3921367,41.193253
"2010-06-09",59.242569,59.597317,58.897411,59.223392,3083108,41.266735
"2010-06-10",59.760307,60.057526,59.511024,59.654842,3009159,41.567368
"2010-06-11",59.40556,59.635666,58.878235,59.587727,2393581,41.520599
"2010-06-14",59.932884,60.268456,59.846596,59.875359,2645570,41.721024
"2010-06-15",60.153404,60.460213,60.047939,60.43145,2525416,42.108505
"2010-06-16",60.182167,60.575264,60.115051,60.239693,2717015,41.974892
"2010-06-17",60.565678,60.63279,59.932884,60.527325,2495273,42.17532
"2010-06-18",60.690315,60.776608,60.143818,60.191753,2663718,41.941486
"2010-06-21",60.719082,60.872482,59.894535,60.105465,2201252,41.881367
"2010-06-22",60.105465,60.546501,59.741131,59.798656,2620016,41.667587
"2010-06-23",59.741131,59.952061,59.41515,59.760307,2453762,41.640862
"2010-06-24",59.549377,59.817833,59.213806,59.338448,3505001,41.346912
"2010-06-25",59.501438,59.57814,58.868649,58.93576,4568027,41.066315
"2010-06-28",59.271332,59.463085,58.648129,59.213806,2440620,41.260056
"2010-06-29",58.609779,59.137104,58.235859,58.456375,3993438,40.732281
"2010-06-30",58.504314,58.954937,57.97699,58.130394,3376712,40.505131
"2010-07-01",58.082455,58.216682,57.430489,58.13998,3743953,40.511822
"2010-07-02",58.398849,58.494728,57.957813,57.996166,2187797,40.411613
"2010-07-06",58.475552,58.628956,57.162033,57.708534,4035263,40.211185
"2010-07-07",57.833176,58.859058,57.526367,58.763184,3191476,40.94606
"2010-07-08",59.060402,59.35762,58.954937,59.35762,2627317,41.360264
"2010-07-09",59.213806,59.434322,58.849472,59.156281,2159532,41.219975
"2010-07-12",59.137104,59.424736,58.974113,59.376797,2092884,41.373623
"2010-07-13",59.865772,60.019176,59.539787,59.798656,1876461,41.667587
"2010-07-14",59.587727,59.884949,59.472675,59.760307,2194889,41.640862
"2010-07-15",59.837009,60.047939,59.472675,59.952061,2236818,41.774464
"2010-07-16",59.702782,59.971237,59.261745,59.501438,2865747,41.46048
"2010-07-19",59.827419,60.076702,59.674019,60.038349,2828616,41.834606
"2010-07-20",59.654842,60.85331,59.56855,60.834133,3309752,42.389095
"2010-07-21",61.045063,61.045063,59.501438,59.78907,2994557,41.660892
"2010-07-22",60.191753,60.80537,60.095879,60.364334,2820376,42.061737
"2010-07-23",60.162991,61.514862,60.095879,61.0163,3128583,42.516041
"2010-07-26",61.22723,61.543625,60.80537,61.486099,2060759,42.843391
"2010-07-27",61.581974,62.329819,61.236816,62.23394,3330090,43.364479
"2010-07-28",62.272289,62.320229,60.977947,61.754555,2387114,43.030453
"2010-07-29",61.879196,62.061359,60.604027,61.303932,2538036,42.716461
"2010-07-30",61.025887,61.677853,60.968361,61.476509,3001858,42.8367
"2010-08-02",61.888783,62.464046,61.697029,62.44487,3017190,43.511456
"2010-08-03",62.138062,62.368168,61.936722,62.128475,2711591,43.290993
"2010-08-04",62.291466,62.799618,62.157238,62.646214,2334443,43.651756
"2010-08-05",62.435284,62.722916,62.329819,62.617451,2266439,43.631718
"2010-08-06",62.339405,62.598274,61.840843,62.598274,2110928,43.618343
"2010-08-09",62.674976,63.24065,62.588688,63.154362,2428938,44.005833
"2010-08-10",62.885906,63.518696,62.81879,63.29818,2946162,44.106041
"2010-08-11",62.627037,63.000957,62.396931,62.435284,2916645,43.504776
"2010-08-12",62.02301,62.627037,61.879196,62.540749,3502603,43.578274
"2010-08-13",62.387344,62.492809,62.061359,62.138062,2340388,43.297661
"2010-08-16",61.984661,62.425694,61.6395,62.425694,2695425,43.498093
"2010-08-17",62.473633,62.790028,62.128475,62.243526,3271161,43.371147
"2010-08-18",62.348991,62.770851,62.128475,62.588688,3530451,43.611664
"2010-08-19",62.339405,62.569511,61.792904,62.118889,2453449,43.284313
"2010-08-20",61.725792,62.176414,61.725792,62.042187,2070876,43.230877
"2010-08-23",62.358582,62.665386,62.262703,62.281879,2598113,43.397877
"2010-08-24",61.735378,62.473633,61.735378,62.051773,3215256,43.237541
"2010-08-25",61.927132,62.214764,61.572388,61.821667,2920296,43.077206
"2010-08-26",61.86002,61.975071,61.313519,61.447746,2505182,42.816658
"2010-08-27",61.572388,61.831257,61.121765,61.802494,2071919,43.063854
"2010-08-30",61.773731,61.946308,61.361458,61.514862,2129493,42.863434
"2010-08-31",61.447746,61.927132,61.265579,61.744965,3027725,43.023762
