"dates","LEG.Open","LEG.High","LEG.Low","LEG.Close","LEG.Volume","LEG.Adjusted"
"2010-01-04",20.5,20.74,20.389999,20.51,1241400,13.392825
"2010-01-05",20.52,20.549999,19.709999,20.290001,2242100,13.249158
"2010-01-06",20.24,20.540001,20.24,20.530001,1258400,13.405877
"2010-01-07",20.68,21.200001,20.610001,21.190001,1417800,13.836852
"2010-01-08",21.049999,21.360001,20.969999,21.18,752500,13.83032
"2010-01-11",21.299999,21.299999,21.02,21.09,1171300,13.77155
"2010-01-12",20.91,20.91,20.389999,20.42,1469900,13.334044
"2010-01-13",20.4,20.780001,20.26,20.68,1171700,13.503827
"2010-01-14",20.610001,20.940001,20.6,20.709999,692900,13.523412
"2010-01-15",20.719999,21.07,20.6,20.99,2423600,13.706251
"2010-01-19",20.91,21.27,20.91,21.16,945700,13.817261
"2010-01-20",21.040001,21.1,20.860001,21,1444200,13.712782
"2010-01-21",20.879999,21,20.25,20.360001,2031800,13.294868
"2010-01-22",20.25,20.530001,20.02,20.02,1209400,13.072849
"2010-01-25",20.26,20.309999,20.049999,20.23,1398000,13.209977
"2010-01-26",20.1,20.459999,20.049999,20.17,1000600,13.170803
"2010-01-27",20.01,20.219999,19.780001,20.049999,1101800,13.09244
"2010-01-28",20.139999,20.23,19.76,19.809999,1219300,12.935725
"2010-01-29",19.790001,19.809999,18.26,18.26,4488700,11.92359
"2010-02-01",18.48,19.01,18.4,18.879999,2937100,12.328444
"2010-02-02",18.9,19.450001,18.75,19.309999,3013500,12.609228
"2010-02-03",19.290001,19.42,19.030001,19.15,1557900,12.504755
"2010-02-04",19.07,19.18,18.629999,18.66,2223700,12.184786
"2010-02-05",18.629999,18.65,17.889999,18.450001,1835100,12.047659
"2010-02-08",18.450001,18.68,18.24,18.360001,3364800,11.98889
"2010-02-09",18.59,18.809999,18.379999,18.66,1212900,12.184786
"2010-02-10",18.57,18.74,18.290001,18.51,811700,12.086839
"2010-02-11",18.5,18.75,18.32,18.75,1065200,12.243552
"2010-02-12",18.690001,18.790001,18.48,18.780001,1298100,12.263148
"2010-02-16",18.93,19.4,18.83,19.389999,1343000,12.661469
"2010-02-17",19.5,19.549999,19.23,19.48,963300,12.72024
"2010-02-18",19.43,19.610001,19.26,19.59,588300,12.792068
"2010-02-19",19.58,19.59,19.389999,19.41,1304400,12.674529
"2010-02-22",19.469999,19.559999,19.35,19.459999,577900,12.707175
"2010-02-23",19.43,19.5,18.99,19.200001,1217800,12.537398
