"dates","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2010-01-04",12.59587,12.80236,12.438545,12.792527,4570195,12.025043
"2010-01-05",12.73353,13.372665,12.507375,13.3235,6310587,12.524162
"2010-01-06",13.284169,13.520157,13.028515,13.470993,6471171,12.66281
"2010-01-07",14.680433,15.732547,14.375615,15.201573,29197460,14.28956
"2010-01-08",15.142576,15.801377,14.936087,15.683382,8788406,14.742464
"2010-01-11",15.801377,16.076696,15.712881,15.988201,6513478,15.028997
"2010-01-12",15.880039,16.253687,15.683382,15.860374,7508003,14.908835
"2010-01-13",16.017698,16.165192,15.585054,15.978368,5270704,15.01975
"2010-01-14",16.243855,16.558504,16.007866,16.076696,5075644,15.112182
"2010-01-15",15.998033,16.106195,15.585054,15.693215,5731507,14.751707
"2010-01-19",15.496559,16.066862,15.496559,15.939036,4880481,14.98278
"2010-01-20",15.791544,15.870206,15.447394,15.476893,5628790,14.548364
"2010-01-21",15.506391,15.614553,15.024582,15.054081,4638334,14.150917
"2010-01-22",15.054081,15.309735,14.46411,14.53294,6465578,13.696827
"2010-01-25",14.798427,14.847591,14.178958,14.454277,5067101,13.62269
"2010-01-26",14.375615,14.700098,14.267453,14.316618,4183023,13.49295
"2010-01-27",14.306785,14.906588,14.060964,14.857424,6378929,14.002643
"2010-01-28",15.073746,15.60472,14.768928,15.132743,8421065,14.26212
"2010-01-29",15.231072,15.693215,15.014749,15.103245,7185105,14.234322
"2010-02-01",15.211406,15.231072,14.80826,15.063913,4719999,14.197252
"2010-02-02",15.378564,16.352016,15.378564,16.273354,10596632,15.33711
"2010-02-03",16.096361,16.243855,15.644051,15.988201,4385101,15.06836
"2010-02-04",15.624385,15.722714,14.985251,15.083579,5912635,14.215789
"2010-02-05",15.044248,15.19174,13.982301,14.46411,8785660,13.631957
"2010-02-08",14.503441,15.585054,14.277286,15.132743,9143745,14.26212
"2010-02-09",15.142576,15.408063,14.778761,15.339233,5415423,14.456728
"2010-02-10",15.408063,15.437561,14.926254,15.349066,4095764,14.465999
"2010-02-11",15.693215,16.715832,15.53589,16.705997,12930138,15.74487
"2010-02-12",16.499508,16.902655,16.273354,16.6765,10665381,15.71706
"2010-02-16",16.892822,17.079645,16.863323,17.050146,5540616,16.069214
"2010-02-17",17.227139,17.581121,16.804325,17.050146,5846530,16.069214
"2010-02-18",16.941986,17.000982,16.470011,16.755161,5372506,15.791199
"2010-02-19",16.637169,17.148476,16.637169,17.020649,6255974,16.041416
"2010-02-22",17.138643,17.246803,16.686333,16.88299,5887616,15.911674
"2010-02-23",16.794495,16.961653,15.821042,16.007866,8482695,15.086898
"2010-02-24",16.175026,16.283186,15.004916,15.998033,13348328,15.077627
"2010-02-25",15.644051,16.047197,15.3294,15.998033,7294331,15.077627
"2010-02-26",15.939036,16.194691,15.526057,16.135693,5888939,15.207368
"2010-03-01",16.204523,16.420847,16.135693,16.361849,3961825,15.42052
"2010-03-02",16.519175,16.666668,16.22419,16.322517,3460343,15.383444
"2010-03-03",16.361849,16.686333,16.283186,16.50934,3945553,15.559517
"2010-03-04",16.40118,16.647001,16.066862,16.273354,4230720,15.33711
"2010-03-05",16.430677,16.755161,16.33235,16.725664,4109900,15.763399
"2010-03-08",16.814159,17.020649,16.696165,16.912489,4574466,15.939467
"2010-03-09",16.981318,17.177975,16.715832,17.000982,4078068,16.022877
"2010-03-10",17.000982,17.118977,16.519175,16.647001,5499529,15.689257
"2010-03-11",16.529007,16.597837,16.155359,16.361849,5935110,15.42052
"2010-03-12",16.460176,16.538839,15.948869,16.05703,4424764,15.13323
"2010-03-15",16.22419,16.22419,15.594887,15.821042,6335096,14.91082
"2010-03-16",15.988201,16.558504,15.830875,16.460176,7431931,15.513184
"2010-03-17",16.479843,16.725664,16.302853,16.361849,4401271,15.42052
"2010-03-18",16.283186,16.460176,16.135693,16.263519,2619182,15.327843
"2010-03-19",15.840708,16.450344,15.830875,15.840708,5555261,14.929357
"2010-03-22",15.624385,16.135693,15.624385,16.027533,4643012,15.10543
"2010-03-23",16.106195,16.843658,15.899705,16.774828,9765031,15.809735
"2010-03-24",17.787611,18.0236,17.236971,17.394297,15676343,16.393566
"2010-03-25",17.679449,18.269421,17.512291,17.74828,9356502,16.727182
"2010-03-26",17.915438,18.613569,17.866274,17.994101,10461269,16.958858
"2010-03-29",18.161259,18.249754,17.502459,17.935102,6568905,16.903254
"2010-03-30",17.571287,18.180923,17.571287,17.74828,6440254,16.727182
"2010-03-31",17.620453,17.738445,16.88299,16.922321,7871478,15.948744
"2010-04-01",17.030481,17.305801,16.725664,16.843658,5926466,15.874613
