"dates","LHX.Open","LHX.High","LHX.Low","LHX.Close","LHX.Volume","LHX.Adjusted"
"2010-01-04",47.700001,48.740002,47.700001,48.330002,654600,37.554031
"2010-01-05",48.349998,48.5,47.439999,48,892100,37.297615
"2010-01-06",47.82,48.740002,47.799999,48.490002,776300,37.678368
"2010-01-07",48.299999,48.77,47.93,48.630001,814200,37.78714
"2010-01-08",48.779999,48.799999,48.25,48.689999,529700,37.833759
"2010-01-11",48.700001,49.310001,48.57,49.259998,587400,38.276676
"2010-01-12",48.919998,49.009998,47.279999,47.389999,963900,36.82362
"2010-01-13",47.669998,49.110001,47.540001,49.02,900900,38.090187
"2010-01-14",48.990002,49.049999,48.32,48.950001,479000,38.035805
"2010-01-15",48.93,48.970001,47.66,48,660900,37.297615
"2010-01-19",48,49.669998,48,48.759998,1297300,37.888172
"2010-01-20",48.470001,48.830002,47.73,48.43,655400,37.631741
"2010-01-21",48.360001,48.790001,47.189999,47.240002,559000,36.707062
"2010-01-22",47.029999,47.169998,45.709999,45.779999,789800,35.572594
"2010-01-25",45.970001,46.470001,45.810001,46.189999,685400,35.89119
"2010-01-26",46.060001,46.07,44.959999,45.639999,654900,35.463825
"2010-01-27",45.5,46.82,44.75,46.799999,1408700,36.365173
"2010-01-28",48.09,48.09,43.040001,44.34,3535900,34.453682
"2010-01-29",44.540001,44.720001,42.669998,42.919998,1674200,33.350281
"2010-02-01",43,45.119999,42.84,44.740002,1358800,34.764492
"2010-02-02",44.709999,45.450001,44.389999,45.299999,1164400,35.199631
"2010-02-03",45.060001,45.52,44.509998,44.779999,965700,34.795563
"2010-02-04",44.459999,44.799999,44.23,44.349998,1166200,34.461441
"2010-02-05",44.080002,44.869999,43.790001,44.73,1017000,34.756714
"2010-02-08",44.82,44.919998,44.18,44.25,848700,34.383747
"2010-02-09",44.580002,45.119999,44.040001,44.75,600800,34.772255
"2010-02-10",44.759998,44.759998,43.93,44.41,581200,34.508064
"2010-02-11",44.360001,45.139999,43.900002,45.029999,596200,34.98983
"2010-02-12",44.330002,45.200001,43.84,44.98,945200,34.950974
"2010-02-16",45.189999,45.639999,45.09,45.59,382600,35.424965
"2010-02-17",45.639999,46.150002,45.529999,46.02,510100,35.759079
"2010-02-18",46.029999,46.970001,45.869999,46.880001,543800,36.427338
"2010-02-19",46.810001,47.389999,46.290001,47.23,661900,36.699299
"2010-02-22",47.34,47.389999,46.779999,47.049999,536400,36.559448
"2010-02-23",47.009998,47.32,46.41,46.540001,464800,36.163147
"2010-02-24",46.779999,46.939999,45.619999,46.09,1137400,35.81348
"2010-02-25",45.580002,46.459999,44.470001,45.32,1371200,35.215168
"2010-02-26",45.560001,45.610001,44.880001,45.220001,764100,35.137463
"2010-03-01",45.490002,45.529999,44.599998,45.080002,1335700,35.028687
"2010-03-02",45.200001,45.5,45.02,45.43,1762200,35.30064
"2010-03-03",45.43,47.18,45.200001,46.82,1293200,36.380714
"2010-03-04",46.919998,46.919998,45.91,46.27,810800,36.123093
"2010-03-05",46.43,46.619999,46.200001,46.349998,724200,36.185539
"2010-03-08",46.599998,46.740002,46.099998,46.240002,716100,36.099678
"2010-03-09",46.150002,46.470001,45.880001,46.099998,949700,35.990368
"2010-03-10",46.220001,46.490002,45.91,46.389999,677600,36.216774
"2010-03-11",46.419998,46.810001,46.049999,46.75,573300,36.497818
"2010-03-12",46.759998,46.77,45.040001,45.119999,1182100,35.225281
"2010-03-15",45.099998,45.48,44.93,45.419998,874400,35.459484
"2010-03-16",45.630001,46,45.279999,45.939999,706000,35.865448
"2010-03-17",46.169998,46.799999,45.919998,46.549999,744300,36.341675
"2010-03-18",46.689999,47.360001,46.689999,47.259998,828700,36.895973
"2010-03-19",46.049999,47.43,45.75,46.049999,1150100,35.951336
"2010-03-22",45.77,47.209999,45.740002,46.98,690300,36.677383
"2010-03-23",47.09,47.689999,46.970001,47.529999,838200,37.106762
"2010-03-24",47.400002,47.400002,46.310001,46.59,722900,36.372906
"2010-03-25",46.919998,47.150002,46.119999,46.130001,693900,36.013775
"2010-03-26",46.209999,46.599998,46.049999,46.200001,522700,36.068436
