"dates","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"2010-01-04",62.990002,63.48,62.5,63.360001,2035200,57.496807
"2010-01-05",63.310001,63.639999,63.240002,63.59,2133200,57.705517
"2010-01-06",62.75,62.75,60.77,61,4230000,55.355194
"2010-01-07",62.130001,62.130001,60.400002,61.130001,3789500,55.473171
"2010-01-08",61.209999,61.380001,60.25,60.77,2608500,55.146488
"2010-01-11",60.73,61.59,60.73,61.459999,1276100,55.772629
"2010-01-12",61.419998,62.450001,60.950001,62.32,3582000,56.553043
"2010-01-13",62.330002,62.889999,61.919998,62.509998,2064300,56.725468
"2010-01-14",62.580002,62.630001,61.93,61.990002,1846900,56.253586
"2010-01-15",61.889999,62.18,61.470001,61.919998,2652000,56.190063
"2010-01-19",62.240002,63.470001,61.790001,63.16,2766600,57.315315
"2010-01-20",63.189999,63.470001,62.060001,62.400002,1331000,56.625652
"2010-01-21",62.41,62.73,60.93,61.330002,2065100,55.654671
"2010-01-22",61.02,61.490002,60.540001,60.57,1683300,54.964985
"2010-01-25",61.150002,61.57,60.389999,61.439999,2246800,55.754471
"2010-01-26",61.529999,62.619999,60.91,62.349998,2978500,56.580265
"2010-01-27",60.16,61.5,58.299999,59.52,8194200,54.012169
"2010-01-28",59.610001,61.27,59.610001,60.310001,2918300,54.729053
"2010-01-29",60.52,60.639999,58.709999,58.82,3149900,53.376942
"2010-02-01",58.990002,59.799999,58.16,59.529999,1965300,54.021225
"2010-02-02",59.57,60.490002,59.34,60.459999,1962400,54.865162
"2010-02-03",60.349998,60.349998,59.919998,60.200001,2029300,54.629227
"2010-02-04",59.880001,60.110001,58.490002,58.599998,2597000,53.177288
"2010-02-05",58.509998,58.560001,57.23,58.279999,3209800,52.886894
"2010-02-08",58.41,58.700001,57.560001,58.310001,2296300,52.914124
"2010-02-09",58.369999,59.240002,58.369999,58.75,1693200,53.313419
"2010-02-10",58.810001,58.93,57.799999,58.610001,1863400,53.186363
"2010-02-11",58.619999,59.290001,58.060001,58.990002,2399000,53.5312
"2010-02-12",58.540001,59.040001,58,58.990002,1959300,53.5312
"2010-02-16",59.09,60,59.040001,59.880001,1782500,54.338844
"2010-02-17",59.950001,60.5,59.299999,60.27,2029600,54.692753
"2010-02-18",60.279999,60.720001,60.040001,60.709999,1467500,55.092033
"2010-02-19",60.369999,60.84,59.950001,60.75,1758300,55.128334
"2010-02-22",60.639999,60.709999,59.849998,59.93,1979300,54.384205
"2010-02-23",58.939999,59.490002,58.139999,58.529999,3488600,53.11377
"2010-02-24",58.560001,59.349998,58.290001,59.27,2268600,53.785282
"2010-02-25",58.5,59.209999,58.310001,59.139999,2235500,53.776196
"2010-02-26",59.299999,59.560001,59,59.150002,1308500,53.785286
"2010-03-01",59.360001,60.59,59.360001,60.400002,1467000,54.921921
"2010-03-02",60.799999,61.950001,60.599998,61.700001,2741500,56.104012
"2010-03-03",61.740002,61.82,60.57,60.759998,1673600,55.249264
"2010-03-04",60.91,61.389999,60.830002,61.290001,1459500,55.731197
"2010-03-05",61.419998,62.09,61.419998,62.080002,1417300,56.449551
"2010-03-08",61.91,61.990002,60.98,60.990002,1691500,55.458408
"2010-03-09",60.810001,61.139999,60.25,60.43,1934400,54.949207
"2010-03-10",60.259998,60.869999,60.080002,60.59,1793000,55.094681
"2010-03-11",60.400002,60.549999,59.630001,60.459999,1866500,54.976467
"2010-03-12",60.709999,61.639999,60.709999,61.080002,2334000,55.540249
"2010-03-15",61.040001,61.200001,60.549999,60.75,1531300,55.240177
"2010-03-16",60.75,61.459999,60.619999,61.290001,1617000,55.731197
"2010-03-17",61.209999,62.959999,61.209999,62.959999,2863600,57.249744
"2010-03-18",62.900002,63.389999,62.290001,63.310001,1861400,57.567986
"2010-03-19",64.07,64.269997,63.07,64.07,3594100,58.25906
"2010-03-22",63.799999,65.660004,63.77,64.629997,2483000,58.768265
"2010-03-23",64.739998,64.970001,63.950001,64.93,1750000,59.041058
"2010-03-24",65.029999,65.209999,63.869999,64.010002,1342300,58.204517
"2010-03-25",64.019997,64.690002,63.98,64.169998,1484000,58.349987
"2010-03-26",64.25,64.5,63.330002,63.619999,1739400,57.849873
"2010-03-29",63.619999,65.400002,63.48,65.190002,2309800,59.277477
"2010-03-30",65.089996,66.980003,64.860001,66.720001,4596800,60.668697
"2010-03-31",66.470001,66.470001,65.400002,65.720001,3402800,59.759411
"2010-04-01",65.900002,66.360001,65.769997,66.360001,1801700,60.341362
"2010-04-05",66.709999,66.949997,66.209999,66.610001,1667000,60.568684
"2010-04-06",66.25,66.709999,66.099998,66.620003,1532100,60.577797
"2010-04-07",66.540001,66.610001,65.879997,66.169998,2138100,60.16861
"2010-04-08",66.400002,66.620003,65.800003,66.599998,2579100,60.559593
"2010-04-09",66.489998,66.900002,66.089996,66.559998,1763500,60.523224
"2010-04-12",66.550003,66.559998,65.279999,65.470001,2521300,59.532078
"2010-04-13",65.470001,65.559998,64.449997,65.239998,3073500,59.322941
"2010-04-14",65.610001,65.610001,64.529999,64.870003,2026600,58.986523
"2010-04-15",64.870003,64.970001,64.540001,64.779999,1391500,58.904663
"2010-04-16",64.620003,64.870003,63.77,64.190002,2156700,58.368172
"2010-04-19",63.990002,64.580002,63.799999,64.43,1724900,58.586407
"2010-04-20",64.849998,66.139999,64.589996,65.980003,1632600,59.995827
"2010-04-21",65.980003,66.239998,65.129997,65.510002,1658200,59.568459
"2010-04-22",65.470001,66.919998,65.330002,66.760002,3044700,60.705101
"2010-04-23",66.760002,68.029999,66.330002,68.029999,2524700,61.859905
"2010-04-26",68.050003,68.190002,66.93,67.110001,2120000,61.023335
"2010-04-27",66.709999,67.089996,65.889999,66.010002,2661900,60.023087
"2010-04-28",66.18,66.620003,65.720001,66.25,1570900,60.241333
"2010-04-29",66.669998,67.309998,66.349998,66.480003,1804900,60.450481
"2010-04-30",66.620003,66.93,64.790001,64.809998,2126000,58.93195
"2010-05-03",64.860001,65.120003,64.050003,64.870003,2889700,58.986523
"2010-05-04",67.889999,68.18,66.25,67.540001,8287800,61.414337
"2010-05-05",66.889999,67.860001,66.589996,67.32,2837600,61.214298
"2010-05-06",67.019997,67.699997,62.939999,66.050003,4526400,60.059479
"2010-05-07",65.919998,65.919998,63.09,63.73,3983900,57.949898
"2010-05-10",66.230003,66.940002,65.360001,66.489998,3043600,60.459568
"2010-05-11",65.989998,66.889999,65.720001,66.099998,2123300,60.104954
"2010-05-12",67.510002,69.099998,66.620003,69.059998,4125700,62.796497
"2010-05-13",68.910004,69.959999,68.410004,68.989998,3808500,62.732826
"2010-05-14",68.75,69.690002,66.690002,67.720001,2596800,61.578037
"2010-05-17",68.07,68.839996,67.059998,68.599998,2734500,62.378216
"2010-05-18",69.360001,71.110001,69.290001,69.339996,5984000,63.051079
"2010-05-19",69.029999,70.239998,68.370003,69.860001,3076900,63.523945
