"dates","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2010-01-04",31.978609,32.388592,31.604279,32.35294,5348574,23.173717
"2010-01-05",32.156864,33.181816,32.094475,33.101604,6288025,23.709967
"2010-01-06",33.083778,33.511585,32.807487,33.440285,4722049,23.952562
"2010-01-07",33.208557,33.966133,32.994652,33.912655,7066019,24.290903
"2010-01-08",33.689838,34.108734,33.368984,34.090908,5395474,24.418585
"2010-01-11",34.447414,34.670231,34.05526,34.313725,8013212,24.57818
"2010-01-12",34.759357,35.035652,34.180035,34.322639,7270784,24.58457
"2010-01-13",34.39394,34.643494,33.547237,33.796791,7478018,24.207912
"2010-01-14",33.761143,34.26025,33.039215,34.117645,6330324,24.437737
"2010-01-15",33.894833,33.894833,33.279858,33.734402,8547733,24.163225
"2010-01-19",33.752228,35.926914,33.547237,35.071301,16577213,25.120821
"2010-01-20",34.705883,34.759357,33.868092,34.491978,7655182,24.705864
"2010-01-21",33.689838,34.269161,32.629234,33.288769,12712821,23.844027
"2010-01-22",33.172905,33.25312,32.067738,32.192513,9272320,23.058804
"2010-01-25",32.64706,33.083778,32.344028,32.450981,5194299,23.243935
"2010-01-26",32.067738,32.869877,31.702316,31.844919,5466833,22.80983
"2010-01-27",31.853832,32.57576,31.479502,32.442066,6360506,23.237551
"2010-01-28",32.504456,32.629234,31.479502,31.755793,5678554,22.745985
"2010-01-29",32.121212,32.379681,31.336899,31.479502,5509132,22.548094
"2010-02-01",32.174686,32.789661,31.809269,32.032085,5295167,22.943893
"2010-02-02",32.522282,32.655972,31.773619,32.415329,7118753,23.218401
"2010-02-03",31.541889,31.729055,30.588236,31.016043,16874656,22.216124
"2010-02-04",31.31016,31.515152,30.597149,30.953653,14933035,22.171431
"2010-02-05",31.221033,31.506239,29.919786,30.909092,11624593,22.139523
"2010-02-08",30.846703,30.882353,29.946524,29.982176,7146242,21.475586
"2010-02-09",30.30303,31.844919,29.76827,31.327986,18333143,22.439564
"2010-02-10",31.283422,31.461676,30.7754,31.131907,8246476,22.299112
"2010-02-11",30.926916,30.989305,30.579323,30.784313,7678744,22.050137
"2010-02-12",30.409983,30.935829,30.03565,30.87344,8534044,22.113979
"2010-02-16",31.256683,31.399286,30.713013,31.247772,7745054,22.382107
"2010-02-17",31.399286,31.524063,30.953653,31.07843,6831297,22.260815
"2010-02-18",30.962566,31.221033,30.962566,31.060606,7162736,22.248039
"2010-02-19",30.926916,31.408199,30.713013,31.221033,8700437,22.362953
"2010-02-22",31.301249,31.577539,31.114082,31.434938,7150169,22.516171
"2010-02-23",31.381462,31.541889,30.632799,31.051693,8419264,22.241659
"2010-02-24",31.00713,31.773619,30.864529,31.720142,6359720,22.720455
"2010-02-25",31.372549,31.969698,31.033869,31.942959,9399331,22.880054
"2010-02-26",31.987522,32.629234,31.559715,32.433155,10848281,23.231171
"2010-03-01",32.540108,33.244205,32.317291,32.566845,5968928,23.326931
"2010-03-02",32.64706,32.896614,32.397503,32.789661,5082323,23.486534
"2010-03-03",32.869877,32.994652,32.638145,32.754009,4300289,23.460993
"2010-03-04",32.91444,34.028519,32.825314,33.966133,10159486,24.32921
"2010-03-05",34.144386,34.79501,33.983955,34.688057,7946228,24.846308
"2010-03-08",36.229946,36.595364,35.686275,36.452763,17506117,26.110323
"2010-03-09",36.319073,36.987522,36.07843,36.372547,10304672,26.05287
"2010-03-10",36.497326,37.611408,36.372547,37.237076,12029411,26.672119
"2010-03-11",37.317291,37.852051,36.942959,37.718361,10313761,27.016848
"2010-03-12",38.012478,38.270947,37.35294,37.531193,7205260,26.882782
"2010-03-15",37.406418,37.887699,37.112301,37.655972,6455988,26.97217
"2010-03-16",37.611408,38.074867,37.531193,38.048126,5179601,27.253059
"2010-03-17",38.351158,38.885918,38.190731,38.351158,6832419,27.470106
"2010-03-18",38.600712,38.600712,37.602497,37.834225,7401946,27.099838
"2010-03-19",37.281639,38.137257,37.139038,37.281639,9555850,26.704033
"2010-03-22",36.951874,37.611408,36.595364,37.183601,7516727,26.633812
"2010-03-23",37.228165,37.611408,36.827095,37.584671,5471433,26.921095
"2010-03-24",37.459892,38.048126,37.299465,37.361855,5393791,26.761494
"2010-03-25",37.709446,38.324421,37.459892,37.531193,6387434,26.882782
"2010-03-26",37.57576,38.342247,37.450981,37.664883,5156263,26.978542
"2010-03-29",37.860962,38.404636,37.754009,38.324421,5373146,27.450958
"2010-03-30",38.31551,38.538322,38.172905,38.208557,3992413,27.367968
"2010-03-31",37.941177,38.636364,37.941177,38.627453,5480072,27.668016
"2010-04-01",38.850266,39.251335,38.689838,39.224598,6289820,28.095739
"2010-04-05",39.402851,40.106953,39.376114,40.062389,5058537,28.695829
"2010-04-06",40.017826,40.240643,39.86631,39.964348,5089616,28.62561
"2010-04-07",39.777184,40.017826,39.037434,39.286987,7172497,28.140417
"2010-04-08",39.153297,40.659538,39.081997,40.552586,8725457,29.046951
"2010-04-09",40.757576,40.953655,39.973263,40.347595,5316485,28.900116
"2010-04-12",40.60606,40.748665,40.311943,40.668449,4517172,29.12994
"2010-04-13",40.499107,40.579323,39.946526,40.516933,3268274,29.021402
"2010-04-14",40.329769,41.488415,40.329769,41.381462,5472779,29.640652
"2010-04-15",40.543671,41.292336,40.53476,41.238857,4128175,29.538502
"2010-04-16",40.998219,41.256683,39.884136,40.436722,8943238,28.963949
"2010-04-19",40.080215,41.00713,40,40.980392,5890051,29.353373
"2010-04-20",41.247772,41.862743,41.00713,41.844921,4480370,29.972618
"2010-04-21",41.818184,41.916222,40.650623,41.256683,6910510,29.551273
"2010-04-22",40.802139,41.657753,40.463459,41.604279,5199909,29.800259
"2010-04-23",41.105167,42.014259,40.819965,41.978611,5242882,30.068377
"2010-04-26",41.880569,42.557934,41.639931,41.74688,5365741,29.902401
"2010-04-27",41.381462,41.568626,39.26025,39.483067,7850634,28.280869
"2010-04-28",39.973263,40.757576,38.92157,39.135471,11471104,28.031889
"2010-04-29",39.634583,40.766487,39.429588,40.659538,7489799,29.123554
"2010-04-30",41.21212,42.531193,40.579323,40.623886,13051441,29.098011
"2010-05-03",40.953655,41.399288,40.641712,40.784313,7439421,29.212921
"2010-05-04",40.294117,40.294117,39.331551,39.643494,8081317,28.395784
"2010-05-05",39.099823,39.696972,38.841354,39.117645,7493053,28.019127
"2010-05-06",39.019608,39.171124,33.99287,37.566845,12622949,26.908319
"2010-05-07",37.566845,38.083778,35.713013,36.283421,12986028,25.989038
"2010-05-10",38.039215,39.964348,38.039215,39.313725,10905391,28.159569
"2010-05-11",38.573975,39.286987,38.279858,38.529411,7706008,27.59779
"2010-05-12",38.832443,39.26025,38.529411,39.073086,6956288,27.987209
"2010-05-13",38.957218,39.197861,38.342247,38.38681,4431451,27.495653
"2010-05-14",37.91444,38.119431,36.292336,36.827095,9367241,26.378452
"2010-05-17",36.827095,37.433155,36.114082,37.254902,7145681,26.684889
"2010-05-18",37.843136,37.941177,36.310162,36.461678,8122831,26.116716
"2010-05-19",36.114082,36.755795,35.160427,36.114082,10192024,25.867735
"2010-05-20",34.705883,35.089127,33.743317,33.761143,11317951,24.182375
"2010-05-21",32.513371,35.383244,32.513371,35.187164,13240273,25.203806
"2010-05-24",35.276291,35.53476,34.331551,34.411766,6980411,24.648411
"2010-05-25",33.404636,34.982174,32.709446,34.946526,11464596,25.031448
"2010-05-26",35.588234,36.07843,34.768272,34.982174,7690861,25.056982
"2010-05-27",35.659538,36.978611,35.098038,36.898396,7781407,26.429527
"2010-05-28",36.907307,36.907307,35.87344,36.087345,5720517,25.848589
"2010-06-01",35.623886,36.426025,35.356506,35.508022,6116695,25.43363
"2010-06-02",35.891266,37.094475,35.481281,37.058823,6660529,26.544434
"2010-06-03",36.951874,37.459892,36.354725,36.871658,5840683,26.410374
"2010-06-04",35.819965,36.122993,34.090908,34.295898,11930787,24.565414
"2010-06-07",34.919785,35.008911,33.672012,33.752228,11228976,24.175995
"2010-06-08",33.957218,34.741531,33.092693,34.670231,9935198,24.833546
"2010-06-09",34.991089,35.837791,34.456329,34.643494,8622570,24.81439
"2010-06-10",35.294117,36.327988,35.294117,36.256683,6872587,25.969881
"2010-06-11",35.677361,36.737968,35.632797,36.631016,8597325,26.238008
"2010-06-14",37.032085,37.486629,36.559715,36.586452,8955916,26.206097
"2010-06-15",37.058823,37.21925,36.577541,37.147949,9692397,26.608278
"2010-06-16",36.800358,37.121212,36.327988,36.541889,7259228,26.174168
"2010-06-17",36.5508,36.74688,36.194298,36.568626,6281741,26.193317
"2010-06-18",36.648842,36.853832,36.301247,36.532978,8079634,26.167791
"2010-06-21",37.281639,37.433155,36.524063,36.737968,6769587,26.314619
"2010-06-22",36.764706,37.237076,36.096256,36.149734,4585390,25.893278
"2010-06-23",36.158646,36.381462,35.454544,35.784313,4715878,25.631535
"2010-06-24",35.463459,35.81105,34.893047,35.115864,7772543,25.152739
"2010-06-25",35.222816,36.5508,34.964348,36.5508,10799923,26.180557
"2010-06-28",36.541889,36.675579,35.525848,35.686275,7385565,25.561314
"2010-06-29",35.053474,35.20499,33.761143,34.028519,8881191,24.373896
"2010-06-30",34.037434,34.411766,33.573975,33.65419,6248418,24.105772
"2010-07-01",33.823528,33.939396,32.281639,33.31551,8127880,23.863182
"2010-07-02",33.627453,33.850266,32.78075,33.155079,6086962,23.74827
"2010-07-06",33.770054,34.001781,32.843136,33.279858,7583822,23.83765
"2010-07-07",33.627453,34.456329,33.057041,34.402851,8065721,24.642017
"2010-07-08",34.884136,35.249554,34.581104,35.151516,6943609,25.178276
"2010-07-09",34.982174,35.81105,34.893047,35.73975,4367722,25.599609
"2010-07-12",35.597149,35.962566,35.13369,35.26738,4047503,25.261269
"2010-07-13",35.766487,36.693405,35.704102,36.4795,8058541,26.129488
"2010-07-14",36.292336,36.292336,35.285206,35.632797,6074284,25.523008
"2010-07-15",35.677361,35.802139,34.05526,34.839573,12376558,24.954838
"2010-07-16",34.509804,34.66132,33.565063,33.689838,8055399,24.131319
"2010-07-19",33.841354,33.912655,33.110516,33.351158,6702604,23.88872
"2010-07-20",32.700535,33.761143,32.629234,33.698753,9583563,24.13769
"2010-07-21",34.295898,34.313725,32.789661,32.878788,12481577,23.550369
"2010-07-22",33.458111,35.071301,33.297684,35.017826,14680136,25.082518
"2010-07-23",34.937611,35.454544,34.429588,35.240643,6914886,25.242111
"2010-07-26",35.20499,35.60606,34.973263,35.508022,4163966,25.43363
"2010-07-27",35.926914,36.033867,35.249554,35.320854,8014222,25.299561
"2010-07-28",35.106953,35.846703,34.955437,35.026737,6645943,25.088898
