"dates","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2010-01-04",60.450001,62.360001,60.080002,61.709999,4072100,51.846249
"2010-01-05",62.43,63.830002,62.43,63.150002,6505800,53.056076
"2010-01-06",64.360001,65.949997,62.970001,65.57,9995100,55.089252
"2010-01-07",65.089996,66.349998,64.449997,65.760002,5544100,55.248875
"2010-01-08",65.739998,66.970001,65.480003,66.699997,4074500,56.038635
"2010-01-11",67.849998,68.279999,65.379997,66.309998,4027700,55.710979
"2010-01-12",63.330002,64.360001,61.669998,62.490002,10232000,52.501575
"2010-01-13",62.259998,62.75,60.700001,62.540001,6831400,52.543583
"2010-01-14",62.77,63.09,60.619999,60.84,4516300,51.115307
"2010-01-15",61.470001,62.59,60.709999,61.560001,5458800,51.720226
"2010-01-19",61.5,63.099998,61.389999,63.040001,4479800,52.96365
"2010-01-20",62.189999,62.380001,60.810001,62.029999,4317400,52.115089
"2010-01-21",62.080002,63.400002,60.02,60.07,5739800,50.468388
"2010-01-22",60.080002,60.5,58.32,58.630001,3872100,49.258553
"2010-01-25",59.369999,60.669998,58.740002,58.759998,3217100,49.367779
"2010-01-26",58.150002,60.23,57.060001,58.580002,4684000,49.216549
"2010-01-27",58.810001,59.330002,56.740002,58.040001,4180800,48.762859
"2010-01-28",57.5,58.200001,54.82,55.560001,7023300,46.679279
"2010-01-29",56.240002,57.290001,53.200001,53.509998,5921900,44.95694
"2010-02-01",54.080002,56.27,54.049999,56.27,3562000,47.275776
"2010-02-02",56.759998,56.849998,55.25,56.349998,5062300,47.385101
"2010-02-03",57.349998,58.439999,56.759998,57.639999,4821300,48.469875
"2010-02-04",56.419998,56.700001,54.009998,54.009998,4867200,45.417374
"2010-02-05",54.439999,55.349998,52.869999,55.18,4786900,46.401234
"2010-02-08",55.66,56.610001,54.509998,54.540001,3891800,45.863064
"2010-02-09",55.540001,57.5,55.540001,56.91,5042800,47.856007
"2010-02-10",57.59,58.130001,56.48,57.419998,5103100,48.284874
