"dates","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume","NEE.Adjusted"
"2010-01-04",13.26,13.435,13.2175,13.3125,10408800,9.436419
"2010-01-05",13.325,13.355,13.065,13.1825,11186400,9.344266
"2010-01-06",13.16,13.335,13.1575,13.3125,13493200,9.436419
"2010-01-07",13.2975,13.3,13.1625,13.275,9768800,9.409835
"2010-01-08",13.245,13.295,13.1125,13.16,9074400,9.32832
"2010-01-11",13.1925,13.4375,12.975,13.15,24571600,9.321229
"2010-01-12",13.05,13.05,12.755,12.83,22500400,9.094402
"2010-01-13",12.7975,12.9375,12.645,12.875,23431200,9.126297
"2010-01-14",12.625,12.66,12.4125,12.5025,32314400,8.862257
"2010-01-15",12.4275,12.6575,12.3525,12.6375,24167600,8.957952
"2010-01-19",12.56,12.725,12.5325,12.7225,14181200,9.0182
"2010-01-20",12.645,12.645,12.345,12.495,15854800,8.85694
"2010-01-21",12.4825,12.5775,12.225,12.2575,18664400,8.688592
"2010-01-22",12.255,12.2775,12.03,12.035,14230000,8.530876
"2010-01-25",12.1025,12.135,11.92,11.9375,21731600,8.461763
"2010-01-26",12.125,12.3925,12.0275,12.305,25260000,8.722262
"2010-01-27",12.2875,12.4425,12.195,12.44,17494400,8.817954
"2010-01-28",12.455,12.455,12.2175,12.2525,13256400,8.685047
"2010-01-29",12.2475,12.3,12.1725,12.19,23262800,8.640743
"2010-02-01",12.1625,12.3225,12.135,12.3075,11096400,8.724035
"2010-02-02",12.3025,12.3975,12.175,12.395,10453600,8.786059
"2010-02-03",12.325,12.37,12.2725,12.35,15056800,8.754159
"2010-02-04",12.2575,12.2825,11.9925,12.005,18499600,8.509609
"2010-02-05",11.9825,12,11.685,11.85,25320000,8.399741
"2010-02-08",11.8475,12.325,11.7175,11.7225,9212400,8.309361
"2010-02-09",11.795,11.8325,11.58,11.615,29608800,8.23316
"2010-02-10",11.62,11.62,11.4475,11.48,18621200,8.137468
"2010-02-11",11.4975,11.5225,11.3675,11.49,17407600,8.144556
"2010-02-12",11.4025,11.4575,11.3225,11.3925,13014800,8.075446
"2010-02-16",11.455,11.5975,11.455,11.595,11662400,8.218989
"2010-02-17",11.62,11.65,11.425,11.4425,11451200,8.11089
"2010-02-18",11.4625,11.475,11.3925,11.435,11796000,8.10557
"2010-02-19",11.4575,11.77,11.425,11.72,16754400,8.30759
"2010-02-22",11.79,11.81,11.6875,11.705,13581200,8.296958
"2010-02-23",11.7025,11.755,11.66,11.7,14850000,8.293413
"2010-02-24",11.76,11.8225,11.7,11.765,23348400,8.429548
"2010-02-25",11.675,11.74,11.5625,11.72,12076000,8.397307
"2010-02-26",11.7475,11.7675,11.5925,11.5925,13330000,8.305952
"2010-03-01",11.74,11.9275,11.7,11.845,14040800,8.486866
"2010-03-02",11.86,12,11.795,11.7975,12073200,8.452832
"2010-03-03",11.7925,11.865,11.6875,11.7325,12189600,8.40626
"2010-03-04",11.735,11.8325,11.695,11.8125,9306400,8.46358
"2010-03-05",11.865,11.925,11.815,11.9125,9364800,8.535233
"2010-03-08",11.9375,11.9625,11.8875,11.9375,7573600,8.553145
"2010-03-09",11.9,11.915,11.7325,11.755,11987600,8.422382
"2010-03-10",11.745,11.7975,11.685,11.7425,7936400,8.413425
"2010-03-11",11.7225,11.86,11.675,11.8425,11961600,8.485079
