"dates","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"2010-01-04",19.35,19.48,19.15,19.34,217100,16.444477
"2010-01-05",19.290001,19.610001,19.24,19.540001,754900,16.614536
"2010-01-06",18.549999,19.280001,18.549999,18.91,837900,16.07885
"2010-01-07",18.84,19.07,18.5,18.790001,331700,15.976819
"2010-01-08",18.700001,18.809999,18.58,18.65,392500,15.857787
"2010-01-11",18.700001,18.790001,18.190001,18.51,399200,15.738744
"2010-01-12",18.33,18.57,18.27,18.459999,414600,15.69623
"2010-01-13",18.530001,19.030001,18.450001,18.940001,342800,16.104362
"2010-01-14",18.83,19.120001,18.709999,19.07,312400,16.214903
"2010-01-15",19.139999,19.4,18.9,19.27,746700,16.38496
"2010-01-19",18.82,19.959999,18.82,19.74,810700,16.784588
"2010-01-20",19.6,19.73,19.32,19.49,236100,16.572016
"2010-01-21",19.58,19.809999,19.450001,19.5,448700,16.580523
"2010-01-22",19.5,19.690001,19.110001,19.219999,373900,16.342449
"2010-01-25",19.370001,19.41,18.98,19.110001,296500,16.248905
"2010-01-26",19.049999,19.299999,18.9,18.9,257200,16.070354
"2010-01-27",18.82,19,18.719999,19,198800,16.155384
"2010-01-28",18.98,19.09,18.549999,18.860001,220300,16.036339
"2010-01-29",18.91,19.139999,18.32,18.360001,421900,15.6112
"2010-02-01",18.41,18.940001,18.370001,18.9,309100,16.070354
"2010-02-02",18.860001,19.09,18.76,18.85,285500,16.027845
"2010-02-03",18.719999,19,18.5,18.950001,275200,16.112865
"2010-02-04",18.860001,18.860001,18.450001,18.469999,345200,15.704732
"2010-02-05",18.540001,18.540001,18.17,18.43,372400,15.670723
"2010-02-08",18.459999,18.75,18.41,18.58,235000,15.798266
"2010-02-09",19,20.41,19,19.5,1122300,16.580523
"2010-02-10",19.52,19.82,19.32,19.57,508700,16.640045
"2010-02-11",19.450001,20.190001,19.450001,19.99,454600,16.997166
"2010-02-12",19.870001,20.620001,19.74,20.6,524000,17.515837
"2010-02-16",20.65,21.23,20.559999,21.129999,551200,17.966484
"2010-02-17",21.209999,21.48,20.83,20.99,606800,17.847446
"2010-02-18",20.84,20.84,19.950001,20.58,783900,17.498831
"2010-02-19",20.469999,20.68,20.200001,20.66,541900,17.566851
"2010-02-22",20.65,20.84,20.42,20.709999,434700,17.609364
"2010-02-23",20.690001,20.690001,20.26,20.32,404200,17.277752
"2010-02-24",20.4,20.469999,20.209999,20.34,338000,17.294758
"2010-02-25",20.110001,20.450001,20.110001,20.43,333700,17.371284
"2010-02-26",20.379999,20.379999,19.950001,19.98,192000,16.988657
"2010-03-01",20.139999,20.459999,19.93,20.24,376800,17.209736
"2010-03-02",20.33,20.530001,20.200001,20.5,207400,17.430803
"2010-03-03",20.59,21.09,20.549999,20.870001,246700,17.745407
"2010-03-04",20.940001,21,20.65,20.940001,114900,17.804928
"2010-03-05",20.9,21.52,20.74,21.48,404600,18.378178
"2010-03-08",21.549999,21.93,21.5,21.549999,398000,18.43807
"2010-03-09",21.450001,22.030001,21.450001,21.91,642400,18.74609
"2010-03-10",21.879999,22.23,21.879999,22.129999,535800,18.934315
"2010-03-11",21.940001,22.200001,21.860001,22.049999,183100,18.865871
"2010-03-12",22.209999,22.209999,21.83,22.08,236600,18.891539
"2010-03-15",21.940001,22.209999,21.93,22.139999,231400,18.942873
"2010-03-16",22.190001,22.82,22.1,22.82,252100,19.524677
"2010-03-17",22.790001,22.85,22.629999,22.709999,226800,19.430565
"2010-03-18",22.75,22.9,22.610001,22.709999,139100,19.430565
"2010-03-19",22.84,23.16,22.68,22.91,492300,19.601681
"2010-03-22",22.76,23.4,22.76,23.4,311600,20.020927
"2010-03-23",23.440001,23.700001,23.26,23.68,261000,20.260489
"2010-03-24",23.540001,23.67,23.200001,23.26,169900,19.901144
"2010-03-25",23.299999,23.57,23.059999,23.1,360300,19.764242
"2010-03-26",23.059999,23.32,22.870001,22.969999,297700,19.653017
"2010-03-29",23.09,23.26,23,23.110001,166000,19.7728
"2010-03-30",23.209999,23.219999,22.639999,23.059999,359300,19.730021
"2010-03-31",22.66,23.299999,22.639999,22.639999,216500,19.370667
"2010-04-01",22.700001,22.98,22.290001,22.6,229000,19.336454
"2010-04-05",22.610001,23.43,22.559999,23.43,265000,20.046591
"2010-04-06",23.35,23.35,23.129999,23.15,161900,19.807024
"2010-04-07",23.059999,23.26,22.77,22.84,279100,19.541786
"2010-04-08",22.690001,22.950001,22.389999,22.91,124000,19.601681
"2010-04-09",22.82,22.870001,22.32,22.76,135400,19.473337
"2010-04-12",22.83,22.83,22.5,22.610001,170100,19.345001
"2010-04-13",22.629999,22.629999,22.360001,22.57,207200,19.310781
"2010-04-14",22.620001,22.969999,22.52,22.969999,280300,19.653017
"2010-04-15",22.9,23.66,22.9,23.629999,459400,20.217707
"2010-04-16",23.629999,23.969999,23.5,23.889999,329900,20.440168
"2010-04-19",24.719999,25,24.209999,24.93,709300,21.329987
"2010-04-20",25,25.26,24.690001,24.91,487000,21.31287
"2010-04-21",24.860001,25,24.379999,24.42,763200,20.893629
"2010-04-22",24.59,25.459999,24.27,25.32,947700,21.663666
"2010-04-23",25.440001,25.870001,25.02,25.52,827700,21.834791
"2010-04-26",25.559999,26.209999,25.450001,25.889999,503900,22.151358
"2010-04-27",25.860001,26.02,25.33,25.41,553200,21.740664
"2010-04-28",25.530001,25.92,25.17,25.299999,382600,21.646555
"2010-04-29",25.42,25.51,25.09,25.290001,317800,21.637997
"2010-04-30",25.370001,25.51,24.52,24.530001,399800,20.987749
"2010-05-03",24.65,25.459999,24.65,25.389999,450100,21.723558
"2010-05-04",25.1,25.219999,24.5,24.709999,276400,21.141758
"2010-05-05",24.35,24.799999,24.190001,24.41,442300,20.885075
"2010-05-06",24.41,24.58,21.950001,23.860001,388000,20.414497
"2010-05-07",23.77,23.84,22.98,23.33,604600,19.961037
"2010-05-10",24.23,24.610001,23.950001,24.57,313100,21.021969
"2010-05-11",24.280001,25.07,23.959999,24.870001,395700,21.27865
"2010-05-12",24.99,25.9,24.959999,25.879999,250900,22.142801
"2010-05-13",25.68,25.780001,24.93,25.139999,385600,21.61825
"2010-05-14",24.950001,24.98,24.5,24.940001,288800,21.44627
"2010-05-17",25.07,25.49,24.860001,25.370001,435800,21.816031
"2010-05-18",25.700001,25.77,24.870001,24.92,293000,21.429073
"2010-05-19",24.780001,25.49,24.6,24.85,419700,21.368877
"2010-05-20",24.34,25.049999,24.16,24.370001,602300,20.956121
"2010-05-21",23.91,24.66,23.51,24.129999,768500,20.749739
"2010-05-24",24.18,24.48,23.66,24.110001,346900,20.73254
"2010-05-25",23.639999,23.639999,22.540001,23.110001,1115800,19.872629
"2010-05-26",23.209999,23.83,23.209999,23.65,657100,20.336979
"2010-05-27",24,24.57,23.99,24.219999,775400,20.827129
"2010-05-28",24.1,24.49,23.950001,23.99,337600,20.629351
"2010-06-01",23.870001,24.18,23.34,23.370001,558100,20.096199
"2010-06-02",23.450001,24.129999,23.110001,24.120001,342700,20.74114
"2010-06-03",24.030001,24.57,23.959999,24.379999,223200,20.964716
"2010-06-04",23.870001,24.290001,23.41,23.469999,745100,20.182192
"2010-06-07",23.51,23.690001,22.809999,22.82,429200,19.623247
"2010-06-08",22.879999,23.030001,22.299999,22.68,582600,19.502861
"2010-06-09",22.83,23.33,22.76,23.01,697000,19.786634
"2010-06-10",23.219999,23.73,23.190001,23.719999,594400,20.397169
"2010-06-11",23.360001,23.889999,23.299999,23.889999,422400,20.543358
"2010-06-14",24.040001,24.49,23.969999,24.049999,455700,20.680943
"2010-06-15",24.200001,24.25,23.59,23.68,547300,20.362778
"2010-06-16",23.540001,23.66,23.09,23.18,411400,19.932819
"2010-06-17",23.16,23.25,22.389999,23.1,589000,19.864029
