"dates","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2010-01-04",86.269997,86.580002,85.199997,85.449997,444800,67.329727
"2010-01-05",85.120003,85.419998,83.839996,84.209999,327200,66.352661
"2010-01-06",84.410004,84.589996,83.949997,84.18,266400,66.329002
"2010-01-07",84.330002,84.669998,84.169998,84.349998,354600,66.462936
"2010-01-08",84.330002,84.440002,83.82,84.199997,276900,66.344757
"2010-01-11",84.660004,84.870003,84.160004,84.760002,394000,66.786018
"2010-01-12",84.559998,85.519997,84.410004,84.860001,280600,66.864815
"2010-01-13",84.849998,85.989998,84.790001,85.839996,192200,67.636978
"2010-01-14",85.389999,86.050003,85.32,86.029999,204600,67.786697
"2010-01-15",85.760002,85.910004,84.75,84.809998,208000,66.825386
"2010-01-19",84.800003,86.309998,84.800003,86.290001,254200,67.991531
"2010-01-20",85.589996,86.809998,85.589996,86.599998,344000,68.235832
"2010-01-21",86.489998,86.879997,85.489998,85.75,352900,67.566063
"2010-01-22",85.779999,85.779999,84.209999,84.480003,289800,66.565384
"2010-01-25",85.019997,85.309998,84.099998,84.57,195800,66.636292
"2010-01-26",84.230003,85.849998,84.199997,84.510002,321400,66.589027
"2010-01-27",84.269997,85.889999,84.269997,85.889999,278900,67.676361
"2010-01-28",85.940002,85.940002,84.620003,84.910004,209600,66.904198
"2010-01-29",85.279999,86.910004,84.949997,85.739998,348000,67.558205
"2010-02-01",86.150002,86.169998,85.169998,85.57,179100,67.424248
"2010-02-02",85.459999,86.150002,85.370003,86.019997,202600,67.778824
"2010-02-03",85.760002,85.779999,85.019997,85.260002,287300,67.179977
"2010-02-04",85,85.470001,83.540001,83.540001,484500,65.824707
"2010-02-05",83.580002,83.830002,82.18,83.279999,413000,65.619858
"2010-02-08",83.400002,83.449997,82.449997,82.800003,306300,65.241623
"2010-02-09",83.419998,83.910004,82.82,83.739998,175600,65.982315
"2010-02-10",83.330002,84.989998,82.879997,84.370003,376800,66.478714
"2010-02-11",84.459999,84.459999,79.550003,80.010002,1755900,63.043289
"2010-02-12",79.389999,81.190002,79,80.970001,892500,63.799694
"2010-02-16",81.360001,82.449997,80.849998,82.360001,667300,64.894928
"2010-02-17",82.459999,82.699997,82.160004,82.5,642800,65.005257
"2010-02-18",82.629997,83.610001,82.43,83.459999,504500,65.761681
"2010-02-19",83.400002,84.110001,83.300003,83.860001,338200,66.076881
"2010-02-22",83.809998,84.529999,83.599998,84.43,306200,66.52597
"2010-02-23",84.040001,84.629997,83.720001,84.199997,421800,66.344757
"2010-02-24",84.389999,85.300003,83.959999,85.220001,382900,67.148468
"2010-02-25",84.660004,86.010002,84.459999,85.809998,430700,67.613358
"2010-02-26",86.110001,86.239998,85.220001,85.419998,332900,67.306068
"2010-03-01",85.690002,85.709999,84.699997,85.480003,412700,67.353348
"2010-03-02",85.5,85.529999,84.010002,84.449997,948100,66.541733
"2010-03-03",84.699997,84.699997,82.900002,83.010002,938800,65.407104
"2010-03-04",82.989998,83.129997,82.459999,82.699997,635700,65.162834
"2010-03-05",83.019997,83.080002,81.599998,81.760002,1054500,64.422173
"2010-03-08",81.5,83.389999,81.080002,83.260002,886400,65.991516
"2010-03-09",83.279999,83.379997,82.029999,82.540001,555700,65.420853
"2010-03-10",82.269997,82.839996,81.870003,82.639999,536200,65.500107
"2010-03-11",82.25,83.199997,82,83.120003,636100,65.880562
"2010-03-12",83.120003,83.190002,82.269997,82.529999,293500,65.412926
"2010-03-15",82.379997,82.519997,81.580002,82.120003,239100,65.087967
"2010-03-16",81.989998,81.989998,81.449997,81.760002,439700,64.802635
"2010-03-17",82.099998,82.720001,81.639999,82.379997,405200,65.294022
"2010-03-18",82.599998,82.599998,82.07,82.269997,213400,65.206871
"2010-03-19",80.830002,82.5,80.790001,80.830002,688900,64.065521
"2010-03-22",80.57,80.839996,79.860001,80.099998,611400,63.486897
"2010-03-23",80.129997,80.129997,79.32,79.529999,967700,63.035145
"2010-03-24",79.529999,80.019997,79.160004,79.550003,899800,63.050995
"2010-03-25",80.040001,80.769997,79.379997,79.970001,769200,63.383869
"2010-03-26",79.860001,80.470001,79.610001,79.769997,522400,63.225368
"2010-03-29",80.150002,81,79.93,80.860001,599000,64.089302
"2010-03-30",81.080002,81.120003,79.959999,80.879997,779200,64.105148
"2010-03-31",80.5,81.449997,79.779999,80.93,752700,64.144768
"2010-04-01",81.230003,81.550003,80.410004,80.809998,433700,64.04966
"2010-04-05",80.809998,80.849998,80.199997,80.510002,393000,63.811859
"2010-04-06",80.370003,80.720001,80.230003,80.559998,511800,63.851505
"2010-04-07",80.309998,81.949997,80.300003,81.860001,739800,64.881866
"2010-04-08",81.57,81.589996,81.010002,81.510002,393700,64.604469
"2010-04-09",81.620003,81.790001,80.879997,81.769997,258900,64.810547
"2010-04-12",81.980003,82.010002,81.120003,81.959999,476100,64.961143
"2010-04-13",81.849998,82.269997,81.709999,82.040001,253300,65.024559
"2010-04-14",82.209999,83.410004,82.209999,83.400002,404900,66.102501
"2010-04-15",83.059998,83.459999,82.5,82.669998,324000,65.52388
"2010-04-16",82.669998,82.730003,81.110001,81.199997,469800,64.358772
"2010-04-19",80.889999,81.900002,80.589996,81.769997,406100,64.810547
"2010-04-20",82.169998,82.169998,81.290001,82.019997,272700,65.008705
"2010-04-21",81.980003,82.519997,81.550003,82.32,275300,65.246483
"2010-04-22",81.800003,82.459999,81.550003,82.190002,229800,65.143463
"2010-04-23",82,82.940002,81.739998,82.870003,190600,65.682419
"2010-04-26",82.980003,83.25,82.529999,82.650002,222900,65.508011
"2010-04-27",82.279999,82.599998,80.019997,80.150002,451400,63.526554
"2010-04-28",80.660004,81.68,80.440002,80.860001,591300,64.089302
"2010-04-29",80.690002,80.849998,77.650002,78.190002,1013000,61.973053
"2010-04-30",76.709999,77.370003,76.410004,76.650002,927100,60.752457
"2010-05-03",77.919998,77.919998,75.739998,76.980003,657900,61.01403
"2010-05-04",76.040001,76.309998,75.489998,75.550003,448200,59.880592
"2010-05-05",75.57,77.440002,75.330002,76.889999,1025900,60.94268
"2010-05-06",76.529999,77.239998,73.449997,74.169998,872500,58.786816
"2010-05-07",73.919998,75.260002,73.660004,74.349998,1019300,58.929482
"2010-05-10",76.559998,77.120003,75.230003,77.099998,729000,61.109138
"2010-05-11",76.419998,77.279999,76.059998,76.970001,530700,61.006073
"2010-05-12",77.349998,77.800003,76.849998,77.739998,371200,61.616383
"2010-05-13",77.809998,78.489998,77.699997,77.82,558300,61.679802
"2010-05-14",77.589996,77.589996,76.510002,76.860001,598600,60.918922
"2010-05-17",76.809998,76.940002,76.019997,76.809998,667400,60.879276
"2010-05-18",77.580002,77.660004,75.860001,75.959999,439600,60.205563
"2010-05-19",75.790001,76.870003,75.230003,76.220001,321800,60.411648
"2010-05-20",75.279999,75.589996,73.650002,73.650002,435900,58.374691
"2010-05-21",72.919998,73.739998,72.620003,73.699997,654300,58.41431
"2010-05-24",73.339996,74.209999,72.540001,72.639999,429700,57.574139
"2010-05-25",71.300003,72.480003,70.089996,72.330002,650600,57.328449
"2010-05-26",72.779999,72.779999,71.75,71.779999,619000,56.892525
"2010-05-27",72.93,74.050003,72.529999,73.980003,422600,58.636257
"2010-05-28",73.599998,73.93,72.650002,72.68,447600,57.982056
"2010-06-01",72.160004,72.82,70.919998,70.959999,524900,56.609898
"2010-06-02",71.400002,72.160004,70.959999,72.160004,514800,57.567219
"2010-06-03",72.110001,72.300003,71.519997,71.989998,467000,57.431591
"2010-06-04",71.080002,71.459999,69.93,70.010002,451400,55.852001
"2010-06-07",70.110001,70.449997,69.360001,69.57,821500,55.500988
"2010-06-08",69.629997,70.419998,68.709999,70.410004,716300,56.17112
"2010-06-09",70.5,70.910004,69.779999,70.010002,444000,55.852001
"2010-06-10",70.830002,71.449997,70.830002,71.260002,599700,56.849239
"2010-06-11",70.730003,71.5,70.209999,71.5,374800,57.040699
"2010-06-14",71.910004,72.760002,71.5,72.209999,528400,57.607109
"2010-06-15",72.389999,74.190002,72.150002,74,4e+05,59.035145
"2010-06-16",73.830002,74.080002,73.379997,73.830002,319800,58.899483
"2010-06-17",74.050003,75.239998,74,75.209999,616000,60.000408
"2010-06-18",75.220001,76.150002,74.919998,75.879997,588600,60.534927
"2010-06-21",76.730003,76.730003,75.010002,75.089996,408800,59.904686
"2010-06-22",75.220001,75.419998,74,74.019997,689000,59.05106
"2010-06-23",73.949997,74.050003,72.050003,72.080002,659200,57.503403
"2010-06-24",71.760002,72.110001,71.199997,71.269997,437800,56.857193
"2010-06-25",71.599998,71.940002,70.879997,71.760002,1021500,57.248093
"2010-06-28",71.720001,72.68,71.489998,72.239998,291700,57.63105
"2010-06-29",71.470001,71.470001,70,70.300003,648700,56.08337
"2010-06-30",70.32,71.419998,70.080002,70.720001,559400,56.418423
"2010-07-01",70.860001,70.860001,68.959999,69.849998,365100,55.724373
"2010-07-02",70.25,70.449997,69.410004,69.480003,174100,55.429188
"2010-07-06",70.269997,70.610001,68.849998,69.239998,486900,55.237713
"2010-07-07",69.449997,71.059998,69.440002,71.059998,287000,56.689678
"2010-07-08",71.720001,72.220001,71.239998,72.18,563600,57.583168
"2010-07-09",71.919998,73.290001,71.879997,73.220001,432000,58.412853
"2010-07-12",72.980003,73.269997,72.489998,72.970001,311300,58.213421
"2010-07-13",73.330002,74.540001,73.330002,74.410004,575800,59.362206
"2010-07-14",74.339996,74.559998,73.610001,74.529999,554900,59.457947
"2010-07-15",74.75,74.75,73.239998,73.769997,273500,58.851624
"2010-07-16",73.410004,73.480003,71.580002,71.669998,291800,57.176319
"2010-07-19",71.730003,72.010002,71.129997,71.739998,196000,57.232159
"2010-07-20",71.169998,72.529999,70.720001,72.440002,278300,57.7906
