"dates","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2010-01-04",28.58,28.780001,28.370001,28.68,1425500,21.657494
"2010-01-05",28.639999,28.719999,28.49,28.719999,1204500,21.687696
"2010-01-06",28.65,28.969999,28.52,28.940001,1833400,21.853827
"2010-01-07",28.860001,29.049999,28.67,28.889999,1648400,21.816076
"2010-01-08",28.790001,28.99,28.48,28.93,1375400,21.846281
"2010-01-11",29.15,29.43,28.780001,28.92,2301600,21.83873
"2010-01-12",28.799999,28.91,28.540001,28.879999,1279900,21.808521
"2010-01-13",28.959999,29.34,28.879999,29.280001,1198300,22.110584
"2010-01-14",29.200001,29.299999,28.99,29.219999,1439700,22.065273
"2010-01-15",29.209999,29.26,28.360001,28.379999,2361800,21.430954
"2010-01-19",28.35,28.68,28.33,28.59,1575800,21.589535
"2010-01-20",28.33,28.360001,28,28.309999,1295400,21.378094
"2010-01-21",28.51,29.01,28.110001,28.200001,2566100,21.295029
"2010-01-22",28,28.280001,27.540001,27.58,2158800,20.826838
"2010-01-25",27.700001,27.83,27.110001,27.43,2386600,20.713566
"2010-01-26",27.27,27.360001,26.93,26.950001,2258800,20.351103
"2010-01-27",26.870001,27.09,26.620001,27.040001,1682700,20.419064
"2010-01-28",27.09,27.1,26.5,26.9,2021600,20.313339
"2010-01-29",27.110001,27.200001,26.700001,26.790001,1844600,20.230276
"2010-02-01",26.82,27.08,26.59,27,1131400,20.388855
"2010-02-02",26.92,27.190001,26.799999,27.02,2238900,20.403961
"2010-02-03",26.879999,27.030001,26.6,26.75,2030200,20.200069
"2010-02-04",26.540001,26.639999,25.879999,25.92,3138500,19.573301
"2010-02-05",25.860001,26.190001,25.15,25.68,3908000,19.392067
"2010-02-08",25.68,25.959999,25.41,25.620001,1832200,19.346754
"2010-02-09",25.84,26.139999,25.629999,25.870001,1957500,19.535545
"2010-02-10",25.799999,26.01,25.559999,25.889999,1842800,19.550648
"2010-02-11",25.75,26.280001,25.5,26.219999,2677500,19.799845
"2010-02-12",26.450001,26.450001,25.5,26.030001,5628400,19.65637
"2010-02-16",26.26,27.290001,26.209999,27.02,4363500,20.403961
"2010-02-17",27.24,27.6,27.1,27.42,2343500,20.706017
"2010-02-18",27.42,27.709999,27.34,27.629999,2154600,20.864597
"2010-02-19",27.6,28.27,27.469999,28.08,2898300,21.204412
"2010-02-22",28.299999,28.34,27.92,28,2257100,21.144005
"2010-02-23",28,28.15,27.58,27.66,2165500,20.887253
"2010-02-24",27.809999,28.07,27.469999,28.059999,1845900,21.189306
"2010-02-25",27.780001,28.15,27.559999,28.139999,2182400,21.249714
"2010-02-26",28.209999,28.440001,28.110001,28.139999,1711200,21.249714
"2010-03-01",28.33,28.91,28.32,28.889999,1716500,21.816076
"2010-03-02",29.030001,29.34,29.01,29.309999,2362400,22.133234
"2010-03-03",29.299999,29.440001,29.01,29.23,1505800,22.072819
"2010-03-04",29.26,29.26,28.870001,29.07,1680100,21.952
"2010-03-05",29.299999,29.549999,29.200001,29.51,2738700,22.284266
