"dates","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume","TSN.Adjusted"
"2010-01-04",12.27,12.3,12.15,12.24,3355000,10.462165
"2010-01-05",12.21,12.49,12.21,12.47,3781300,10.658756
"2010-01-06",12.79,13.12,12.58,13.1,6810500,11.197252
"2010-01-07",13.1,13.42,13.01,13.33,5979200,11.393843
"2010-01-08",13.29,13.37,13.12,13.3,3999300,11.3682
"2010-01-11",13.29,13.4,13.04,13.12,2875700,11.214348
"2010-01-12",13.06,13.13,12.94,12.97,3315600,11.086132
"2010-01-13",13,13.41,12.96,13.31,3900600,11.376749
"2010-01-14",13.89,14.09,13.73,14.04,8703500,12.000721
"2010-01-15",14.08,14.08,13.76,13.89,5633700,11.872503
"2010-01-19",13.86,14.06,13.73,13.99,4694600,11.957978
"2010-01-20",13.86,13.92,13.65,13.9,4448900,11.881053
"2010-01-21",13.9,13.96,13.54,13.65,6339100,11.667363
"2010-01-22",13.96,14.02,13.74,13.77,5865600,11.769934
"2010-01-25",13.88,14.06,13.68,13.89,4363300,11.872503
"2010-01-26",13.83,14.11,13.73,13.98,4628700,11.949432
"2010-01-27",13.98,14.02,13.72,13.78,5437200,11.778483
"2010-01-28",13.77,13.92,13.68,13.79,5243100,11.787028
"2010-01-29",13.9,14,13.78,13.82,4792900,11.812669
"2010-02-01",13.83,13.99,13.79,13.99,3347400,11.957978
"2010-02-02",14,14.38,13.96,14.27,4978000,12.19731
"2010-02-03",14.17,14.37,14.11,14.35,2992000,12.265688
"2010-02-04",14.24,14.24,13.9,13.99,4597900,11.957978
"2010-02-05",14.82,15.25,14.53,14.65,15735700,12.522116
"2010-02-08",14.85,15.25,14.66,15.09,9906700,12.898204
"2010-02-09",15.16,15.53,15.12,15.41,6883200,13.171724
"2010-02-10",15.44,15.58,15.25,15.53,5977000,13.274297
"2010-02-11",15.46,16.049999,15.35,15.96,7058800,13.641842
"2010-02-12",15.89,16.110001,15.63,16.040001,4939400,13.710224
"2010-02-16",16.09,16.58,15.96,16.440001,5945800,14.052123
"2010-02-17",16.49,16.67,16.23,16.629999,7272900,14.214524
"2010-02-18",16.540001,16.9,16.49,16.9,4726300,14.445309
"2010-02-19",16.82,17.07,16.74,16.950001,7229500,14.488048
"2010-02-22",16.790001,16.84,16.549999,16.639999,6349500,14.22307
"2010-02-23",16.65,16.799999,16.51,16.75,5381100,14.31709
"2010-02-24",16.76,16.889999,16.610001,16.67,5659400,14.248715
"2010-02-25",16.469999,17.01,16.450001,17,6548700,14.565734
"2010-02-26",16.969999,17.07,16.85,17.040001,4022300,14.600003
"2010-03-01",17.049999,17.440001,16.98,17.17,3946000,14.711386
"2010-03-02",17.24,17.459999,17.18,17.450001,6095700,14.951298
"2010-03-03",17.559999,17.59,17.18,17.219999,7858700,14.754227
"2010-03-04",17.26,17.549999,17.1,17.5,5822200,14.994141
"2010-03-05",17.059999,17.459999,17.059999,17.24,8337500,14.77137
"2010-03-08",17.27,17.629999,17.1,17.620001,4690200,15.096951
"2010-03-09",17.540001,17.700001,17.450001,17.6,3938100,15.079816
"2010-03-10",17.469999,17.65,17.42,17.51,4417100,15.002704
"2010-03-11",17.620001,17.75,17.41,17.74,3268400,15.199777
"2010-03-12",17.84,17.9,17.469999,17.540001,3854900,15.028401
"2010-03-15",17.5,17.610001,17.299999,17.370001,3314800,14.882757
"2010-03-16",17.360001,17.68,17.290001,17.66,2467300,15.131223
"2010-03-17",17.629999,17.790001,17.540001,17.700001,4056600,15.1655
"2010-03-18",17.700001,17.76,17.58,17.65,3167500,15.122661
"2010-03-19",17.719999,17.82,17.549999,17.719999,6623100,15.18263
"2010-03-22",17.65,18.110001,17.57,18.110001,7209700,15.516788
"2010-03-23",18.16,18.309999,18.030001,18.290001,4459400,15.67101
"2010-03-24",18.43,18.530001,18.360001,18.440001,8164500,15.799534
"2010-03-25",18.5,18.559999,18.18,18.209999,5439900,15.602473
"2010-03-26",18.25,18.74,18.15,18.700001,6493400,16.022305
"2010-03-29",18.76,19.09,18.629999,19.09,4500200,16.356459
"2010-03-30",19.09,19.24,19.01,19.17,4562800,16.425007
"2010-03-31",19.17,19.25,19,19.15,4105100,16.407867
"2010-04-01",19.23,19.549999,19.09,19.5,6043000,16.707752
"2010-04-05",19.48,19.530001,19.16,19.200001,7586300,16.450714
"2010-04-06",19.110001,19.209999,18.940001,18.98,7238000,16.262215
"2010-04-07",18.969999,19.35,18.91,19.24,8916700,16.484982
"2010-04-08",19.33,19.59,19.139999,19.48,5691000,16.690619
"2010-04-09",19.59,19.700001,19.35,19.67,6190300,16.853409
"2010-04-12",19.77,20.1,19.709999,20,6232900,17.136154
"2010-04-13",19.93,20.129999,19.76,20.07,4919500,17.196135
"2010-04-14",20.030001,20.309999,19.99,20.27,4133600,17.367498
"2010-04-15",20.209999,20.57,20.02,20.4,5264000,17.47887
"2010-04-16",20.360001,20.41,19.780001,19.879999,4381000,17.033342
"2010-04-19",19.790001,19.92,19.459999,19.9,3846900,17.050474
"2010-04-20",19.98,20.17,19.9,20.07,3107700,17.196135
"2010-04-21",20.059999,20.309999,19.98,20.209999,5023400,17.316088
"2010-04-22",20.09,20.35,19.92,20.32,3852000,17.41033
"2010-04-23",20.35,20.379999,20,20.15,7881600,17.264677
"2010-04-26",20.110001,20.51,20.049999,20.4,4289500,17.47887
"2010-04-27",20.389999,20.389999,19.540001,19.57,5435900,16.767733
"2010-04-28",19.74,19.91,19.32,19.690001,4969800,16.870548
"2010-04-29",19.77,19.959999,19.67,19.879999,3607900,17.033342
"2010-04-30",19.82,19.940001,19.59,19.59,4090600,16.784866
"2010-05-03",19.860001,20.07,19.4,19.9,4226400,17.050474
"2010-05-04",19.610001,19.799999,19.370001,19.52,3357200,16.72489
"2010-05-05",19.309999,19.790001,19.18,19.43,5950600,16.647783
"2010-05-06",19.440001,19.48,16.879999,18.58,8313400,15.919496
"2010-05-07",18.700001,18.969999,18.209999,18.620001,9178000,15.953764
"2010-05-10",19.57,20.040001,18.049999,18.24,9614900,15.628173
"2010-05-11",17.639999,18.129999,17.48,18.02,10350200,15.439678
"2010-05-12",18.09,18.41,18.030001,18.129999,7834600,15.53393
