"dates","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2010-01-04",31.379999,31.6,30.969999,31.530001,12199500,26.591478
"2010-01-05",31.73,31.969999,31.280001,31.48,11180700,26.549313
"2010-01-06",31.6,32.060001,31.41,31.790001,9761100,26.810753
"2010-01-07",31.59,33.049999,31.59,33.009998,11789800,27.839664
"2010-01-08",32.860001,32.919998,32.34,32.700001,7228700,27.578215
"2010-01-11",32.709999,33.130001,32.700001,32.919998,7206900,27.763763
"2010-01-12",32.700001,32.91,31.540001,32.049999,13121500,27.030031
"2010-01-13",31.99,32.549999,31.68,32.540001,8797200,27.443287
"2010-01-14",32.68,33.330002,32.330002,33.32,8818300,28.101097
"2010-01-15",33.540001,33.990002,33.099998,33.75,19382000,28.46376
"2010-01-19",34.560001,35.900002,34.5,35.130001,26477900,29.627615
"2010-01-20",35.939999,36.07,34.290001,34.549999,26854700,29.138458
"2010-01-21",35.43,35.689999,33,33.099998,29192700,27.915567
"2010-01-22",33.82,34.110001,33.099998,33.16,21021600,27.966177
"2010-01-25",33.560001,33.720001,32.959999,33,10925800,27.83123
"2010-01-26",32.509998,32.91,32.439999,32.439999,11057200,27.358938
"2010-01-27",32.34,33.529999,32.110001,33.240002,14387100,28.03364
"2010-01-28",33.330002,34.09,33.040001,33.43,16742100,28.193884
"2010-01-29",33.419998,33.799999,32.959999,33,11931500,27.83123
"2010-02-01",33.029999,33.41,32.220001,33.130001,13710200,27.940876
"2010-02-02",33.139999,34.119999,32.93,34.049999,12114600,28.716772
"2010-02-03",34.049999,34.049999,32.82,33.32,8410400,28.101097
"2010-02-04",33.240002,33.240002,32.389999,32.459999,10648500,27.375818
"2010-02-05",32.419998,32.630001,31.84,32.540001,12666000,27.443287
"2010-02-08",32.23,32.950001,32.23,32.41,9558200,27.333645
"2010-02-09",32.720001,33.060001,32,33,11236500,27.83123
"2010-02-10",33,33.169998,32.299999,32.709999,10755200,27.586655
"2010-02-11",32.709999,33.200001,32.439999,33.119999,7857600,27.932436
"2010-02-12",32.779999,32.849998,32.029999,32.18,11688700,27.139666
"2010-02-16",32.330002,32.599998,31.389999,31.629999,13934200,26.675817
"2010-02-17",31.68,33.209999,31.68,32.549999,11690900,27.451721
"2010-02-18",32.23,32.990002,32.119999,32.689999,10327100,27.569786
"2010-02-19",32.419998,32.77,31.83,31.940001,11508200,26.937262
"2010-02-22",32.110001,33.119999,31.879999,33.080002,16338800,27.898705
"2010-02-23",32.869999,33.169998,32.360001,32.810001,10746500,27.67099
"2010-02-24",32.880001,33.66,32.360001,33.619999,10982600,28.354118
"2010-02-25",33.32,33.98,32.84,33.450001,14779500,28.210741
"2010-02-26",33.52,34.299999,33.360001,33.860001,9684700,28.556536
"2010-03-01",34,34.720001,33.529999,34.040001,10970800,28.708344
"2010-03-02",34.110001,34.369999,33.610001,33.950001,7081500,28.632435
"2010-03-03",34.049999,34.349998,33.77,34.099998,8089700,28.758938
