"dates","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2010-01-04",17.419962,17.419962,17.198683,17.274012,2168604,13.363948
"2010-01-05",17.299906,17.704802,17.050377,17.603579,4370767,13.618912
"2010-01-06",17.605932,17.624765,17.391714,17.532957,3084473,13.564278
"2010-01-07",17.459982,17.909605,17.459982,17.871941,2807928,13.826528
"2010-01-08",17.853107,17.897835,17.704802,17.777779,3122705,13.753679
"2010-01-11",17.869587,17.926083,17.5,17.723635,2386951,13.711792
"2010-01-12",17.6742,17.82015,17.387007,17.537664,2748031,13.567916
"2010-01-13",17.549435,17.702448,17.455273,17.688324,2496974,13.684478
"2010-01-14",17.723635,17.789549,17.521187,17.664783,3488882,13.666266
"2010-01-15",17.669493,17.702448,17.408192,17.565912,2979972,13.58977
"2010-01-19",17.554144,17.709511,17.554144,17.690678,2085343,13.686301
"2010-01-20",17.594162,17.66243,17.459982,17.627119,2556871,13.637131
"2010-01-21",17.664783,17.728342,17.51177,17.518831,4767106,13.553352
"2010-01-22",17.540018,17.612993,17.04096,17.052731,3930674,13.192755
"2010-01-25",17.165726,17.182203,16.916197,16.98917,2996539,13.143582
"2010-01-26",16.996235,17.099812,16.895008,17.033897,2285849,13.178185
"2010-01-27",17.036251,17.271658,16.998589,17.226931,2494850,13.327523
"2010-01-28",17.295198,17.3258,17.055084,17.069208,3187274,13.205502
"2010-01-29",17.097458,17.295198,16.920904,16.956215,1897157,13.118085
"2010-02-01",17.01742,17.19162,16.949154,17.172787,1516111,13.285629
"2010-02-02",17.212807,17.47646,17.151602,17.462336,2646079,13.509642
"2010-02-03",17.276365,17.309322,17.01742,17.120998,2995690,13.245571
"2010-02-04",16.98917,17.02919,16.74435,16.84322,4931928,13.030668
"2010-02-05",16.774954,16.885593,16.537193,16.836159,5502859,13.025204
"2010-02-08",16.800846,17.090395,16.763184,16.810265,2291796,13.005168
"2010-02-09",16.895008,17.116289,16.890301,17.069208,2485930,13.205502
"2010-02-10",17.033897,17.222221,16.972692,17.052731,3974004,13.192755
"2010-02-11",17.457626,17.594162,17.276365,17.502354,8111556,13.540602
"2010-02-12",17.302259,17.51177,17.302259,17.405838,4839746,13.465933
"2010-02-16",17.504707,17.780132,17.459982,17.768362,3445128,13.746403
"2010-02-17",17.831921,18.036722,17.822506,18.020245,4624373,13.941266
"2010-02-18",17.996704,18.064972,17.841337,17.987288,3242074,13.915768
"2010-02-19",17.999058,18.069679,17.871941,18.041431,3091694,13.957657
"2010-02-22",18.076742,18.140301,18.024954,18.057911,1912025,13.970405
"2010-02-23",17.975517,18.015537,17.744822,17.83663,3153290,13.799215
"2010-02-24",17.886065,18.064972,17.791903,18.048492,2009304,13.963121
"2010-02-25",17.831921,18.192089,17.831921,18.187382,2573438,14.070572
"2010-02-26",18.126177,18.29096,18.050846,18.215631,3190248,14.092424
"2010-03-01",18.227402,18.356874,18.145008,18.352165,2944289,14.198053
"2010-03-02",18.361582,18.420433,18.309793,18.380413,3227206,14.219905
"2010-03-03",18.378059,18.389832,18.23917,18.326271,3496529,14.178025
"2010-03-04",18.45339,18.45339,18.227402,18.354521,2511418,14.199875
"2010-03-05",18.30744,18.589926,18.236816,18.545198,2852957,14.458656
"2010-03-08",18.566383,18.832392,18.556969,18.832392,3272234,14.682565
"2010-03-09",18.782957,18.832392,18.719397,18.77354,3044117,14.636683
"2010-03-10",18.740583,18.830038,18.674669,18.820621,2725942,14.67339
"2010-03-11",18.740583,18.787664,18.568739,18.785311,2539030,14.645858
"2010-03-12",18.825331,18.832392,18.608757,18.745293,2040739,14.614655
"2010-03-15",18.679379,18.797081,18.582863,18.764124,3716150,14.629341
"2010-03-16",18.801788,18.832392,18.693502,18.804144,2261635,14.660536
"2010-03-17",18.820621,18.978342,18.811205,18.9242,3631190,14.754144
"2010-03-18",18.91243,19.056026,18.667608,18.799435,3908160,14.656874
"2010-03-19",18.764124,18.888889,18.717043,18.764124,4544510,14.629341
"2010-03-22",18.660545,19.023069,18.601694,18.879473,3626518,14.719278
"2010-03-23",18.893597,19.065443,18.837099,19.065443,3263738,14.864267
"2010-03-24",18.966574,19.041903,18.787664,18.811205,3288377,14.666048
"2010-03-25",18.964218,19.04661,18.700565,18.705273,4473144,14.583457
"2010-03-26",18.785311,19.04661,18.740583,18.952448,5290459,14.776169
"2010-03-29",19.037193,19.037193,18.768831,18.928907,2883967,14.75781
"2010-03-30",18.957155,19.016008,18.801788,18.818268,2576412,14.671555
"2010-03-31",18.764124,18.966574,18.742937,18.867702,2631636,14.710093
"2010-04-01",18.971281,19.114878,18.954802,19.072506,2059006,14.869768
"2010-04-05",19.114878,19.427965,19.088984,19.307911,2828318,15.053298
"2010-04-06",19.249058,19.496235,19.218456,19.423258,2550074,15.14323
"2010-04-07",19.385593,19.508003,19.289078,19.333803,3165185,15.073486
"2010-04-08",19.317326,19.352636,19.159605,19.322035,2529684,15.064315
"2010-04-09",19.672787,19.710451,19.312618,19.693974,4716130,15.354292
"2010-04-12",19.790489,19.844633,19.670433,19.752825,2914553,15.400177
"2010-04-13",19.724577,19.877588,19.550377,19.832863,2288398,15.462577
"2010-04-14",19.887007,19.891714,19.510359,19.70339,5533870,15.361634
"2010-04-15",19.639832,19.748117,19.543316,19.70339,2160533,15.361634
"2010-04-16",19.611582,19.788136,19.376177,19.425611,2768422,15.145068
"2010-04-19",19.373823,19.576271,19.279661,19.449154,2962555,15.163418
"2010-04-20",19.496235,19.677494,19.456215,19.670433,2035642,15.335943
"2010-04-21",19.696327,19.877588,19.649246,19.84934,2236147,15.475427
"2010-04-22",19.764595,20.468456,19.705744,20.44256,5680001,15.937926
"2010-04-23",20.383711,20.475517,20.230698,20.400188,4313419,15.904893
"2010-04-26",20.367231,20.661488,20.317797,20.541431,3124404,16.015011
"2010-04-27",20.456684,20.475517,20.075331,20.124765,4378838,15.690162
"2010-04-28",20.197741,20.45433,20.02825,20.164783,2807928,15.721355
"2010-04-29",20.32015,20.541431,20.197741,20.508474,2123150,15.989314
"2010-04-30",20.906309,21.005178,20.341337,20.343691,6126466,15.860839
"2010-05-03",20.388418,20.635593,20.214218,20.263653,4790470,15.798439
"2010-05-04",19.983522,20.096516,19.717514,19.774012,3928975,15.416691
"2010-05-05",19.635122,19.84934,19.482109,19.602165,5331665,15.28272
"2010-05-06",19.543316,19.656309,17.791903,18.945387,5833778,14.770659
"2010-05-07",18.844162,19.08663,18.338041,18.571093,5733526,14.478847
"2010-05-10",19.425611,19.644539,19.223164,19.564501,4489286,15.253351
"2010-05-11",19.291431,19.938795,19.241997,19.623352,4241203,15.299234
"2010-05-12",19.639832,19.981169,19.606874,19.894068,3363991,15.51029
"2010-05-13",19.948212,19.981169,19.573917,19.618645,3213187,15.29556
"2010-05-14",19.491526,19.576271,19.110168,19.26083,3966358,15.016591
"2010-05-17",19.286722,19.298492,18.771187,19.185499,3495254,14.957862
"2010-05-18",19.387947,19.555084,19.004236,19.008945,4190227,14.820214
"2010-05-19",18.89595,19.027779,18.552259,18.825331,4742042,14.677056
"2010-05-20",18.420433,18.486347,17.95433,18.100283,5195729,14.111781
"2010-05-21",17.803673,18.556969,17.660074,18.335688,4356324,14.295313
"2010-05-24",18.342751,18.46516,18.182674,18.208569,2333426,14.196201
"2010-05-25",17.871941,18.182674,17.636536,18.135593,9061409,14.139309
"2010-05-26",18.293316,18.356874,17.876648,17.911959,7145561,13.964952
"2010-05-27",18.232109,18.330978,18.076742,18.321564,8028295,14.284306
"2010-05-28",18.335688,18.474577,18.088512,18.208569,4142225,14.196201
"2010-06-01",18.074389,18.321564,17.83663,17.850754,3473165,13.917235
"2010-06-02",17.893126,18.361582,17.725988,18.361582,4699562,14.315496
"2010-06-03",18.363935,18.500471,18.234463,18.387476,3016505,14.33569
"2010-06-04",18.027308,18.027308,17.431732,17.521187,4010962,13.766038
"2010-06-07",17.582392,17.641243,17.231638,17.245764,4215290,13.549642
"2010-06-08",17.248117,17.417608,16.984463,17.396421,4303224,13.668006
"2010-06-09",17.497646,17.862524,17.497646,17.575331,4499906,13.808579
"2010-06-10",17.930792,18.274483,17.838984,18.250942,2915827,14.339388
"2010-06-11",18.121469,18.42985,18.100283,18.30744,4124383,14.38378
"2010-06-14",18.427494,18.613464,18.319208,18.382769,3036470,14.442961
"2010-06-15",18.472221,18.867702,18.375706,18.839455,3444703,14.801774
"2010-06-16",18.768831,18.832392,18.505178,18.655838,4666003,14.657506
"2010-06-17",18.702919,18.733522,18.361582,18.502825,5971414,14.53729
"2010-06-18",18.533426,18.764124,18.45339,18.634651,4124808,14.640861
