"dates","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2010-01-04",25.025,25.075001,24.764999,24.865,1541800,17.2593
"2010-01-05",24.865,25,24.485001,24.540001,1626000,17.033712
"2010-01-06",24.555,24.895,24.504999,24.790001,1934400,17.207237
"2010-01-07",24.805,24.805,24.559999,24.74,1755800,17.172533
"2010-01-08",24.665001,24.940001,24.584999,24.885,1292400,17.27318
"2010-01-11",24.98,25.309999,24.98,25.254999,1476200,17.53001
"2010-01-12",25.174999,25.395,25.065001,25.15,1646000,17.457125
"2010-01-13",25.18,25.389999,25.075001,25.32,1189400,17.575123
"2010-01-14",25.32,25.32,25.125,25.26,939000,17.533476
"2010-01-15",25.110001,25.334999,24.885,25.139999,1651400,17.450184
"2010-01-19",25.08,25.365,25.004999,25.355,1156000,17.599424
"2010-01-20",25.23,25.264999,25.004999,25.264999,1406800,17.536955
"2010-01-21",25.205,25.445,24.945,25.084999,2048200,17.412006
"2010-01-22",25.035,25.045,24.49,24.51,2242600,17.012888
"2010-01-25",24.635,24.76,24.4,24.66,1374800,17.11701
"2010-01-26",24.549999,24.665001,24.42,24.5,1560600,17.005945
"2010-01-27",24.5,24.635,24.105,24.475,1850000,16.98859
"2010-01-28",24.57,24.594999,24.26,24.450001,1961800,16.971239
"2010-01-29",24.469999,24.629999,24.280001,24.469999,2101600,16.985123
"2010-02-01",24.555,24.620001,24.254999,24.565001,1657200,17.05106
"2010-02-02",24.525,24.809999,24.360001,24.799999,2154000,17.214186
"2010-02-03",24.709999,24.795,24.459999,24.535,1550600,17.030233
"2010-02-04",24.334999,24.434999,24.09,24.09,3075200,16.721361
"2010-02-05",24.065001,24.385,23.9,24.33,3570000,16.887945
"2010-02-08",24.360001,24.405001,24.055,24.055,1394200,16.69706
"2010-02-09",24.275,24.325001,23.995001,24.049999,2664800,16.693592
"2010-02-10",23.58,23.93,23.440001,23.870001,3099800,16.707592
"2010-02-11",23.83,24.155001,23.540001,24.135,2294800,16.89308
"2010-02-12",24.030001,24.030001,23.715,23.934999,2428000,16.753084
"2010-02-16",24.084999,24.41,24.07,24.395,1408800,17.075066
"2010-02-17",24.495001,24.504999,24.235001,24.33,1129800,17.029564
"2010-02-18",24.33,24.545,24.26,24.450001,1046400,17.11355
"2010-02-19",24.42,24.99,24.379999,24.9,1490000,17.42853
"2010-02-22",25.01,25.01,24.76,24.83,773600,17.379534
"2010-02-23",24.809999,24.924999,24.525,24.549999,2540600,17.183548
"2010-02-24",24.629999,24.674999,24.295,24.440001,2087400,17.106558
"2010-02-25",24.105,24.35,24.004999,24.325001,1461400,17.026064
"2010-02-26",24.41,24.440001,24.135,24.215,1777000,16.949072
"2010-03-01",24.355,24.68,24.32,24.655001,1017400,17.257048
"2010-03-02",24.84,24.965,24.775,24.965,1794600,17.474024
"2010-03-03",25,25.129999,24.860001,24.924999,1023200,17.446026
"2010-03-04",24.93,24.98,24.735001,24.865,934400,17.404032
"2010-03-05",24.889999,25.01,24.85,24.969999,1095200,17.47752
"2010-03-08",24.905001,25.045,24.809999,25.030001,915200,17.519522
"2010-03-09",25.004999,25.129999,24.860001,24.93,1007000,17.449528
"2010-03-10",24.905001,24.98,24.725,24.940001,1749400,17.45653
"2010-03-11",24.91,25.075001,24.780001,25.07,688000,17.547522
"2010-03-12",25.155001,25.155001,24.92,24.995001,1245000,17.495029
"2010-03-15",24.995001,25.105,24.9,25.105,807400,17.572016
"2010-03-16",25.065001,25.395,25.014999,25.375,1041800,17.761002
"2010-03-17",25.450001,25.635,25.334999,25.594999,1725200,17.914991
"2010-03-18",25.530001,25.655001,25.375,25.514999,1677600,17.858997
"2010-03-19",25.280001,25.705,25.115,25.280001,2707400,17.694508
"2010-03-22",25.195,25.195,24.895,25.110001,1381800,17.575523
"2010-03-23",25.08,25.215,24.99,25.17,1130000,17.617506
"2010-03-24",25.18,25.225,24.889999,24.945,1001400,17.460028
"2010-03-25",24.985001,25.084999,24.775,24.799999,1837600,17.358541
"2010-03-26",24.870001,25.045,24.780001,24.790001,1371800,17.351542
"2010-03-29",24.915001,24.945,24.77,24.855,2601200,17.397028
"2010-03-30",24.85,24.975,24.715,24.73,2359600,17.309542
"2010-03-31",24.715,24.775,24.559999,24.705,1962400,17.292042
"2010-04-01",24.780001,24.969999,24.705,24.955,2614400,17.467026
"2010-04-05",25.025,25.209999,24.860001,25.209999,1106400,17.645515
"2010-04-06",25.16,25.49,25.075001,25.455,1589800,17.816998
"2010-04-07",25.395,25.415001,25.155001,25.254999,1063600,17.67701
"2010-04-08",25.135,25.139999,24.965,25.09,995200,17.56152
"2010-04-09",25.07,25.25,24.834999,25.24,791400,17.666513
"2010-04-12",25.27,25.43,25.129999,25.42,991000,17.792496
"2010-04-13",25.375,25.504999,25.235001,25.48,1664200,17.834497
"2010-04-14",25.485001,25.700001,25.424999,25.684999,2063800,17.977983
"2010-04-15",25.700001,25.700001,25.389999,25.469999,1892600,17.827496
"2010-04-16",25.424999,25.555,25.200001,25.280001,1617600,17.694508
"2010-04-19",25.184999,25.43,25.16,25.385,1624400,17.768005
"2010-04-20",25.525,25.690001,25.4,25.690001,1086800,17.981485
"2010-04-21",25.65,25.85,25.584999,25.83,1541000,18.079477
"2010-04-22",25.77,25.915001,25.629999,25.91,1036400,18.135469
"2010-04-23",25.85,25.99,25.715,25.99,953800,18.191467
"2010-04-26",25.945,26,25.860001,25.924999,1051400,18.145962
"2010-04-27",25.844999,26.025,25.424999,25.440001,1258000,17.806501
"2010-04-28",25.5,25.565001,25.305,25.5,1316200,17.848497
"2010-04-29",25.620001,26.120001,25.545,26.094999,1948600,18.264957
"2010-04-30",26.155001,26.605,26.094999,26.254999,2006200,18.376955
"2010-05-03",26.450001,26.82,26.25,26.719999,1881800,18.702423
"2010-05-04",26.9,26.9,26.084999,26.485001,1871200,18.537935
"2010-05-05",26.434999,26.635,26.110001,26.295,1750800,18.404945
"2010-05-06",26.174999,26.174999,23.84,25.235001,4383400,17.663015
"2010-05-07",25.299999,25.52,24.775,25.09,4555400,17.56152
"2010-05-10",25.83,25.945,25.09,25.915001,3597800,18.138969
"2010-05-11",25.695,26.290001,25.68,26.084999,2617000,18.257963
"2010-05-12",26.025,26.025,25.715,25.950001,2882200,18.30381
"2010-05-13",25.93,25.934999,25.57,25.635,2560800,18.081619
"2010-05-14",25.535,25.610001,25.264999,25.434999,1250800,17.94055
"2010-05-17",25.525,25.645,25.200001,25.575001,1604800,18.039301
"2010-05-18",25.615,25.885,25.309999,25.344999,1674200,17.877075
"2010-05-19",25.195,25.51,25.045,25.305,2302600,17.84886
"2010-05-20",24.865,24.969999,24.385,24.41,2164600,17.217569
"2010-05-21",24.120001,24.434999,23.889999,24.355,3692000,17.178774
"2010-05-24",24.205,24.565001,24.059999,24.215,1522000,17.080027
"2010-05-25",23.815001,24.110001,23.42,24.105,2048800,17.002436
"2010-05-26",24.219999,24.459999,24.045,24.165001,1781800,17.044764
"2010-05-27",24.485001,24.514999,24.26,24.495001,1369800,17.277527
"2010-05-28",24.495001,24.775,24.43,24.5,1983000,17.281054
"2010-06-01",24.344999,24.58,24.155001,24.155001,2140000,17.037706
"2010-06-02",24.295,24.59,24.125,24.59,2096600,17.344532
"2010-06-03",24.605,24.895,24.540001,24.625,2347000,17.369223
"2010-06-04",24.24,24.49,23.959999,24.045,2550600,16.960115
"2010-06-07",24.115,24.285,23.815001,23.83,3809000,16.808472
"2010-06-08",23.815001,24.285,23.719999,24.27,2545400,17.11882
"2010-06-09",24.325001,24.355,23.924999,24,1987600,16.928373
"2010-06-10",24.290001,24.715,24.280001,24.715,1577600,17.432701
"2010-06-11",24.530001,24.855,24.42,24.85,1682600,17.527922
"2010-06-14",25.07,25.07,24.795,24.82,1359200,17.50676
"2010-06-15",24.965,25.305,24.950001,25.305,1438000,17.84886
"2010-06-16",25.190001,25.719999,25.190001,25.605,1251200,18.060467
"2010-06-17",25.625,26.014999,25.594999,25.985001,2092000,18.328495
"2010-06-18",26.094999,26.125,25.815001,25.885,2130200,18.257961
"2010-06-21",26.075001,26.1,25.51,25.635,1015800,18.081619
"2010-06-22",25.684999,25.709999,25.129999,25.165001,1199600,17.750116
"2010-06-23",25.135,25.155001,24.799999,24.879999,1571000,17.549086
"2010-06-24",24.860001,25.545,24.805,25.365,3399800,17.89118
"2010-06-25",25.365,25.780001,25.115,25.65,3493200,18.092203
"2010-06-28",25.504999,26.01,25.405001,25.885,1886800,18.257961
"2010-06-29",25.684999,25.889999,25.555,25.719999,3171400,18.141579
"2010-06-30",25.715,25.785,25.325001,25.370001,2499800,17.894707
"2010-07-01",25.24,25.24,24.705,24.959999,3442400,17.605513
"2010-07-02",24.98,25.440001,24.924999,25.27,1851400,17.824169
"2010-07-06",25.605,25.844999,25.440001,25.684999,1750800,18.11689
"2010-07-07",25.780001,26.4,25.635,26.379999,2082600,18.607105
"2010-07-08",26.440001,26.5,26.32,26.49,1385000,18.684696
"2010-07-09",26.469999,26.565001,26.32,26.545,1037600,18.723492
"2010-07-12",26.514999,26.639999,26.344999,26.620001,949800,18.77639
"2010-07-13",26.969999,26.969999,26.629999,26.825001,1525600,18.92099
"2010-07-14",26.695,26.879999,26.530001,26.875,1393800,18.956259
"2010-07-15",26.940001,26.99,26.625,26.950001,1336800,19.009159
"2010-07-16",26.84,26.84,26.334999,26.43,1780400,18.642378
"2010-07-19",26.575001,26.945,26.43,26.889999,2400400,18.966841
"2010-07-20",26.715,27.165001,26.594999,27.165001,1503000,19.160809
"2010-07-21",27.23,27.25,26.635,26.700001,1045000,18.832819
"2010-07-22",26.99,27.424999,26.965,27.25,1639000,19.220758
"2010-07-23",27.25,27.525,27.030001,27.514999,1602800,19.407684
"2010-07-26",27.620001,27.645,27.455,27.625,1539600,19.485271
"2010-07-27",27.764999,27.855,27.665001,27.84,2270200,19.636919
"2010-07-28",27.76,27.969999,27.655001,27.68,1721400,19.524059
"2010-07-29",27.924999,27.924999,26.9,27.415001,3323800,19.337147
"2010-07-30",27.115,27.365,26.889999,27.139999,1861800,19.143175
"2010-08-02",27.370001,27.775,27.370001,27.684999,1751000,19.527584
"2010-08-03",27.565001,27.709999,27.424999,27.555,1401800,19.435896
"2010-08-04",27.555,27.655001,27.280001,27.605,953400,19.471159
"2010-08-05",27.459999,27.764999,27.365,27.73,1571000,19.559332
"2010-08-06",27.625,27.934999,27.424999,27.92,1753400,19.693344
"2010-08-09",28,28.125,27.889999,27.975,1437000,19.73214
"2010-08-10",27.725,28.195,27.635,28.059999,1498000,19.792091
"2010-08-11",27.530001,27.684999,27.455,27.594999,2238000,19.603832
"2010-08-12",27.375,27.645,27.325001,27.525,1729600,19.554106
"2010-08-13",27.370001,27.795,27.370001,27.610001,1359200,19.614492
"2010-08-16",27.415001,27.715,27.290001,27.68,2091600,19.664221
"2010-08-17",27.85,28.129999,27.6,28.035,2360200,19.916416
"2010-08-18",28.049999,28.139999,27.684999,28.09,2297600,19.955486
"2010-08-19",28,28.055,27.605,27.780001,2082400,19.735264
"2010-08-20",27.575001,27.855,27.5,27.815001,1474400,19.760122
"2010-08-23",27.865,28.184999,27.825001,27.85,1119000,19.784986
"2010-08-24",27.68,28.055,27.555,27.924999,1840400,19.838268
"2010-08-25",27.825001,27.99,27.6,27.934999,1468400,19.845375
"2010-08-26",28,28.045,27.625,27.700001,1396400,19.678425
"2010-08-27",27.82,28.32,27.594999,28.26,1785600,20.076262
"2010-08-30",28.235001,28.280001,27.82,27.825001,969400,19.767227
"2010-08-31",27.745001,28.049999,27.525,27.870001,2233600,19.799198
"2010-09-01",28.205,28.495001,27.98,28.49,1892800,20.239656
"2010-09-02",28.540001,28.540001,28.16,28.504999,1779400,20.250315
"2010-09-03",28.655001,28.74,28.440001,28.690001,1156600,20.381741
"2010-09-07",28.59,28.83,28.514999,28.52,874400,20.260969
"2010-09-08",28.575001,28.575001,28.24,28.32,1137200,20.118881
"2010-09-09",28.559999,28.65,28.415001,28.535,758800,20.271626
"2010-09-10",28.455,28.575001,28.254999,28.57,961000,20.29649
"2010-09-13",28.690001,28.84,28.565001,28.84,937800,20.488298
"2010-09-14",28.84,28.99,28.65,28.889999,1430000,20.523823
"2010-09-15",28.85,28.860001,28.514999,28.665001,1248800,20.363977
"2010-09-16",28.51,28.700001,28.455,28.49,1571200,20.239656
"2010-09-17",28.605,28.605,28.205,28.325001,2288000,20.122438
"2010-09-20",28.790001,29.094999,28.51,29.059999,2690200,20.644594
"2010-09-21",29.030001,29.120001,28.790001,28.865,1161600,20.506062
"2010-09-22",28.924999,29.209999,28.780001,28.924999,1021200,20.548685
"2010-09-23",28.74,28.855,28.475,28.514999,750400,20.257412
"2010-09-24",28.809999,29.145,28.76,29.040001,1302000,20.630384
"2010-09-27",28.945,29.184999,28.875,29.030001,854400,20.623276
"2010-09-28",29.200001,29.290001,28.9,29.23,1570800,20.76536
"2010-09-29",29.139999,29.195,28.855,28.965,1464800,20.577103
"2010-09-30",29.120001,29.205,28.805,28.9,2505200,20.530918
"2010-10-01",29.025,29.17,28.860001,29.129999,1391200,20.694315
"2010-10-04",29.030001,29.215,28.76,28.945,821600,20.562893
"2010-10-05",29.135,29.290001,29.049999,29.285,1684600,20.804432
"2010-10-06",29.245001,29.315001,28.975,29.09,1275200,20.665909
"2010-10-07",29.26,29.455,28.945,29.075001,1511200,20.655252
"2010-10-08",29.135,29.145,28.815001,29.110001,1409400,20.680113
"2010-10-11",29.09,29.215,28.995001,29.1,788200,20.673014
"2010-10-12",29.09,29.094999,28.795,28.985001,672600,20.591311
"2010-10-13",29.014999,29.155001,28.915001,29.059999,735000,20.644594
"2010-10-14",29.07,29.219999,28.940001,29.025,637000,20.619722
"2010-10-15",29.26,29.375,29.1,29.285,931200,20.804432
"2010-10-18",29.33,29.459999,29.26,29.365,726800,20.861267
"2010-10-19",29.055,29.415001,29.055,29.334999,1711200,20.839952
"2010-10-20",29.35,29.844999,29.35,29.780001,1638800,21.156088
"2010-10-21",29.875,30,29.625,29.780001,2116200,21.156088
"2010-10-22",29.775,29.790001,29.549999,29.745001,903800,21.131224
"2010-10-25",29.91,29.91,29.629999,29.780001,1124400,21.156088
"2010-10-26",29.74,29.83,29.52,29.799999,1270000,21.170301
"2010-10-27",29.635,29.639999,29.25,29.625,1566400,21.045973
"2010-10-28",29.889999,29.9,29.635,29.844999,1541000,21.202265
"2010-10-29",29.815001,29.889999,29.65,29.77,993600,21.148985
"2010-11-01",29.959999,30.045,29.605,29.815001,1270000,21.18095
"2010-11-02",30.084999,30.280001,29.934999,29.940001,1522000,21.269758
"2010-11-03",30,30.115,29.6,29.75,1785400,21.134773
"2010-11-04",29.985001,30.125,29.85,30,1255200,21.312378
"2010-11-05",30.02,30.26,29.885,30.245001,1265800,21.486429
"2010-11-08",30.18,30.209999,29.855,29.945,709600,21.273304
"2010-11-09",29.865,29.865,29.375,29.48,1369800,21.083782
"2010-11-10",29.43,29.59,29.174999,29.559999,1608200,21.140991
"2010-11-11",29.370001,29.73,29.370001,29.695,1127000,21.237549
"2010-11-12",29.555,29.620001,29.385,29.549999,1022600,21.133841
"2010-11-15",29.66,29.815001,29.610001,29.684999,740600,21.230396
"2010-11-16",29.59,29.594999,29.125,29.325001,1019400,20.972923
"2010-11-17",29.145,29.43,29.145,29.405001,1037000,21.030144
"2010-11-18",29.575001,29.719999,29.475,29.645,756200,21.201786
"2010-11-19",29.645,29.924999,29.440001,29.924999,2293800,21.402039
"2010-11-22",29.74,30.145,29.695,30.135,1320200,21.552231
"2010-11-23",29.594999,29.969999,29.584999,29.844999,1061600,21.344826
"2010-11-24",30.01,30.16,29.895,30.155001,1118000,21.566532
"2010-11-26",29.865,30.33,29.865,30.1,446800,21.527197
"2010-11-29",29.915001,30.065001,29.709999,30,1120000,21.455677
"2010-11-30",29.735001,30.200001,29.735001,30.110001,1327400,21.534351
"2010-12-01",30.51,30.51,29.950001,30.135,2269200,21.552231
"2010-12-02",30.094999,30.215,29.995001,30.040001,1664200,21.484291
"2010-12-03",30.09,30.24,29.780001,30.15,2317800,21.562952
