"dates","WRB.Open","WRB.High","WRB.Low","WRB.Close","WRB.Volume","WRB.Adjusted"
"2010-01-04",16.526667,16.546667,16.313334,16.34,2851950,13.226906
"2010-01-05",16.306667,16.306667,16.18,16.280001,1715700,13.178338
"2010-01-06",16.266666,16.360001,16.16,16.313334,1798800,13.205324
"2010-01-07",16.266666,16.413334,16.126667,16.379999,1486500,13.259287
"2010-01-08",16.306667,16.379999,16.253332,16.366667,1043550,13.248496
"2010-01-11",16.393333,16.413334,16.200001,16.4,859050,13.275477
"2010-01-12",16.293333,16.5,16.293333,16.466667,1368750,13.329441
"2010-01-13",16.546667,16.793333,16.48,16.773333,1594500,13.577683
"2010-01-14",16.700001,16.766666,16.506666,16.633333,1594050,13.464356
"2010-01-15",16.573334,16.713333,16.566668,16.620001,1667250,13.453559
"2010-01-19",16.620001,16.726667,16.393333,16.526667,2484750,13.37801
"2010-01-20",16.446667,16.633333,16.433332,16.566668,1389900,13.410391
"2010-01-21",16.620001,16.733334,16.493334,16.673332,2739150,13.49673
"2010-01-22",16.753332,16.780001,16.386667,16.466667,1789950,13.329441
"2010-01-25",16.613333,16.639999,16.393333,16.526667,908100,13.37801
"2010-01-26",16.453333,16.666668,16.413334,16.466667,859350,13.329441
"2010-01-27",16.426666,16.6,16.26,16.466667,1461450,13.329441
"2010-01-28",16.493334,16.493334,16.273333,16.313334,1098750,13.205324
"2010-01-29",16.313334,16.386667,16.219999,16.219999,2099250,13.129767
"2010-02-01",16.306667,16.360001,16.173332,16.313334,1480950,13.205324
"2010-02-02",16.313334,16.360001,16.246668,16.313334,1626000,13.205324
"2010-02-03",16.253332,16.26,16.120001,16.139999,1199250,13.065013
"2010-02-04",16.066668,16.273333,16.053333,16.073334,1682850,13.011045
"2010-02-05",16.040001,16.273333,15.926667,16.120001,1618050,13.04882
"2010-02-08",16.093332,16.246668,15.933333,16.153334,1442550,13.075801
"2010-02-09",16.34,16.833332,16.280001,16.613333,2517300,13.448165
"2010-02-10",16.613333,16.686666,16.446667,16.639999,1322100,13.469748
"2010-02-11",16.586666,16.74,16.553333,16.693333,1561800,13.512921
"2010-02-12",16.586666,16.733334,16.453333,16.726667,2340300,13.539908
"2010-02-16",16.773333,16.846666,16.593332,16.813334,1161450,13.610063
"2010-02-17",16.806667,16.893333,16.700001,16.766666,861000,13.572289
"2010-02-18",16.766666,17.026667,16.74,17.026667,931200,13.782751
"2010-02-19",16.973333,17.053333,16.913334,17.033333,725700,13.788153
"2010-02-22",17.033333,17.086666,16.933332,17.040001,662850,13.793549
